Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 9:28:14 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	820
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	23.3
System Temp (C):	23
Spectrometer Temp (C):	20.8
CCD Temp (C):	-0.065
Secondary Temp (C):	20.007
Heatsink Temp (C):	17.656
CCDPCB Temp (C):	30.004
SecondaryPCB Temp (C):	25.213

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	537.75	131
787.2016	32.3739	538.85	133.1
787.3422	34.6426	550.95	143.95
787.4828	36.9109	558.9	150.6
787.6235	39.1787	573.4	162.8
787.7642	41.4461	587.2	167.8
787.9049	43.7131	599.1	179.3
788.0456	45.9796	613.85	192.9
788.1863	48.2456	629.5	202.9
788.3271	50.5112	641.15	210.65
788.4679	52.7764	661.6	227.7
788.6087	55.0411	673.1	236.4
788.7496	57.3054	691.35	250.05
788.8904	59.5692	707.55	265.15
789.0313	61.8326	735.85	288.4
789.1722	64.0955	749.55	300.4
789.3132	66.3579	779.95	325.35
789.4541	68.6199	813.45	356.1
789.5951	70.8815	880.1	417.95
789.7361	73.1426	1000.9	535.9
789.8771	75.4032	1325.55	857.65
790.0181	77.6634	2120.1	1648.2
790.1592	79.9231	4035.05	3559.9
790.3003	82.1824	8240.55	7760.05
790.4414	84.4412	15658.3	15171.5
790.5825	86.6995	25757.7	25261.95
790.7237	88.9574	35292.45	34789.75
790.8648	91.2148	42442.1	41937.1
791.006	93.4717	45662.7	45153.05
791.1472	95.7282	47137.15	46623.3
791.2885	97.9842	47707	47193.9
791.4297	100.2398	48153.4	47638.8
791.571	102.4949	47830.9	47309.6
791.7123	104.7495	48376.7	47853.15
791.8536	107.0036	47986.85	47462.4
791.9949	109.2573	48789.4	48266.6
792.1363	111.5105	48078.25	47552.45
792.2777	113.7632	48725.2	48198.9
792.4191	116.0154	48857.9	48317.9
792.5605	118.2672	49252.55	48722.55
792.7019	120.5185	49248.4	48711.85
792.8434	122.7693	49299.1	48759.4
792.9849	125.0197	48901.8	48358.35
793.1264	127.2696	49958.9	49412.35
793.2679	129.519	50019.25	49472
793.4094	131.7679	50431.7	49879
793.551	134.0163	49093.35	48539.65
