Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 9:37:46 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	295
Laser Current (mA):	824
Laser Diode Temp (C):	25
Laser Case Temp (C):	23.9
System Temp (C):	23.7
Spectrometer Temp (C):	21.4
CCD Temp (C):	-0.019
Secondary Temp (C):	20
Heatsink Temp (C):	17.172
CCDPCB Temp (C):	30.76
SecondaryPCB Temp (C):	25.78

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	509.3	102.05
787.2016	32.3739	511.9	106.55
787.3422	34.6426	517.45	112.9
787.4828	36.9109	524.25	115.7
787.6235	39.1787	534.5	123.8
787.7642	41.4461	548.1	132.25
787.9049	43.7131	558.95	138.85
788.0456	45.9796	568.6	147.25
788.1863	48.2456	584.8	157.9
788.3271	50.5112	589.4	158.55
788.4679	52.7764	605.15	171.05
788.6087	55.0411	615.25	177.25
788.7496	57.3054	637.25	195.55
788.8904	59.5692	651.65	208.15
789.0313	61.8326	665.85	221.45
789.1722	64.0955	683.25	235.55
789.3132	66.3579	705.8	251.55
789.4541	68.6199	734	276.8
789.5951	70.8815	786.35	324.1
789.7361	73.1426	882.35	417.55
789.8771	75.4032	1132.7	663.7
790.0181	77.6634	1770.6	1298.6
790.1592	79.9231	3294.85	2821.05
790.3003	82.1824	6595.4	6117.45
790.4414	84.4412	12423.9	11937
790.5825	86.6995	20290.6	19795.3
790.7237	88.9574	27865.3	27364.15
790.8648	91.2148	33327.95	32823.55
791.006	93.4717	36060.95	35554.25
791.1472	95.7282	37276.5	36768.25
791.2885	97.9842	37843.95	37333.55
791.4297	100.2398	38122.65	37609.55
791.571	102.4949	38091.6	37574.8
791.7123	104.7495	38299.6	37780.1
791.8536	107.0036	38135.75	37613.3
791.9949	109.2573	38405.95	37884.95
792.1363	111.5105	38203.8	37679.95
792.2777	113.7632	38388.8	37863.1
792.4191	116.0154	38428.15	37891.5
792.5605	118.2672	38661.6	38131.25
792.7019	120.5185	38644.1	38114.3
792.8434	122.7693	38698.05	38165.5
792.9849	125.0197	38673.75	38134.7
793.1264	127.2696	38965.95	38423.65
793.2679	129.519	39133.35	38587.5
793.4094	131.7679	39329.2	38782.6
793.551	134.0163	38959.95	38408.95
793.6926	136.2642	39203.1	38649.25
793.8342	138.5117	39522.65	38963.7
793.9758	140.7587	39503.8	38945.1
794.1175	143.0052	39585.45	39023.4
794.2591	145.2512	39319.05	38756.6
794.4008	147.4967	39596.85	39031.8
794.5425	149.7417	39534.55	38968.5
794.6842	151.9863	39575.4	39006.15
794.826	154.2304	39410.05	38838.6
794.9677	156.4739	39584	39001.3
795.1095	158.717	39762.05	39181.2
795.2513	160.9596	39690.5	39104.85
795.3931	163.2017	39540.65	38951.6
795.535	165.4433	39887.6	39300.3
795.6768	167.6844	39777.05	39186.25
795.8187	169.925	39967	39371.85
795.9606	172.1651	39885.85	39287.35
796.1025	174.4047	39834.85	39233.7
796.2445	176.6439	39905.2	39301.25
796.3864	178.8825	39942.1	39334.75
796.5284	181.1206	40130	39518.4
796.6704	183.3582	40149.8	39535.3
796.8124	185.5954	40007.9	39392
796.9544	187.832	40182.3	39561.3
797.0965	190.0681	40143.95	39519.95
797.2386	192.3037	40434.25	39808.35
797.3806	194.5388	40732.85	40105.45
