Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 9:46:32 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	825
Laser Diode Temp (C):	25
Laser Case Temp (C):	24.2
System Temp (C):	24
Spectrometer Temp (C):	21.6
CCD Temp (C):	-0.017
Secondary Temp (C):	20.013
Heatsink Temp (C):	18.131
CCDPCB Temp (C):	30.504
SecondaryPCB Temp (C):	25.747

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	453.75	46.1
787.2016	32.3739	455.7	49.25
787.3422	34.6426	458.25	50.2
787.4828	36.9109	459.4	51.8
787.6235	39.1787	469.55	58.2
787.7642	41.4461	478.85	62.3
787.9049	43.7131	484.15	64.4
788.0456	45.9796	490.35	66.6
788.1863	48.2456	500.6	72.95
788.3271	50.5112	508.95	78.35
788.4679	52.7764	512.35	79.45
788.6087	55.0411	520.6	82.75
788.7496	57.3054	532	90.05
788.8904	59.5692	540.5	97
789.0313	61.8326	547.35	101.3
789.1722	64.0955	557.65	107.15
789.3132	66.3579	572.75	119
789.4541	68.6199	589.15	132.2
789.5951	70.8815	614.9	152.55
789.7361	73.1426	668.3	202.7
789.8771	75.4032	793.9	324.5
790.0181	77.6634	1110.1	637.15
790.1592	79.9231	1876.1	1399.8
790.3003	82.1824	3467.9	2986.55
790.4414	84.4412	6292.45	5798.95
790.5825	86.6995	10095.3	9587.75
790.7237	88.9574	13836	13321.1
790.8648	91.2148	16588.3	16066.95
791.006	93.4717	18119.7	17592.65
791.1472	95.7282	18792.45	18264.95
791.2885	97.9842	19131.75	18598.75
791.4297	100.2398	19247.75	18712.7
791.571	102.4949	19332.4	18793.6
791.7123	104.7495	19335.6	18795.55
791.8536	107.0036	19296.1	18754.15
791.9949	109.2573	19302.5	18760.85
792.1363	111.5105	19313.5	18768.9
792.2777	113.7632	19311	18764.65
792.4191	116.0154	19363.2	18806.95
792.5605	118.2672	19406.35	18854.1
792.7019	120.5185	19425.4	18871.1
792.8434	122.7693	19448.8	18894.7
792.9849	125.0197	19472.4	18910.95
793.1264	127.2696	19471.45	18906.9
793.2679	129.519	19556.95	18989.55
793.4094	131.7679	19616.2	19045.45
793.551	134.0163	19679.1	19106.35
793.6926	136.2642	19700.8	19125.9
793.8342	138.5117	19696.6	19116.7
793.9758	140.7587	19686.55	19107.65
794.1175	143.0052	19740.5	19156.7
794.2591	145.2512	19704.85	19123.5
794.4008	147.4967	19697.35	19113.4
794.5425	149.7417	19699.05	19110.6
794.6842	151.9863	19662.25	19069.1
794.826	154.2304	19697.05	19102.8
794.9677	156.4739	19703.7	19102.7
795.1095	158.717	19736.55	19136.3
795.2513	160.9596	19747.65	19140.9
795.3931	163.2017	19748.6	19139.6
795.535	165.4433	19765.75	19154.45
795.6768	167.6844	19764.5	19151.25
795.8187	169.925	19787.4	19169
795.9606	172.1651	19734.8	19117.9
796.1025	174.4047	19746.45	19123.25
796.2445	176.6439	19727.8	19105.1
796.3864	178.8825	19704.5	19078.8
796.5284	181.1206	19773.35	19142.15
796.6704	183.3582	19798.55	19163.6
796.8124	185.5954	19808.4	19172.35
796.9544	187.832	19797.65	19156.5
797.0965	190.0681	19868.95	19226.75
797.2386	192.3037	19893.35	19243.9
797.3806	194.5388	19921.5	19274.75
797.5228	196.7734	19981.95	19329.8
797.6649	199.0075	20032.6	19382.3
797.807	201.2411	20128.55	19478.1
797.9492	203.4742	20154.9	19501.85
798.0914	205.7068	20214	19554.85
798.2336	207.9389	20240.7	19577.55
798.3758	210.1704	20330	19675.25
798.518	212.4015	20263.7	19618.75
798.6603	214.632	20312.4	19673.45
798.8025	216.862	20369.1	19731.95
798.9448	219.0915	20358.6	19717.9
799.0871	221.3205	20412.95	19769.1
799.2294	223.549	20441.85	19801.2
799.3718	225.777	20493.85	19854.65
799.5141	228.0044	20507.9	19862.35
799.6565	230.2314	20575.75	19929.2
799.7989	232.4578	20537.9	19885.85
799.9413	234.6837	20595.6	19934
800.0837	236.909	20612.2	19950.5
800.2262	239.1339	20675.35	19990.8
800.3687	241.3582	20675.25	20003.1
800.5111	243.582	20693.2	19989.7
800.6536	245.8053	20700.05	20010.5
800.7961	248.0281	20693.6	20010.4
800.9387	250.2503	20710.7	20023.8
801.0812	252.472	20757.2	20067.75
801.2238	254.6932	20769.05	20079.05
801.3664	256.9139	20719.05	20026.5
801.509	259.134	20793.4	20096.35
801.6516	261.3536	20809.25	20116.15
801.7942	263.5727	20878.9	20182.8
801.9369	265.7912	20817.9	20123.25
802.0795	268.0092	20893.8	20199.15
802.2222	270.2267	20883.4	20187.65
802.3649	272.4436	20959	20260.65
802.5076	274.6601	20930.7	20219.7
802.6504	276.8759	20928.5	20224.9
802.7931	279.0913	20979.7	20274
802.9359	281.3061	20997	20289.35
803.0787	283.5204	21035.1	20325.8
803.2215	285.7341	21060	20346.65
803.3643	287.9473	21082.05	20358.45
803.5071	290.16	21109.9	20393.95
803.6499	292.3721	21094.55	20386.3
803.7928	294.5837	21060.3	20345.9
803.9357	296.7947	21007.25	20295.2
804.0786	299.0052	21040.3	20328
804.2215	301.2152	20984.2	20267.95
804.3644	303.4246	21033.6	20319.25
804.5074	305.6334	20960.4	20246
804.6503	307.8418	20993.15	20276.45
804.7933	310.0495	20982.1	20264.25
804.9363	312.2568	20933.95	20215.75
805.0793	314.4635	20837.3	20114.45
805.2223	316.6696	20792	20065.85
805.3653	318.8752	20759.85	20026.3
805.5084	321.0802	20713.05	19986.1
805.6514	323.2847	20731.95	20002.15
805.7945	325.4887	20691.75	19964.35
805.9376	327.692	20689.1	19958.45
806.0807	329.8949	20731.25	20001.55
806.2238	332.0972	20760.55	20025.9
806.367	334.2989	20780.7	20045.9
806.5101	336.5001	20762.25	20026.5
806.6533	338.7007	20765.95	20029.45
806.7965	340.9008	20763.45	20025.3
806.9397	343.1003	20717.45	19975.25
807.0829	345.2992	20719.3	19976.6
807.2261	347.4976	20701.4	19958.8
807.3693	349.6955	20667.3	19919.8
807.5126	351.8927	20739.85	19989.95
807.6559	354.0895	20656.25	19900.6
807.7991	356.2856	20660.25	19909.4
807.9424	358.4812	20637.2	19887.65
808.0857	360.6763	20650.25	19898.2
808.2291	362.8707	20611.65	19856.6
808.3724	365.0646	20660.6	19903.3
808.5158	367.258	20627.5	19869.5
808.6591	369.4508	20559.3	19794.75
808.8025	371.643	20636.8	19873.1
808.9459	373.8346	20553	19788.25
809.0893	376.0257	20549.7	19782.75
809.2327	378.2162	20504.95	19739.6
809.3762	380.4062	20533.75	19767.55
809.5196	382.5956	20501.35	19737.15
809.6631	384.7844	20479.65	19717.05
809.8066	386.9726	20386.1	19628.15
809.9501	389.1603	20322.05	19563.75
810.0936	391.3474	20337.2	19541.6
810.2371	393.5339	20321.65	19560.3
810.3806	395.7199	20291.6	19531.75
810.5241	397.9052	20268.1	19510.25
810.6677	400.09	20287.4	19529.3
810.8113	402.2743	20294.25	19533.75
810.9548	404.4579	20310.35	19545.7
811.0984	406.641	20347.25	19581.55
811.2421	408.8235	20368.8	19602.95
811.3857	411.0054	20434	19665.45
811.5293	413.1868	20486.5	19712.5
811.673	415.3675	20515.1	19740.25
811.8166	417.5477	20512.55	19733.95
811.9603	419.7273	20427.2	19646.75
812.104	421.9064	20290.9	19502.75
812.2477	424.0848	20233.55	19452.9
812.3914	426.2627	20147.95	19367.8
812.5351	428.4399	20102.8	19321
812.6788	430.6166	20035.05	19250.25
812.8226	432.7928	19973.35	19186.4
812.9663	434.9683	19947.65	19160.6
813.1101	437.1432	19894.55	19105.2
813.2539	439.3176	19795.55	19010.15
813.3977	441.4914	19771.85	18986.95
813.5415	443.6645	19744.4	18956.95
813.6853	445.8371	19655.35	18867.55
813.8291	448.0091	19547.4	18761.5
813.973	450.1806	19527.05	18737.25
814.1168	452.3514	19465.6	18674.4
814.2607	454.5216	19500.7	18700.95
814.4046	456.6913	19387.5	18592.5
814.5485	458.8603	19397.6	18606.4
814.6924	461.0288	19428	18637.9
814.8363	463.1967	19347	18553.85
814.9802	465.3639	19364.4	18571.05
815.1241	467.5306	19328.3	18536.35
815.2681	469.6967	19267.3	18472.75
815.412	471.8622	19223.35	18428.4
815.556	474.0271	19203.25	18407.6
815.7	476.1914	19174.55	18375.15
815.844	478.3551	19182.8	18384.95
815.988	480.5182	19190.95	18394.85
816.132	482.6807	19192.05	18395.3
816.276	484.8426	19237.75	18442.6
816.4201	487.0039	19241.75	18445.9
816.5641	489.1647	19288.15	18487.6
816.7082	491.3248	19340	18540.35
816.8522	493.4843	19299	18499.75
816.9963	495.6432	19282.95	18484.9
817.1404	497.8015	19233.45	18429.15
817.2845	499.9592	19222	18417.45
817.4286	502.1163	19191.55	18386.35
817.5727	504.2728	19128.1	18321.3
817.7168	506.4287	19136.95	18335.9
817.861	508.5839	19100.35	18294.4
818.0051	510.7386	19076.7	18271
818.1493	512.8927	19062.75	18252.9
818.2935	515.0461	19071.35	18261.9
818.4377	517.199	19052.35	18243.2
818.5818	519.3512	19045.15	18235.45
818.726	521.5029	19096.05	18281.35
818.8703	523.6539	19090.5	18278.1
819.0145	525.8043	19108.85	18294.4
819.1587	527.9541	19010.4	18191.8
819.303	530.1033	18968.3	18152.35
819.4472	532.2519	18913.45	18098.6
819.5915	534.3999	18912.5	18095.75
819.7357	536.5472	18869.85	18054.65
819.88	538.694	18895.6	18080.95
820.0243	540.8401	18892.7	18077.95
820.1686	542.9856	18925.3	18103.85
820.3129	545.1305	18868.55	18049.25
820.4572	547.2748	18901.4	18081.9
820.6016	549.4185	18883.6	18061.55
820.7459	551.5615	18836.2	18016.7
820.8902	553.704	18838.3	18016.95
821.0346	555.8458	18827.2	18008.65
821.1789	557.987	18848.25	18031
821.3233	560.1276	18799.1	17979.4
821.4677	562.2675	18815.5	17997.4
821.6121	564.4069	18823.15	18005.75
821.7565	566.5456	18803.4	17985.3
821.9009	568.6837	18790.7	17971.7
822.0453	570.8212	18722.85	17902.7
822.1897	572.958	18671.05	17851.2
822.3342	575.0942	18612.4	17793.4
822.4786	577.2299	18547.3	17725.7
822.6231	579.3648	18446.1	17626.25
822.7675	581.4992	18352.35	17531.6
822.912	583.6329	18313.25	17493.4
823.0565	585.766	18296.65	17477.95
823.201	587.8985	18236.45	17414.75
823.3454	590.0304	18282.75	17446.45
823.4899	592.1616	18260.1	17432.35
823.6345	594.2922	18225.45	17400
823.779	596.4222	18154.75	17323.95
823.9235	598.5515	18093	17264.55
824.068	600.6802	18026.05	17197.85
824.2126	602.8083	17953.55	17124.9
824.3571	604.9358	17971.85	17141.15
824.5017	607.0626	17875.15	17044.65
824.6462	609.1888	17866.9	17035.95
824.7908	611.3144	17893.9	17059.8
824.9354	613.4393	17826.4	16995.5
825.08	615.5636	17805.85	16973.15
825.2246	617.6873	17872.4	17039.5
825.3692	619.8103	17863.05	17027.6
825.5138	621.9327	17803.7	16967.15
825.6584	624.0544	17777.3	16945.25
825.803	626.1756	17738.1	16906.5
825.9477	628.2961	17700.6	16865.55
826.0923	630.4159	17671.8	16834.95
826.237	632.5351	17685.75	16846.85
826.3816	634.6537	17659.65	16822.45
826.5263	636.7716	17607.95	16768.1
826.6709	638.8889	17622.8	16783.9
826.8156	641.0056	17647.3	16809
826.9603	643.1216	17589.95	16752.6
