Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 9:48:35 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	24.2
System Temp (C):	24.1
Spectrometer Temp (C):	21.6
CCD Temp (C):	-0.016
Secondary Temp (C):	20.01
Heatsink Temp (C):	18
CCDPCB Temp (C):	31.705
SecondaryPCB Temp (C):	25.891

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	449.5	41.65
787.2016	32.3739	448.95	43.8
787.3422	34.6426	455.05	50
787.4828	36.9109	456.3	48
787.6235	39.1787	462.35	49.5
787.7642	41.4461	472	53.75
787.9049	43.7131	480.9	58.75
788.0456	45.9796	485.85	63.85
788.1863	48.2456	492.85	67.15
788.3271	50.5112	500.7	70.65
788.4679	52.7764	505.25	71.35
788.6087	55.0411	516.5	78.25
788.7496	57.3054	524.6	82.35
788.8904	59.5692	534.6	89.7
789.0313	61.8326	541.7	95.65
789.1722	64.0955	549	97.85
789.3132	66.3579	565.2	111.35
789.4541	68.6199	576.85	121.15
789.5951	70.8815	599.25	139.95
789.7361	73.1426	653.65	186.6
789.8771	75.4032	769.45	300.85
790.0181	77.6634	1061.8	589.05
790.1592	79.9231	1760.45	1281.95
790.3003	82.1824	3229.85	2745.65
790.4414	84.4412	5810	5315.6
790.5825	86.6995	9296.1	8792.85
790.7237	88.9574	12766.7	12250.6
790.8648	91.2148	15302.5	14778.75
791.006	93.4717	16723.55	16192.55
791.1472	95.7282	17337.9	16801.35
791.2885	97.9842	17673.25	17138.55
791.4297	100.2398	17795.35	17256.15
791.571	102.4949	17852.8	17312.1
791.7123	104.7495	17843.9	17297.65
791.8536	107.0036	17847.65	17300.95
791.9949	109.2573	17841.15	17297.3
792.1363	111.5105	17849.25	17301.55
792.2777	113.7632	17842.85	17295
792.4191	116.0154	17864.15	17304.45
792.5605	118.2672	17900.55	17346.25
792.7019	120.5185	17883.4	17328.4
792.8434	122.7693	17903.75	17343.6
792.9849	125.0197	17964.15	17399.65
793.1264	127.2696	17951.75	17384.95
793.2679	129.519	18049.3	17477.65
793.4094	131.7679	18057.5	17484.85
793.551	134.0163	18120.75	17546.15
793.6926	136.2642	18142.15	17563.25
793.8342	138.5117	18167.95	17584.5
793.9758	140.7587	18151.35	17569.7
794.1175	143.0052	18132.85	17546.1
794.2591	145.2512	18132.85	17547.2
794.4008	147.4967	18123.65	17535.25
794.5425	149.7417	18128.85	17536.8
794.6842	151.9863	18137.85	17541.1
794.826	154.2304	18133.4	17537.65
794.9677	156.4739	18101.95	17496.8
795.1095	158.717	18136	17530.1
795.2513	160.9596	18148.5	17540.8
795.3931	163.2017	18143.9	17530.65
795.535	165.4433	18182.65	17571.65
795.6768	167.6844	18193.9	17579.8
795.8187	169.925	18237.15	17619.6
