Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 9:48:54 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	24.2
System Temp (C):	24.1
Spectrometer Temp (C):	21.7
CCD Temp (C):	0
Secondary Temp (C):	20.007
Heatsink Temp (C):	18.043
CCDPCB Temp (C):	31.06
SecondaryPCB Temp (C):	25.991

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	448.95	42.2
787.2016	32.3739	449	43.65
787.3422	34.6426	453.25	45.4
787.4828	36.9109	456.5	48.5
787.6235	39.1787	464.5	53.55
787.7642	41.4461	473.55	56.5
787.9049	43.7131	476.85	57.95
788.0456	45.9796	484.3	62.95
788.1863	48.2456	491.4	65.25
788.3271	50.5112	499.3	68.55
788.4679	52.7764	506.2	73.3
788.6087	55.0411	513.9	76.15
788.7496	57.3054	522.55	80.65
788.8904	59.5692	531	86.5
789.0313	61.8326	536.35	89.45
789.1722	64.0955	549.1	100.6
789.3132	66.3579	562.85	110.05
789.4541	68.6199	575.3	116.85
789.5951	70.8815	599.9	136.05
789.7361	73.1426	644.65	177.65
789.8771	75.4032	771.3	300.7
790.0181	77.6634	1057.7	584.05
790.1592	79.9231	1750.85	1274.65
790.3003	82.1824	3201.55	2718.35
790.4414	84.4412	5747.85	5251.7
790.5825	86.6995	9197.15	8689.6
790.7237	88.9574	12609.55	12088.25
790.8648	91.2148	15105.1	14578.35
791.006	93.4717	16534.7	16002.25
791.1472	95.7282	17146.7	16612.15
791.2885	97.9842	17481.4	16946
791.4297	100.2398	17558.35	17019.85
791.571	102.4949	17645.25	17105.4
791.7123	104.7495	17628.95	17085.3
791.8536	107.0036	17638.9	17092.05
791.9949	109.2573	17622.45	17075.4
792.1363	111.5105	17655.05	17105.55
792.2777	113.7632	17594.55	17045.2
792.4191	116.0154	17610.75	17049.9
