Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 9:58:54 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	826
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	24.6
System Temp (C):	24.4
Spectrometer Temp (C):	22
CCD Temp (C):	-0.003
Secondary Temp (C):	20.023
Heatsink Temp (C):	18.314
CCDPCB Temp (C):	31.094
SecondaryPCB Temp (C):	26.025

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	649.2	240
787.2016	32.3739	658.8	252.8
787.3422	34.6426	668.45	261.25
787.4828	36.9109	682.05	271
787.6235	39.1787	710.35	297.55
787.7642	41.4461	733.5	313.3
787.9049	43.7131	755.05	331.55
788.0456	45.9796	779.05	354.5
788.1863	48.2456	798.45	370.65
788.3271	50.5112	833	402
788.4679	52.7764	852.95	417.45
788.6087	55.0411	882.55	444.65
788.7496	57.3054	914.35	469.85
788.8904	59.5692	941.4	495.85
789.0313	61.8326	975.5	527.85
789.1722	64.0955	1014.4	563.4
789.3132	66.3579	1066.5	609.45
789.4541	68.6199	1121.7	662.6
789.5951	70.8815	1218.15	754.85
789.7361	73.1426	1434.2	965.75
789.8771	75.4032	1989.8	1517
790.0181	77.6634	3388.7	2912.85
790.1592	79.9231	6840.3	6360.7
790.3003	82.1824	16237.4	15749
790.4414	84.4412	30936.4	30432.15
790.5825	86.6995	44016.35	43495.05
790.7237	88.9574	52233.55	51694.8
790.8648	91.2148	57239.6	56691.05
791.006	93.4717	58588.7	58031.4
791.1472	95.7282	59180.65	58619.9
791.2885	97.9842	59461.25	58896.25
791.4297	100.2398	59494.4	58926.15
791.571	102.4949	59416.65	58847.55
791.7123	104.7495	59486.65	58908.6
791.8536	107.0036	59306.5	58731.9
791.9949	109.2573	59605.45	59031.45
792.1363	111.5105	59364.65	58789.3
792.2777	113.7632	59509	58932.1
792.4191	116.0154	59589	59000.45
792.5605	118.2672	59805.1	59223.2
792.7019	120.5185	59824.75	59239.05
792.8434	122.7693	59809.2	59220.9
792.9849	125.0197	59541.75	58950.25
793.1264	127.2696	60083.15	59488.05
793.2679	129.519	60015.05	59417.7
793.4094	131.7679	60263	59661.65
793.551	134.0163	59674.5	59069.95
793.6926	136.2642	59932	59322.85
793.8342	138.5117	60311.8	59700.1
793.9758	140.7587	60153.3	59543.6
794.1175	143.0052	60168.2	59553.55
794.2591	145.2512	59884.3	59269.4
794.4008	147.4967	60287.75	59669.5
794.5425	149.7417	60168.4	59547.45
794.6842	151.9863	60167.7	59543.55
794.826	154.2304	59931.25	59303.4
794.9677	156.4739	60155.4	59520.35
795.1095	158.717	60367.1	59729.85
795.2513	160.9596	60209.2	59570.95
795.3931	163.2017	59910.35	59270.3
795.535	165.4433	60250	59606.85
795.6768	167.6844	60033.85	59387.75
795.8187	169.925	60243.8	59595.8
795.9606	172.1651	60094.7	59445
796.1025	174.4047	60141.25	59487.95
796.2445	176.6439	60145.45	59491.1
796.3864	178.8825	60094.7	59436.5
796.5284	181.1206	60354.35	59691.3
