Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:00:05 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	824
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	24.6
System Temp (C):	24.4
Spectrometer Temp (C):	22
CCD Temp (C):	0
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.28
CCDPCB Temp (C):	31.005
SecondaryPCB Temp (C):	26.303

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	694.75	285.65
787.2016	32.3739	698.4	291.1
787.3422	34.6426	716.05	308.2
787.4828	36.9109	739.2	331.1
787.6235	39.1787	762.75	349
787.7642	41.4461	786.35	367.7
787.9049	43.7131	812.1	393.7
788.0456	45.9796	841	417.45
788.1863	48.2456	866.5	439
788.3271	50.5112	897.5	464.5
788.4679	52.7764	925.95	489
788.6087	55.0411	963.4	524.5
788.7496	57.3054	997.9	553.15
788.8904	59.5692	1028.95	583.95
789.0313	61.8326	1068.55	622.25
789.1722	64.0955	1116.45	665.9
789.3132	66.3579	1165.8	708.85
789.4541	68.6199	1237.05	777.8
789.5951	70.8815	1347.85	884.45
789.7361	73.1426	1606.25	1138.6
789.8771	75.4032	2239	1768.45
790.0181	77.6634	3852.2	3377.65
790.1592	79.9231	7897.25	7418.3
790.3003	82.1824	18177.05	17688.7
790.4414	84.4412	40194.2	39686.6
790.5825	86.6995	52461.4	51937.55
790.7237	88.9574	57117.2	56580
790.8648	91.2148	59754.9	59206.7
791.006	93.4717	60620.7	60059.15
791.1472	95.7282	61005.7	60441.65
791.2885	97.9842	61221.55	60657.05
791.4297	100.2398	61236.85	60670.55
791.571	102.4949	61203.1	60632.9
791.7123	104.7495	61257.5	60683.15
791.8536	107.0036	61146	60570.25
791.9949	109.2573	61309.4	60735.85
792.1363	111.5105	61181.15	60603.15
792.2777	113.7632	61244.6	60663.25
792.4191	116.0154	61310.8	60722.4
792.5605	118.2672	61412.15	60828.95
792.7019	120.5185	61417.3	60833.45
792.8434	122.7693	61430.6	60841.95
792.9849	125.0197	61301.2	60705.45
793.1264	127.2696	61574.65	60977.8
793.2679	129.519	61561.5	60962.4
793.4094	131.7679	61671.45	61067.95
793.551	134.0163	61377.6	60774.5
793.6926	136.2642	61504.15	60897.85
793.8342	138.5117	61687.35	61073.05
793.9758	140.7587	61604.05	60991.25
794.1175	143.0052	61622.95	61006.75
794.2591	145.2512	61472.9	60856.9
794.4008	147.4967	61662.6	61043.95
794.5425	149.7417	61596	60975.8
794.6842	151.9863	61599.55	60975.25
794.826	154.2304	61479.25	60849.7
794.9677	156.4739	61564.5	60929.55
795.1095	158.717	61686.35	61050.85
795.2513	160.9596	61632.5	60994.2
795.3931	163.2017	61483.35	60842.15
795.535	165.4433	61633.75	60990.3
795.6768	167.6844	61551.95	60911.1
795.8187	169.925	61651.65	61005.2
795.9606	172.1651	61555.65	60905.55
796.1025	174.4047	61574.65	60918
796.2445	176.6439	61580.3	60926.1
796.3864	178.8825	61548.5	60889.2
796.5284	181.1206	61656	60995.15
796.6704	183.3582	61662.75	60995.6
796.8124	185.5954	61584.4	60916.55
796.9544	187.832	61619	60947.6
797.0965	190.0681	61523.2	60845.6
797.2386	192.3037	61692.85	61010.95
797.3806	194.5388	61875.25	61193.2
797.5228	196.7734	61487.35	60804.8
797.6649	199.0075	61821.5	61135
797.807	201.2411	61735.85	61051.7
797.9492	203.4742	61923.9	61235.75
798.0914	205.7068	61877.9	61186.75
798.2336	207.9389	61877.95	61181.2
798.3758	210.1704	61864.5	61173.8
798.518	212.4015	62022.65	61341.2
798.6603	214.632	61821.4	61150.6
798.8025	216.862	62036.05	61367.4
798.9448	219.0915	61957.6	61282.35
799.0871	221.3205	61928.25	61250.3
799.2294	223.549	62098.4	61427.2
799.3718	225.777	62069.2	61397.8
799.5141	228.0044	62158.9	61480.4
799.6565	230.2314	62087.45	61405.2
799.7989	232.4578	62092.15	61407.35
799.9413	234.6837	62129.55	61440.25
800.0837	236.909	62452	61760.2
800.2262	239.1339	62010.6	61291.1
800.3687	241.3582	62198.2	61494.1
800.5111	243.582	62221.95	61485.65
800.6536	245.8053	62238.2	61515.15
800.7961	248.0281	62257.9	61543.05
800.9387	250.2503	62296.45	61573.5
801.0812	252.472	62186.85	61464.05
801.2238	254.6932	62277.95	61555.2
801.3664	256.9139	62217.6	61492.25
801.509	259.134	62500.25	61770.25
801.6516	261.3536	62182.45	61454.8
801.7942	263.5727	62366.2	61635.55
801.9369	265.7912	62255.35	61526.3
802.0795	268.0092	62303.15	61572.85
802.2222	270.2267	62342.15	61611.75
802.3649	272.4436	62224.95	61498.3
802.5076	274.6601	62366.8	61625.8
802.6504	276.8759	62432.8	61694.2
802.7931	279.0913	62343.7	61606.45
802.9359	281.3061	62371.55	61631.85
803.0787	283.5204	62395.05	61651.25
803.2215	285.7341	62396.35	61649.2
803.3643	287.9473	62516.15	61761.2
803.5071	290.16	62403.85	61655.7
803.6499	292.3721	62482.15	61741.6
803.7928	294.5837	62356.75	61612.15
803.9357	296.7947	62272.05	61525.65
804.0786	299.0052	62489.45	61743.5
804.2215	301.2152	62380.4	61633.55
804.3644	303.4246	62492.75	61748.15
804.5074	305.6334	62507.45	61760.25
804.6503	307.8418	62344	61592.5
804.7933	310.0495	62373.25	61621.7
804.9363	312.2568	62348.25	61596.65
805.0793	314.4635	62309.1	61552.75
805.2223	316.6696	62390.55	61629.5
805.3653	318.8752	62483.15	61714.8
805.5084	321.0802	62169.2	61411.1
805.6514	323.2847	62317.25	61558.45
805.7945	325.4887	62289.4	61527.75
805.9376	327.692	62223.1	61459.7
806.0807	329.8949	62313.1	61546.05
806.2238	332.0972	62258.1	61489.35
806.367	334.2989	62293.2	61520.75
806.5101	336.5001	62393.45	61624.25
806.6533	338.7007	62175.5	61409.3
806.7965	340.9008	62298.55	61529.45
806.9397	343.1003	62302.4	61529.25
807.0829	345.2992	62398.95	61625.85
807.2261	347.4976	62286.85	61510.4
807.3693	349.6955	62346.95	61569.55
807.5126	351.8927	62246.7	61467.3
807.6559	354.0895	62328.4	61535.6
807.7991	356.2856	62332.45	61551.3
807.9424	358.4812	62434.3	61653.2
808.0857	360.6763	62253.2	61468.35
808.2291	362.8707	62425.4	61638.1
808.3724	365.0646	62314.25	61525.25
808.5158	367.258	62304.8	61517.9
808.6591	369.4508	62205.85	61410.8
808.8025	371.643	62373	61580.75
808.9459	373.8346	62304.6	61508.7
809.0893	376.0257	62317.5	61519
809.2327	378.2162	62257.9	61459.5
809.3762	380.4062	62104.95	61307.4
809.5196	382.5956	62227.5	61429.45
809.6631	384.7844	62221.25	61428.65
809.8066	386.9726	62287.05	61496.4
809.9501	389.1603	62284.2	61494.65
810.0936	391.3474	62160.85	61338.7
810.2371	393.5339	62301.95	61508.9
810.3806	395.7199	62112.95	61320.4
810.5241	397.9052	62142.95	61353.7
810.6677	400.09	62144	61355.1
810.8113	402.2743	62275	61483.5
810.9548	404.4579	62130.6	61334
811.0984	406.641	62158.3	61362.05
811.2421	408.8235	62228.7	61431.4
811.3857	411.0054	62233.7	61434.35
811.5293	413.1868	62229.6	61425.6
811.673	415.3675	62178.6	61371.45
811.8166	417.5477	62189.05	61383.25
811.9603	419.7273	62171.2	61364.4
812.104	421.9064	62159.2	61342.3
812.2477	424.0848	62158.35	61349.3
812.3914	426.2627	62248.65	61441.45
812.5351	428.4399	62090.25	61280.45
812.6788	430.6166	61994.75	61180.9
812.8226	432.7928	62124.35	61306.45
812.9663	434.9683	62007.7	61187.35
813.1101	437.1432	61985.35	61169.55
813.2539	439.3176	62071.35	61256.4
813.3977	441.4914	61895.65	61085.8
813.5415	443.6645	61927.85	61114.6
813.6853	445.8371	61948.4	61133.55
813.8291	448.0091	61840.95	61023.9
813.973	450.1806	61782.3	60965.15
814.1168	452.3514	61800.6	60981.1
814.2607	454.5216	61734.15	60907.7
814.4046	456.6913	61779.8	60956.45
814.5485	458.8603	61849.45	61030.65
814.6924	461.0288	61735.15	60917.65
814.8363	463.1967	61809.55	60991.6
814.9802	465.3639	61798.45	60979.25
815.1241	467.5306	61636.9	60815.6
815.2681	469.6967	61699.75	60877.45
815.412	471.8622	61765.05	60947.75
815.556	474.0271	61676.35	60857.3
815.7	476.1914	61689.65	60865.8
815.844	478.3551	61714.05	60891.1
815.988	480.5182	61841.15	61017.35
816.132	482.6807	61670.85	60848.8
816.276	484.8426	61714.1	60896.7
816.4201	487.0039	61849.35	61026.3
816.5641	489.1647	61831	61005.55
816.7082	491.3248	61669.1	60842.95
816.8522	493.4843	61826.15	61004.25
816.9963	495.6432	61838.7	61015.1
817.1404	497.8015	61670.45	60838
817.2845	499.9592	61760.35	60926.4
817.4286	502.1163	61761.6	60929.3
817.5727	504.2728	61705.15	60869.6
817.7168	506.4287	61705.3	60880.3
817.861	508.5839	61632.05	60806.45
818.0051	510.7386	61674.6	60845.2
818.1493	512.8927	61705.85	60874.35
818.2935	515.0461	61669.85	60834.8
818.4377	517.199	61772.15	60939.25
818.5818	519.3512	61678	60845.2
818.726	521.5029	61635.8	60796.3
818.8703	523.6539	61674.9	60841.15
819.0145	525.8043	61547.25	60709.75
819.1587	527.9541	61642.75	60803.45
819.303	530.1033	61624.05	60786.25
819.4472	532.2519	61579.3	60742.3
819.5915	534.3999	61656.45	60814.1
819.7357	536.5472	61717.35	60876.5
819.88	538.694	61543	60705.65
820.0243	540.8401	61632.6	60792.5
820.1686	542.9856	61642.35	60799.1
820.3129	545.1305	61694.85	60844.75
820.4572	547.2748	61593.6	60744.35
820.6016	549.4185	61593.8	60745.95
820.7459	551.5615	61649	60800.8
820.8902	553.704	61612.6	60767.55
821.0346	555.8458	61535.7	60691.55
