Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:04:46 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	827
Laser Diode Temp (C):	25
Laser Case Temp (C):	24.8
System Temp (C):	24.6
Spectrometer Temp (C):	22.1
CCD Temp (C):	0.004
Secondary Temp (C):	20.007
Heatsink Temp (C):	18.588
CCDPCB Temp (C):	31.827
SecondaryPCB Temp (C):	25.925

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	681	273.45
787.2016	32.3739	691.9	285.95
787.3422	34.6426	711	303.9
787.4828	36.9109	725.7	315.65
787.6235	39.1787	751.2	337.75
787.7642	41.4461	779.95	361.95
787.9049	43.7131	803.65	381.3
788.0456	45.9796	833	409.5
788.1863	48.2456	857.25	428.7
788.3271	50.5112	889.1	458.4
788.4679	52.7764	914.45	479.05
788.6087	55.0411	950.05	511.75
788.7496	57.3054	981.65	538.6
788.8904	59.5692	1011.7	567.15
789.0313	61.8326	1054.75	605.15
789.1722	64.0955	1098.45	648.7
789.3132	66.3579	1148	692.85
789.4541	68.6199	1212.9	754.65
789.5951	70.8815	1320	856.8
789.7361	73.1426	1568.25	1099.25
789.8771	75.4032	2192.75	1720.7
790.0181	77.6634	3767.3	3292.7
790.1592	79.9231	7656.25	7175.8
790.3003	82.1824	16830.2	16340.85
790.4414	84.4412	38410.7	37904.7
790.5825	86.6995	55456.65	54928.95
790.7237	88.9574	60423.55	59878.25
790.8648	91.2148	62673.6	62118.35
791.006	93.4717	63258.5	62693.05
791.1472	95.7282	63577.95	63009.7
791.2885	97.9842	63731.3	63162.15
791.4297	100.2398	63709.75	63137.8
791.571	102.4949	63708	63132.7
791.7123	104.7495	63717.5	63137.3
791.8536	107.0036	63633.35	63052.05
791.9949	109.2573	63825.15	63248.75
792.1363	111.5105	63712.45	63131.25
792.2777	113.7632	63752.15	63166.45
792.4191	116.0154	63830.7	63236.2
792.5605	118.2672	63947.6	63355.1
792.7019	120.5185	63950.1	63360.2
792.8434	122.7693	63967	63372.55
792.9849	125.0197	63785.3	63185.4
793.1264	127.2696	64137.5	63533.9
793.2679	129.519	64062.3	63458.1
793.4094	131.7679	64191.85	63584.9
793.551	134.0163	63898.6	63287.35
793.6926	136.2642	64038.55	63426.75
793.8342	138.5117	64246.95	63627.9
793.9758	140.7587	64160.7	63541.65
794.1175	143.0052	64162.65	63539.5
794.2591	145.2512	63996.75	63373.8
794.4008	147.4967	64227.05	63603.05
794.5425	149.7417	64157.15	63531.5
794.6842	151.9863	64168.3	63538.8
794.826	154.2304	64078.8	63446
794.9677	156.4739	64137.7	63496.15
795.1095	158.717	64301.15	63661.55
795.2513	160.9596	64191.95	63544.2
795.3931	163.2017	64030.25	63383.8
795.535	165.4433	64217.85	63566.55
795.6768	167.6844	64136.9	63486.75
795.8187	169.925	64215.55	63562.9
795.9606	172.1651	64127.1	63469
796.1025	174.4047	64196.4	63538.95
796.2445	176.6439	64210.2	63547.35
