Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:14:34 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	824
Laser Diode Temp (C):	25
Laser Case Temp (C):	25
System Temp (C):	24.8
Spectrometer Temp (C):	22.4
CCD Temp (C):	-0.002
Secondary Temp (C):	20.003
Heatsink Temp (C):	19.022
CCDPCB Temp (C):	32.427
SecondaryPCB Temp (C):	26.336

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1025.65	619.25
787.2016	32.3739	1050.95	645.25
787.3422	34.6426	1085.1	676.1
787.4828	36.9109	1124.8	716.2
787.6235	39.1787	1168.4	755
787.7642	41.4461	1226.2	808.9
787.9049	43.7131	1281.45	861.5
788.0456	45.9796	1337.8	911.65
788.1863	48.2456	1392.35	962.55
788.3271	50.5112	1447.5	1013.3
788.4679	52.7764	1512.25	1079.75
788.6087	55.0411	1578.3	1140.15
788.7496	57.3054	1654.8	1211.65
788.8904	59.5692	1728.1	1282.35
789.0313	61.8326	1807.85	1357.05
789.1722	64.0955	1896.1	1444.35
789.3132	66.3579	2005.85	1550.05
789.4541	68.6199	2137.3	1678.15
789.5951	70.8815	2368.65	1904.05
789.7361	73.1426	2847.2	2377.8
789.8771	75.4032	4120.95	3646.75
790.0181	77.6634	7365.05	6889.05
790.1592	79.9231	15699.95	15218.55
790.3003	82.1824	48777	48284.65
790.4414	84.4412	65535	65025.3
790.5825	86.6995	65535	65002
790.7237	88.9574	65535	64982.5
790.8648	91.2148	65535	64969.8
791.006	93.4717	65535	64957.55
791.1472	95.7282	65535	64957.65
791.2885	97.9842	65535	64959.85
791.4297	100.2398	65535	64955.85
791.571	102.4949	65535	64950.3
791.7123	104.7495	65535	64945.3
791.8536	107.0036	65535	64944
791.9949	109.2573	65535	64943.4
792.1363	111.5105	65535	64942.15
792.2777	113.7632	65535	64943.3
792.4191	116.0154	65535	64929.35
792.5605	118.2672	65535	64935.55
792.7019	120.5185	65535	64938.25
792.8434	122.7693	65535	64930.75
792.9849	125.0197	65535	64927.8
793.1264	127.2696	65535	64925.5
793.2679	129.519	65535	64921.95
793.4094	131.7679	65535	64918.15
793.551	134.0163	65535	64915.45
793.6926	136.2642	65535	64907.8
793.8342	138.5117	65535	64908.85
793.9758	140.7587	65535	64909.95
794.1175	143.0052	65535	64903.45
794.2591	145.2512	65535	64906.65
794.4008	147.4967	65535	64903.2
794.5425	149.7417	65535	64903.75
794.6842	151.9863	65535	64897.5
794.826	154.2304	65535	64895.2
794.9677	156.4739	65535	64885.85
795.1095	158.717	65535	64886.9
795.2513	160.9596	65535	64882.95
795.3931	163.2017	65535	64880.65
795.535	165.4433	65535	64880.8
795.6768	167.6844	65535	64876.25
795.8187	169.925	65535	64871.55
795.9606	172.1651	65535	64870.65
796.1025	174.4047	65535	64866.35
796.2445	176.6439	65535	64864.6
796.3864	178.8825	65535	64862.15
796.5284	181.1206	65535	64858.7
796.6704	183.3582	65535	64855.8
796.8124	185.5954	65535	64856.15
796.9544	187.832	65535	64848.8
797.0965	190.0681	65535	64845.15
797.2386	192.3037	65535	64844.1
797.3806	194.5388	65535	64841
797.5228	196.7734	65535	64843.25
797.6649	199.0075	65535	64837.9
797.807	201.2411	65535	64838.9
797.9492	203.4742	65535	64836.3
798.0914	205.7068	65535	64830.65
798.2336	207.9389	65535	64830.8
798.3758	210.1704	65535	64832.05
798.518	212.4015	65535	64842.35
798.6603	214.632	65535	64851.1
798.8025	216.862	65535	64852.6
798.9448	219.0915	65535	64848.65
799.0871	221.3205	65535	64849.2
799.2294	223.549	65535	64852.35
799.3718	225.777	65535	64857.9
799.5141	228.0044	65535	64848.2
799.6565	230.2314	65535	64844.35
799.7989	232.4578	65535	64839.35
799.9413	234.6837	65535	64831.25
800.0837	236.909	65535	64830.65
800.2262	239.1339	65535	64801.6
800.3687	241.3582	65535	64820.65
800.5111	243.582	65535	64788.2
800.6536	245.8053	65535	64801.05
800.7961	248.0281	65535	64808.8
800.9387	250.2503	65535	64804
801.0812	252.472	65535	64804.15
801.2238	254.6932	65535	64802.35
801.3664	256.9139	65535	64801.55
801.509	259.134	65535	64796.45
801.6516	261.3536	65535	64800.25
801.7942	263.5727	65535	64799.85
801.9369	265.7912	65535	64797.4
802.0795	268.0092	65535	64798
802.2222	270.2267	65535	64799.65
802.3649	272.4436	65535	64796.85
802.5076	274.6601	65535	64785.05
802.6504	276.8759	65535	64787.4
802.7931	279.0913	65535	64788.95
