Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:18:40 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	825
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	25.3
System Temp (C):	25
Spectrometer Temp (C):	22.6
CCD Temp (C):	0.002
Secondary Temp (C):	20.007
Heatsink Temp (C):	20.38
CCDPCB Temp (C):	32.528
SecondaryPCB Temp (C):	26.292

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1087.95	677.9
787.2016	32.3739	1114.8	704.85
787.3422	34.6426	1159.15	750.45
787.4828	36.9109	1199.8	788.65
787.6235	39.1787	1246.8	831.1
787.7642	41.4461	1313.7	891.65
787.9049	43.7131	1376.45	951.85
788.0456	45.9796	1424.25	998.9
788.1863	48.2456	1491.85	1061.7
788.3271	50.5112	1556.1	1120.95
788.4679	52.7764	1619.95	1183
788.6087	55.0411	1692.65	1252
788.7496	57.3054	1768.15	1322.15
788.8904	59.5692	1858.15	1408.6
789.0313	61.8326	1939	1488.5
789.1722	64.0955	2044.95	1592.75
789.3132	66.3579	2163.2	1705.35
789.4541	68.6199	2313.2	1851.5
789.5951	70.8815	2556.5	2090.3
789.7361	73.1426	3084.75	2614.15
789.8771	75.4032	4442.2	3968.7
790.0181	77.6634	7959.9	7482.7
790.1592	79.9231	17343.35	16859.1
790.3003	82.1824	54372.45	53874.4
790.4414	84.4412	65535	65017.7
790.5825	86.6995	65535	64994.1
790.7237	88.9574	65535	64964.5
790.8648	91.2148	65535	64951.9
791.006	93.4717	65535	64939.5
791.1472	95.7282	65535	64933.5
791.2885	97.9842	65535	64929.7
791.4297	100.2398	65535	64926.85
791.571	102.4949	65535	64925.7
791.7123	104.7495	65535	64920.1
791.8536	107.0036	65535	64919.75
791.9949	109.2573	65535	64924.6
792.1363	111.5105	65535	64919.95
792.2777	113.7632	65535	64919.5
792.4191	116.0154	65535	64906.9
792.5605	118.2672	65535	64911.1
792.7019	120.5185	65535	64912.8
792.8434	122.7693	65535	64908.85
792.9849	125.0197	65535	64906.15
793.1264	127.2696	65535	64900.3
793.2679	129.519	65535	64895.9
793.4094	131.7679	65535	64896.4
793.551	134.0163	65535	64894.05
793.6926	136.2642	65535	64889.3
793.8342	138.5117	65535	64878.8
793.9758	140.7587	65535	64887.05
794.1175	143.0052	65535	64882.25
794.2591	145.2512	65535	64882.7
794.4008	147.4967	65535	64881.25
794.5425	149.7417	65535	64878.6
794.6842	151.9863	65535	64871.7
794.826	154.2304	65535	64871.75
794.9677	156.4739	65535	64862.4
795.1095	158.717	65535	64866.65
795.2513	160.9596	65535	64856.45
795.3931	163.2017	65535	64858.55
795.535	165.4433	65535	64854
795.6768	167.6844	65535	64854.05
795.8187	169.925	65535	64850.75
795.9606	172.1651	65535	64845.65
796.1025	174.4047	65535	64846.2
796.2445	176.6439	65535	64845.9
796.3864	178.8825	65535	64839.9
796.5284	181.1206	65535	64834.85
796.6704	183.3582	65535	64828.7
796.8124	185.5954	65535	64829.65
796.9544	187.832	65535	64826.85
797.0965	190.0681	65535	64826.75
797.2386	192.3037	65535	64823.35
797.3806	194.5388	65535	64817.35
797.5228	196.7734	65535	64819.8
797.6649	199.0075	65535	64818.75
797.807	201.2411	65535	64811.05
797.9492	203.4742	65535	64811.75
798.0914	205.7068	65535	64807.85
798.2336	207.9389	65535	64809.4
798.3758	210.1704	65535	64813.3
798.518	212.4015	65535	64820.15
798.6603	214.632	65535	64828.85
798.8025	216.862	65535	64829.6
798.9448	219.0915	65535	64826.4
799.0871	221.3205	65535	64826.25
799.2294	223.549	65535	64828.2
799.3718	225.777	65535	64831.25
799.5141	228.0044	65535	64820.05
799.6565	230.2314	65535	64821.65
799.7989	232.4578	65535	64816.05
799.9413	234.6837	65535	64813.1
800.0837	236.909	65535	64806.5
800.2262	239.1339	65535	64785.55
800.3687	241.3582	65535	64798.5
800.5111	243.582	65535	64765.8
800.6536	245.8053	65535	64779.7
800.7961	248.0281	65535	64783.5
800.9387	250.2503	65535	64782.4
801.0812	252.472	65535	64782.55
801.2238	254.6932	65535	64779.5
801.3664	256.9139	65535	64777.55
