Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:29:01 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	824
Laser Diode Temp (C):	25
Laser Case Temp (C):	26.1
System Temp (C):	25.9
Spectrometer Temp (C):	23.3
CCD Temp (C):	-0.006
Secondary Temp (C):	20.007
Heatsink Temp (C):	21.474
CCDPCB Temp (C):	36.151
SecondaryPCB Temp (C):	29.026

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1109.65	698.6
787.2016	32.3739	1133.4	722.95
787.3422	34.6426	1175.65	764.25
787.4828	36.9109	1227.6	813.5
787.6235	39.1787	1285	866.2
787.7642	41.4461	1337.65	916.2
787.9049	43.7131	1394.85	968.5
788.0456	45.9796	1457.55	1031.55
788.1863	48.2456	1527.75	1095.85
788.3271	50.5112	1596.6	1162.35
788.4679	52.7764	1663.95	1224.6
788.6087	55.0411	1728.15	1285.55
788.7496	57.3054	1812.05	1361.9
788.8904	59.5692	1908.25	1459.1
789.0313	61.8326	1992.2	1539.8
789.1722	64.0955	2091.45	1634.95
789.3132	66.3579	2214.2	1752.15
789.4541	68.6199	2366.15	1902.25
789.5951	70.8815	2604.75	2136.6
789.7361	73.1426	3121.35	2649.25
789.8771	75.4032	4458	3979.55
790.0181	77.6634	7844.45	7363.5
790.1592	79.9231	16732.95	16244.85
790.3003	82.1824	53467.05	52968.55
790.4414	84.4412	65535	65012.1
790.5825	86.6995	65535	64985.5
790.7237	88.9574	65535	64958.05
790.8648	91.2148	65535	64939.75
791.006	93.4717	65535	64928.75
791.1472	95.7282	65535	64923.6
791.2885	97.9842	65535	64918.3
791.4297	100.2398	65535	64915.45
791.571	102.4949	65535	64912.15
791.7123	104.7495	65535	64911.9
791.8536	107.0036	65535	64911.55
791.9949	109.2573	65535	64907.25
792.1363	111.5105	65535	64908.55
792.2777	113.7632	65535	64904.4
792.4191	116.0154	65535	64897.85
792.5605	118.2672	65535	64900.75
792.7019	120.5185	65535	64899.55
792.8434	122.7693	65535	64899.65
792.9849	125.0197	65535	64895.9
793.1264	127.2696	65535	64890.85
793.2679	129.519	65535	64887.35
793.4094	131.7679	65535	64883.6
793.551	134.0163	65535	64881.45
793.6926	136.2642	65535	64876.5
793.8342	138.5117	65535	64869.3
793.9758	140.7587	65535	64873.7
794.1175	143.0052	65535	64871.95
794.2591	145.2512	65535	64874.1
794.4008	147.4967	65535	64872.35
794.5425	149.7417	65535	64864.55
794.6842	151.9863	65535	64865.25
794.826	154.2304	65535	64857.5
794.9677	156.4739	65535	64850.5
795.1095	158.717	65535	64856.9
795.2513	160.9596	65535	64848.85
795.3931	163.2017	65535	64852.15
795.535	165.4433	65535	64847.6
795.6768	167.6844	65535	64846.65
795.8187	169.925	65535	64841.75
795.9606	172.1651	65535	64839.6
796.1025	174.4047	65535	64835
796.2445	176.6439	65535	64836.35
796.3864	178.8825	65535	64833.95
796.5284	181.1206	65535	64828.55
796.6704	183.3582	65535	64826.65
796.8124	185.5954	65535	64821
796.9544	187.832	65535	64820.5
797.0965	190.0681	65535	64815.75
797.2386	192.3037	65535	64812.8
797.3806	194.5388	65535	64811.15
797.5228	196.7734	65535	64808.9
797.6649	199.0075	65535	64803.35
797.807	201.2411	65535	64803.35
797.9492	203.4742	65535	64805.95
798.0914	205.7068	65535	64800.2
798.2336	207.9389	65535	64797.25
798.3758	210.1704	65535	64796.5
798.518	212.4015	65535	64801.1
798.6603	214.632	65535	64815.2
798.8025	216.862	65535	64816.8
798.9448	219.0915	65535	64816.2
799.0871	221.3205	65535	64816.7
799.2294	223.549	65535	64820.5
799.3718	225.777	65535	64822.2
799.5141	228.0044	65535	64816.85
799.6565	230.2314	65535	64819.2
799.7989	232.4578	65535	64811.2
799.9413	234.6837	65535	64803.1
800.0837	236.909	65535	64798.9
800.2262	239.1339	65535	64776.7
800.3687	241.3582	65535	64789.95
800.5111	243.582	65535	64756.7
800.6536	245.8053	65535	64773.95
800.7961	248.0281	65535	64780.4
800.9387	250.2503	65535	64777.1
801.0812	252.472	65535	64767.55
801.2238	254.6932	65535	64770.15
801.3664	256.9139	65535	64771.35
801.509	259.134	65535	64766.55
801.6516	261.3536	65535	64764.4
801.7942	263.5727	65535	64764.35
801.9369	265.7912	65535	64769.75
802.0795	268.0092	65535	64765.8
802.2222	270.2267	65535	64766.45
802.3649	272.4436	65535	64763.6
802.5076	274.6601	65535	64757.3
802.6504	276.8759	65535	64759.45
802.7931	279.0913	65535	64758.55
802.9359	281.3061	65535	64751.95
803.0787	283.5204	65535	64758
803.2215	285.7341	65535	64745.6
803.3643	287.9473	65535	64739.95
803.5071	290.16	65535	64741.8
803.6499	292.3721	65535	64750.65
803.7928	294.5837	65535	64749.15
803.9357	296.7947	65535	64751.65
804.0786	299.0052	65535	64748.9
804.2215	301.2152	65535	64751.45
804.3644	303.4246	65535	64754.15
804.5074	305.6334	65535	64753
804.6503	307.8418	65535	64745.1
804.7933	310.0495	65535	64743.35
804.9363	312.2568	65535	64747.45
805.0793	314.4635	65535	64740.55
805.2223	316.6696	65535	64741.1
805.3653	318.8752	65535	64735.35
805.5084	321.0802	65535	64742
805.6514	323.2847	65535	64741.5
805.7945	325.4887	65535	64737.4
805.9376	327.692	65535	64733.3
806.0807	329.8949	65535	64734.15
806.2238	332.0972	65535	64734.15
806.367	334.2989	65535	64727.65
806.5101	336.5001	65535	64729.05
806.6533	338.7007	65535	64730.3
806.7965	340.9008	65535	64727
806.9397	343.1003	65535	64725.6
807.0829	345.2992	65535	64724.2
807.2261	347.4976	65535	64724
807.3693	349.6955	65535	64721.85
807.5126	351.8927	65535	64717.4
807.6559	354.0895	65535	64712.35
807.7991	356.2856	65535	64718.3
807.9424	358.4812	65535	64724.4
808.0857	360.6763	65535	64717.05
808.2291	362.8707	65535	64716.85
808.3724	365.0646	65535	64712.1
808.5158	367.258	65535	64710.55
808.6591	369.4508	65535	64705.3
808.8025	371.643	65535	64709
808.9459	373.8346	65535	64706
809.0893	376.0257	65535	64701.2
809.2327	378.2162	65535	64701.3
809.3762	380.4062	65535	64701.5
809.5196	382.5956	65535	64701.75
809.6631	384.7844	65535	64702.95
809.8066	386.9726	65535	64707.65
809.9501	389.1603	65535	64708.55
810.0936	391.3474	65535	64667.65
810.2371	393.5339	65535	64707.5
810.3806	395.7199	65535	64712.55
810.5241	397.9052	65535	64710.95
810.6677	400.09	65535	64711.95
810.8113	402.2743	65535	64713.8
810.9548	404.4579	65535	64712.4
811.0984	406.641	65535	64709.85
811.2421	408.8235	65535	64704.35
811.3857	411.0054	65535	64705.3
811.5293	413.1868	65535	64701.7
811.673	415.3675	65535	64701.9
811.8166	417.5477	65535	64697.9
811.9603	419.7273	65535	64699.15
812.104	421.9064	65535	64686.8
812.2477	424.0848	65535	64694.4
812.3914	426.2627	65535	64690.8
812.5351	428.4399	65535	64693.5
812.6788	430.6166	65535	64690.1
812.8226	432.7928	65535	64688.75
812.9663	434.9683	65535	64688.4
813.1101	437.1432	65535	64687.05
813.2539	439.3176	65535	64688.9
813.3977	441.4914	65535	64688.7
813.5415	443.6645	65535	64686.25
813.6853	445.8371	65535	64686.95
813.8291	448.0091	65535	64685.65
813.973	450.1806	65535	64687
814.1168	452.3514	65535	64685.75
814.2607	454.5216	65535	64679.1
814.4046	456.6913	65535	64682.85
814.5485	458.8603	65535	64683
814.6924	461.0288	65535	64682.6
814.8363	463.1967	65535	64684.65
814.9802	465.3639	65535	64685.9
815.1241	467.5306	65535	64678.2
815.2681	469.6967	65535	64686.15
815.412	471.8622	65535	64685.55
815.556	474.0271	65535	64682.3
815.7	476.1914	65535	64680.6
815.844	478.3551	65535	64684.1
815.988	480.5182	65535	64680.75
816.132	482.6807	65535	64682.6
816.276	484.8426	65535	64684.75
816.4201	487.0039	65535	64683.4
816.5641	489.1647	65535	64678.7
816.7082	491.3248	65535	64679.3
816.8522	493.4843	65535	64677.3
816.9963	495.6432	65535	64678.9
817.1404	497.8015	65535	64674.6
817.2845	499.9592	65535	64675.65
817.4286	502.1163	65535	64675.85
817.5727	504.2728	65535	64676.35
817.7168	506.4287	65535	64679.3
817.861	508.5839	65535	64674.05
818.0051	510.7386	65535	64675.2
818.1493	512.8927	65535	64671.15
818.2935	515.0461	65535	64672.35
818.4377	517.199	65535	64672.75
818.5818	519.3512	65535	64669.5
818.726	521.5029	65535	64667.95
818.8703	523.6539	65535	64668.8
819.0145	525.8043	65535	64670.3
819.1587	527.9541	65535	64666.1
819.303	530.1033	65535	64667.4
819.4472	532.2519	65535	64669.4
819.5915	534.3999	65535	64666.7
819.7357	536.5472	65535	64667.95
819.88	538.694	65535	64669.8
820.0243	540.8401	65535	64667.4
820.1686	542.9856	65535	64663.1
820.3129	545.1305	65535	64663.05
820.4572	547.2748	65535	64662.55
820.6016	549.4185	65535	64660
820.7459	551.5615	65535	64658.3
820.8902	553.704	65535	64664.95
821.0346	555.8458	65535	64662.5
821.1789	557.987	65535	64661.45
821.3233	560.1276	65535	64662.8
821.4677	562.2675	65535	64661.9
821.6121	564.4069	65535	64660.6
821.7565	566.5456	65535	64663.4
821.9009	568.6837	65535	64665.15
822.0453	570.8212	65535	64662.25
822.1897	572.958	65535	64659.95
822.3342	575.0942	65535	64662.9
822.4786	577.2299	65535	64661.05
822.6231	579.3648	65535	64664.15
822.7675	581.4992	65535	64663.85
822.912	583.6329	65535	64665
823.0565	585.766	65535	64666.3
823.201	587.8985	65535	64665.05
823.3454	590.0304	65535	64635.1
823.4899	592.1616	65535	64658.65
823.6345	594.2922	65535	64660.6
823.779	596.4222	65535	64656.4
823.9235	598.5515	65535	64658.15
824.068	600.6802	65535	64658.9
824.2126	602.8083	65535	64657.95
824.3571	604.9358	65535	64653.6
824.5017	607.0626	65535	64658.35
824.6462	609.1888	65535	64653.2
824.7908	611.3144	65535	64657.25
824.9354	613.4393	65535	64652.25
825.08	615.5636	65535	64654.6
825.2246	617.6873	65535	64653.55
825.3692	619.8103	65535	64652.75
825.5138	621.9327	65535	64650.65
