Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:37:56 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	26.7
System Temp (C):	26.5
Spectrometer Temp (C):	23.9
CCD Temp (C):	-0.003
Secondary Temp (C):	20
Heatsink Temp (C):	22.233
CCDPCB Temp (C):	36.34
SecondaryPCB Temp (C):	31.927

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1145.75	735.9
787.2016	32.3739	1189.55	780
787.3422	34.6426	1230.2	818.1
787.4828	36.9109	1276.2	861.6
787.6235	39.1787	1339.8	922.75
787.7642	41.4461	1397.25	976
787.9049	43.7131	1464.4	1038.75
788.0456	45.9796	1529.75	1101.55
788.1863	48.2456	1600.6	1168.35
788.3271	50.5112	1675.85	1239.1
788.4679	52.7764	1746.9	1307.75
788.6087	55.0411	1834.6	1389.65
788.7496	57.3054	1920.35	1470.55
788.8904	59.5692	2013.85	1561
789.0313	61.8326	2110.65	1653.9
789.1722	64.0955	2222.1	1765.3
789.3132	66.3579	2354.7	1891.7
789.4541	68.6199	2499.35	2033.3
789.5951	70.8815	2773.65	2304.65
789.7361	73.1426	3311.25	2836.65
789.8771	75.4032	4669	4189.65
790.0181	77.6634	8186	7702.25
790.1592	79.9231	17584.1	17095.8
790.3003	82.1824	57339.35	56838.75
790.4414	84.4412	65535	65012.8
790.5825	86.6995	65535	64984.95
790.7237	88.9574	65535	64956.1
790.8648	91.2148	65535	64939.55
791.006	93.4717	65535	64928.8
791.1472	95.7282	65535	64922.4
791.2885	97.9842	65535	64920.6
791.4297	100.2398	65535	64914.15
791.571	102.4949	65535	64911.65
791.7123	104.7495	65535	64908.7
791.8536	107.0036	65535	64905.6
791.9949	109.2573	65535	64909.7
792.1363	111.5105	65535	64906.9
792.2777	113.7632	65535	64906.5
792.4191	116.0154	65535	64896.45
792.5605	118.2672	65535	64898.75
792.7019	120.5185	65535	64898
792.8434	122.7693	65535	64893.45
792.9849	125.0197	65535	64888.45
793.1264	127.2696	65535	64887.25
793.2679	129.519	65535	64887.1
793.4094	131.7679	65535	64880.8
793.551	134.0163	65535	64879.6
793.6926	136.2642	65535	64874.75
793.8342	138.5117	65535	64867.3
793.9758	140.7587	65535	64872.3
794.1175	143.0052	65535	64868.8
794.2591	145.2512	65535	64875.7
794.4008	147.4967	65535	64867.55
794.5425	149.7417	65535	64865.2
794.6842	151.9863	65535	64860.95
794.826	154.2304	65535	64857.7
794.9677	156.4739	65535	64853.75
795.1095	158.717	65535	64852.5
795.2513	160.9596	65535	64845.65
795.3931	163.2017	65535	64846.95
795.535	165.4433	65535	64846
795.6768	167.6844	65535	64841.6
795.8187	169.925	65535	64841.85
795.9606	172.1651	65535	64835.65
796.1025	174.4047	65535	64832.65
796.2445	176.6439	65535	64828.8
796.3864	178.8825	65535	64825.8
796.5284	181.1206	65535	64826.85
796.6704	183.3582	65535	64823.1
796.8124	185.5954	65535	64820
796.9544	187.832	65535	64816.65
797.0965	190.0681	65535	64812.3
797.2386	192.3037	65535	64813.1
797.3806	194.5388	65535	64807.25
797.5228	196.7734	65535	64808
797.6649	199.0075	65535	64803.6
797.807	201.2411	65535	64801.15
797.9492	203.4742	65535	64801.9
798.0914	205.7068	65535	64799.2
798.2336	207.9389	65535	64793.45
798.3758	210.1704	65535	64793.25
798.518	212.4015	65535	64799.05
798.6603	214.632	65535	64805.2
798.8025	216.862	65535	64818.7
798.9448	219.0915	65535	64817.45
799.0871	221.3205	65535	64809.4
799.2294	223.549	65535	64819.45
799.3718	225.777	65535	64818.2
799.5141	228.0044	65535	64814.05
799.6565	230.2314	65535	64810.25
799.7989	232.4578	65535	64808.05
799.9413	234.6837	65535	64799.95
800.0837	236.909	65535	64795.35
800.2262	239.1339	65535	64775.2
800.3687	241.3582	65535	64787.05
800.5111	243.582	65535	64757.55
800.6536	245.8053	65535	64771.65
800.7961	248.0281	65535	64775.45
800.9387	250.2503	65535	64773.9
801.0812	252.472	65535	64767.8
801.2238	254.6932	65535	64768.45
801.3664	256.9139	65535	64770.1
801.509	259.134	65535	64761.8
801.6516	261.3536	65535	64762.8
801.7942	263.5727	65535	64763.25
801.9369	265.7912	65535	64763.35
802.0795	268.0092	65535	64762.45
802.2222	270.2267	65535	64759.1
802.3649	272.4436	65535	64762.25
802.5076	274.6601	65535	64752.6
802.6504	276.8759	65535	64754.55
802.7931	279.0913	65535	64754.25
802.9359	281.3061	65535	64752.95
803.0787	283.5204	65535	64752.4
803.2215	285.7341	65535	64749.85
803.3643	287.9473	65535	64735.55
803.5071	290.16	65535	64741.2
803.6499	292.3721	65535	64749.45
803.7928	294.5837	65535	64751.15
803.9357	296.7947	65535	64746.7
804.0786	299.0052	65535	64746.1
804.2215	301.2152	65535	64745.5
804.3644	303.4246	65535	64749.65
