Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:39:06 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	26.9
System Temp (C):	26.6
Spectrometer Temp (C):	24
CCD Temp (C):	0.001
Secondary Temp (C):	20.013
Heatsink Temp (C):	22.236
CCDPCB Temp (C):	36.385
SecondaryPCB Temp (C):	32.238

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1138.9	727.15
787.2016	32.3739	1179.05	770.15
787.3422	34.6426	1223.95	811.1
787.4828	36.9109	1271.75	856.15
787.6235	39.1787	1321.45	903.25
787.7642	41.4461	1392.5	969.15
787.9049	43.7131	1460.2	1033.7
788.0456	45.9796	1516.7	1088.1
788.1863	48.2456	1591.85	1158.5
788.3271	50.5112	1659.1	1221.45
788.4679	52.7764	1732.95	1294.75
788.6087	55.0411	1808.85	1365.4
788.7496	57.3054	1892.6	1442.9
788.8904	59.5692	1977.5	1528.2
789.0313	61.8326	2080.35	1626.55
789.1722	64.0955	2191	1731.35
789.3132	66.3579	2321.45	1858.75
789.4541	68.6199	2494.45	2027.3
789.5951	70.8815	2741.7	2272.35
789.7361	73.1426	3277.2	2802.55
789.8771	75.4032	4625.4	4146
790.0181	77.6634	8079.1	7596.75
790.1592	79.9231	17236.65	16747.3
790.3003	82.1824	56263.85	55763.9
790.4414	84.4412	65535	65013.15
790.5825	86.6995	65535	64982.75
790.7237	88.9574	65535	64956.2
790.8648	91.2148	65535	64936.45
791.006	93.4717	65535	64924.45
791.1472	95.7282	65535	64919.05
791.2885	97.9842	65535	64916
791.4297	100.2398	65535	64912.7
791.571	102.4949	65535	64910.75
791.7123	104.7495	65535	64906.75
791.8536	107.0036	65535	64907.3
791.9949	109.2573	65535	64907.4
792.1363	111.5105	65535	64905.8
792.2777	113.7632	65535	64903.2
792.4191	116.0154	65535	64893.85
792.5605	118.2672	65535	64898.65
792.7019	120.5185	65535	64897.5
792.8434	122.7693	65535	64895.8
792.9849	125.0197	65535	64893.3
793.1264	127.2696	65535	64886.4
793.2679	129.519	65535	64884.05
793.4094	131.7679	65535	64880.1
793.551	134.0163	65535	64878.55
793.6926	136.2642	65535	64876.75
793.8342	138.5117	65535	64866.7
793.9758	140.7587	65535	64870.45
