Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:42:02 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	27
System Temp (C):	26.8
Spectrometer Temp (C):	24.1
CCD Temp (C):	0.016
Secondary Temp (C):	20.01
Heatsink Temp (C):	22.609
CCDPCB Temp (C):	36.451
SecondaryPCB Temp (C):	33.183

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1114.2	703
787.2016	32.3739	1142.6	733.85
787.3422	34.6426	1186.05	774.7
787.4828	36.9109	1238.7	826.35
787.6235	39.1787	1289.85	871.9
787.7642	41.4461	1349.95	927.8
787.9049	43.7131	1413.4	988.2
788.0456	45.9796	1473.15	1044.5
788.1863	48.2456	1544.5	1112.7
788.3271	50.5112	1619.65	1184.5
788.4679	52.7764	1694.05	1254.35
788.6087	55.0411	1762.9	1319.65
788.7496	57.3054	1847.05	1398.35
788.8904	59.5692	1934.35	1483.1
789.0313	61.8326	2042.2	1587
789.1722	64.0955	2127.25	1666.9
789.3132	66.3579	2268.75	1806.35
789.4541	68.6199	2415.75	1949.8
789.5951	70.8815	2661.05	2192.25
789.7361	73.1426	3177.35	2701.6
789.8771	75.4032	4472	3992.25
790.0181	77.6634	7774.5	7291.95
790.1592	79.9231	16434.45	15946.8
790.3003	82.1824	53596.75	53097
790.4414	84.4412	65535	65014.65
790.5825	86.6995	65535	64984
790.7237	88.9574	65535	64962.15
790.8648	91.2148	65535	64946.4
791.006	93.4717	65535	64931.85
791.1472	95.7282	65535	64927.2
791.2885	97.9842	65535	64922.6
791.4297	100.2398	65535	64923.3
791.571	102.4949	65535	64916.35
791.7123	104.7495	65535	64914.6
791.8536	107.0036	65535	64914.9
791.9949	109.2573	65535	64914.75
792.1363	111.5105	65535	64915.4
792.2777	113.7632	65535	64912.4
792.4191	116.0154	65535	64897
792.5605	118.2672	65535	64907.45
792.7019	120.5185	65535	64907.05
792.8434	122.7693	65535	64902.2
792.9849	125.0197	65535	64898.15
793.1264	127.2696	65535	64894.15
793.2679	129.519	65535	64891.95
793.4094	131.7679	65535	64887.1
793.551	134.0163	65535	64880.5
793.6926	136.2642	65535	64883
793.8342	138.5117	65535	64871.25
