Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:57:49 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	822
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	28
System Temp (C):	27.8
Spectrometer Temp (C):	25.4
CCD Temp (C):	-0.002
Secondary Temp (C):	20.007
Heatsink Temp (C):	23.599
CCDPCB Temp (C):	37.152
SecondaryPCB Temp (C):	34.584

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1087.2	673.6
787.2016	32.3739	1131.4	719.25
787.3422	34.6426	1169.55	754.2
787.4828	36.9109	1208.55	793.75
787.6235	39.1787	1260.25	839.9
787.7642	41.4461	1325.25	902.4
787.9049	43.7131	1381.55	953.9
788.0456	45.9796	1438.9	1008.7
788.1863	48.2456	1514.65	1079.75
788.3271	50.5112	1581.95	1144.1
788.4679	52.7764	1649.35	1207.9
788.6087	55.0411	1723.65	1280.35
788.7496	57.3054	1807.25	1357.5
788.8904	59.5692	1872.75	1421.2
789.0313	61.8326	1981.1	1525.05
789.1722	64.0955	2088.75	1629.8
789.3132	66.3579	2206.2	1741.65
789.4541	68.6199	2357.9	1892.05
789.5951	70.8815	2585.05	2114.15
789.7361	73.1426	3082.6	2608.65
789.8771	75.4032	4301.7	3822.05
790.0181	77.6634	7396.85	6911.45
790.1592	79.9231	15349.35	14859.45
790.3003	82.1824	49752.45	49253.6
790.4414	84.4412	65535	65018.85
790.5825	86.6995	65535	64997.65
790.7237	88.9574	65535	64975.6
790.8648	91.2148	65535	64956.7
791.006	93.4717	65535	64944.55
791.1472	95.7282	65535	64943.65
791.2885	97.9842	65535	64940.55
791.4297	100.2398	65535	64934.35
791.571	102.4949	65535	64935.65
791.7123	104.7495	65535	64929.85
791.8536	107.0036	65535	64925.05
791.9949	109.2573	65535	64931.1
792.1363	111.5105	65535	64930.15
792.2777	113.7632	65535	64923.45
792.4191	116.0154	65535	64914.35
792.5605	118.2672	65535	64920.8
792.7019	120.5185	65535	64919.3
792.8434	122.7693	65535	64916.55
792.9849	125.0197	65535	64912.9
793.1264	127.2696	65535	64913.55
793.2679	129.519	65535	64903.15
793.4094	131.7679	65535	64903.25
793.551	134.0163	65535	64899.95
793.6926	136.2642	65535	64895.6
793.8342	138.5117	65535	64886.2
793.9758	140.7587	65535	64894.4
794.1175	143.0052	65535	64891.95
794.2591	145.2512	65535	64892.5
794.4008	147.4967	65535	64894.4
794.5425	149.7417	65535	64886.55
794.6842	151.9863	65535	64884.1
794.826	154.2304	65535	64879.5
794.9677	156.4739	65535	64874.3
795.1095	158.717	65535	64875.55
795.2513	160.9596	65535	64870.25
795.3931	163.2017	65535	64867.25
795.535	165.4433	65535	64866.9
795.6768	167.6844	65535	64864
795.8187	169.925	65535	64864.25
795.9606	172.1651	65535	64863.85
796.1025	174.4047	65535	64854.25
796.2445	176.6439	65535	64854.25
796.3864	178.8825	65535	64852.3
796.5284	181.1206	65535	64849
796.6704	183.3582	65535	64840.4
796.8124	185.5954	65535	64844.2
796.9544	187.832	65535	64835.6
797.0965	190.0681	65535	64836.45
797.2386	192.3037	65535	64833.5
797.3806	194.5388	65535	64830.15
797.5228	196.7734	65535	64829.3
797.6649	199.0075	65535	64821.25
797.807	201.2411	65535	64819.3
797.9492	203.4742	65535	64822.9
798.0914	205.7068	65535	64819.5
798.2336	207.9389	65535	64818.15
798.3758	210.1704	65535	64813
798.518	212.4015	65535	64813.25
798.6603	214.632	65535	64819.15
798.8025	216.862	65535	64830.2
798.9448	219.0915	65535	64834.8
799.0871	221.3205	65535	64832.9
799.2294	223.549	65535	64834.75
799.3718	225.777	65535	64836.1
799.5141	228.0044	65535	64836
799.6565	230.2314	65535	64835.7
799.7989	232.4578	65535	64830.7
799.9413	234.6837	65535	64821.95
800.0837	236.909	65535	64822
800.2262	239.1339	65535	64797.65
800.3687	241.3582	65535	64808.55
800.5111	243.582	65535	64779
800.6536	245.8053	65535	64792.6
800.7961	248.0281	65535	64798.45
800.9387	250.2503	65535	64791.6
801.0812	252.472	65535	64787.15
801.2238	254.6932	65535	64788.5
801.3664	256.9139	65535	64785.95
801.509	259.134	65535	64785.45
801.6516	261.3536	65535	64786
801.7942	263.5727	65535	64784.8
801.9369	265.7912	65535	64788.3
802.0795	268.0092	65535	64785.3
802.2222	270.2267	65535	64783.8
802.3649	272.4436	65535	64780.7
802.5076	274.6601	65535	64771.25
802.6504	276.8759	65535	64775.55
802.7931	279.0913	65535	64774.85
802.9359	281.3061	65535	64773.4
803.0787	283.5204	65535	64770.5
803.2215	285.7341	65535	64767.6
803.3643	287.9473	65535	64753.9
803.5071	290.16	65535	64761.1
803.6499	292.3721	65535	64768.2
803.7928	294.5837	65535	64768.05
803.9357	296.7947	65535	64767.6
804.0786	299.0052	65535	64765.95
804.2215	301.2152	65535	64765.25
804.3644	303.4246	65535	64769.65
804.5074	305.6334	65535	64765.75
804.6503	307.8418	65535	64763.65
804.7933	310.0495	65535	64762.35
804.9363	312.2568	65535	64762.65
805.0793	314.4635	65535	64761.25
805.2223	316.6696	65535	64760.65
805.3653	318.8752	65535	64750.1
805.5084	321.0802	65535	64758.35
805.6514	323.2847	65535	64750.85
805.7945	325.4887	65535	64757.5
805.9376	327.692	65535	64754.25
806.0807	329.8949	65535	64752.55
806.2238	332.0972	65535	64752.15
806.367	334.2989	65535	64748.2
806.5101	336.5001	65535	64748.35
