Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:58:06 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	28
System Temp (C):	27.9
Spectrometer Temp (C):	25.3
CCD Temp (C):	0
Secondary Temp (C):	20.004
Heatsink Temp (C):	23.552
CCDPCB Temp (C):	37.007
SecondaryPCB Temp (C):	34.539

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1093.45	678.9
787.2016	32.3739	1119.2	707.25
787.3422	34.6426	1156.4	742.85
787.4828	36.9109	1211.5	797.05
787.6235	39.1787	1257.35	838.6
787.7642	41.4461	1319	895.2
787.9049	43.7131	1377.45	949.1
788.0456	45.9796	1446.25	1016.25
788.1863	48.2456	1506.1	1072.2
788.3271	50.5112	1571.05	1134.25
788.4679	52.7764	1642.2	1201.4
788.6087	55.0411	1719.6	1275.5
788.7496	57.3054	1800.05	1351.35
788.8904	59.5692	1877.35	1424.35
789.0313	61.8326	1977.6	1522.5
789.1722	64.0955	2074.25	1612.95
789.3132	66.3579	2190.8	1724.55
789.4541	68.6199	2355.75	1889.4
789.5951	70.8815	2578.6	2108.6
789.7361	73.1426	3057.25	2582.85
789.8771	75.4032	4273.9	3794
790.0181	77.6634	7347.6	6860.05
790.1592	79.9231	15278.85	14787
790.3003	82.1824	49448.45	48948.8
790.4414	84.4412	65535	65019.8
790.5825	86.6995	65535	64994.45
790.7237	88.9574	65535	64974.4
790.8648	91.2148	65535	64957.35
791.006	93.4717	65535	64946.5
791.1472	95.7282	65535	64944.95
791.2885	97.9842	65535	64939.5
791.4297	100.2398	65535	64935.5
791.571	102.4949	65535	64932.95
791.7123	104.7495	65535	64929.8
791.8536	107.0036	65535	64929
791.9949	109.2573	65535	64927.8
792.1363	111.5105	65535	64928.7
792.2777	113.7632	65535	64926.85
792.4191	116.0154	65535	64914.55
792.5605	118.2672	65535	64921.7
792.7019	120.5185	65535	64923.95
792.8434	122.7693	65535	64917.1
792.9849	125.0197	65535	64914.15
793.1264	127.2696	65535	64911.2
793.2679	129.519	65535	64908.05
793.4094	131.7679	65535	64906.6
793.551	134.0163	65535	64902.25
793.6926	136.2642	65535	64895.95
793.8342	138.5117	65535	64888.7
793.9758	140.7587	65535	64895.95
794.1175	143.0052	65535	64891.2
794.2591	145.2512	65535	64891.5
794.4008	147.4967	65535	64888.95
794.5425	149.7417	65535	64884.7
794.6842	151.9863	65535	64883.75
794.826	154.2304	65535	64880.55
794.9677	156.4739	65535	64876.6
795.1095	158.717	65535	64873.2
795.2513	160.9596	65535	64868.15
795.3931	163.2017	65535	64870.05
795.535	165.4433	65535	64866.55
795.6768	167.6844	65535	64865.5
795.8187	169.925	65535	64862.7
795.9606	172.1651	65535	64858.2
796.1025	174.4047	65535	64856.35
796.2445	176.6439	65535	64852.85
796.3864	178.8825	65535	64850
796.5284	181.1206	65535	64847.3
796.6704	183.3582	65535	64841.5
796.8124	185.5954	65535	64842.15
796.9544	187.832	65535	64837.25
797.0965	190.0681	65535	64836.7
797.2386	192.3037	65535	64831.5
797.3806	194.5388	65535	64830.55
797.5228	196.7734	65535	64825.5
797.6649	199.0075	65535	64822.8
797.807	201.2411	65535	64821.4
797.9492	203.4742	65535	64821.7
798.0914	205.7068	65535	64821.3
798.2336	207.9389	65535	64819.25
798.3758	210.1704	65535	64815.75
798.518	212.4015	65535	64814.85
798.6603	214.632	65535	64819.8
798.8025	216.862	65535	64827.25
798.9448	219.0915	65535	64836.9
799.0871	221.3205	65535	64834.2
799.2294	223.549	65535	64837.4
799.3718	225.777	65535	64837.55
799.5141	228.0044	65535	64836.3
799.6565	230.2314	65535	64835.95
799.7989	232.4578	65535	64832.1
799.9413	234.6837	65535	64822.55
800.0837	236.909	65535	64820.55
800.2262	239.1339	65535	64797.2
800.3687	241.3582	65535	64812.3
800.5111	243.582	65535	64777.95
800.6536	245.8053	65535	64794.35
800.7961	248.0281	65535	64798.75
800.9387	250.2503	65535	64792.2
801.0812	252.472	65535	64788.9
801.2238	254.6932	65535	64787.1
801.3664	256.9139	65535	64789.25
801.509	259.134	65535	64782.55
801.6516	261.3536	65535	64783.4
801.7942	263.5727	65535	64783.8
801.9369	265.7912	65535	64786.3
802.0795	268.0092	65535	64788.3
802.2222	270.2267	65535	64783.8
802.3649	272.4436	65535	64784
802.5076	274.6601	65535	64773.4
802.6504	276.8759	65535	64782.85
802.7931	279.0913	65535	64776.35
802.9359	281.3061	65535	64774.15
803.0787	283.5204	65535	64770.6
803.2215	285.7341	65535	64770.3
803.3643	287.9473	65535	64757.15
803.5071	290.16	65535	64760.35
803.6499	292.3721	65535	64768.95
803.7928	294.5837	65535	64769.05
803.9357	296.7947	65535	64766.65
804.0786	299.0052	65535	64765.15
804.2215	301.2152	65535	64765.3
804.3644	303.4246	65535	64766.2
804.5074	305.6334	65535	64765.85
804.6503	307.8418	65535	64763.6
804.7933	310.0495	65535	64766.05
804.9363	312.2568	65535	64764.7
805.0793	314.4635	65535	64761.25
805.2223	316.6696	65535	64759.3
805.3653	318.8752	65535	64753.05
805.5084	321.0802	65535	64756.5
805.6514	323.2847	65535	64760.1
805.7945	325.4887	65535	64756.25
805.9376	327.692	65535	64751.85
806.0807	329.8949	65535	64750.1
806.2238	332.0972	65535	64752.5
806.367	334.2989	65535	64749.5
806.5101	336.5001	65535	64752.7
806.6533	338.7007	65535	64750.1
806.7965	340.9008	65535	64750.8
806.9397	343.1003	65535	64746.6
807.0829	345.2992	65535	64744.75
807.2261	347.4976	65535	64743.45
807.3693	349.6955	65535	64741.05
807.5126	351.8927	65535	64735.1
807.6559	354.0895	65535	64726.15
807.7991	356.2856	65535	64737.05
807.9424	358.4812	65535	64735.25
808.0857	360.6763	65535	64732.6
808.2291	362.8707	65535	64735.25
808.3724	365.0646	65535	64732.1
808.5158	367.258	65535	64730.3
808.6591	369.4508	65535	64728.45
808.8025	371.643	65535	64724.05
808.9459	373.8346	65535	64723.15
809.0893	376.0257	65535	64719.9
809.2327	378.2162	65535	64720.85
809.3762	380.4062	65535	64718.8
809.5196	382.5956	65535	64717.9
809.6631	384.7844	65535	64721.7
809.8066	386.9726	65535	64717.9
809.9501	389.1603	65535	64718.75
810.0936	391.3474	65535	64679.85
810.2371	393.5339	65535	64720.15
810.3806	395.7199	65535	64725.2
810.5241	397.9052	65535	64724.95
810.6677	400.09	65535	64726.5
810.8113	402.2743	65535	64727.65
810.9548	404.4579	65535	64731.55
811.0984	406.641	65535	64725.85
811.2421	408.8235	65535	64725.95
811.3857	411.0054	65535	64723.6
811.5293	413.1868	65535	64719.2
811.673	415.3675	65535	64718.05
811.8166	417.5477	65535	64717.4
811.9603	419.7273	65535	64714.2
812.104	421.9064	65535	64709.05
812.2477	424.0848	65535	64710.35
812.3914	426.2627	65535	64709.35
812.5351	428.4399	65535	64707.65
812.6788	430.6166	65535	64705.05
812.8226	432.7928	65535	64701.75
812.9663	434.9683	65535	64703.7
813.1101	437.1432	65535	64703.4
813.2539	439.3176	65535	64704.15
813.3977	441.4914	65535	64701.75
813.5415	443.6645	65535	64698.7
813.6853	445.8371	65535	64702.5
813.8291	448.0091	65535	64704.85
813.973	450.1806	65535	64701.15
814.1168	452.3514	65535	64698.75
814.2607	454.5216	65535	64689.1
814.4046	456.6913	65535	64695.35
814.5485	458.8603	65535	64700.9
814.6924	461.0288	65535	64699.25
814.8363	463.1967	65535	64701.25
814.9802	465.3639	65535	64694.8
815.1241	467.5306	65535	64696.7
815.2681	469.6967	65535	64695.55
815.412	471.8622	65535	64698.55
815.556	474.0271	65535	64700.35
815.7	476.1914	65535	64692.85
815.844	478.3551	65535	64694.1
815.988	480.5182	65535	64693.5
816.132	482.6807	65535	64690.25
816.276	484.8426	65535	64696.8
816.4201	487.0039	65535	64693.1
816.5641	489.1647	65535	64693.1
