Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:58:40 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	823
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	28
System Temp (C):	27.9
Spectrometer Temp (C):	25.3
CCD Temp (C):	-0.002
Secondary Temp (C):	20
Heatsink Temp (C):	23.766
CCDPCB Temp (C):	37.196
SecondaryPCB Temp (C):	34.673

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1094.3	679.05
787.2016	32.3739	1116.4	702.7
787.3422	34.6426	1166.2	749.65
787.4828	36.9109	1208	792.55
787.6235	39.1787	1258.45	839.75
787.7642	41.4461	1327.3	902.3
787.9049	43.7131	1387.65	960.05
788.0456	45.9796	1444	1013.8
788.1863	48.2456	1503.2	1068.85
788.3271	50.5112	1576.2	1138.4
788.4679	52.7764	1646.65	1207.2
788.6087	55.0411	1711.25	1266.95
788.7496	57.3054	1795.7	1344.45
788.8904	59.5692	1884.15	1432.65
789.0313	61.8326	1984.5	1529.3
789.1722	64.0955	2084.75	1623.7
789.3132	66.3579	2205.6	1740.15
789.4541	68.6199	2351.35	1885
789.5951	70.8815	2590.05	2120.6
789.7361	73.1426	3081.2	2607.7
789.8771	75.4032	4294.9	3813.9
790.0181	77.6634	7411.45	6927.7
790.1592	79.9231	15383.8	14892.45
790.3003	82.1824	49866.65	49369.15
790.4414	84.4412	65535	65022.55
790.5825	86.6995	65535	64994.95
790.7237	88.9574	65535	64976.55
790.8648	91.2148	65535	64961.7
791.006	93.4717	65535	64950.85
791.1472	95.7282	65535	64942.45
791.2885	97.9842	65535	64942.4
791.4297	100.2398	65535	64938.95
791.571	102.4949	65535	64933.65
791.7123	104.7495	65535	64929.5
791.8536	107.0036	65535	64933.55
791.9949	109.2573	65535	64930.6
