Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 10:59:33 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	822
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	28.1
System Temp (C):	28
Spectrometer Temp (C):	25.4
CCD Temp (C):	0
Secondary Temp (C):	20.001
Heatsink Temp (C):	23.721
CCDPCB Temp (C):	36.929
SecondaryPCB Temp (C):	34.64

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1079.5	663.9
787.2016	32.3739	1107.2	694.8
787.3422	34.6426	1147.35	733.6
787.4828	36.9109	1198.9	783.5
787.6235	39.1787	1254.2	833.8
787.7642	41.4461	1308.65	883.85
787.9049	43.7131	1362.7	937.05
788.0456	45.9796	1431.25	1001
788.1863	48.2456	1496.95	1063.6
788.3271	50.5112	1571.45	1132.75
788.4679	52.7764	1629.35	1188.45
788.6087	55.0411	1698.8	1251.55
788.7496	57.3054	1784.6	1335.2
788.8904	59.5692	1865.55	1414.4
789.0313	61.8326	1957.55	1503.3
789.1722	64.0955	2059.05	1599.05
789.3132	66.3579	2179.2	1714.9
789.4541	68.6199	2322.25	1855.05
789.5951	70.8815	2567.8	2097.95
789.7361	73.1426	3042.3	2568.1
789.8771	75.4032	4236	3753.95
790.0181	77.6634	7299.6	6814.45
790.1592	79.9231	15126.45	14635.05
790.3003	82.1824	48778.7	48277.15
790.4414	84.4412	65535	65017.95
790.5825	86.6995	65535	64995.35
790.7237	88.9574	65535	64975.45
790.8648	91.2148	65535	64959.1
791.006	93.4717	65535	64946.8
791.1472	95.7282	65535	64941.25
791.2885	97.9842	65535	64937.95
791.4297	100.2398	65535	64939.3
791.571	102.4949	65535	64934.15
791.7123	104.7495	65535	64930.35
791.8536	107.0036	65535	64927.55
791.9949	109.2573	65535	64932.4
792.1363	111.5105	65535	64926.2
792.2777	113.7632	65535	64927.8
792.4191	116.0154	65535	64916.35
792.5605	118.2672	65535	64923.75
792.7019	120.5185	65535	64915.75
792.8434	122.7693	65535	64917.5
792.9849	125.0197	65535	64913.6
793.1264	127.2696	65535	64911.65
793.2679	129.519	65535	64906.65
793.4094	131.7679	65535	64903.1
793.551	134.0163	65535	64904.65
793.6926	136.2642	65535	64898.85
793.8342	138.5117	65535	64889
793.9758	140.7587	65535	64896.65
794.1175	143.0052	65535	64892.45
794.2591	145.2512	65535	64891.45
794.4008	147.4967	65535	64892.35
794.5425	149.7417	65535	64886.8
794.6842	151.9863	65535	64884.3
794.826	154.2304	65535	64878.3
794.9677	156.4739	65535	64873.45
795.1095	158.717	65535	64876.35
795.2513	160.9596	65535	64872
795.3931	163.2017	65535	64869.6
795.535	165.4433	65535	64868.35
795.6768	167.6844	65535	64867.35
795.8187	169.925	65535	64863.2
795.9606	172.1651	65535	64857.95
796.1025	174.4047	65535	64856.9
796.2445	176.6439	65535	64856.95
796.3864	178.8825	65535	64849.15
796.5284	181.1206	65535	64849.35
796.6704	183.3582	65535	64842.3
796.8124	185.5954	65535	64841.8
796.9544	187.832	65535	64840.65
797.0965	190.0681	65535	64837.15
797.2386	192.3037	65535	64833.85
797.3806	194.5388	65535	64827.95
797.5228	196.7734	65535	64828.95
797.6649	199.0075	65535	64827.3
797.807	201.2411	65535	64822.85
797.9492	203.4742	65535	64822.35
798.0914	205.7068	65535	64824.15
798.2336	207.9389	65535	64820.75
798.3758	210.1704	65535	64814.6
798.518	212.4015	65535	64815.55
798.6603	214.632	65535	64822.45
798.8025	216.862	65535	64832.55
798.9448	219.0915	65535	64836.85
799.0871	221.3205	65535	64833.35
799.2294	223.549	65535	64838.2
799.3718	225.777	65535	64837.9
799.5141	228.0044	65535	64834
799.6565	230.2314	65535	64835.15
799.7989	232.4578	65535	64830.45
799.9413	234.6837	65535	64824.7
800.0837	236.909	65535	64824.35
800.2262	239.1339	65535	64799.95
800.3687	241.3582	65535	64812.5
800.5111	243.582	65535	64783.1
800.6536	245.8053	65535	64794.2
800.7961	248.0281	65535	64797.8
800.9387	250.2503	65535	64794.15
801.0812	252.472	65535	64791.75
801.2238	254.6932	65535	64787.35
801.3664	256.9139	65535	64792.05
801.509	259.134	65535	64787.65
801.6516	261.3536	65535	64789
801.7942	263.5727	65535	64782.75
801.9369	265.7912	65535	64787.7
802.0795	268.0092	65535	64782.15
802.2222	270.2267	65535	64783.7
802.3649	272.4436	65535	64784.2
802.5076	274.6601	65535	64776.45
802.6504	276.8759	65535	64775.55
802.7931	279.0913	65535	64775.4
802.9359	281.3061	65535	64775.75
803.0787	283.5204	65535	64773.1
803.2215	285.7341	65535	64770.3
803.3643	287.9473	65535	64758.15
803.5071	290.16	65535	64759.45
803.6499	292.3721	65535	64771.75
803.7928	294.5837	65535	64768.35
803.9357	296.7947	65535	64770.55
804.0786	299.0052	65535	64768.2
804.2215	301.2152	65535	64764.95
804.3644	303.4246	65535	64769.2
804.5074	305.6334	65535	64770.7
804.6503	307.8418	65535	64761.45
804.7933	310.0495	65535	64766.8
804.9363	312.2568	65535	64766
805.0793	314.4635	65535	64763.95
805.2223	316.6696	65535	64761.85
805.3653	318.8752	65535	64749.1
805.5084	321.0802	65535	64757.6
805.6514	323.2847	65535	64755.1
805.7945	325.4887	65535	64757.55
805.9376	327.692	65535	64755.5
806.0807	329.8949	65535	64752.2
806.2238	332.0972	65535	64756
806.367	334.2989	65535	64750.1
806.5101	336.5001	65535	64748.65
806.6533	338.7007	65535	64746.95
806.7965	340.9008	65535	64745.4
806.9397	343.1003	65535	64748.4
807.0829	345.2992	65535	64744.15
807.2261	347.4976	65535	64746.85
807.3693	349.6955	65535	64738.55
807.5126	351.8927	65535	64739.15
807.6559	354.0895	65535	64728.55
807.7991	356.2856	65535	64738.9
807.9424	358.4812	65535	64739.45
808.0857	360.6763	65535	64736.8
808.2291	362.8707	65535	64735.5
808.3724	365.0646	65535	64730.6
808.5158	367.258	65535	64729.35
808.6591	369.4508	65535	64725.45
808.8025	371.643	65535	64728.9
808.9459	373.8346	65535	64721.85
809.0893	376.0257	65535	64721.95
809.2327	378.2162	65535	64720.55
809.3762	380.4062	65535	64718.2
809.5196	382.5956	65535	64719.75
809.6631	384.7844	65535	64719.65
809.8066	386.9726	65535	64722.4
809.9501	389.1603	65535	64725.05
810.0936	391.3474	65535	64681.4
810.2371	393.5339	65535	64724.4
810.3806	395.7199	65535	64728.6
810.5241	397.9052	65535	64730.65
810.6677	400.09	65535	64729.05
810.8113	402.2743	65535	64730.1
810.9548	404.4579	65535	64724.45
811.0984	406.641	65535	64724.4
811.2421	408.8235	65535	64721.75
811.3857	411.0054	65535	64722.55
811.5293	413.1868	65535	64720.05
811.673	415.3675	65535	64719.95
811.8166	417.5477	65535	64720.3
811.9603	419.7273	65535	64715.2
812.104	421.9064	65535	64706.65
812.2477	424.0848	65535	64710.45
812.3914	426.2627	65535	64705.95
812.5351	428.4399	65535	64708
812.6788	430.6166	65535	64706.95
812.8226	432.7928	65535	64705.45
812.9663	434.9683	65535	64703
813.1101	437.1432	65535	64702.8
813.2539	439.3176	65535	64703.8
813.3977	441.4914	65535	64701.7
813.5415	443.6645	65535	64702.7
813.6853	445.8371	65535	64704.55
813.8291	448.0091	65535	64703
813.973	450.1806	65535	64703.15
814.1168	452.3514	65535	64698.6
814.2607	454.5216	65535	64692.85
814.4046	456.6913	65535	64699.15
814.5485	458.8603	65535	64701.2
814.6924	461.0288	65535	64701.6
814.8363	463.1967	65535	64700.35
814.9802	465.3639	65535	64697.55
815.1241	467.5306	65535	64697.15
815.2681	469.6967	65535	64696.1
815.412	471.8622	65535	64698.35
815.556	474.0271	65535	64698.35
815.7	476.1914	65535	64694.75
815.844	478.3551	65535	64695.6
815.988	480.5182	65535	64694.3
816.132	482.6807	65535	64696.6
816.276	484.8426	65535	64696.55
816.4201	487.0039	65535	64696.9
816.5641	489.1647	65535	64695.65
816.7082	491.3248	65535	64695.35
816.8522	493.4843	65535	64693.7
816.9963	495.6432	65535	64692.8
817.1404	497.8015	65535	64689.15
817.2845	499.9592	65535	64689
817.4286	502.1163	65535	64691.65
817.5727	504.2728	65535	64687.15
817.7168	506.4287	65535	64693.3
817.861	508.5839	65535	64690.9
818.0051	510.7386	65535	64687.75
818.1493	512.8927	65535	64684.5
818.2935	515.0461	65535	64689.5
818.4377	517.199	65535	64688.25
818.5818	519.3512	65535	64684
818.726	521.5029	65535	64678.5
818.8703	523.6539	65535	64683.65
819.0145	525.8043	65535	64684.45
819.1587	527.9541	65535	64678.25
819.303	530.1033	65535	64682.35
819.4472	532.2519	65535	64682.65
819.5915	534.3999	65535	64678.45
819.7357	536.5472	65535	64682.6
819.88	538.694	65535	64680.85
820.0243	540.8401	65535	64676.8
820.1686	542.9856	65535	64677.55
820.3129	545.1305	65535	64673.1
820.4572	547.2748	65535	64676.4
820.6016	549.4185	65535	64677.6
820.7459	551.5615	65535	64674.85
820.8902	553.704	65535	64676.95
821.0346	555.8458	65535	64676.95
821.1789	557.987	65535	64678.1
821.3233	560.1276	65535	64678.25
821.4677	562.2675	65535	64679.7
821.6121	564.4069	65535	64680.95
821.7565	566.5456	65535	64678.9
821.9009	568.6837	65535	64676.15
822.0453	570.8212	65535	64676.6
822.1897	572.958	65535	64673.45
822.3342	575.0942	65535	64679.2
822.4786	577.2299	65535	64677.15
822.6231	579.3648	65535	64677.15
822.7675	581.4992	65535	64678.25
822.912	583.6329	65535	64679.25
823.0565	585.766	65535	64676.1
823.201	587.8985	65535	64681.05
823.3454	590.0304	65535	64652.95
823.4899	592.1616	65535	64671.75
823.6345	594.2922	65535	64672.55
823.779	596.4222	65535	64672.2
823.9235	598.5515	65535	64669.1
824.068	600.6802	65535	64668.45
824.2126	602.8083	65535	64669.85
824.3571	604.9358	65535	64671.8
824.5017	607.0626	65535	64672
824.6462	609.1888	65535	64668.75
824.7908	611.3144	65535	64668.2
824.9354	613.4393	65535	64666.7
825.08	615.5636	65535	64668.55
825.2246	617.6873	65535	64669.95
825.3692	619.8103	65535	64666.5
825.5138	621.9327	65535	64666.65
825.6584	624.0544	65535	64670.75
825.803	626.1756	65535	64670.65
825.9477	628.2961	65535	64667.15
826.0923	630.4159	65535	64666.95
826.237	632.5351	65535	64664.05
826.3816	634.6537	65535	64666.5
826.5263	636.7716	65535	64664.1
826.6709	638.8889	65535	64664.85
826.8156	641.0056	65535	64665.65
826.9603	643.1216	65535	64663.95
827.105	645.237	65535	64661.4
827.2497	647.3518	65535	64662
827.3944	649.4659	65535	64664.65
827.5391	651.5793	65535	64662.8
827.6838	653.6922	65535	64662.7
827.8285	655.8043	65535	64663.55
827.9733	657.9159	65535	64662.25
828.118	660.0268	65535	64660.2
828.2627	662.137	65535	64660.55
828.4075	664.2466	65535	64659.1
828.5522	666.3556	65535	64662.2
828.697	668.4639	65535	64658.8
828.8418	670.5716	65535	64663.25
828.9865	672.6786	65535	64659.35
829.1313	674.785	65535	64657.65
829.2761	676.8907	65535	64655.5
829.4209	678.9958	65535	64662.85
829.5657	681.1002	65535	64659
829.7105	683.204	65535	64657.1
829.8553	685.3072	65535	64657.15
830.0001	687.4097	65535	64658.7
830.1449	689.5115	65535	64653.05
830.2898	691.6127	65535	64659.1
830.4346	693.7132	65535	64656.35
830.5794	695.8131	65535	64649.55
830.7243	697.9123	65535	64655.05
830.8691	700.0109	65535	64653.85
831.014	702.1089	65535	64658.85
831.1588	704.2061	65535	64658.5
831.3037	706.3028	65535	64654.75
