Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 11:00:08 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	28.1
System Temp (C):	28
Spectrometer Temp (C):	25.4
CCD Temp (C):	0.002
Secondary Temp (C):	20.004
Heatsink Temp (C):	23.585
CCDPCB Temp (C):	37.218
SecondaryPCB Temp (C):	34.339

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1081.25	667.05
787.2016	32.3739	1112.65	699.15
787.3422	34.6426	1144.1	729.55
787.4828	36.9109	1194.95	778.65
787.6235	39.1787	1249.6	830
787.7642	41.4461	1306.95	883.4
787.9049	43.7131	1372.2	944.75
788.0456	45.9796	1438.4	1007.05
788.1863	48.2456	1493.15	1058.8
788.3271	50.5112	1564.1	1125.2
788.4679	52.7764	1632.8	1193.05
788.6087	55.0411	1706.45	1262.95
788.7496	57.3054	1780.2	1331.1
788.8904	59.5692	1862.05	1411.3
789.0313	61.8326	1963.55	1507.4
789.1722	64.0955	2053.25	1593.65
789.3132	66.3579	2171.75	1708
789.4541	68.6199	2329.65	1862.9
789.5951	70.8815	2561.85	2090.7
789.7361	73.1426	3028.35	2554.05
789.8771	75.4032	4241.4	3762.3
790.0181	77.6634	7304.15	6819.15
790.1592	79.9231	15115.4	14622.5
790.3003	82.1824	48804.6	48304.55
790.4414	84.4412	65535	65019.5
790.5825	86.6995	65535	64995.45
790.7237	88.9574	65535	64973.35
790.8648	91.2148	65535	64955.3
791.006	93.4717	65535	64950
791.1472	95.7282	65535	64941.9
791.2885	97.9842	65535	64938.45
791.4297	100.2398	65535	64936.1
791.571	102.4949	65535	64932.1
791.7123	104.7495	65535	64929.15
791.8536	107.0036	65535	64927.75
791.9949	109.2573	65535	64930.35
792.1363	111.5105	65535	64926.95
792.2777	113.7632	65535	64926.75
792.4191	116.0154	65535	64914.7
792.5605	118.2672	65535	64919.05
792.7019	120.5185	65535	64920.9
792.8434	122.7693	65535	64917.45
792.9849	125.0197	65535	64912.4
793.1264	127.2696	65535	64913.95
793.2679	129.519	65535	64907.3
793.4094	131.7679	65535	64904.8
793.551	134.0163	65535	64900.7
793.6926	136.2642	65535	64890.15
793.8342	138.5117	65535	64882.85
793.9758	140.7587	65535	64892.7
794.1175	143.0052	65535	64890.45
794.2591	145.2512	65535	64888.05
794.4008	147.4967	65535	64886.2
794.5425	149.7417	65535	64889.3
794.6842	151.9863	65535	64885.35
794.826	154.2304	65535	64879.35
794.9677	156.4739	65535	64872.3
795.1095	158.717	65535	64874.2
