Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/6/2024 11:04:35 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	821
Laser Diode Temp (C):	25
Laser Case Temp (C):	28.4
System Temp (C):	28.2
Spectrometer Temp (C):	25.6
CCD Temp (C):	-0.005
Secondary Temp (C):	20.007
Heatsink Temp (C):	24
CCDPCB Temp (C):	37.43
SecondaryPCB Temp (C):	34.895

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	1070.4	657.9
787.2016	32.3739	1102.05	690.85
787.3422	34.6426	1143.3	729.55
787.4828	36.9109	1186.15	771.25
787.6235	39.1787	1244.15	824.5
787.7642	41.4461	1297.05	873.7
787.9049	43.7131	1364.2	937.65
788.0456	45.9796	1429	999.15
788.1863	48.2456	1491.4	1058.25
788.3271	50.5112	1549.5	1110.95
788.4679	52.7764	1614.15	1175.25
788.6087	55.0411	1689.35	1246.2
788.7496	57.3054	1768.75	1320.25
788.8904	59.5692	1855.7	1401.9
789.0313	61.8326	1946.75	1491.25
789.1722	64.0955	2050.45	1590.3
789.3132	66.3579	2172.3	1707.5
789.4541	68.6199	2315.3	1848.25
789.5951	70.8815	2541.25	2071.1
789.7361	73.1426	3003.45	2527.25
789.8771	75.4032	4200.95	3719.8
790.0181	77.6634	7214.85	6727.35
790.1592	79.9231	14993.3	14505.2
790.3003	82.1824	48072.7	47574.4
790.4414	84.4412	65535	65021.15
790.5825	86.6995	65535	65001.55
790.7237	88.9574	65535	64982.25
790.8648	91.2148	65535	64969.15
791.006	93.4717	65535	64959.05
791.1472	95.7282	65535	64957.3
791.2885	97.9842	65535	64955.9
791.4297	100.2398	65535	64949.5
791.571	102.4949	65535	64943
791.7123	104.7495	65535	64940.5
791.8536	107.0036	65535	64939.8
791.9949	109.2573	65535	64942.2
792.1363	111.5105	65535	64941.3
792.2777	113.7632	65535	64937.2
792.4191	116.0154	65535	64929.2
792.5605	118.2672	65535	64934.5
792.7019	120.5185	65535	64932.7
792.8434	122.7693	65535	64928.85
792.9849	125.0197	65535	64924.75
793.1264	127.2696	65535	64925.45
793.2679	129.519	65535	64918.95
793.4094	131.7679	65535	64915.65
793.551	134.0163	65535	64914.9
793.6926	136.2642	65535	64907.55
793.8342	138.5117	65535	64900
793.9758	140.7587	65535	64904.3
794.1175	143.0052	65535	64899.75
794.2591	145.2512	65535	64903.7
794.4008	147.4967	65535	64900.4
794.5425	149.7417	65535	64896.8
794.6842	151.9863	65535	64896.7
794.826	154.2304	65535	64892.6
794.9677	156.4739	65535	64886.75
795.1095	158.717	65535	64884.95
795.2513	160.9596	65535	64882.5
795.3931	163.2017	65535	64883.1
795.535	165.4433	65535	64878.9
795.6768	167.6844	65535	64878.25
795.8187	169.925	65535	64873.2
795.9606	172.1651	65535	64869.6
796.1025	174.4047	65535	64865.3
796.2445	176.6439	65535	64865.2
796.3864	178.8825	65535	64861.45
796.5284	181.1206	65535	64860
796.6704	183.3582	65535	64856.65
796.8124	185.5954	65535	64853.65
796.9544	187.832	65535	64851.4
797.0965	190.0681	65535	64848.45
797.2386	192.3037	65535	64845.65
797.3806	194.5388	65535	64843.45
797.5228	196.7734	65535	64839
797.6649	199.0075	65535	64834.4
797.807	201.2411	65535	64832
797.9492	203.4742	65535	64835.9
798.0914	205.7068	65535	64833.15
798.2336	207.9389	65535	64831.85
798.3758	210.1704	65535	64828.8
798.518	212.4015	65535	64826
798.6603	214.632	65535	64831.5
798.8025	216.862	65535	64842.85
798.9448	219.0915	65535	64848.45
799.0871	221.3205	65535	64845.6
799.2294	223.549	65535	64851.5
799.3718	225.777	65535	64849.4
799.5141	228.0044	65535	64844.5
799.6565	230.2314	65535	64843.95
799.7989	232.4578	65535	64844.05
799.9413	234.6837	65535	64836.75
800.0837	236.909	65535	64834.05
800.2262	239.1339	65535	64806.9
800.3687	241.3582	65535	64822.9
800.5111	243.582	65535	64796.55
800.6536	245.8053	65535	64808.85
800.7961	248.0281	65535	64814.55
800.9387	250.2503	65535	64806.95
801.0812	252.472	65535	64800.85
801.2238	254.6932	65535	64798
801.3664	256.9139	65535	64800.9
801.509	259.134	65535	64795.1
801.6516	261.3536	65535	64797.25
801.7942	263.5727	65535	64795.05
801.9369	265.7912	65535	64799.55
802.0795	268.0092	65535	64796.65
802.2222	270.2267	65535	64795.2
802.3649	272.4436	65535	64795.65
802.5076	274.6601	65535	64786.25
802.6504	276.8759	65535	64789.2
802.7931	279.0913	65535	64788.2
802.9359	281.3061	65535	64784.2
803.0787	283.5204	65535	64784.3
803.2215	285.7341	65535	64779.8
803.3643	287.9473	65535	64766.65
803.5071	290.16	65535	64773.25
803.6499	292.3721	65535	64779.35
803.7928	294.5837	65535	64781.1
803.9357	296.7947	65535	64779.6
804.0786	299.0052	65535	64778.8
804.2215	301.2152	65535	64779.1
804.3644	303.4246	65535	64777.8
804.5074	305.6334	65535	64778.7
804.6503	307.8418	65535	64772.3
804.7933	310.0495	65535	64771.55
804.9363	312.2568	65535	64777.5
805.0793	314.4635	65535	64774.3
805.2223	316.6696	65535	64770.35
805.3653	318.8752	65535	64763.2
805.5084	321.0802	65535	64771.1
805.6514	323.2847	65535	64769.5
805.7945	325.4887	65535	64768.8
805.9376	327.692	65535	64765.95
806.0807	329.8949	65535	64767.2
806.2238	332.0972	65535	64766.3
806.367	334.2989	65535	64760.8
806.5101	336.5001	65535	64760.45
806.6533	338.7007	65535	64762.55
806.7965	340.9008	65535	64760
806.9397	343.1003	65535	64754.4
807.0829	345.2992	65535	64755.85
807.2261	347.4976	65535	64754.6
807.3693	349.6955	65535	64752.5
807.5126	351.8927	65535	64749.65
807.6559	354.0895	65535	64736.15
807.7991	356.2856	65535	64747.6
807.9424	358.4812	65535	64752.5
808.0857	360.6763	65535	64748.85
808.2291	362.8707	65535	64746.3
808.3724	365.0646	65535	64743.6
808.5158	367.258	65535	64739.15
808.6591	369.4508	65535	64736.4
808.8025	371.643	65535	64737.65
808.9459	373.8346	65535	64736.3
809.0893	376.0257	65535	64729.55
809.2327	378.2162	65535	64732.55
809.3762	380.4062	65535	64731.75
809.5196	382.5956	65535	64732.25
809.6631	384.7844	65535	64732.95
809.8066	386.9726	65535	64731.05
809.9501	389.1603	65535	64731.1
810.0936	391.3474	65535	64697.1
810.2371	393.5339	65535	64730.4
810.3806	395.7199	65535	64733.4
810.5241	397.9052	65535	64738.9
810.6677	400.09	65535	64738.25
810.8113	402.2743	65535	64736.35
810.9548	404.4579	65535	64739.7
