Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 12:55:45 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	815
Laser Diode Temp (C):	25
Laser Case Temp (C):	25.1
System Temp (C):	25
Spectrometer Temp (C):	23
CCD Temp (C):	0.036
Secondary Temp (C):	20.01
Heatsink Temp (C):	21.415
CCDPCB Temp (C):	35.04
SecondaryPCB Temp (C):	29.093

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	429.3	19
787.2016	32.3739	430.35	20.35
787.3422	34.6426	430.95	18.95
787.4828	36.9109	436.55	22.9
787.6235	39.1787	442.35	23.2
787.7642	41.4461	447.95	25.7
787.9049	43.7131	451.95	25.05
788.0456	45.9796	455.65	27.2
788.1863	48.2456	459.55	26.65
788.3271	50.5112	468.85	31.1
788.4679	52.7764	474	34.4
788.6087	55.0411	474.05	29.65
788.7496	57.3054	483.75	35.2
788.8904	59.5692	485.5	36.85
789.0313	61.8326	492.4	39.75
789.1722	64.0955	500.4	43.2
789.3132	66.3579	510.7	49.55
789.4541	68.6199	518.6	54.2
789.5951	70.8815	533.25	67.15
789.7361	73.1426	558.8	89.6
789.8771	75.4032	623.05	148.35
790.0181	77.6634	779.6	300.35
790.1592	79.9231	1139.2	656.7
790.3003	82.1824	1889.95	1401.55
790.4414	84.4412	3176.15	2683.9
790.5825	86.6995	4915.35	4419.65
790.7237	88.9574	6638.9	6137.05
790.8648	91.2148	7917.4	7413.05
791.006	93.4717	8573.2	8063.95
791.1472	95.7282	8843.65	8329.95
791.2885	97.9842	8916.5	8402.4
791.4297	100.2398	8925.35	8407.95
791.571	102.4949	8883.05	8364.85
791.7123	104.7495	8859	8335.9
791.8536	107.0036	8792.7	8268.55
791.9949	109.2573	8748.35	8225.7
792.1363	111.5105	8666.35	8142.7
792.2777	113.7632	8577.6	8051.65
792.4191	116.0154	8523.45	7985.4
792.5605	118.2672	8462.6	7930.6
792.7019	120.5185	8347.2	7815.4
792.8434	122.7693	8258.85	7723.8
792.9849	125.0197	8182.45	7644.85
793.1264	127.2696	8115	7575.8
793.2679	129.519	8093.05	7549.4
793.4094	131.7679	8047.95	7504.95
793.551	134.0163	8028.45	7480.4
793.6926	136.2642	8015.65	7460.25
793.8342	138.5117	8028.15	7471.45
793.9758	140.7587	7984.4	7426.05
794.1175	143.0052	7966.6	7405.15
794.2591	145.2512	7909.65	7347
794.4008	147.4967	7856.6	7293.95
794.5425	149.7417	7784.8	7219.4
794.6842	151.9863	7738.15	7169.45
794.826	154.2304	7706.55	7134.75
794.9677	156.4739	7679.8	7103.65
795.1095	158.717	7678.85	7101.15
795.2513	160.9596	7692.95	7110.25
795.3931	163.2017	7694.35	7111.95
795.535	165.4433	7726.65	7139.85
795.6768	167.6844	7714.3	7126.9
795.8187	169.925	7710.4	7119.45
795.9606	172.1651	7632.15	7039.65
796.1025	174.4047	7581.75	6983.75
796.2445	176.6439	7526.3	6925.85
796.3864	178.8825	7488.2	6885.15
796.5284	181.1206	7489.6	6879.95
796.6704	183.3582	7456.75	6843.15
796.8124	185.5954	7430.45	6818.35
796.9544	187.832	7435.5	6818.3
797.0965	190.0681	7436.5	6819.3
797.2386	192.3037	7448.3	6826.5
797.3806	194.5388	7444.65	6819.5
797.5228	196.7734	7454.85	6828.35
797.6649	199.0075	7483.9	6851.5
797.807	201.2411	7513.9	6879.7
797.9492	203.4742	7521.9	6886.25
798.0914	205.7068	7566.95	6931.15
798.2336	207.9389	7572.35	6938.15
798.3758	210.1704	7593.7	6953.65
798.518	212.4015	7584.2	6940.3
798.6603	214.632	7613.4	6970.6
798.8025	216.862	7596.45	6961.45
798.9448	219.0915	7576.6	6950.2
799.0871	221.3205	7572.35	6946.35
799.2294	223.549	7597.25	6976.1
799.3718	225.777	7615.9	6995.25
799.5141	228.0044	7617.2	6993.15
799.6565	230.2314	7587	6966.2
799.7989	232.4578	7579.25	6954.9
799.9413	234.6837	7584.3	6952.55
800.0837	236.909	7564.7	6932.55
800.2262	239.1339	7540.8	6883.8
800.3687	241.3582	7536.25	6891.85
800.5111	243.582	7526.05	6849.75
800.6536	245.8053	7551.95	6889.3
800.7961	248.0281	7525.05	6868
800.9387	250.2503	7534.35	6875.45
801.0812	252.472	7552.95	6887.55
801.2238	254.6932	7576.9	6907.8
801.3664	256.9139	7556.85	6885.6
801.509	259.134	7565.65	6891.1
801.6516	261.3536	7567	6895.7
801.7942	263.5727	7601.7	6927.25
801.9369	265.7912	7608.35	6933.25
802.0795	268.0092	7692.55	7020.65
802.2222	270.2267	7733.85	7057.95
802.3649	272.4436	7769.1	7089.6
802.5076	274.6601	7837.35	7150.8
802.6504	276.8759	7815.55	7133.4
802.7931	279.0913	7848.2	7165.1
