RamanShift,CorrectedData
30.1047,539.5984122847096
32.3739,502.1518914020581
34.6426,463.9053651234224
36.9109,430.6588230312995
39.1787,389.66225006913254
41.4461,352.41562687377655
43.7131,318.36893018546357
45.9796,282.0221332202696
48.2456,246.52520601058077
50.5112,210.72811576856174
52.7764,173.08082724112506
55.0411,139.5333030679021
57.3054,101.1355041577157
59.5692,66.68739002405577
61.8326,31.838919169057085
64.0955,-4.659950572019461
66.3579,-35.509261682302196
68.6199,-71.85901009201321
70.8815,-99.15883699385046
73.1426,-112.55766570900107
75.4032,-103.00342896187084
77.6634,-19.242935025784902
79.9231,240.8280368301866
82.1824,836.9138995738942
84.4412,1862.8690637649079
86.6995,3305.59793159366
88.9574,4744.0548866218915
91.2148,5813.544279355363
93.4717,6360.42041285929
95.7282,6593.587532063442
97.9842,6635.799818293387
100.2398,6617.561386938816
102.4949,6542.826287031425
104.7495,6479.798501427292
107.0036,6415.731947554236
109.2573,6333.530478042089
111.5105,6254.397881363367
113.7632,6126.487882655276
116.0154,6049.404144511047
118.2672,5962.050268259033
120.5185,5859.429794733544
122.7693,5785.046205148392
125.0197,5700.852922123086
127.2696,5611.153310426677
129.519,5542.050677819687
131.7679,5516.848275951104
134.0163,5453.849301049409
136.2642,5410.456894174602
138.5117,5368.3741418481895
140.7587,5307.104076487108
143.0052,5234.649676824552
145.2512,5151.563868522681
147.4967,5075.499524897154
149.7417,5015.309467747991
151.9863,4959.796468120222
154.2304,4895.31324690578
156.4739,4820.812475398637
158.717,4804.496775939628
160.9596,4767.068722661466
163.2017,4720.9308416519
165.4433,4693.885611327986
167.6844,4630.085462897477
169.925,4586.882780629267
172.1651,4475.379902491399
174.4047,4408.0791205830865
176.6439,4344.232682249749
178.8825,4291.892790756011
181.1206,4251.1616059241705
183.3582,4173.591244657602
185.5954,4140.883781348063
187.832,4097.0912486514
190.0681,4068.8656378146247
192.3037,4031.9588991138344
194.5388,3997.9229421364753
196.7734,3968.759636150403
199.0075,3951.820810444246
201.2411,3938.2082546190363
203.4742,3920.2237187575984
205.7068,3904.5689135606754
207.9389,3869.295510526771
210.1704,3843.0051421087023
212.4015,3807.299402066331
214.632,3778.7798457294684
216.862,3748.097990354935
219.0915,3700.255315411752
221.3205,3679.703262887961
223.549,3657.8432377690533
225.777,3637.326608243488
228.0044,3586.004705921291
230.2314,3550.8788260392253
232.4578,3502.900227974007
234.6837,3454.820135593569
236.909,3423.7897377368395
239.1339,3356.0601886945483
241.3582,3340.032608519531
243.582,3284.9080837040196
245.8053,3273.4376673399224
248.0281,3235.67237967007
250.2503,3199.7132082029175
252.472,3153.3111080902036
254.6932,3144.4670024865304
