Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 1:27:35 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	26.8
System Temp (C):	26.8
Spectrometer Temp (C):	24.5
CCD Temp (C):	0
Secondary Temp (C):	20.006
Heatsink Temp (C):	22.311
CCDPCB Temp (C):	36.474
SecondaryPCB Temp (C):	33.961

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	486.05	77.6
787.2016	32.3739	489.45	82.5
787.3422	34.6426	499.3	89
787.4828	36.9109	502.6	88.1
787.6235	39.1787	511.15	94.5
787.7642	41.4461	522.9	101.45
787.9049	43.7131	532.7	109.3
788.0456	45.9796	542.45	113.65
788.1863	48.2456	554.05	121.25
788.3271	50.5112	566.1	128.8
788.4679	52.7764	569.65	130.9
788.6087	55.0411	581	140
788.7496	57.3054	600.15	154.4
788.8904	59.5692	613.5	164.85
789.0313	61.8326	628.3	176.3
789.1722	64.0955	639	181.25
789.3132	66.3579	659	196.95
789.4541	68.6199	684.5	220.2
789.5951	70.8815	720.7	255.55
789.7361	73.1426	803.2	332.35
789.8771	75.4032	1012.6	537.6
790.0181	77.6634	1523.05	1043.45
790.1592	79.9231	2728.9	2240.25
790.3003	82.1824	5402.95	4903
790.4414	84.4412	10279.95	9762.95
790.5825	86.6995	17131.9	16588.35
790.7237	88.9574	24026.65	23464.1
790.8648	91.2148	29053.75	28472.65
791.006	93.4717	31734.45	31141.35
791.1472	95.7282	32806.25	32208
791.2885	97.9842	33264.35	32661.8
791.4297	100.2398	33295.45	32688.9
791.571	102.4949	33213.3	32603.05
791.7123	104.7495	33028.65	32416.1
791.8536	107.0036	32793.3	32181.05
791.9949	109.2573	32699	32083.85
792.1363	111.5105	32544.65	31929.7
792.2777	113.7632	32367.5	31753.15
792.4191	116.0154	32293.9	31668.5
792.5605	118.2672	32335.9	31714.95
792.7019	120.5185	32280.3	31657.7
792.8434	122.7693	32250.1	31628.8
792.9849	125.0197	32312.3	31686.2
793.1264	127.2696	32255.85	31628.65
793.2679	129.519	32360.5	31725.05
793.4094	131.7679	32312.35	31675.85
793.551	134.0163	32316.65	31673.9
793.6926	136.2642	32254.85	31611.75
793.8342	138.5117	32193.1	31542.75
793.9758	140.7587	32134	31487.65
794.1175	143.0052	32112.85	31461.75
794.2591	145.2512	31990.6	31339.75
794.4008	147.4967	31878.85	31228.6
794.5425	149.7417	31809.15	31157.4
794.6842	151.9863	31780.65	31123
794.826	154.2304	31777.25	31117.5
794.9677	156.4739	31623.95	30958.9
795.1095	158.717	31595.45	30930.05
795.2513	160.9596	31539.1	30867.9
795.3931	163.2017	31477.5	30805.9
795.535	165.4433	31411.9	30737.9
795.6768	167.6844	31272.8	30598.6
795.8187	169.925	31240.95	30560.25
795.9606	172.1651	31020.75	30336.95
796.1025	174.4047	31025.25	30341.65
796.2445	176.6439	30992.15	30302.85
796.3864	178.8825	30924	30235.4
796.5284	181.1206	30924.2	30230.65
796.6704	183.3582	30858.75	30159.25
796.8124	185.5954	30844.75	30144.85
796.9544	187.832	30796.75	30089.8
797.0965	190.0681	30862.9	30156.3
797.2386	192.3037	30882.1	30172.5
797.3806	194.5388	30849.65	30135
797.5228	196.7734	30867.7	30151.75
797.6649	199.0075	30975.15	30256.95
797.807	201.2411	31143.9	30419.75
797.9492	203.4742	31090.35	30370.15
798.0914	205.7068	31246.15	30522.5
798.2336	207.9389	31199.3	30477
798.3758	210.1704	31284.9	30557.1
798.518	212.4015	31246.6	30514.65
798.6603	214.632	31307.25	30574.1
798.8025	216.862	31325.7	30602.9
798.9448	219.0915	31324.55	30612.15
799.0871	221.3205	31402.7	30688.5
799.2294	223.549	31514.15	30805.75
799.3718	225.777	31537.3	30830.4
799.5141	228.0044	31495.05	30784.2
799.6565	230.2314	31592.3	30885.15
799.7989	232.4578	31555.05	30846.3
799.9413	234.6837	31607.25	30895.85
800.0837	236.909	31637.8	30922.05
800.2262	239.1339	31678.95	30938.55
800.3687	241.3582	31699.2	30967.7
800.5111	243.582	31615.7	30859.2
800.6536	245.8053	31643.1	30898.2
800.7961	248.0281	31599.85	30854.65
800.9387	250.2503	31571.8	30822.2
801.0812	252.472	31619	30865.95
801.2238	254.6932	31709.1	30957.65
801.3664	256.9139	31596.7	30840.2
801.509	259.134	31702.05	30940.65
801.6516	261.3536	31673.95	30911.65
801.7942	263.5727	31822.05	31058.35
801.9369	265.7912	31791	31031.35
802.0795	268.0092	31886.1	31123.75
802.2222	270.2267	31880	31120
802.3649	272.4436	31869.8	31107.55
802.5076	274.6601	31866.3	31095.25
802.6504	276.8759	31821.45	31059.8
802.7931	279.0913	31870.05	31102.05
802.9359	281.3061	31813.2	31045.85
803.0787	283.5204	31865.85	31092.65
