Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 1:37:07 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	819
Laser Diode Temp (C):	25
Laser Case Temp (C):	27
System Temp (C):	27
Spectrometer Temp (C):	24.9
CCD Temp (C):	0.008
Secondary Temp (C):	20.013
Heatsink Temp (C):	22.69
CCDPCB Temp (C):	36.64
SecondaryPCB Temp (C):	34.039

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	599	189.65
787.2016	32.3739	608.55	201.35
787.3422	34.6426	623.6	213.8
787.4828	36.9109	640.4	228.7
787.6235	39.1787	657.5	241.15
787.7642	41.4461	680.25	258.9
787.9049	43.7131	700.25	276.95
788.0456	45.9796	722.25	294.7
788.1863	48.2456	739.85	309.7
788.3271	50.5112	764.1	329
788.4679	52.7764	786.1	348.7
788.6087	55.0411	812.3	370.7
788.7496	57.3054	844.25	400.7
788.8904	59.5692	865.05	416.5
789.0313	61.8326	901.15	449.4
789.1722	64.0955	929.75	474.15
789.3132	66.3579	963.3	501.15
789.4541	68.6199	1021.25	556.05
789.5951	70.8815	1105.4	638.1
789.7361	73.1426	1278.65	807.35
789.8771	75.4032	1750.6	1273
790.0181	77.6634	2918	2432.4
790.1592	79.9231	5762.7	5269
790.3003	82.1824	12240.95	11732.25
790.4414	84.4412	26069.4	25534.9
790.5825	86.6995	47894.8	47318.55
790.7237	88.9574	57929.25	57315.45
790.8648	91.2148	61486.75	60850.7
791.006	93.4717	62402.55	61755.95
791.1472	95.7282	62800.8	62140.9
791.2885	97.9842	62934.95	62269.55
791.4297	100.2398	62851.6	62188.5
791.571	102.4949	62757.85	62087.85
791.7123	104.7495	62710.3	62036.05
791.8536	107.0036	62503.55	61832.25
791.9949	109.2573	62664.75	61990.15
792.1363	111.5105	62403.85	61731.15
792.2777	113.7632	62405.1	61728.95
792.4191	116.0154	62435.7	61750.15
792.5605	118.2672	62567.75	61882.3
792.7019	120.5185	62502.8	61819.55
792.8434	122.7693	62470.9	61786
792.9849	125.0197	62196.2	61515.35
793.1264	127.2696	62664.9	61977.45
793.2679	129.519	62535.9	61840.5
793.4094	131.7679	62702.45	62005.6
793.551	134.0163	62168.2	61461.05
793.6926	136.2642	62335.05	61629.35
793.8342	138.5117	62610.1	61893.3
793.9758	140.7587	62455.05	61747.35
794.1175	143.0052	62398.15	61688.35
794.2591	145.2512	62124.6	61412.75
794.4008	147.4967	62424.25	61713.2
794.5425	149.7417	62270.3	61555.05
794.6842	151.9863	62295.35	61580.5
794.826	154.2304	62086.65	61365.95
794.9677	156.4739	62175.4	61450.75
795.1095	158.717	62397.15	61671.05
795.2513	160.9596	62196.4	61466.1
795.3931	163.2017	61916.1	61182.3
795.535	165.4433	62164.1	61428.3
795.6768	167.6844	61961.3	61226.25
795.8187	169.925	62070.65	61330.5
795.9606	172.1651	61856.9	61120.6
796.1025	174.4047	61899.7	61156.9
796.2445	176.6439	61835.75	61093.2
796.3864	178.8825	61728.7	60977.45
796.5284	181.1206	61983.15	61231.9
796.6704	183.3582	61923.05	61165.3
796.8124	185.5954	61760.75	61000.9
796.9544	187.832	61796.75	61031.95
797.0965	190.0681	61608.25	60842.35
797.2386	192.3037	61920.15	61150.6
797.3806	194.5388	62229.8	61456.4
797.5228	196.7734	61419.05	60645.6
797.6649	199.0075	62155.7	61377.85
797.807	201.2411	61894.35	61113.25
797.9492	203.4742	62278.6	61494.45
798.0914	205.7068	62174.5	61394.75
798.2336	207.9389	62164.85	61380.55
798.3758	210.1704	62130.65	61342.2
798.518	212.4015	62411.75	61621.35
798.6603	214.632	62084.75	61290.15
798.8025	216.862	62472.6	61690.5
798.9448	219.0915	62286.7	61512.3
799.0871	221.3205	62246.45	61474.2
799.2294	223.549	62522.3	61751.55
799.3718	225.777	62473.2	61706.25
799.5141	228.0044	62624.9	61855.05
799.6565	230.2314	62548.25	61780.65
799.7989	232.4578	62543.8	61778.9
799.9413	234.6837	62597.1	61825
800.0837	236.909	63064.25	62289.5
800.2262	239.1339	62327.1	61526.8
800.3687	241.3582	62634.3	61843.85
800.5111	243.582	62644.1	61824.4
800.6536	245.8053	62635.55	61834.75
800.7961	248.0281	62668.05	61868.85
800.9387	250.2503	62775.4	61970.8
801.0812	252.472	62518.65	61706.05
801.2238	254.6932	62682.55	61865.6
801.3664	256.9139	62627.7	61811.25
801.509	259.134	63064.2	62244.55
801.6516	261.3536	62582.05	61766.55
801.7942	263.5727	62854.45	62036.15
801.9369	265.7912	62747.65	61927.3
802.0795	268.0092	62811.9	61996.55
802.2222	270.2267	62877.5	62059.4
802.3649	272.4436	62687.3	61865.4
802.5076	274.6601	62877.45	62053
802.6504	276.8759	62936.45	62116.05
802.7931	279.0913	62800.75	61977.75
802.9359	281.3061	62868.55	62041.75
803.0787	283.5204	62856.8	62027.8
803.2215	285.7341	62830.2	61998.05
803.3643	287.9473	63021.3	62177.15
803.5071	290.16	62885.2	62047.3
803.6499	292.3721	63019.45	62187.4
803.7928	294.5837	62850.55	62015.45
803.9357	296.7947	62731.35	61892.35
804.0786	299.0052	63062.55	62226.9
804.2215	301.2152	62914.65	62074.25
804.3644	303.4246	63011.4	62181.35
804.5074	305.6334	62973.15	62141.25
804.6503	307.8418	62685.15	61846.85
804.7933	310.0495	62624	61785.6
804.9363	312.2568	62564.8	61727.7
805.0793	314.4635	62516.5	61673.7
805.2223	316.6696	62618.1	61773.35
