Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 1:37:54 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	818
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	27.1
System Temp (C):	27
Spectrometer Temp (C):	24.7
CCD Temp (C):	0.007
Secondary Temp (C):	20.011
Heatsink Temp (C):	22.705
CCDPCB Temp (C):	36.485
SecondaryPCB Temp (C):	34.195

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	597.85	187.35
787.2016	32.3739	603.8	194.65
787.3422	34.6426	614.95	204.15
787.4828	36.9109	632	218.9
787.6235	39.1787	649.7	234.3
787.7642	41.4461	671.3	250.55
787.9049	43.7131	691.15	267.4
788.0456	45.9796	712.3	284.55
788.1863	48.2456	731.5	298.5
788.3271	50.5112	756.1	318.65
788.4679	52.7764	776.85	337.8
788.6087	55.0411	803.85	362.2
788.7496	57.3054	831.85	384.7
788.8904	59.5692	853.45	403.9
789.0313	61.8326	881.45	427.95
789.1722	64.0955	919.75	461.5
789.3132	66.3579	966.55	503.8
789.4541	68.6199	1005.55	541.05
789.5951	70.8815	1088.4	622.5
789.7361	73.1426	1272.45	801.65
789.8771	75.4032	1713.85	1238
790.0181	77.6634	2834.35	2350.2
790.1592	79.9231	5598.15	5103.7
790.3003	82.1824	11896.55	11389.35
790.4414	84.4412	24736.65	24199.6
790.5825	86.6995	46320.9	45744.65
790.7237	88.9574	58327.8	57717.45
790.8648	91.2148	63269.35	62631.85
791.006	93.4717	64053.45	63404.25
791.1472	95.7282	64430.45	63773.95
791.2885	97.9842	64557.15	63892.7
791.4297	100.2398	64440.25	63771.4
791.571	102.4949	64413.9	63746.65
791.7123	104.7495	64302.75	63628.85
791.8536	107.0036	64132.15	63457.8
791.9949	109.2573	64296.55	63624.3
792.1363	111.5105	64076.5	63402.75
792.2777	113.7632	63995.3	63321.9
792.4191	116.0154	64094.7	63408.35
792.5605	118.2672	64230.5	63548.6
792.7019	120.5185	64204.15	63521.05
792.8434	122.7693	64161	63475.65
792.9849	125.0197	63824.45	63139.35
793.1264	127.2696	64394.55	63699.95
793.2679	129.519	64200	63506.55
793.4094	131.7679	64413.95	63717.05
793.551	134.0163	63864.05	63159.6
793.6926	136.2642	64070	63366.05
793.8342	138.5117	64344.2	63630
793.9758	140.7587	64196.6	63485.35
794.1175	143.0052	64099.1	63383.7
794.2591	145.2512	63785.7	63070.75
794.4008	147.4967	64134.1	63421.75
794.5425	149.7417	64039	63325.55
794.6842	151.9863	64000.5	63281.45
794.826	154.2304	63812.55	63093.7
794.9677	156.4739	63875	63148.2
795.1095	158.717	64140.3	63413.6
795.2513	160.9596	63898.05	63164.2
795.3931	163.2017	63600.7	62866.8
795.535	165.4433	63887.35	63151.4
795.6768	167.6844	63654.35	62916.5
795.8187	169.925	63801.2	63062.2
795.9606	172.1651	63541.85	62800.9
796.1025	174.4047	63700.65	62958.6
796.2445	176.6439	63554.3	62808.9
796.3864	178.8825	63371.95	62622.05
796.5284	181.1206	63755.75	63006
796.6704	183.3582	63670.8	62908.65
796.8124	185.5954	63514.75	62760.05
796.9544	187.832	63530.55	62767.15
797.0965	190.0681	63226.8	62462.35
797.2386	192.3037	63647.9	62881
797.3806	194.5388	64102.7	63332.95
797.5228	196.7734	63019.85	62243.9
797.6649	199.0075	64038.8	63257.1
797.807	201.2411	63620.6	62837.55
797.9492	203.4742	64147.55	63366.25
798.0914	205.7068	64006.05	63220.05
798.2336	207.9389	63971.05	63189.4
798.3758	210.1704	63915.55	63126.4
798.518	212.4015	64265.15	63474.1
798.6603	214.632	63893.4	63105.6
798.8025	216.862	64327.4	63546.35
798.9448	219.0915	64043.2	63271.8
799.0871	221.3205	64052.6	63283.25
799.2294	223.549	64377.65	63613.25
799.3718	225.777	64325	63555.95
799.5141	228.0044	64516.85	63745.55
799.6565	230.2314	64353.7	63587.3
799.7989	232.4578	64334.85	63566.45
799.9413	234.6837	64430.35	63654.25
800.0837	236.909	64894.85	64114.05
800.2262	239.1339	64146.2	63344
800.3687	241.3582	64496.4	63703.1
800.5111	243.582	64518.85	63700
800.6536	245.8053	64470.45	63664.9
800.7961	248.0281	64517.05	63715.8
800.9387	250.2503	64603	63795.1
801.0812	252.472	64348.2	63531.35
