Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 1:40:17 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	821
Laser Diode Temp (C):	25
Laser Case Temp (C):	27.1
System Temp (C):	27.1
Spectrometer Temp (C):	24.9
CCD Temp (C):	-0.006
Secondary Temp (C):	20.008
Heatsink Temp (C):	22.613
CCDPCB Temp (C):	36.674
SecondaryPCB Temp (C):	34.15

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	606.15	195.45
787.2016	32.3739	618.95	210.7
787.3422	34.6426	630.1	221.7
787.4828	36.9109	643.6	232.5
787.6235	39.1787	665	251.65
787.7642	41.4461	684.95	265.55
787.9049	43.7131	703.65	281.65
788.0456	45.9796	724.15	297.45
788.1863	48.2456	747.85	317.8
788.3271	50.5112	770.1	334.1
788.4679	52.7764	787.9	351.4
788.6087	55.0411	815.8	375.55
788.7496	57.3054	846.6	402.35
788.8904	59.5692	871.3	419.7
789.0313	61.8326	902.25	448.75
789.1722	64.0955	932.35	475.3
789.3132	66.3579	979.9	516.45
789.4541	68.6199	1025.75	560.85
789.5951	70.8815	1115.25	647.95
789.7361	73.1426	1302.2	830.85
789.8771	75.4032	1765.35	1285.75
790.0181	77.6634	2924	2437.55
790.1592	79.9231	5790.2	5295.6
790.3003	82.1824	12332.55	11824.75
790.4414	84.4412	26372.55	25836
790.5825	86.6995	48964.65	48385.6
790.7237	88.9574	58876.9	58266.75
790.8648	91.2148	62148.15	61511.75
791.006	93.4717	62735.9	62082.3
791.1472	95.7282	62948.1	62285.45
791.2885	97.9842	63057.55	62392.5
791.4297	100.2398	62979.75	62313.1
791.571	102.4949	62926.55	62255.4
791.7123	104.7495	62877.15	62201.8
791.8536	107.0036	62733.8	62058.05
791.9949	109.2573	62788.25	62116.75
792.1363	111.5105	62635.75	61958.8
792.2777	113.7632	62623.15	61942.4
792.4191	116.0154	62630.25	61936
792.5605	118.2672	62692.9	62006.35
792.7019	120.5185	62692.1	62007.15
792.8434	122.7693	62634.85	61947.6
792.9849	125.0197	62458.85	61767.6
793.1264	127.2696	62761.2	62065.75
793.2679	129.519	62662.05	61964.2
793.4094	131.7679	62765.25	62062.8
793.551	134.0163	62451.3	61747.7
793.6926	136.2642	62526.85	61818.2
793.8342	138.5117	62696.85	61975.8
793.9758	140.7587	62596.4	61885.25
794.1175	143.0052	62543.8	61824.85
794.2591	145.2512	62343	61628.25
794.4008	147.4967	62529.6	61816.55
794.5425	149.7417	62456.4	61737.55
794.6842	151.9863	62440.35	61720.2
794.826	154.2304	62320.15	61598.75
794.9677	156.4739	62383.45	61651.2
795.1095	158.717	62505.15	61772.4
795.2513	160.9596	62382.75	61650.05
795.3931	163.2017	62196.5	61460.1
795.535	165.4433	62344.65	61604.1
795.6768	167.6844	62226.8	61484.5
795.8187	169.925	62275.1	61535.7
795.9606	172.1651	62123.3	61376.95
796.1025	174.4047	62159.85	61412
796.2445	176.6439	62102.95	61354.85
796.3864	178.8825	62013.65	61263
796.5284	181.1206	62189.3	61434.4
796.6704	183.3582	62150.25	61387.6
796.8124	185.5954	62043.85	61280.15
796.9544	187.832	62058.05	61291.7
797.0965	190.0681	61947.7	61177.6
797.2386	192.3037	62132.15	61360.4
797.3806	194.5388	62345.35	61568.85
797.5228	196.7734	61805.7	61029
797.6649	199.0075	62307.85	61523.5
797.807	201.2411	62133.1	61348.85
797.9492	203.4742	62406.1	61621.9
798.0914	205.7068	62328.5	61540.45
798.2336	207.9389	62317.75	61526.7
798.3758	210.1704	62304	61516
798.518	212.4015	62504.25	61713.2
798.6603	214.632	62286.4	61489.05
798.8025	216.862	62535.95	61749.4
798.9448	219.0915	62416.9	61634.55
799.0871	221.3205	62408.55	61629.85
799.2294	223.549	62604.45	61836.75
799.3718	225.777	62579.95	61804.75
799.5141	228.0044	62690.35	61916.2
799.6565	230.2314	62623.6	61855.25
799.7989	232.4578	62631.85	61864.95
799.9413	234.6837	62684.1	61910.3
800.0837	236.909	62963.2	62184.65
800.2262	239.1339	62514.15	61714.5
800.3687	241.3582	62722.1	61928.55
800.5111	243.582	62729.6	61906.45
800.6536	245.8053	62693.8	61884.45
800.7961	248.0281	62703.6	61903.05
800.9387	250.2503	62756.8	61946.15
801.0812	252.472	62614.8	61801.95
801.2238	254.6932	62723.15	61906.55
801.3664	256.9139	62682.1	61866
801.509	259.134	62957.8	62135.75
801.6516	261.3536	62683.55	61861.15
801.7942	263.5727	62862.6	62033
801.9369	265.7912	62766.65	61946.35
