Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 1:46:37 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	820
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	27.2
System Temp (C):	27.2
Spectrometer Temp (C):	25.1
CCD Temp (C):	-0.005
Secondary Temp (C):	20.007
Heatsink Temp (C):	22.525
CCDPCB Temp (C):	36.785
SecondaryPCB Temp (C):	34.35

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	599.5	187.95
787.2016	32.3739	601.9	191.8
787.3422	34.6426	615.1	205
787.4828	36.9109	634.05	222
787.6235	39.1787	651.55	235.45
787.7642	41.4461	670.75	250.9
787.9049	43.7131	687.5	264.45
788.0456	45.9796	710.35	281.85
788.1863	48.2456	732.15	301.95
788.3271	50.5112	745.45	309.05
788.4679	52.7764	769.6	331.9
788.6087	55.0411	791.5	350.75
788.7496	57.3054	823.7	376.9
788.8904	59.5692	850.65	402.15
789.0313	61.8326	874.55	423.5
789.1722	64.0955	904.7	447.65
789.3132	66.3579	941.75	480.85
789.4541	68.6199	995	532.15
789.5951	70.8815	1075.4	608.15
789.7361	73.1426	1248.6	778.75
789.8771	75.4032	1685.55	1210.05
790.0181	77.6634	2729.8	2244.7
790.1592	79.9231	5375.45	4882.85
790.3003	82.1824	11406.9	10899.8
790.4414	84.4412	23578.35	23041.85
790.5825	86.6995	44580.75	44004.05
790.7237	88.9574	57001.45	56391.55
790.8648	91.2148	61829.35	61193.85
791.006	93.4717	62765.85	62117.55
791.1472	95.7282	63136	62477.35
791.2885	97.9842	63312.35	62652.45
791.4297	100.2398	63225.35	62556.35
791.571	102.4949	63177.05	62508.25
791.7123	104.7495	63127.55	62454.45
791.8536	107.0036	62928.75	62255.55
791.9949	109.2573	63074.2	62407.2
792.1363	111.5105	62857.1	62181.75
792.2777	113.7632	62870	62193.6
792.4191	116.0154	62928.2	62240.05
792.5605	118.2672	63030.65	62349.3
792.7019	120.5185	63007	62327.1
792.8434	122.7693	62951.1	62272.55
792.9849	125.0197	62672.9	61985.1
793.1264	127.2696	63177.75	62490.45
793.2679	129.519	63034.2	62337.35
793.4094	131.7679	63209.55	62513.35
793.551	134.0163	62697.65	61996.1
793.6926	136.2642	62869	62165.35
793.8342	138.5117	63141.1	62424
793.9758	140.7587	62992.85	62283.05
794.1175	143.0052	62963.1	62249.4
794.2591	145.2512	62644.8	61934.35
794.4008	147.4967	62965.85	62254.05
794.5425	149.7417	62838.7	62122.05
794.6842	151.9863	62837.9	62121.2
794.826	154.2304	62638.65	61923.4
794.9677	156.4739	62757.75	62030.75
