Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 1:59:24 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	820
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	27.4
System Temp (C):	27.3
Spectrometer Temp (C):	25.2
CCD Temp (C):	0
Secondary Temp (C):	20.017
Heatsink Temp (C):	22.776
CCDPCB Temp (C):	36.885
SecondaryPCB Temp (C):	34.373

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	600.45	190.75
787.2016	32.3739	605.65	198.85
787.3422	34.6426	622.3	215.2
787.4828	36.9109	633.5	222.35
787.6235	39.1787	652	237.3
787.7642	41.4461	675.6	255.8
787.9049	43.7131	697.2	275.3
788.0456	45.9796	714.05	287.75
788.1863	48.2456	738.7	306.85
788.3271	50.5112	758.1	322.25
788.4679	52.7764	780.8	343.3
788.6087	55.0411	808.1	368.4
788.7496	57.3054	828.25	384.1
788.8904	59.5692	854.95	405.5
789.0313	61.8326	887.25	435
789.1722	64.0955	920.65	463.55
789.3132	66.3579	964.45	503.5
789.4541	68.6199	1011.55	548.65
789.5951	70.8815	1089.6	622.85
789.7361	73.1426	1253.6	781
789.8771	75.4032	1688.35	1211.9
790.0181	77.6634	2725.35	2241.8
790.1592	79.9231	5343.8	4849.55
790.3003	82.1824	11347.95	10832.65
790.4414	84.4412	23758.1	23206.45
790.5825	86.6995	45548.05	44942.75
790.7237	88.9574	57482.45	56834.6
790.8648	91.2148	61468.6	60784.75
791.006	93.4717	62257	61552.35
791.1472	95.7282	62584.4	61865.3
791.2885	97.9842	62733.9	62008.25
791.4297	100.2398	62664.9	61936.65
791.571	102.4949	62642.55	61913.5
791.7123	104.7495	62590.8	61860.8
791.8536	107.0036	62475.35	61743.5
791.9949	109.2573	62540.1	61806.35
792.1363	111.5105	62403.45	61668.8
792.2777	113.7632	62361.85	61622.5
792.4191	116.0154	62390.4	61641.65
792.5605	118.2672	62461.95	61714
792.7019	120.5185	62443.3	61701.3
792.8434	122.7693	62430.7	61687.55
792.9849	125.0197	62237.4	61485.35
793.1264	127.2696	62513.9	61763
793.2679	129.519	62439.45	61684.65
793.4094	131.7679	62562.75	61806.65
793.551	134.0163	62231.05	61469.6
793.6926	136.2642	62339.85	61575.3
793.8342	138.5117	62522.4	61751.75
793.9758	140.7587	62438.05	61669.45
794.1175	143.0052	62410.4	61636.4
794.2591	145.2512	62219.5	61448.45
794.4008	147.4967	62434.95	61663.4
794.5425	149.7417	62357.1	61585.55
794.6842	151.9863	62327.95	61549.2
794.826	154.2304	62215.25	61432.65
794.9677	156.4739	62284.6	61496.3
795.1095	158.717	62406.9	61623.4
795.2513	160.9596	62283.05	61488.15
795.3931	163.2017	62112.3	61318.4
795.535	165.4433	62267.8	61472.6
795.6768	167.6844	62132.6	61339.25
795.8187	169.925	62194.15	61395.9
795.9606	172.1651	62052.15	61252.05
796.1025	174.4047	62099.55	61300.15
796.2445	176.6439	62073.75	61273.05
796.3864	178.8825	61978.65	61169.3
796.5284	181.1206	62101.6	61287.35
796.6704	183.3582	62043.2	61222.9
796.8124	185.5954	61964.95	61144.9
796.9544	187.832	61987.7	61168.2
797.0965	190.0681	61850.3	61028.85
797.2386	192.3037	62069.85	61244.95
797.3806	194.5388	62282.85	61450.3
