Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:01:00 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	821
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	27.4
System Temp (C):	27.4
Spectrometer Temp (C):	25.2
CCD Temp (C):	0.012
Secondary Temp (C):	20
Heatsink Temp (C):	22.758
CCDPCB Temp (C):	36.874
SecondaryPCB Temp (C):	34.539

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	604.55	193.25
787.2016	32.3739	614.45	204.9
787.3422	34.6426	628.6	217.55
787.4828	36.9109	644.55	233.15
787.6235	39.1787	662.8	245.05
787.7642	41.4461	685.75	266
787.9049	43.7131	698.6	273.8
788.0456	45.9796	725.9	297.3
788.1863	48.2456	755.1	323.65
788.3271	50.5112	775	338.25
788.4679	52.7764	793.25	354.35
788.6087	55.0411	822.05	380.15
788.7496	57.3054	844.55	398.15
788.8904	59.5692	870.95	420.7
789.0313	61.8326	904.1	452.05
789.1722	64.0955	941.85	487.05
789.3132	66.3579	986.55	525.4
789.4541	68.6199	1033.7	567.6
789.5951	70.8815	1118.45	651.1
789.7361	73.1426	1286.15	815
789.8771	75.4032	1729.1	1253.45
790.0181	77.6634	2819.1	2336.65
790.1592	79.9231	5519.15	5026.9
790.3003	82.1824	11727.2	11217.55
790.4414	84.4412	24636	24096.95
790.5825	86.6995	47502.25	46913.8
790.7237	88.9574	59980.2	59355.7
790.8648	91.2148	64101.35	63446
791.006	93.4717	64674.2	64008.5
791.1472	95.7282	64961.3	64280
791.2885	97.9842	65053.85	64366.2
791.4297	100.2398	64995.8	64309.8
791.571	102.4949	64991.35	64298.65
791.7123	104.7495	64953.55	64259.95
791.8536	107.0036	64840.45	64147.85
791.9949	109.2573	64929.5	64237.05
792.1363	111.5105	64800.65	64104.05
792.2777	113.7632	64735	64036.8
792.4191	116.0154	64797.4	64088.45
792.5605	118.2672	64887	64182.5
792.7019	120.5185	64873.7	64167.7
792.8434	122.7693	64841.45	64136.05
792.9849	125.0197	64609.05	63898
793.1264	127.2696	64957.4	64246.25
793.2679	129.519	64872.55	64154.75
793.4094	131.7679	64983.6	64267.8
793.551	134.0163	64652.4	63932.35
793.6926	136.2642	64807.65	64076.75
793.8342	138.5117	64974.45	64243.65
793.9758	140.7587	64904.45	64172.25
794.1175	143.0052	64863.25	64130.2
794.2591	145.2512	64663.65	63939.6
794.4008	147.4967	64896.55	64166.7
794.5425	149.7417	64834.85	64100.15
794.6842	151.9863	64806.65	64069.45
794.826	154.2304	64699.8	63955.95
794.9677	156.4739	64727	63981.35
795.1095	158.717	64914.8	64166.4
795.2513	160.9596	64778.25	64029.45
795.3931	163.2017	64578.05	63823.6
795.535	165.4433	64763.25	64009.8
795.6768	167.6844	64617.85	63863.1
795.8187	169.925	64687.25	63928.95
795.9606	172.1651	64506.25	63748.9
796.1025	174.4047	64605.3	63844.8
796.2445	176.6439	64538.65	63774.75
796.3864	178.8825	64427.5	63662.35
796.5284	181.1206	64666.1	63891.75
796.6704	183.3582	64596.35	63818.95
796.8124	185.5954	64505.6	63730.35
796.9544	187.832	64505.75	63728.15
797.0965	190.0681	64347.55	63567.05
797.2386	192.3037	64591.95	63804.9
797.3806	194.5388	64852.65	64064.55
797.5228	196.7734	64193.35	63399.7
797.6649	199.0075	64821.5	64021.6
797.807	201.2411	64578.55	63776.8
797.9492	203.4742	64908.7	64110.2
798.0914	205.7068	64795.75	63995.7
798.2336	207.9389	64783.75	63979.3
798.3758	210.1704	64753.75	63949.7
798.518	212.4015	64950.8	64150
798.6603	214.632	64757.65	63951.65
798.8025	216.862	64990.3	64191.35
798.9448	219.0915	64827.95	64037.4
799.0871	221.3205	64847.75	64059.8
799.2294	223.549	65046.35	64259.6
799.3718	225.777	65024.85	64245.35
799.5141	228.0044	65099.9	64310.45
799.6565	230.2314	65036.75	64250.95
799.7989	232.4578	65067.15	64283.85
799.9413	234.6837	65098.95	64310.7
800.0837	236.909	65298.65	64506.4
800.2262	239.1339	64976.2	64155.6
800.3687	241.3582	65121.45	64315.2
800.5111	243.582	65120.9	64288.15
800.6536	245.8053	65094.05	64270.1
800.7961	248.0281	65110.85	64291.55
800.9387	250.2503	65133.8	64311.7
801.0812	252.472	65002.75	64175.15
801.2238	254.6932	65078.4	64249.6
801.3664	256.9139	65030.2	64205.65
801.509	259.134	65228.95	64395.2
801.6516	261.3536	65017	64186.65
801.7942	263.5727	65114	64277.2
801.9369	265.7912	65046.85	64215.2
802.0795	268.0092	65090.2	64257.75
802.2222	270.2267	65115	64283.25
802.3649	272.4436	64990.6	64157.4
802.5076	274.6601	65104.65	64264.45
802.6504	276.8759	65136	64302.2
802.7931	279.0913	65065.25	64226.2
802.9359	281.3061	65103.85	64266.65
803.0787	283.5204	65102.6	64259.95
803.2215	285.7341	65098.7	64254.8
803.3643	287.9473	65189.15	64326.15
803.5071	290.16	65125.95	64275.2
803.6499	292.3721	65168.85	64326.65
803.7928	294.5837	65110.1	64261.75
803.9357	296.7947	65046.75	64204.8
804.0786	299.0052	65202.2	64353.45
804.2215	301.2152	65139.05	64290.65
804.3644	303.4246	65174.6	64328.7
804.5074	305.6334	65163.5	64316.3
804.6503	307.8418	65027.55	64178.3
804.7933	310.0495	65027.2	64177.9
804.9363	312.2568	65015.35	64167.95
805.0793	314.4635	65013.8	64160.6
805.2223	316.6696	65080.6	64226.95
805.3653	318.8752	65123.95	64261.85
805.5084	321.0802	64878.9	64028.1
805.6514	323.2847	64992.8	64138
805.7945	325.4887	64970.2	64113.2
805.9376	327.692	64921.1	64061.1
806.0807	329.8949	64977.4	64120.35
806.2238	332.0972	64895.6	64032.6
806.367	334.2989	64938.75	64077.6
806.5101	336.5001	65022.6	64161.1
806.6533	338.7007	64759.85	63898.05
806.7965	340.9008	64920.8	64055.05
806.9397	343.1003	64941.35	64076.35
807.0829	345.2992	64995.05	64127.6
807.2261	347.4976	64857.4	63991.05
