Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:08:05 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	820
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	27.5
System Temp (C):	27.5
Spectrometer Temp (C):	25.4
CCD Temp (C):	0.008
Secondary Temp (C):	20.006
Heatsink Temp (C):	23.05
CCDPCB Temp (C):	36.651
SecondaryPCB Temp (C):	34.617

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	660.9	250
787.2016	32.3739	675	266.8
787.3422	34.6426	696.15	285.5
787.4828	36.9109	710.25	298.8
787.6235	39.1787	739.25	324.75
787.7642	41.4461	763.25	341.8
787.9049	43.7131	786.7	362.75
788.0456	45.9796	809.9	381.5
788.1863	48.2456	838.1	405.1
788.3271	50.5112	871.2	436.85
788.4679	52.7764	901.85	464.4
788.6087	55.0411	930.8	491.65
788.7496	57.3054	965	517.4
788.8904	59.5692	1003.4	554.1
789.0313	61.8326	1039.45	587
789.1722	64.0955	1088.85	630.65
789.3132	66.3579	1132.4	671.65
789.4541	68.6199	1193.7	728.25
789.5951	70.8815	1304.15	835.6
789.7361	73.1426	1513.15	1042.05
789.8771	75.4032	2057.7	1578.5
790.0181	77.6634	3423.2	2939.05
790.1592	79.9231	6826.45	6332.9
790.3003	82.1824	14667.65	14153.1
790.4414	84.4412	34351	33801.1
790.5825	86.6995	61547	60943.65
790.7237	88.9574	65467.1	64816.85
790.8648	91.2148	65535	64853.4
791.006	93.4717	65535	64829.5
791.1472	95.7282	65535	64822
791.2885	97.9842	65535	64810.75
791.4297	100.2398	65535	64812
791.571	102.4949	65535	64809.2
791.7123	104.7495	65535	64805.85
791.8536	107.0036	65535	64807.1
791.9949	109.2573	65535	64808.45
792.1363	111.5105	65535	64805.1
792.2777	113.7632	65535	64800.4
792.4191	116.0154	65535	64790.4
792.5605	118.2672	65535	64793.8
792.7019	120.5185	65535	64797.5
792.8434	122.7693	65535	64798.2
792.9849	125.0197	65535	64791.5
793.1264	127.2696	65535	64787.9
793.2679	129.519	65535	64783.75
793.4094	131.7679	65535	64776.75
793.551	134.0163	65535	64771.9
793.6926	136.2642	65535	64774.5
793.8342	138.5117	65535	64766.65
793.9758	140.7587	65535	64768.3
794.1175	143.0052	65535	64766.05
794.2591	145.2512	65535	64769.35
794.4008	147.4967	65535	64769.15
794.5425	149.7417	65535	64766.25
794.6842	151.9863	65535	64760.3
794.826	154.2304	65535	64756.6
794.9677	156.4739	65535	64746
795.1095	158.717	65535	64752.3
795.2513	160.9596	65535	64746.85
795.3931	163.2017	65535	64741
795.535	165.4433	65535	64741.8
795.6768	167.6844	65535	64743.65
795.8187	169.925	65535	64740.3
795.9606	172.1651	65535	64737.7
796.1025	174.4047	65535	64740.35
796.2445	176.6439	65535	64738.65
796.3864	178.8825	65535	64732.25
796.5284	181.1206	65535	64725.7
796.6704	183.3582	65535	64717.35
796.8124	185.5954	65535	64715.7
796.9544	187.832	65535	64718.1
797.0965	190.0681	65535	64714.8
797.2386	192.3037	65535	64708.6
797.3806	194.5388	65535	64707.1
797.5228	196.7734	65535	64708.15
797.6649	199.0075	65535	64700.05
797.807	201.2411	65535	64695
797.9492	203.4742	65535	64694.95
798.0914	205.7068	65535	64698.25
798.2336	207.9389	65535	64692.25
798.3758	210.1704	65535	64693.6
798.518	212.4015	65535	64693.95
798.6603	214.632	65535	64696.05
798.8025	216.862	65535	64698.85
798.9448	219.0915	65535	64707.45
799.0871	221.3205	65535	64706.35
799.2294	223.549	65535	64712.5
799.3718	225.777	65535	64715.6
799.5141	228.0044	65535	64707.8
799.6565	230.2314	65535	64714.15
799.7989	232.4578	65535	64718.35
799.9413	234.6837	65535	64709.95
800.0837	236.909	65535	64709.65
800.2262	239.1339	65535	64675.4
800.3687	241.3582	65535	64690.8
800.5111	243.582	65535	64667.05
800.6536	245.8053	65535	64676
800.7961	248.0281	65535	64682.95
800.9387	250.2503	65535	64674.25
801.0812	252.472	65535	64669.2
801.2238	254.6932	65535	64668.95
801.3664	256.9139	65535	64670.15
801.509	259.134	65535	64660.1
801.6516	261.3536	65535	64663.1
801.7942	263.5727	65535	64658.95
801.9369	265.7912	65535	64663.4
802.0795	268.0092	65535	64661.4
802.2222	270.2267	65535	64662.65
802.3649	272.4436	65535	64663.15
802.5076	274.6601	65535	64654.7
802.6504	276.8759	65535	64662.5
802.7931	279.0913	65535	64657.45
802.9359	281.3061	65535	64654.75
803.0787	283.5204	65535	64654.55
803.2215	285.7341	65535	64650.6
803.3643	287.9473	65535	64639.25
803.5071	290.16	65535	64644.35
803.6499	292.3721	65535	64645.35
803.7928	294.5837	65535	64648.8
803.9357	296.7947	65535	64644.25
804.0786	299.0052	65535	64643.35
804.2215	301.2152	65535	64647.6
804.3644	303.4246	65535	64653.8
804.5074	305.6334	65535	64650.3
804.6503	307.8418	65535	64648.9
804.7933	310.0495	65535	64648.25
804.9363	312.2568	65535	64644.3
805.0793	314.4635	65535	64639.2
805.2223	316.6696	65535	64639.9
805.3653	318.8752	65535	64631.95
805.5084	321.0802	65535	64637.4
805.6514	323.2847	65535	64641.1
805.7945	325.4887	65535	64636.25
805.9376	327.692	65535	64637.55
806.0807	329.8949	65535	64638.65
806.2238	332.0972	65535	64636.4
806.367	334.2989	65535	64630.55
806.5101	336.5001	65535	64632.25
806.6533	338.7007	65535	64628.95
806.7965	340.9008	65535	64631.1
806.9397	343.1003	65535	64626.95
807.0829	345.2992	65535	64625.2
807.2261	347.4976	65535	64627.3
807.3693	349.6955	65535	64624.3
807.5126	351.8927	65535	64619.15
807.6559	354.0895	65535	64612.75
807.7991	356.2856	65535	64621.85
807.9424	358.4812	65535	64618.95
808.0857	360.6763	65535	64618.75
808.2291	362.8707	65535	64617.85
808.3724	365.0646	65535	64622.8
808.5158	367.258	65535	64615.1
808.6591	369.4508	65535	64616.4
808.8025	371.643	65535	64611.1
808.9459	373.8346	65535	64608.15
809.0893	376.0257	65535	64610.9
809.2327	378.2162	65535	64609.9
809.3762	380.4062	65535	64608.65
809.5196	382.5956	65535	64607.05
809.6631	384.7844	65535	64611.5
809.8066	386.9726	65535	64608.35
809.9501	389.1603	65535	64607.2
810.0936	391.3474	65535	64582.6
810.2371	393.5339	65535	64613.55
810.3806	395.7199	65535	64613.8
810.5241	397.9052	65535	64617.75
810.6677	400.09	65535	64618.6
810.8113	402.2743	65535	64618.2
810.9548	404.4579	65535	64618.75
811.0984	406.641	65535	64615.65
811.2421	408.8235	65535	64620.5
811.3857	411.0054	65535	64619.9
811.5293	413.1868	65535	64609.8
811.673	415.3675	65535	64616.05
811.8166	417.5477	65535	64611.7
811.9603	419.7273	65535	64608.4
812.104	421.9064	65535	64604.45
812.2477	424.0848	65535	64606.65
812.3914	426.2627	65535	64604.85
812.5351	428.4399	65535	64603.85
812.6788	430.6166	65535	64600.1
812.8226	432.7928	65535	64599.7
812.9663	434.9683	65535	64608.15
813.1101	437.1432	65535	64608.95
813.2539	439.3176	65535	64610.5
813.3977	441.4914	65535	64611.1
813.5415	443.6645	65535	64608.35
813.6853	445.8371	65535	64597.4
813.8291	448.0091	65535	64610.3
813.973	450.1806	65535	64604.5
814.1168	452.3514	65535	64606.15
814.2607	454.5216	65535	64599.15
814.4046	456.6913	65535	64602.85
814.5485	458.8603	65535	64605.8
814.6924	461.0288	65535	64608.1
814.8363	463.1967	65535	64615.9
814.9802	465.3639	65535	64610.7
815.1241	467.5306	65535	64608.05
815.2681	469.6967	65535	64612.9
815.412	471.8622	65535	64614.65
815.556	474.0271	65535	64609.75
815.7	476.1914	65535	64604.45
815.844	478.3551	65535	64601.9
815.988	480.5182	65535	64609.75
816.132	482.6807	65535	64616
816.276	484.8426	65535	64622.3
816.4201	487.0039	65535	64617.15
816.5641	489.1647	65535	64607.75
816.7082	491.3248	65535	64601.45
816.8522	493.4843	65535	64612.85
816.9963	495.6432	65535	64609.85
817.1404	497.8015	65535	64600.2
817.2845	499.9592	65535	64593.65
817.4286	502.1163	65535	64595.8
817.5727	504.2728	65535	64603.45
817.7168	506.4287	65535	64618.25
817.861	508.5839	65535	64615.95
818.0051	510.7386	65535	64608.1
818.1493	512.8927	65535	64590.55
818.2935	515.0461	65535	64598.85
818.4377	517.199	65535	64599
818.5818	519.3512	65535	64594.5
818.726	521.5029	65535	64595.45
818.8703	523.6539	65535	64602.1
819.0145	525.8043	65535	64597.2
819.1587	527.9541	65535	64593.6
819.303	530.1033	65535	64598.9
819.4472	532.2519	65535	64597.6
819.5915	534.3999	65535	64597.4
819.7357	536.5472	65535	64600.4
819.88	538.694	65535	64599.5
820.0243	540.8401	65535	64596.05
820.1686	542.9856	65535	64588.35
820.3129	545.1305	65535	64579.85
820.4572	547.2748	65535	64570
820.6016	549.4185	65535	64574
820.7459	551.5615	65535	64578.9
820.8902	553.704	65535	64581.8
821.0346	555.8458	65535	64582.9
821.1789	557.987	65535	64587.45
821.3233	560.1276	65535	64579.5
821.4677	562.2675	65535	64577.85
821.6121	564.4069	65535	64583.4
821.7565	566.5456	65535	64584.4
821.9009	568.6837	65535	64590.15
822.0453	570.8212	65535	64591.5
822.1897	572.958	65535	64585.2
822.3342	575.0942	65535	64591.05
822.4786	577.2299	65535	64594.6
822.6231	579.3648	65535	64612
822.7675	581.4992	65535	64620.95
822.912	583.6329	65535	64618.8
823.0565	585.766	65535	64613.85
823.201	587.8985	65535	64603.5
823.3454	590.0304	65535	64584.35
823.4899	592.1616	65535	64590.15
823.6345	594.2922	65535	64585.4
823.779	596.4222	65535	64582.65
823.9235	598.5515	65535	64581.2
824.068	600.6802	65535	64580.4
824.2126	602.8083	65535	64587.95
824.3571	604.9358	65535	64581.6
824.5017	607.0626	65535	64582.55
824.6462	609.1888	65535	64574.3
824.7908	611.3144	65535	64570.7
824.9354	613.4393	65535	64574.95
825.08	615.5636	65535	64575.25
825.2246	617.6873	65535	64576
825.3692	619.8103	65535	64579.15
825.5138	621.9327	65535	64584
825.6584	624.0544	65535	64587.25
825.803	626.1756	65535	64590.2
825.9477	628.2961	65535	64580.85
826.0923	630.4159	65535	64579.75
826.237	632.5351	65535	64578.15
826.3816	634.6537	65535	64574.3
826.5263	636.7716	65535	64573.95
826.6709	638.8889	65535	64574.15
826.8156	641.0056	65535	64572
826.9603	643.1216	65535	64574.2
827.105	645.237	65535	64576.65
827.2497	647.3518	65535	64581.2
827.3944	649.4659	65535	64586.5
827.5391	651.5793	65535	64589.35
827.6838	653.6922	65535	64581.7
827.8285	655.8043	65535	64582.2
827.9733	657.9159	65535	64579.85
828.118	660.0268	65535	64582.5
828.2627	662.137	65535	64575.55
828.4075	664.2466	65535	64570.6
828.5522	666.3556	65535	64567.9
828.697	668.4639	65535	64576.55
828.8418	670.5716	65535	64584.3
828.9865	672.6786	65535	64575.7
829.1313	674.785	65535	64572.35
829.2761	676.8907	65535	64576.4
829.4209	678.9958	65535	64581.75
829.5657	681.1002	65535	64580.7
829.7105	683.204	65535	64569.65
829.8553	685.3072	65535	64570.2
830.0001	687.4097	65535	64570.7
830.1449	689.5115	65535	64569.6
830.2898	691.6127	65535	64577
830.4346	693.7132	65535	64577.85
830.5794	695.8131	65535	64553.2
830.7243	697.9123	65535	64568.8
830.8691	700.0109	65535	64570.55
831.014	702.1089	65535	64570.3
831.1588	704.2061	65535	64575.1
831.3037	706.3028	65535	64568.65
831.4486	708.3987	65535	64570.4
831.5935	710.4941	65535	64575.6
831.7383	712.5887	65535	64574.05
831.8832	714.6827	65535	64568
832.0281	716.7761	65535	64581.5
832.173	718.8688	65535	64571.5
832.3179	720.9608	65535	64564.55
832.4628	723.0522	65535	64558.75
832.6077	725.1429	65535	64569.25
832.7527	727.233	65535	64570.05
832.8976	729.3224	65535	64564.5
833.0425	731.4112	65535	64571.7
833.1874	733.4993	65535	64567.3
833.3324	735.5867	65535	64571.6
833.4773	737.6735	65535	64569.85
833.6222	739.7596	65535	64570.5
833.7672	741.845	65535	64575.35
833.9122	743.9298	65535	64568.65
834.0571	746.014	65535	64571.2
834.2021	748.0974	65535	64560.05
834.347	750.1802	65535	64559.65
834.492	752.2624	65535	64563
834.637	754.3439	65535	64559.4
834.782	756.4247	65535	64556.95
834.9269	758.5048	65535	64564.55
835.0719	760.5843	65535	64563.4
835.2169	762.6631	65535	64564
835.3619	764.7413	65535	64563.6
835.5069	766.8188	65535	64565.8
835.6519	768.8956	65535	64566.6
835.7969	770.9718	65535	64562.15
835.9419	773.0473	65535	64565
836.0869	775.1221	65535	64569.25
836.232	777.1962	65535	64566.7
836.377	779.2697	65525.8	64554.6
836.522	781.3426	65535	64544
836.667	783.4147	65535	64559.45
836.8121	785.4862	65535	64568
836.9571	787.557	65524.65	64552.1
837.1021	789.6271	65535	64562.45
837.2472	791.6966	65527.6	64551.6
837.3922	793.7654	65501.45	64528.2
837.5373	795.8335	65506.35	64534.5
837.6823	797.901	65520.4	64548.2
837.8274	799.9678	65515	64541
837.9724	802.0339	65504.5	64532.65
838.1175	804.0993	65508.7	64524.6
838.2626	806.1641	65485.6	64513
838.4076	808.2282	65475.85	64504.9
838.5527	810.2916	65458.2	64487.9
838.6978	812.3544	65504.5	64535.55
838.8428	814.4164	65439.6	64473.05
838.9879	816.4778	65435.55	64460.1
839.133	818.5385	65450	64473.1
839.2781	820.5986	65439	64467.75
839.4232	822.658	65449.2	64470.3
839.5682	824.7166	65462.75	64490.45
839.7133	826.7747	65401.1	64426.4
839.8584	828.832	65420.05	64445.5
840.0035	830.8886	65467.6	64488.25
840.1486	832.9446	65465.6	64491.25
840.2937	834.9999	65334.45	64358.3
840.4388	837.0545	65406.7	64427.75
840.5839	839.1085	65449.4	64479.1
840.729	841.1618	65420.6	64446.5
840.8741	843.2143	65328.35	64353.75
841.0192	845.2662	65335.5	64361.2
841.1643	847.3175	65379.85	64406.2
841.3095	849.368	65225.2	64248.45
841.4546	851.4179	65349.05	64376.45
841.5997	853.467	65258.9	64281.7
841.7448	855.5155	65322.75	64348.05
841.8899	857.5633	65207.75	64234.65
842.0351	859.6105	65185.65	64211
842.1802	861.6569	65228.85	64254.4
842.3253	863.7027	65089.05	64111.45
842.4704	865.7478	65160.2	64185.25
842.6156	867.7922	65134.2	64158.65
842.7607	869.8359	65195.45	64219.15
842.9058	871.8789	65041.2	64061.55
843.0509	873.9212	65151.35	64137.7
843.1961	875.9629	65169.85	64194.8
