Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:39:38 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	821
Laser Diode Temp (C):	25
Laser Case Temp (C):	27.9
System Temp (C):	28
Spectrometer Temp (C):	25.8
CCD Temp (C):	-0.005
Secondary Temp (C):	20.013
Heatsink Temp (C):	23.616
CCDPCB Temp (C):	37.285
SecondaryPCB Temp (C):	34.795

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	649.3	236.85
787.2016	32.3739	662	253.7
787.3422	34.6426	672.85	263.85
787.4828	36.9109	691.9	279.6
787.6235	39.1787	718.65	302.05
787.7642	41.4461	738.45	317.1
787.9049	43.7131	768.6	345.75
788.0456	45.9796	790.35	360.9
788.1863	48.2456	816.45	384.7
788.3271	50.5112	843.1	407.5
788.4679	52.7764	877.8	438.2
788.6087	55.0411	904.95	462.95
788.7496	57.3054	938.9	491.6
788.8904	59.5692	974.9	526.75
789.0313	61.8326	1003.6	550.75
789.1722	64.0955	1049.15	591.65
789.3132	66.3579	1102.65	640
789.4541	68.6199	1153.95	690.3
789.5951	70.8815	1267.55	799.9
789.7361	73.1426	1465.55	993.7
789.8771	75.4032	1986.8	1509
790.0181	77.6634	3283.5	2797.3
790.1592	79.9231	6568.85	6076.85
790.3003	82.1824	14096.5	13586.45
790.4414	84.4412	32124.65	31579.85
790.5825	86.6995	60125.7	59533.9
790.7237	88.9574	65535	64905.5
790.8648	91.2148	65535	64872.9
791.006	93.4717	65535	64851.2
791.1472	95.7282	65535	64839.55
791.2885	97.9842	65535	64835.25
791.4297	100.2398	65535	64834.15
791.571	102.4949	65535	64828.7
791.7123	104.7495	65535	64828.05
791.8536	107.0036	65535	64827.3
791.9949	109.2573	65535	64829.55
792.1363	111.5105	65535	64822.55
792.2777	113.7632	65535	64822.85
792.4191	116.0154	65535	64810.2
792.5605	118.2672	65535	64822.3
792.7019	120.5185	65535	64818.15
792.8434	122.7693	65535	64813.25
792.9849	125.0197	65535	64816.25
793.1264	127.2696	65535	64806.9
793.2679	129.519	65535	64798.75
793.4094	131.7679	65535	64798
793.551	134.0163	65535	64800.3
793.6926	136.2642	65535	64793.5
793.8342	138.5117	65535	64790.1
793.9758	140.7587	65535	64793.75
794.1175	143.0052	65535	64788.1
794.2591	145.2512	65535	64786.1
794.4008	147.4967	65535	64785.85
794.5425	149.7417	65535	64784.45
794.6842	151.9863	65535	64784.15
794.826	154.2304	65535	64776.45
794.9677	156.4739	65535	64770.35
795.1095	158.717	65535	64768.85
795.2513	160.9596	65535	64770.45
795.3931	163.2017	65535	64766.25
795.535	165.4433	65535	64764.95
795.6768	167.6844	65535	64759.8
795.8187	169.925	65535	64760.6
795.9606	172.1651	65535	64764.35
796.1025	174.4047	65535	64761.2
796.2445	176.6439	65535	64759.8
796.3864	178.8825	65535	64754.7
796.5284	181.1206	65535	64751.3
796.6704	183.3582	65535	64743.5
796.8124	185.5954	65535	64742.65
796.9544	187.832	65535	64743.35
797.0965	190.0681	65535	64737.9
797.2386	192.3037	65535	64736.35
797.3806	194.5388	65535	64728.75
797.5228	196.7734	65535	64729.25
797.6649	199.0075	65535	64727.7
797.807	201.2411	65535	64721.65
797.9492	203.4742	65535	64718.55
798.0914	205.7068	65535	64717.35
798.2336	207.9389	65535	64719.4
798.3758	210.1704	65535	64714
798.518	212.4015	65535	64713.95
798.6603	214.632	65535	64717.1
798.8025	216.862	65535	64727.9
798.9448	219.0915	65535	64736.7
799.0871	221.3205	65535	64734.15
799.2294	223.549	65535	64738.45
799.3718	225.777	65535	64734.05
799.5141	228.0044	65535	64732.75
799.6565	230.2314	65535	64735.5
799.7989	232.4578	65535	64733.2
799.9413	234.6837	65535	64729.05
800.0837	236.909	65535	64726.7
800.2262	239.1339	65535	64703.95
800.3687	241.3582	65535	64715.2
800.5111	243.582	65535	64684.85
800.6536	245.8053	65535	64694.35
800.7961	248.0281	65535	64704.1
800.9387	250.2503	65535	64692.5
801.0812	252.472	65535	64691.25
801.2238	254.6932	65535	64690.7
801.3664	256.9139	65535	64692.5
801.509	259.134	65535	64692.55
801.6516	261.3536	65535	64689.85
801.7942	263.5727	65535	64683.3
801.9369	265.7912	65535	64686.45
802.0795	268.0092	65535	64689.8
802.2222	270.2267	65535	64681.55
802.3649	272.4436	65535	64689
802.5076	274.6601	65535	64674.75
802.6504	276.8759	65535	64686.5
802.7931	279.0913	65535	64676.7
802.9359	281.3061	65535	64679.3
803.0787	283.5204	65535	64674.95
803.2215	285.7341	65535	64667.95
803.3643	287.9473	65535	64662.25
803.5071	290.16	65535	64671.3
803.6499	292.3721	65535	64673.55
803.7928	294.5837	65535	64669.7
803.9357	296.7947	65535	64671.5
804.0786	299.0052	65535	64669.7
804.2215	301.2152	65535	64669.65
804.3644	303.4246	65535	64672.8
804.5074	305.6334	65535	64679.3
804.6503	307.8418	65535	64672.5
804.7933	310.0495	65535	64670.15
804.9363	312.2568	65535	64668.45
805.0793	314.4635	65535	64668.7
805.2223	316.6696	65535	64668.95
805.3653	318.8752	65535	64654.75
805.5084	321.0802	65535	64665.15
805.6514	323.2847	65535	64663.7
805.7945	325.4887	65535	64660.7
805.9376	327.692	65535	64662.85
806.0807	329.8949	65535	64659.2
806.2238	332.0972	65535	64657.35
806.367	334.2989	65535	64654.75
806.5101	336.5001	65535	64657
806.6533	338.7007	65535	64654.2
806.7965	340.9008	65535	64652.6
806.9397	343.1003	65535	64651.75
807.0829	345.2992	65535	64649.25
807.2261	347.4976	65535	64651.2
807.3693	349.6955	65535	64645.05
807.5126	351.8927	65535	64643.25
807.6559	354.0895	65535	64636.6
807.7991	356.2856	65535	64645.65
807.9424	358.4812	65535	64648.15
808.0857	360.6763	65535	64642.55
808.2291	362.8707	65535	64642.15
808.3724	365.0646	65535	64640.35
808.5158	367.258	65535	64637.8
808.6591	369.4508	65535	64637.8
808.8025	371.643	65535	64636.65
808.9459	373.8346	65535	64633.7
809.0893	376.0257	65535	64631.45
809.2327	378.2162	65535	64634.55
809.3762	380.4062	65535	64631.5
809.5196	382.5956	65535	64629.45
809.6631	384.7844	65535	64633.15
809.8066	386.9726	65535	64635
809.9501	389.1603	65535	64638.05
810.0936	391.3474	65535	64594.65
810.2371	393.5339	65535	64635.45
810.3806	395.7199	65535	64640.4
810.5241	397.9052	65535	64640.05
810.6677	400.09	65535	64642.7
810.8113	402.2743	65535	64646
810.9548	404.4579	65535	64643.55
811.0984	406.641	65535	64636.15
811.2421	408.8235	65535	64648.95
811.3857	411.0054	65535	64645.05
811.5293	413.1868	65535	64637.15
811.673	415.3675	65535	64628.65
811.8166	417.5477	65535	64634.7
811.9603	419.7273	65535	64630.1
812.104	421.9064	65535	64626.3
812.2477	424.0848	65535	64631.6
812.3914	426.2627	65535	64624.8
812.5351	428.4399	65535	64626.1
812.6788	430.6166	65535	64625.2
812.8226	432.7928	65535	64620.65
812.9663	434.9683	65535	64621.85
813.1101	437.1432	65535	64625.9
813.2539	439.3176	65535	64630.85
813.3977	441.4914	65535	64631.85
813.5415	443.6645	65535	64632
813.6853	445.8371	65535	64626.35
813.8291	448.0091	65535	64625.45
813.973	450.1806	65535	64625.95
814.1168	452.3514	65535	64631.7
814.2607	454.5216	65535	64619.65
814.4046	456.6913	65535	64623.95
814.5485	458.8603	65535	64629.75
814.6924	461.0288	65535	64628.3
814.8363	463.1967	65535	64632.35
814.9802	465.3639	65535	64625.85
815.1241	467.5306	65535	64626.75
815.2681	469.6967	65535	64628.3
815.412	471.8622	65535	64632.4
815.556	474.0271	65535	64627.1
815.7	476.1914	65535	64620.25
815.844	478.3551	65535	64626.2
815.988	480.5182	65535	64627.4
816.132	482.6807	65535	64634.8
816.276	484.8426	65535	64639.25
816.4201	487.0039	65535	64630.6
816.5641	489.1647	65535	64621.2
816.7082	491.3248	65535	64622.65
816.8522	493.4843	65535	64632.15
816.9963	495.6432	65535	64631.4
817.1404	497.8015	65535	64620.35
817.2845	499.9592	65535	64618.35
817.4286	502.1163	65535	64614.7
817.5727	504.2728	65535	64621.85
817.7168	506.4287	65535	64628.4
817.861	508.5839	65535	64627.8
818.0051	510.7386	65535	64627.65
818.1493	512.8927	65535	64612.85
818.2935	515.0461	65535	64618.4
818.4377	517.199	65535	64619.4
818.5818	519.3512	65535	64617.25
818.726	521.5029	65535	64614.1
818.8703	523.6539	65535	64618.55
819.0145	525.8043	65535	64614.85
819.1587	527.9541	65535	64609.75
819.303	530.1033	65535	64621
819.4472	532.2519	65535	64616.1
819.5915	534.3999	65535	64612
819.7357	536.5472	65535	64620.8
819.88	538.694	65535	64618.1
820.0243	540.8401	65535	64614.25
820.1686	542.9856	65535	64601
820.3129	545.1305	65535	64598.55
820.4572	547.2748	65535	64597.7
820.6016	549.4185	65535	64597.45
820.7459	551.5615	65535	64596.4
820.8902	553.704	65535	64601.5
821.0346	555.8458	65535	64607.55
821.1789	557.987	65535	64604.95
821.3233	560.1276	65535	64603.55
821.4677	562.2675	65535	64602.5
821.6121	564.4069	65535	64604.75
821.7565	566.5456	65535	64608.05
821.9009	568.6837	65535	64607.8
822.0453	570.8212	65535	64610.1
822.1897	572.958	65535	64609.7
822.3342	575.0942	65535	64613.3
822.4786	577.2299	65535	64616.1
822.6231	579.3648	65535	64624.95
822.7675	581.4992	65535	64633.05
822.912	583.6329	65535	64633
823.0565	585.766	65535	64631.1
823.201	587.8985	65535	64624.2
823.3454	590.0304	65535	64593.75
823.4899	592.1616	65535	64609.05
823.6345	594.2922	65535	64604.7
823.779	596.4222	65535	64608.55
823.9235	598.5515	65535	64602.5
824.068	600.6802	65535	64605.2
824.2126	602.8083	65535	64606.3
824.3571	604.9358	65535	64602.55
824.5017	607.0626	65535	64602.6
824.6462	609.1888	65535	64594.25
824.7908	611.3144	65535	64598.2
824.9354	613.4393	65535	64594.25
825.08	615.5636	65535	64599.55
825.2246	617.6873	65535	64603.95
825.3692	619.8103	65535	64599.2
825.5138	621.9327	65535	64602.7
825.6584	624.0544	65535	64610.35
825.803	626.1756	65535	64609
825.9477	628.2961	65535	64599.3
826.0923	630.4159	65535	64599.15
826.237	632.5351	65535	64596.3
826.3816	634.6537	65535	64598.95
826.5263	636.7716	65535	64592.55
826.6709	638.8889	65535	64594.7
826.8156	641.0056	65535	64593.7
826.9603	643.1216	65535	64590.55
827.105	645.237	65535	64595.15
827.2497	647.3518	65535	64603.55
827.3944	649.4659	65535	64607.1
827.5391	651.5793	65535	64603.7
827.6838	653.6922	65535	64602.05
827.8285	655.8043	65535	64602.2
