Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:44:21 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	821
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	27.9
System Temp (C):	28
Spectrometer Temp (C):	25.9
CCD Temp (C):	0
Secondary Temp (C):	20.003
Heatsink Temp (C):	23.283
CCDPCB Temp (C):	37.596
SecondaryPCB Temp (C):	34.573

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	634.85	225.85
787.2016	32.3739	643.05	234.35
787.3422	34.6426	657.4	249.15
787.4828	36.9109	681	270.2
787.6235	39.1787	701.75	288.6
787.7642	41.4461	725.1	306.15
787.9049	43.7131	749.4	327.25
788.0456	45.9796	770.65	343.95
788.1863	48.2456	799.85	368
788.3271	50.5112	822.95	388.9
788.4679	52.7764	851.3	414.8
788.6087	55.0411	881.25	440.25
788.7496	57.3054	906	461.4
788.8904	59.5692	949.5	500.35
789.0313	61.8326	974.7	521.15
789.1722	64.0955	1015.05	559.05
789.3132	66.3579	1067.2	605.7
789.4541	68.6199	1120.7	656.7
789.5951	70.8815	1219.95	751.1
789.7361	73.1426	1411.9	938.55
789.8771	75.4032	1921.55	1443.8
790.0181	77.6634	3169.75	2686.25
790.1592	79.9231	6321.95	5829
790.3003	82.1824	13538.8	13026.65
790.4414	84.4412	29849.45	29305.9
790.5825	86.6995	57240.35	56648.7
790.7237	88.9574	65515.4	64879.3
790.8648	91.2148	65535	64867.25
791.006	93.4717	65535	64850.7
791.1472	95.7282	65535	64845.9
791.2885	97.9842	65535	64832.9
791.4297	100.2398	65535	64836.1
791.571	102.4949	65535	64835.95
791.7123	104.7495	65535	64823.45
791.8536	107.0036	65535	64831.6
791.9949	109.2573	65535	64829.15
792.1363	111.5105	65535	64826.85
792.2777	113.7632	65535	64825
792.4191	116.0154	65535	64814.5
792.5605	118.2672	65535	64814.35
792.7019	120.5185	65535	64820.1
792.8434	122.7693	65535	64813.6
792.9849	125.0197	65535	64809.2
793.1264	127.2696	65535	64805.75
793.2679	129.519	65535	64802.4
793.4094	131.7679	65535	64798.85
793.551	134.0163	65535	64798.9
793.6926	136.2642	65535	64795.4
793.8342	138.5117	65535	64788.45
793.9758	140.7587	65535	64792.35
794.1175	143.0052	65535	64789.5
794.2591	145.2512	65535	64794.6
794.4008	147.4967	65535	64788.4
794.5425	149.7417	65535	64786
794.6842	151.9863	65535	64782.65
794.826	154.2304	65535	64778.4
794.9677	156.4739	65535	64770.4
795.1095	158.717	65535	64774.55
795.2513	160.9596	65535	64765
795.3931	163.2017	65535	64768.85
795.535	165.4433	65535	64764.8
795.6768	167.6844	65535	64764.25
795.8187	169.925	65535	64760.6
795.9606	172.1651	65535	64762.5
796.1025	174.4047	65535	64757.85
796.2445	176.6439	65535	64756.05
796.3864	178.8825	65535	64754.3
796.5284	181.1206	65535	64746.3
796.6704	183.3582	65535	64742.25
796.8124	185.5954	65535	64741.8
796.9544	187.832	65535	64740.9
797.0965	190.0681	65535	64737.1
797.2386	192.3037	65535	64734.25
797.3806	194.5388	65535	64733.65
797.5228	196.7734	65535	64724.85
797.6649	199.0075	65535	64724.15
797.807	201.2411	65535	64722.8
797.9492	203.4742	65535	64721.2
798.0914	205.7068	65535	64721.1
798.2336	207.9389	65535	64720.15
798.3758	210.1704	65535	64714.35
798.518	212.4015	65535	64716.9
798.6603	214.632	65535	64725.2
798.8025	216.862	65535	64729.85
798.9448	219.0915	65535	64733.05
799.0871	221.3205	65535	64733.7
799.2294	223.549	65535	64736.15
799.3718	225.777	65535	64737.25
799.5141	228.0044	65535	64732.7
799.6565	230.2314	65535	64737.3
799.7989	232.4578	65535	64739.15
799.9413	234.6837	65535	64726.8
800.0837	236.909	65535	64725.25
800.2262	239.1339	65535	64701.15
800.3687	241.3582	65535	64713.85
800.5111	243.582	65535	64685.25
800.6536	245.8053	65535	64696.7
800.7961	248.0281	65535	64702.5
800.9387	250.2503	65535	64699
801.0812	252.472	65535	64691.4
801.2238	254.6932	65535	64695.45
801.3664	256.9139	65535	64691.25
801.509	259.134	65535	64680.05
801.6516	261.3536	65535	64690.3
801.7942	263.5727	65535	64689.9
801.9369	265.7912	65535	64684.5
802.0795	268.0092	65535	64684.95
802.2222	270.2267	65535	64684.8
802.3649	272.4436	65535	64688.15
802.5076	274.6601	65535	64676
802.6504	276.8759	65535	64685.95
802.7931	279.0913	65535	64681.55
802.9359	281.3061	65535	64678.5
803.0787	283.5204	65535	64678.15
803.2215	285.7341	65535	64675.05
803.3643	287.9473	65535	64663.15
803.5071	290.16	65535	64668.25
803.6499	292.3721	65535	64674.35
803.7928	294.5837	65535	64669.2
803.9357	296.7947	65535	64675
804.0786	299.0052	65535	64669.45
804.2215	301.2152	65535	64670.15
804.3644	303.4246	65535	64674.25
804.5074	305.6334	65535	64675.8
804.6503	307.8418	65535	64671.25
804.7933	310.0495	65535	64672.1
804.9363	312.2568	65535	64670
805.0793	314.4635	65535	64670.1
805.2223	316.6696	65535	64665.95
805.3653	318.8752	65535	64655.3
805.5084	321.0802	65535	64666.4
805.6514	323.2847	65535	64660.4
805.7945	325.4887	65535	64666.15
805.9376	327.692	65535	64662.5
806.0807	329.8949	65535	64662.25
806.2238	332.0972	65535	64660.25
806.367	334.2989	65535	64657
806.5101	336.5001	65535	64659.3
806.6533	338.7007	65535	64657.05
806.7965	340.9008	65535	64654.55
806.9397	343.1003	65535	64658.15
807.0829	345.2992	65535	64652.7
807.2261	347.4976	65535	64649.05
807.3693	349.6955	65535	64646.55
807.5126	351.8927	65535	64649.75
807.6559	354.0895	65535	64632.7
807.7991	356.2856	65535	64644.75
807.9424	358.4812	65535	64649
808.0857	360.6763	65535	64647.45
808.2291	362.8707	65535	64644.65
808.3724	365.0646	65535	64648.05
808.5158	367.258	65535	64640.55
808.6591	369.4508	65535	64638.05
808.8025	371.643	65535	64634.65
808.9459	373.8346	65535	64634.75
809.0893	376.0257	65535	64632.75
809.2327	378.2162	65535	64637
809.3762	380.4062	65535	64635.65
809.5196	382.5956	65535	64634.6
809.6631	384.7844	65535	64632.8
809.8066	386.9726	65535	64635.9
809.9501	389.1603	65535	64632.75
810.0936	391.3474	65535	64595.3
810.2371	393.5339	65535	64634.15
810.3806	395.7199	65535	64637.75
810.5241	397.9052	65535	64640.15
810.6677	400.09	65535	64640.95
810.8113	402.2743	65535	64643.05
810.9548	404.4579	65535	64644.25
811.0984	406.641	65535	64641.6
811.2421	408.8235	65535	64642.8
811.3857	411.0054	65535	64640.65
811.5293	413.1868	65535	64639
811.673	415.3675	65535	64636.2
811.8166	417.5477	65535	64634.3
811.9603	419.7273	65535	64632.1
812.104	421.9064	65535	64628.2
812.2477	424.0848	65535	64633.5
812.3914	426.2627	65535	64630.7
812.5351	428.4399	65535	64629
812.6788	430.6166	65535	64627
812.8226	432.7928	65535	64624.65
812.9663	434.9683	65535	64627.55
813.1101	437.1432	65535	64627.9
813.2539	439.3176	65535	64635.15
813.3977	441.4914	65535	64630.7
813.5415	443.6645	65535	64628.6
813.6853	445.8371	65535	64627.75
813.8291	448.0091	65535	64630.25
813.973	450.1806	65535	64629.95
814.1168	452.3514	65535	64629.05
814.2607	454.5216	65535	64622.6
814.4046	456.6913	65535	64628.1
814.5485	458.8603	65535	64627.25
814.6924	461.0288	65535	64635.5
814.8363	463.1967	65535	64634.3
814.9802	465.3639	65535	64630
815.1241	467.5306	65535	64629.2
815.2681	469.6967	65535	64631
815.412	471.8622	65535	64633.2
815.556	474.0271	65535	64627.9
815.7	476.1914	65535	64628.45
815.844	478.3551	65535	64626.2
815.988	480.5182	65535	64630.8
816.132	482.6807	65535	64633.45
816.276	484.8426	65535	64638.95
816.4201	487.0039	65535	64636.5
816.5641	489.1647	65535	64624.95
816.7082	491.3248	65535	64624.8
816.8522	493.4843	65535	64628.9
816.9963	495.6432	65535	64632.9
817.1404	497.8015	65535	64622.55
817.2845	499.9592	65535	64614.45
817.4286	502.1163	65535	64617.35
817.5727	504.2728	65535	64623.4
817.7168	506.4287	65535	64633.4
817.861	508.5839	65535	64633.6
818.0051	510.7386	65535	64629.05
818.1493	512.8927	65535	64615
818.2935	515.0461	65535	64619.55
818.4377	517.199	65535	64615.05
818.5818	519.3512	65535	64618.45
818.726	521.5029	65535	64615.7
818.8703	523.6539	65535	64618
819.0145	525.8043	65535	64616.35
819.1587	527.9541	65535	64613.85
819.303	530.1033	65535	64615.25
819.4472	532.2519	65535	64616.7
819.5915	534.3999	65535	64614.05
819.7357	536.5472	65535	64615.05
819.88	538.694	65535	64618.35
820.0243	540.8401	65535	64616.6
820.1686	542.9856	65535	64607.6
820.3129	545.1305	65535	64603
820.4572	547.2748	65535	64602.35
820.6016	549.4185	65535	64600.95
820.7459	551.5615	65535	64605.55
820.8902	553.704	65535	64604.05
821.0346	555.8458	65535	64610.1
821.1789	557.987	65535	64607.25
821.3233	560.1276	65535	64607.75
821.4677	562.2675	65535	64605.1
821.6121	564.4069	65535	64608.5
821.7565	566.5456	65535	64606.85
821.9009	568.6837	65535	64609.65
822.0453	570.8212	65535	64609.85
822.1897	572.958	65535	64612.55
822.3342	575.0942	65535	64611.35
822.4786	577.2299	65535	64621.3
822.6231	579.3648	65535	64629.25
822.7675	581.4992	65535	64634
822.912	583.6329	65535	64634.6
823.0565	585.766	65535	64628.55
823.201	587.8985	65535	64627.7
823.3454	590.0304	65535	64591.95
823.4899	592.1616	65535	64609.2
823.6345	594.2922	65535	64604.95
823.779	596.4222	65535	64604.85
823.9235	598.5515	65535	64599.45
824.068	600.6802	65535	64607.35
824.2126	602.8083	65535	64609.65
824.3571	604.9358	65535	64603.8
824.5017	607.0626	65535	64602.7
824.6462	609.1888	65535	64599.2
824.7908	611.3144	65535	64600
824.9354	613.4393	65535	64598
825.08	615.5636	65535	64597.55
825.2246	617.6873	65535	64598.1
825.3692	619.8103	65535	64600.75
825.5138	621.9327	65535	64605.55
825.6584	624.0544	65535	64610.75
825.803	626.1756	65535	64606.4
825.9477	628.2961	65535	64605.7
826.0923	630.4159	65535	64601.65
826.237	632.5351	65535	64601.4
826.3816	634.6537	65535	64598.85
826.5263	636.7716	65535	64594.7
826.6709	638.8889	65535	64595.5
826.8156	641.0056	65535	64594.85
826.9603	643.1216	65535	64596.15
827.105	645.237	65535	64600.45
827.2497	647.3518	65535	64601.55
827.3944	649.4659	65535	64607.7
827.5391	651.5793	65535	64611.95
827.6838	653.6922	65535	64604.1
827.8285	655.8043	65535	64603.75
827.9733	657.9159	65535	64603.5
828.118	660.0268	65535	64599.5
828.2627	662.137	65535	64602.3
828.4075	664.2466	65535	64593.05
828.5522	666.3556	65535	64595.45
828.697	668.4639	65535	64600.9
828.8418	670.5716	65535	64603.7
828.9865	672.6786	65535	64599.65
829.1313	674.785	65535	64593.35
829.2761	676.8907	65535	64605.2
829.4209	678.9958	65535	64604.9
829.5657	681.1002	65535	64598.8
829.7105	683.204	65535	64593.35
829.8553	685.3072	65535	64594.45
830.0001	687.4097	65535	64597.55
830.1449	689.5115	65535	64591.55
830.2898	691.6127	65535	64598
830.4346	693.7132	65535	64597.8
830.5794	695.8131	65535	64578.85
830.7243	697.9123	65535	64592.95
830.8691	700.0109	65535	64593.35
831.014	702.1089	65533.35	64593.05
831.1588	704.2061	65535	64595.4
831.3037	706.3028	65535	64586.65
831.4486	708.3987	65535	64591.95
831.5935	710.4941	65535	64595.75
831.7383	712.5887	65535	64599.75
831.8832	714.6827	65535	64593.95
832.0281	716.7761	65535	64598.2
832.173	718.8688	65535	64593.95
832.3179	720.9608	65535	64589.65
832.4628	723.0522	65535	64584.5
832.6077	725.1429	65534.75	64591.6
832.7527	727.233	65535	64594.6
832.8976	729.3224	65446.65	64504.05
833.0425	731.4112	65519.85	64578.45
833.1874	733.4993	65522.85	64576.65
833.3324	735.5867	65521.7	64582
833.4773	737.6735	65479.4	64535.8
833.6222	739.7596	65398.45	64451.9
833.7672	741.845	65384.8	64445.55
833.9122	743.9298	65512.25	64570.8
834.0571	746.014	65382.9	64441.65
834.2021	748.0974	65250.05	64302.4
834.347	750.1802	65487.4	64538.9
834.492	752.2624	65188.8	64241.15
834.637	754.3439	65233.35	64287.95
834.782	756.4247	65325.95	64371.4
834.9269	758.5048	65191.4	64246.4
835.0719	760.5843	65274.95	64326.2
835.2169	762.6631	65363.35	64411.85
835.3619	764.7413	65312.2	64366.6
835.5069	766.8188	65363.65	64417.1
835.6519	768.8956	65487.75	64540.65
835.7969	770.9718	65484	64539.65
835.9419	773.0473	65439.3	64492.3
836.0869	775.1221	65151.35	64204.5
