Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:46:44 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	821
Laser Diode Temp (C):	25
Laser Case Temp (C):	27.9
System Temp (C):	28
Spectrometer Temp (C):	25.9
CCD Temp (C):	0
Secondary Temp (C):	20.013
Heatsink Temp (C):	23.418
CCDPCB Temp (C):	37.296
SecondaryPCB Temp (C):	34.762

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	628.85	220
787.2016	32.3739	639.55	231.05
787.3422	34.6426	655.6	247.3
787.4828	36.9109	673.2	262.45
787.6235	39.1787	695.8	278.85
787.7642	41.4461	720.45	297.9
787.9049	43.7131	741.2	316.05
788.0456	45.9796	768.15	342.25
788.1863	48.2456	789.55	358.05
788.3271	50.5112	822.55	386.9
788.4679	52.7764	842.75	407.05
788.6087	55.0411	869.85	429.95
788.7496	57.3054	903.55	457.7
788.8904	59.5692	927.6	478.35
789.0313	61.8326	967.7	513.05
789.1722	64.0955	1013.75	556.8
789.3132	66.3579	1055.8	593.65
789.4541	68.6199	1109.45	645.05
789.5951	70.8815	1199.75	733.6
789.7361	73.1426	1389.6	916.75
789.8771	75.4032	1887.6	1411
790.0181	77.6634	3108.2	2621.95
790.1592	79.9231	6208.25	5714.45
790.3003	82.1824	13280.5	12766.55
790.4414	84.4412	28936.05	28391.65
790.5825	86.6995	56088.2	55500.3
790.7237	88.9574	65446.15	64813
790.8648	91.2148	65535	64872.2
791.006	93.4717	65535	64852
791.1472	95.7282	65535	64842
791.2885	97.9842	65535	64838.65
791.4297	100.2398	65535	64832.5
791.571	102.4949	65535	64829.15
791.7123	104.7495	65535	64830.4
791.8536	107.0036	65535	64828.2
791.9949	109.2573	65535	64830.3
792.1363	111.5105	65535	64825.55
792.2777	113.7632	65535	64821.5
792.4191	116.0154	65535	64810.35
792.5605	118.2672	65535	64821.15
792.7019	120.5185	65535	64820.55
792.8434	122.7693	65535	64817.7
792.9849	125.0197	65535	64814.5
793.1264	127.2696	65535	64808.9
793.2679	129.519	65535	64804.6
793.4094	131.7679	65535	64806.65
793.551	134.0163	65535	64803.1
793.6926	136.2642	65535	64795.9
793.8342	138.5117	65535	64791.7
793.9758	140.7587	65535	64790.35
794.1175	143.0052	65535	64786.95
794.2591	145.2512	65535	64792.25
794.4008	147.4967	65535	64790.65
794.5425	149.7417	65535	64784.45
794.6842	151.9863	65535	64784.05
794.826	154.2304	65535	64779.55
794.9677	156.4739	65535	64775.6
795.1095	158.717	65535	64774.75
795.2513	160.9596	65535	64771.4
795.3931	163.2017	65535	64769.7
795.535	165.4433	65535	64766.65
795.6768	167.6844	65535	64766.4
795.8187	169.925	65535	64763.5
795.9606	172.1651	65535	64760.85
796.1025	174.4047	65535	64756.75
796.2445	176.6439	65535	64761.3
796.3864	178.8825	65535	64755.05
796.5284	181.1206	65535	64751.1
796.6704	183.3582	65535	64747.75
796.8124	185.5954	65535	64743.35
796.9544	187.832	65535	64744.15
797.0965	190.0681	65535	64736.55
797.2386	192.3037	65535	64734.75
797.3806	194.5388	65535	64732.15
797.5228	196.7734	65535	64729.75
797.6649	199.0075	65535	64724.8
797.807	201.2411	65535	64717.3
797.9492	203.4742	65535	64721.35
798.0914	205.7068	65535	64720.45
798.2336	207.9389	65535	64722.15
798.3758	210.1704	65535	64716.9
798.518	212.4015	65535	64715.75
798.6603	214.632	65535	64716.6
798.8025	216.862	65535	64723.15
798.9448	219.0915	65535	64729.85
799.0871	221.3205	65535	64732.15
799.2294	223.549	65535	64738.55
799.3718	225.777	65535	64738.3
799.5141	228.0044	65535	64735.3
799.6565	230.2314	65535	64740.25
799.7989	232.4578	65535	64740.5
799.9413	234.6837	65535	64733.25
800.0837	236.909	65535	64734.15
800.2262	239.1339	65535	64704.05
800.3687	241.3582	65535	64715.8
800.5111	243.582	65535	64690.55
800.6536	245.8053	65535	64704.05
800.7961	248.0281	65535	64703.9
800.9387	250.2503	65535	64701.2
801.0812	252.472	65535	64698.15
801.2238	254.6932	65535	64694.7
801.3664	256.9139	65535	64690.55
801.509	259.134	65535	64687.05
801.6516	261.3536	65535	64692.75
801.7942	263.5727	65535	64684.9
801.9369	265.7912	65535	64683.75
802.0795	268.0092	65535	64685.25
802.2222	270.2267	65535	64686.8
802.3649	272.4436	65535	64686.75
802.5076	274.6601	65535	64678
802.6504	276.8759	65535	64688.9
802.7931	279.0913	65535	64682.6
802.9359	281.3061	65535	64686.35
803.0787	283.5204	65535	64677.05
803.2215	285.7341	65535	64670.75
803.3643	287.9473	65535	64664.1
803.5071	290.16	65535	64670.4
803.6499	292.3721	65535	64674
803.7928	294.5837	65535	64671.25
803.9357	296.7947	65535	64673.75
804.0786	299.0052	65535	64674
804.2215	301.2152	65535	64673.35
804.3644	303.4246	65535	64680.3
804.5074	305.6334	65535	64675.75
804.6503	307.8418	65535	64670.55
804.7933	310.0495	65535	64675.45
804.9363	312.2568	65535	64673
805.0793	314.4635	65535	64668.35
805.2223	316.6696	65535	64667.35
805.3653	318.8752	65535	64657.7
805.5084	321.0802	65535	64667.5
805.6514	323.2847	65535	64662.55
805.7945	325.4887	65535	64661.05
805.9376	327.692	65535	64660.05
806.0807	329.8949	65535	64658.9
806.2238	332.0972	65535	64659.95
806.367	334.2989	65535	64656.55
806.5101	336.5001	65535	64657.35
806.6533	338.7007	65535	64651.9
806.7965	340.9008	65535	64655
806.9397	343.1003	65535	64651.05
807.0829	345.2992	65535	64656.3
807.2261	347.4976	65535	64651.95
807.3693	349.6955	65535	64646.95
807.5126	351.8927	65535	64645.05
807.6559	354.0895	65535	64635.1
807.7991	356.2856	65535	64644.9
807.9424	358.4812	65535	64646.25
808.0857	360.6763	65535	64648.95
808.2291	362.8707	65535	64645.2
808.3724	365.0646	65535	64639.25
808.5158	367.258	65535	64643.05
808.6591	369.4508	65535	64637.75
808.8025	371.643	65535	64639.3
808.9459	373.8346	65535	64637.85
809.0893	376.0257	65535	64633.8
809.2327	378.2162	65535	64631.9
809.3762	380.4062	65535	64633.95
809.5196	382.5956	65535	64631.8
809.6631	384.7844	65535	64637.2
809.8066	386.9726	65535	64631
809.9501	389.1603	65535	64631.9
810.0936	391.3474	65535	64597.15
810.2371	393.5339	65535	64630.45
810.3806	395.7199	65535	64643.3
810.5241	397.9052	65535	64641.85
810.6677	400.09	65535	64642.1
810.8113	402.2743	65535	64642.55
810.9548	404.4579	65535	64649.3
811.0984	406.641	65535	64646.35
811.2421	408.8235	65535	64647.05
811.3857	411.0054	65535	64644.15
811.5293	413.1868	65535	64640
811.673	415.3675	65535	64633.7
811.8166	417.5477	65535	64634.9
811.9603	419.7273	65535	64633.9
812.104	421.9064	65535	64623.4
812.2477	424.0848	65535	64634.05
812.3914	426.2627	65535	64632.45
812.5351	428.4399	65535	64631.5
812.6788	430.6166	65535	64625.95
812.8226	432.7928	65535	64622.8
812.9663	434.9683	65535	64633.6
813.1101	437.1432	65535	64630.4
813.2539	439.3176	65535	64631.15
813.3977	441.4914	65535	64634.05
813.5415	443.6645	65535	64631.5
813.6853	445.8371	65535	64626.45
813.8291	448.0091	65535	64627.85
813.973	450.1806	65535	64627.7
814.1168	452.3514	65535	64634.3
814.2607	454.5216	65535	64618.75
814.4046	456.6913	65535	64626.15
814.5485	458.8603	65535	64627.8
814.6924	461.0288	65535	64633.8
814.8363	463.1967	65535	64637
814.9802	465.3639	65535	64629.85
815.1241	467.5306	65535	64629.55
815.2681	469.6967	65535	64631.2
815.412	471.8622	65535	64632.8
