Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:51:28 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	295
Laser Current (mA):	819
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	28
System Temp (C):	28.1
Spectrometer Temp (C):	25.9
CCD Temp (C):	0.01
Secondary Temp (C):	20.007
Heatsink Temp (C):	23.646
CCDPCB Temp (C):	37.274
SecondaryPCB Temp (C):	34.906

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	631.3	223.1
787.2016	32.3739	636.45	229
787.3422	34.6426	649.55	241.6
787.4828	36.9109	668.35	257.5
787.6235	39.1787	682.5	269.2
787.7642	41.4461	704.85	286.25
787.9049	43.7131	724.7	302.5
788.0456	45.9796	749.3	324.3
788.1863	48.2456	778.7	349.9
788.3271	50.5112	801.3	369.5
788.4679	52.7764	828.6	393.2
788.6087	55.0411	854.05	414.3
788.7496	57.3054	886.3	439.2
788.8904	59.5692	913	464.35
789.0313	61.8326	947.6	493.35
789.1722	64.0955	991.05	533.95
789.3132	66.3579	1033.5	570.95
789.4541	68.6199	1091.45	626.4
789.5951	70.8815	1180.35	712.65
789.7361	73.1426	1374.65	904.2
789.8771	75.4032	1842.1	1364.05
790.0181	77.6634	3051.05	2565.4
790.1592	79.9231	6032.6	5538.85
790.3003	82.1824	12873	12360.8
790.4414	84.4412	27612.1	27066.1
790.5825	86.6995	54201.25	53608.9
790.7237	88.9574	65348.85	64715.7
790.8648	91.2148	65535	64869.95
791.006	93.4717	65535	64852.15
791.1472	95.7282	65535	64840.65
791.2885	97.9842	65535	64836.8
791.4297	100.2398	65535	64833.9
791.571	102.4949	65535	64830.5
791.7123	104.7495	65535	64830.75
791.8536	107.0036	65535	64826.7
791.9949	109.2573	65535	64829.2
792.1363	111.5105	65535	64831.05
792.2777	113.7632	65535	64821.4
792.4191	116.0154	65535	64815.4
792.5605	118.2672	65535	64815.8
792.7019	120.5185	65535	64816.2
792.8434	122.7693	65535	64816.3
792.9849	125.0197	65535	64813.95
793.1264	127.2696	65535	64812.55
793.2679	129.519	65535	64803
793.4094	131.7679	65535	64797.85
793.551	134.0163	65535	64795.8
793.6926	136.2642	65535	64794.8
793.8342	138.5117	65535	64792.2
793.9758	140.7587	65535	64793.6
794.1175	143.0052	65535	64789.75
