Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:53:50 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	820
Laser Diode Temp (C):	25
Laser Case Temp (C):	28
System Temp (C):	28.1
Spectrometer Temp (C):	25.9
CCD Temp (C):	0
Secondary Temp (C):	20.01
Heatsink Temp (C):	23.672
CCDPCB Temp (C):	37.341
SecondaryPCB Temp (C):	34.584

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	615.35	206.25
787.2016	32.3739	622.6	215.15
787.3422	34.6426	635.6	224.85
787.4828	36.9109	650.85	238.6
787.6235	39.1787	670.25	256
787.7642	41.4461	693	272.5
787.9049	43.7131	717.65	293.7
788.0456	45.9796	736.05	308.9
788.1863	48.2456	763	332.1
788.3271	50.5112	779.7	343.95
788.4679	52.7764	812.6	375.6
788.6087	55.0411	831.5	391.5
788.7496	57.3054	859.45	413.35
788.8904	59.5692	893.2	443.3
789.0313	61.8326	928.1	474.85
789.1722	64.0955	965.95	508.65
789.3132	66.3579	1000.65	539.85
789.4541	68.6199	1056.85	591.9
789.5951	70.8815	1147.9	680.65
789.7361	73.1426	1327.45	854.55
789.8771	75.4032	1786.2	1309.35
790.0181	77.6634	2933.1	2448.7
790.1592	79.9231	5767.55	5275.55
790.3003	82.1824	12318.9	11810.3
790.4414	84.4412	25933.65	25395.85
790.5825	86.6995	51388.75	50812.35
790.7237	88.9574	64405.75	63792.7
790.8648	91.2148	65535	64891.1
791.006	93.4717	65535	64873.3
791.1472	95.7282	65535	64863.85
791.2885	97.9842	65535	64858.9
791.4297	100.2398	65535	64855.05
791.571	102.4949	65535	64855.85
791.7123	104.7495	65535	64851.6
791.8536	107.0036	65535	64852.15
791.9949	109.2573	65535	64851.15
792.1363	111.5105	65535	64845.7
792.2777	113.7632	65535	64846.5
792.4191	116.0154	65535	64839.05
792.5605	118.2672	65535	64845.7
792.7019	120.5185	65535	64843.6
792.8434	122.7693	65535	64843.3
792.9849	125.0197	65535	64836.5
793.1264	127.2696	65535	64836
793.2679	129.519	65535	64833.4
793.4094	131.7679	65535	64827
793.551	134.0163	65535	64825.3
793.6926	136.2642	65535	64820.5
793.8342	138.5117	65535	64808.1
793.9758	140.7587	65535	64814.85
794.1175	143.0052	65535	64814.35
794.2591	145.2512	65535	64811.3
794.4008	147.4967	65535	64814.15
794.5425	149.7417	65535	64809.45
794.6842	151.9863	65535	64805.5
794.826	154.2304	65535	64803.25
794.9677	156.4739	65535	64800.45
795.1095	158.717	65535	64798.15
795.2513	160.9596	65535	64791.6
795.3931	163.2017	65535	64791.6
795.535	165.4433	65535	64786.35
795.6768	167.6844	65535	64788.8
795.8187	169.925	65535	64787.2
795.9606	172.1651	65535	64787.45
796.1025	174.4047	65535	64786.45
796.2445	176.6439	65535	64781.35
796.3864	178.8825	65535	64779.4
796.5284	181.1206	65535	64773.2
796.6704	183.3582	65535	64768.65
796.8124	185.5954	65535	64769.6
796.9544	187.832	65535	64762.6
797.0965	190.0681	65535	64758.6
797.2386	192.3037	65535	64756.3
797.3806	194.5388	65535	64752.9
797.5228	196.7734	65535	64752.3
797.6649	199.0075	65535	64744.55
797.807	201.2411	65535	64745.45
797.9492	203.4742	65535	64748.3
798.0914	205.7068	65535	64742.15
798.2336	207.9389	65535	64742.75
798.3758	210.1704	65535	64740.85
798.518	212.4015	65535	64736.6
798.6603	214.632	65535	64739.35
798.8025	216.862	65535	64750.4
798.9448	219.0915	65535	64757.2
799.0871	221.3205	65535	64755
799.2294	223.549	65535	64761.9
799.3718	225.777	65535	64760.3
799.5141	228.0044	65535	64762.6
799.6565	230.2314	65535	64760.35
799.7989	232.4578	65535	64762.2
799.9413	234.6837	65535	64752.65
800.0837	236.909	65535	64750.7
800.2262	239.1339	65535	64726.15
800.3687	241.3582	65535	64734.75
800.5111	243.582	65535	64704.5
800.6536	245.8053	65535	64720.05
800.7961	248.0281	65535	64723.5
800.9387	250.2503	65535	64723.35
801.0812	252.472	65535	64718.95
801.2238	254.6932	65535	64714.45
801.3664	256.9139	65535	64718.35
801.509	259.134	65535	64712.45
801.6516	261.3536	65535	64711.4
801.7942	263.5727	65535	64711.5
801.9369	265.7912	65535	64712.2
802.0795	268.0092	65535	64710.65
802.2222	270.2267	65535	64707.3
802.3649	272.4436	65535	64710.4
802.5076	274.6601	65535	64702.6
802.6504	276.8759	65535	64707.35
802.7931	279.0913	65535	64706.25
802.9359	281.3061	65535	64705.25
