Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:55:24 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	816
Laser Diode Temp (C):	25
Laser Case Temp (C):	28
System Temp (C):	28.1
Spectrometer Temp (C):	26
CCD Temp (C):	0.009
Secondary Temp (C):	20.01
Heatsink Temp (C):	23.499
CCDPCB Temp (C):	37.341
SecondaryPCB Temp (C):	35.029

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	632.8	224.65
787.2016	32.3739	642	234.7
787.3422	34.6426	662.3	253.55
787.4828	36.9109	676	263.9
787.6235	39.1787	698.8	283.65
787.7642	41.4461	721.3	301.6
787.9049	43.7131	746.65	322.9
788.0456	45.9796	766.4	340.45
788.1863	48.2456	798.6	368.5
788.3271	50.5112	814.15	380.2
788.4679	52.7764	843.35	406
788.6087	55.0411	877.8	438.2
788.7496	57.3054	904.8	458.85
788.8904	59.5692	936.2	486.95
789.0313	61.8326	976.6	521.5
789.1722	64.0955	1013.95	556.45
789.3132	66.3579	1063.4	601.85
789.4541	68.6199	1121.85	656.45
789.5951	70.8815	1205.7	737.8
789.7361	73.1426	1404.9	933.25
789.8771	75.4032	1900.05	1421.5
790.0181	77.6634	3162.05	2678.05
790.1592	79.9231	6271.65	5776.95
790.3003	82.1824	13439.4	12925.4
790.4414	84.4412	29477.15	28933.25
790.5825	86.6995	56813.6	56219.95
790.7237	88.9574	65527.55	64888
790.8648	91.2148	65535	64867.95
791.006	93.4717	65535	64845.45
791.1472	95.7282	65535	64836.05
791.2885	97.9842	65535	64828.85
791.4297	100.2398	65535	64828.4
791.571	102.4949	65535	64827.15
791.7123	104.7495	65535	64827.75
791.8536	107.0036	65535	64821.35
791.9949	109.2573	65535	64825.35
792.1363	111.5105	65535	64821.95
792.2777	113.7632	65535	64819.85
792.4191	116.0154	65535	64806.5
792.5605	118.2672	65535	64816.5
792.7019	120.5185	65535	64813.9
792.8434	122.7693	65535	64814.9
792.9849	125.0197	65535	64807.55
793.1264	127.2696	65535	64807.25
793.2679	129.519	65535	64801.8
793.4094	131.7679	65535	64798.35
793.551	134.0163	65535	64794.55
793.6926	136.2642	65535	64793.8
793.8342	138.5117	65535	64790.1
793.9758	140.7587	65535	64783.9
794.1175	143.0052	65535	64784.6
794.2591	145.2512	65535	64786.5
794.4008	147.4967	65535	64785.5
794.5425	149.7417	65535	64783.65
794.6842	151.9863	65535	64777.75
794.826	154.2304	65535	64775.45
794.9677	156.4739	65535	64768.65
795.1095	158.717	65535	64768.2
795.2513	160.9596	65535	64762.75
795.3931	163.2017	65535	64763.9
795.535	165.4433	65535	64762.7
795.6768	167.6844	65535	64764.35
795.8187	169.925	65535	64762.6
795.9606	172.1651	65535	64759.8
796.1025	174.4047	65535	64760.7
796.2445	176.6439	65535	64755.95
796.3864	178.8825	65535	64751.7
796.5284	181.1206	65535	64743.55
796.6704	183.3582	65535	64741.75
796.8124	185.5954	65535	64742.85
796.9544	187.832	65535	64737.15
797.0965	190.0681	65535	64732.25
797.2386	192.3037	65535	64729.55
797.3806	194.5388	65535	64728.1
797.5228	196.7734	65535	64722.5
797.6649	199.0075	65535	64715.9
797.807	201.2411	65535	64717.35
797.9492	203.4742	65535	64716.85
798.0914	205.7068	65535	64714.15
798.2336	207.9389	65535	64718.4
798.3758	210.1704	65535	64718.2
798.518	212.4015	65535	64708.8
798.6603	214.632	65535	64711.85
798.8025	216.862	65535	64723.45
798.9448	219.0915	65535	64727.8
799.0871	221.3205	65535	64730.55
799.2294	223.549	65535	64731.7
799.3718	225.777	65535	64731.1
799.5141	228.0044	65535	64730.4
799.6565	230.2314	65535	64737.3
799.7989	232.4578	65535	64733.4
799.9413	234.6837	65535	64726.75
800.0837	236.909	65535	64721.45
800.2262	239.1339	65535	64695.2
800.3687	241.3582	65535	64716.1
800.5111	243.582	65535	64680.9
800.6536	245.8053	65535	64698.25
800.7961	248.0281	65535	64706.05
800.9387	250.2503	65535	64695.95
801.0812	252.472	65535	64690.5
801.2238	254.6932	65535	64691.25
801.3664	256.9139	65535	64688.3
801.509	259.134	65535	64688.4
801.6516	261.3536	65535	64686.7
801.7942	263.5727	65535	64680.7
801.9369	265.7912	65535	64686.1
802.0795	268.0092	65535	64686.9
802.2222	270.2267	65535	64685.35
802.3649	272.4436	65535	64682.55
802.5076	274.6601	65535	64679.25
802.6504	276.8759	65535	64684.05
802.7931	279.0913	65535	64680
802.9359	281.3061	65535	64680.5
803.0787	283.5204	65535	64674.95
803.2215	285.7341	65535	64670.05
803.3643	287.9473	65535	64661.65
803.5071	290.16	65535	64661.55
803.6499	292.3721	65535	64671.55
803.7928	294.5837	65535	64666.6
803.9357	296.7947	65535	64673.2
804.0786	299.0052	65535	64672.1
804.2215	301.2152	65535	64663.95
804.3644	303.4246	65535	64672.75
804.5074	305.6334	65535	64671.3
804.6503	307.8418	65535	64669.45
804.7933	310.0495	65535	64666.15
804.9363	312.2568	65535	64665.55
805.0793	314.4635	65535	64661.45
805.2223	316.6696	65535	64662.1
805.3653	318.8752	65535	64659.5
805.5084	321.0802	65535	64661.1
805.6514	323.2847	65535	64657.6
805.7945	325.4887	65535	64660.85
805.9376	327.692	65535	64660.7
806.0807	329.8949	65535	64660.65
806.2238	332.0972	65535	64656.3
806.367	334.2989	65535	64653.6
806.5101	336.5001	65535	64650.15
806.6533	338.7007	65535	64655.2
806.7965	340.9008	65535	64651.15
806.9397	343.1003	65535	64651
807.0829	345.2992	65535	64652.15
807.2261	347.4976	65535	64647.1
807.3693	349.6955	65535	64645.8
807.5126	351.8927	65535	64644.65
807.6559	354.0895	65535	64631.5
807.7991	356.2856	65535	64645.75
807.9424	358.4812	65535	64641.65
808.0857	360.6763	65535	64640
808.2291	362.8707	65535	64642.7
808.3724	365.0646	65535	64642.8
808.5158	367.258	65535	64640.2
808.6591	369.4508	65535	64635.25
808.8025	371.643	65535	64640.8
808.9459	373.8346	65535	64633.8
809.0893	376.0257	65535	64630.1
809.2327	378.2162	65535	64630.75
809.3762	380.4062	65535	64630.05
809.5196	382.5956	65535	64626.75
809.6631	384.7844	65535	64630.75
809.8066	386.9726	65535	64629.2
809.9501	389.1603	65535	64630.4
810.0936	391.3474	65535	64591.8
810.2371	393.5339	65535	64630.95
810.3806	395.7199	65535	64634.6
810.5241	397.9052	65535	64636.9
810.6677	400.09	65535	64642.45
810.8113	402.2743	65535	64641.45
810.9548	404.4579	65535	64642.1
811.0984	406.641	65535	64642.85
811.2421	408.8235	65535	64640.2
811.3857	411.0054	65535	64639.95
811.5293	413.1868	65535	64637.25
811.673	415.3675	65535	64632.95
811.8166	417.5477	65535	64633.1
811.9603	419.7273	65535	64635.15
812.104	421.9064	65535	64627.8
812.2477	424.0848	65535	64629.35
812.3914	426.2627	65535	64629.25
812.5351	428.4399	65535	64626.35
812.6788	430.6166	65535	64619.3
812.8226	432.7928	65535	64620.8
812.9663	434.9683	65535	64626.5
813.1101	437.1432	65535	64622.35
813.2539	439.3176	65535	64631.25
813.3977	441.4914	65535	64634.55
813.5415	443.6645	65535	64627
813.6853	445.8371	65535	64622.7
813.8291	448.0091	65535	64626.7
813.973	450.1806	65535	64626.5
814.1168	452.3514	65535	64632.15
814.2607	454.5216	65535	64624.9
814.4046	456.6913	65535	64625.2
814.5485	458.8603	65535	64627.2
814.6924	461.0288	65535	64633.85
814.8363	463.1967	65535	64629.15
814.9802	465.3639	65535	64628.15
815.1241	467.5306	65535	64626.7
815.2681	469.6967	65535	64632.1
815.412	471.8622	65535	64634.35
815.556	474.0271	65535	64628.55
815.7	476.1914	65535	64622.5
815.844	478.3551	65535	64620.85
815.988	480.5182	65535	64625.5
816.132	482.6807	65535	64634.65
816.276	484.8426	65535	64641.2
816.4201	487.0039	65535	64632.4
816.5641	489.1647	65535	64624.7
816.7082	491.3248	65535	64623.25
816.8522	493.4843	65535	64626.4
816.9963	495.6432	65535	64629.25
817.1404	497.8015	65535	64615.9
817.2845	499.9592	65535	64619.9
817.4286	502.1163	65535	64618.55
817.5727	504.2728	65535	64622.45
817.7168	506.4287	65535	64631.95
817.861	508.5839	65535	64630.7
818.0051	510.7386	65535	64623.3
818.1493	512.8927	65535	64614.05
818.2935	515.0461	65535	64625
818.4377	517.199	65535	64614.6
818.5818	519.3512	65535	64615.95
818.726	521.5029	65535	64613.45
818.8703	523.6539	65535	64616.3
819.0145	525.8043	65535	64616.1
819.1587	527.9541	65535	64615.15
819.303	530.1033	65535	64612.75
819.4472	532.2519	65535	64617.8
819.5915	534.3999	65535	64614.05
819.7357	536.5472	65535	64617.65
819.88	538.694	65535	64623.9
820.0243	540.8401	65535	64619.9
820.1686	542.9856	65535	64603.95
820.3129	545.1305	65535	64602.95
820.4572	547.2748	65535	64598.4
820.6016	549.4185	65535	64600.3
820.7459	551.5615	65535	64598.45
820.8902	553.704	65535	64601.15
821.0346	555.8458	65535	64606.45
821.1789	557.987	65535	64606.25
821.3233	560.1276	65535	64603.35
821.4677	562.2675	65535	64605.45
821.6121	564.4069	65535	64602.5
821.7565	566.5456	65535	64608.6
821.9009	568.6837	65535	64609.3
822.0453	570.8212	65535	64610.1
822.1897	572.958	65535	64608.95
822.3342	575.0942	65535	64613.9
822.4786	577.2299	65535	64615.55
822.6231	579.3648	65535	64626.95
822.7675	581.4992	65535	64631.95
822.912	583.6329	65535	64635.7
823.0565	585.766	65535	64631.8
823.201	587.8985	65535	64627.5
823.3454	590.0304	65535	64604.15
823.4899	592.1616	65535	64608.2
823.6345	594.2922	65535	64604.1
823.779	596.4222	65535	64604.45
823.9235	598.5515	65535	64602.85
824.068	600.6802	65535	64601.3
824.2126	602.8083	65535	64606
824.3571	604.9358	65535	64606.7
824.5017	607.0626	65535	64599.55
824.6462	609.1888	65535	64596.3
824.7908	611.3144	65535	64594.6
824.9354	613.4393	65535	64595.85
825.08	615.5636	65535	64598.4
825.2246	617.6873	65535	64599.05
825.3692	619.8103	65535	64597
825.5138	621.9327	65535	64603.4
825.6584	624.0544	65535	64609.9
825.803	626.1756	65535	64604.5
825.9477	628.2961	65535	64602.75
826.0923	630.4159	65535	64601.8
826.237	632.5351	65535	64604.05
826.3816	634.6537	65535	64600
826.5263	636.7716	65535	64593.75
826.6709	638.8889	65535	64592.95
826.8156	641.0056	65535	64591.9
826.9603	643.1216	65535	64596.95
827.105	645.237	65535	64595.9
827.2497	647.3518	65535	64606.4
827.3944	649.4659	65535	64607.45
827.5391	651.5793	65535	64608.4
827.6838	653.6922	65535	64604.35
827.8285	655.8043	65535	64603.15
827.9733	657.9159	65535	64605.75
828.118	660.0268	65535	64601.95
828.2627	662.137	65535	64597.95
828.4075	664.2466	65535	64592.85
828.5522	666.3556	65535	64597.15
828.697	668.4639	65535	64599.45
828.8418	670.5716	65535	64607.95
828.9865	672.6786	65535	64594.65
829.1313	674.785	65535	64592.9
829.2761	676.8907	65535	64600.15
829.4209	678.9958	65535	64606.4
829.5657	681.1002	65535	64597.3
829.7105	683.204	65535	64586.75
829.8553	685.3072	65535	64593.3
830.0001	687.4097	65535	64591.85
830.1449	689.5115	65533.75	64588.6
830.2898	691.6127	65535	64597.9
830.4346	693.7132	65533.95	64595.55
