Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/26/2024 2:57:46 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	820
Laser Diode Temp (C):	25
Laser Case Temp (C):	28
System Temp (C):	28.1
Spectrometer Temp (C):	25.9
CCD Temp (C):	0.005
Secondary Temp (C):	20.007
Heatsink Temp (C):	23.39
CCDPCB Temp (C):	37.619
SecondaryPCB Temp (C):	34.951

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	410.15	-0.45
787.2016	32.3739	407.35	-1.05
787.3422	34.6426	408	0.15
787.4828	36.9109	412.4	1.55
787.6235	39.1787	415.55	2.5
787.7642	41.4461	419.9	0.05
787.9049	43.7131	424.05	1.9
788.0456	45.9796	427.5	1.5
788.1863	48.2456	430.3	-0.05
788.3271	50.5112	436.35	1.2
788.4679	52.7764	440.5	3.65
788.6087	55.0411	441.55	1.4
788.7496	57.3054	446.6	-0.75
788.8904	59.5692	450.5	1.75
789.0313	61.8326	456.85	3.35
789.1722	64.0955	460.05	4.6
789.3132	66.3579	464.6	4.35
789.4541	68.6199	469.75	6.5
789.5951	70.8815	474.9	7.55
789.7361	73.1426	486.1	15.85
789.8771	75.4032	497.85	21.95
790.0181	77.6634	513.9	33.5
790.1592	79.9231	540.35	56.65
790.3003	82.1824	591.55	101.45
790.4414	84.4412	673.1	172.3
790.5825	86.6995	798.4	286.7
790.7237	88.9574	941	412.5
790.8648	91.2148	1044.3	510.4
791.006	93.4717	1096.85	558.2
791.1472	95.7282	1096.5	552.75
791.2885	97.9842	1094.65	547.75
791.4297	100.2398	1086.65	535.05
791.571	102.4949	1090.1	535.75
791.7123	104.7495	1119.05	562.4
791.8536	107.0036	1119.5	562.4
791.9949	109.2573	1101	543.8
792.1363	111.5105	1076.1	515.35
792.2777	113.7632	1078.6	517.75
792.4191	116.0154	1091.5	519
792.5605	118.2672	1076.25	511.6
792.7019	120.5185	1092.2	525.75
792.8434	122.7693	1080.8	511.85
792.9849	125.0197	1085.45	511.1
793.1264	127.2696	1074.15	498.5
793.2679	129.519	1075.55	495.45
793.4094	131.7679	1084.6	502.95
793.551	134.0163	1068.55	484.65
793.6926	136.2642	1081.95	492.3
793.8342	138.5117	1095.3	501.45
793.9758	140.7587	1086.8	493.7
794.1175	143.0052	1082.6	486.35
794.2591	145.2512	1075.9	480.6
794.4008	147.4967	1074	475.95
794.5425	149.7417	1072.25	471
794.6842	151.9863	1083.25	479
794.826	154.2304	1093	486.8
794.9677	156.4739	1085.65	474.75
795.1095	158.717	1085.5	472.75
795.2513	160.9596	1087.1	469.75
795.3931	163.2017	1094.45	474.8
795.535	165.4433	1094.4	472.7
795.6768	167.6844	1087.7	465.75
795.8187	169.925	1086.1	457.45
795.9606	172.1651	1093	462.4
796.1025	174.4047	1091.2	458.6
796.2445	176.6439	1095.05	460.35
796.3864	178.8825	1091.2	453.85
796.5284	181.1206	1097.8	453.4
796.6704	183.3582	1105.4	458.55
796.8124	185.5954	1106.65	459.45
796.9544	187.832	1113.1	459.55
797.0965	190.0681	1115.55	462.35
797.2386	192.3037	1118.35	461.15
797.3806	194.5388	1119.15	456.8
797.5228	196.7734	1117.25	453.15
797.6649	199.0075	1130.95	464.5
797.807	201.2411	1137.5	466.85
797.9492	203.4742	1128.2	460.6
798.0914	205.7068	1135.7	464.95
798.2336	207.9389	1132.65	461.25
798.3758	210.1704	1136.2	462.8
798.518	212.4015	1136.9	460.6
798.6603	214.632	1135.5	458.45
798.8025	216.862	1118.15	455.45
798.9448	219.0915	1119.75	461.75
799.0871	221.3205	1122.55	462.65
799.2294	223.549	1114.55	459.55
799.3718	225.777	1119.55	464.4
799.5141	228.0044	1124.7	465.15
799.6565	230.2314	1113.35	458.45
799.7989	232.4578	1122.2	461.15
799.9413	234.6837	1124.7	459.05
800.0837	236.909	1132.85	466.25
800.2262	239.1339	1156.15	465.7
800.3687	241.3582	1140.85	464.9
800.5111	243.582	1171.3	460.55
800.6536	245.8053	1154.95	460.8
800.7961	248.0281	1154.95	463.3
800.9387	250.2503	1168.8	472.45
801.0812	252.472	1170.2	468.2
801.2238	254.6932	1171.5	470.2
801.3664	256.9139	1169.8	465.35
801.509	259.134	1167.35	460.85
801.6516	261.3536	1179.65	475.05
801.7942	263.5727	1178.35	469.3
801.9369	265.7912	1169.85	462.55
802.0795	268.0092	1170.9	464
802.2222	270.2267	1177.35	469.15
802.3649	272.4436	1176.2	466.25
802.5076	274.6601	1178.75	460.9
802.6504	276.8759	1175.65	463.9
802.7931	279.0913	1178.6	464.3
802.9359	281.3061	1179.95	462
803.0787	283.5204	1189.35	471.1
803.2215	285.7341	1187.05	464.9
803.3643	287.9473	1203.8	471.6
803.5071	290.16	1195.5	465.4
803.6499	292.3721	1190.95	464.05
803.7928	294.5837	1193.35	470.1
803.9357	296.7947	1192.4	467.75
804.0786	299.0052	1194.6	467.25
804.2215	301.2152	1196.1	467.05
804.3644	303.4246	1187.3	461
804.5074	305.6334	1186	462.1
804.6503	307.8418	1196.5	472.5
804.7933	310.0495	1196.2	462.45
804.9363	312.2568	1195.5	465.95
805.0793	314.4635	1204.7	470.75
805.2223	316.6696	1197.8	463.4
805.3653	318.8752	1206	466.05
805.5084	321.0802	1196.25	461.35
805.6514	323.2847	1204	465.35
805.7945	325.4887	1200	464.7
805.9376	327.692	1203.2	462.3
806.0807	329.8949	1207.2	466.75
806.2238	332.0972	1205.8	465.05
806.367	334.2989	1213.6	467
806.5101	336.5001	1215.2	468.8
806.6533	338.7007	1213	465.65
806.7965	340.9008	1210.35	461.55
806.9397	343.1003	1215.2	466.65
807.0829	345.2992	1215.3	464.35
807.2261	347.4976	1217.75	465.45
807.3693	349.6955	1221.3	462.5
807.5126	351.8927	1228.4	470.7
807.6559	354.0895	1230.55	459.2
807.7991	356.2856	1223.8	465.2
807.9424	358.4812	1227.3	469.3
808.0857	360.6763	1229.2	469.05
808.2291	362.8707	1223.75	463.6
808.3724	365.0646	1222.45	457.4
808.5158	367.258	1225.4	459.7
808.6591	369.4508	1228.3	458.8
808.8025	371.643	1238.85	467.7
808.9459	373.8346	1242.55	471.45
809.0893	376.0257	1253.1	479.3
809.2327	378.2162	1257	485.1
809.3762	380.4062	1256.05	478.2
809.5196	382.5956	1246.55	470.5
809.6631	384.7844	1244.55	469.9
809.8066	386.9726	1234.25	459.5
809.9501	389.1603	1243	468.35
810.0936	391.3474	1274.9	459.15
810.2371	393.5339	1234.6	459.25
810.3806	395.7199	1231.65	459.65
810.5241	397.9052	1223.75	456.5
810.6677	400.09	1226.8	456.95
810.8113	402.2743	1226.7	454.9
810.9548	404.4579	1222.25	453.9
811.0984	406.641	1230.95	462.4
811.2421	408.8235	1238.25	467.8
811.3857	411.0054	1247.1	475.4
811.5293	413.1868	1313.6	537.3
811.673	415.3675	1392.05	611.85
811.8166	417.5477	1423.4	643.8
811.9603	419.7273	1374.55	593.65
812.104	421.9064	1300.15	512.85
812.2477	424.0848	1270.8	486.75
812.3914	426.2627	1267.9	482.45
812.5351	428.4399	1277	488.15
812.6788	430.6166	1279	488.25
812.8226	432.7928	1276.6	483.1
812.9663	434.9683	1264.45	473.8
813.1101	437.1432	1261.6	466.8
813.2539	439.3176	1249.75	457.5
813.3977	441.4914	1243.75	451.65
813.5415	443.6645	1249.8	455.6
813.6853	445.8371	1260.15	465.25
813.8291	448.0091	1264.05	469.75
813.973	450.1806	1250.25	457
814.1168	452.3514	1246	449.2
814.2607	454.5216	1243.3	436.35
814.4046	456.6913	1232.9	434.55
814.5485	458.8603	1232.7	433.25
814.6924	461.0288	1223.15	428.05
814.8363	463.1967	1221.15	424.5
814.9802	465.3639	1232.35	431
815.1241	467.5306	1229.25	427.95
815.2681	469.6967	1225.7	425.55
815.412	471.8622	1223.55	424.95
815.556	474.0271	1223.05	422.9
815.7	476.1914	1230.55	424.45
815.844	478.3551	1227.05	424.25
815.988	480.5182	1220.15	416.85
816.132	482.6807	1219.55	416.85
816.276	484.8426	1207.35	408.4
816.4201	487.0039	1212.85	412.5
816.5641	489.1647	1222.9	419.15
816.7082	491.3248	1231.55	426.3
816.8522	493.4843	1226.9	422.8
816.9963	495.6432	1223.9	420.6
817.1404	497.8015	1235.4	425.05
817.2845	499.9592	1239.75	428.05
817.4286	502.1163	1235.6	425.45
817.5727	504.2728	1225.25	415.2
817.7168	506.4287	1219.9	416.1
817.861	508.5839	1218.6	411
818.0051	510.7386	1227.55	419.25
818.1493	512.8927	1241.35	421.45
818.2935	515.0461	1236.1	423.9
818.4377	517.199	1235.7	422.5
818.5818	519.3512	1235.35	422.2
818.726	521.5029	1234.8	417.8
818.8703	523.6539	1228.2	416.1
819.0145	525.8043	1233.65	416.55
819.1587	527.9541	1235.4	418.05
819.303	530.1033	1230.8	413.1
819.4472	532.2519	1228.7	413.4
819.5915	534.3999	1228.85	413.3
819.7357	536.5472	1225.7	408.45
819.88	538.694	1228	412.8
820.0243	540.8401	1229.7	410.65
820.1686	542.9856	1241.5	419.35
820.3129	545.1305	1248.55	422.3
820.4572	547.2748	1247.1	422.5
820.6016	549.4185	1253.9	425.75
820.7459	551.5615	1250.2	422.1
820.8902	553.704	1249.05	423.65
821.0346	555.8458	1240.65	417.05
821.1789	557.987	1243.45	420.6
821.3233	560.1276	1240.45	413
821.4677	562.2675	1246.95	421.35
821.6121	564.4069	1243.7	417.25
821.7565	566.5456	1241.6	418.05
821.9009	568.6837	1241.4	417.55
822.0453	570.8212	1248.05	421.55
822.1897	572.958	1264.2	436.45
822.3342	575.0942	1273.9	450.6
822.4786	577.2299	1265.55	441.55
822.6231	579.3648	1240.35	419
822.7675	581.4992	1218.5	401.9
822.912	583.6329	1210.9	394.2
823.0565	585.766	1212	389.8
823.201	587.8985	1212.6	390.3
823.3454	590.0304	1230.05	390.65
823.4899	592.1616	1229.95	399.25
823.6345	594.2922	1231.6	402
823.779	596.4222	1228.8	393.6
823.9235	598.5515	1234.5	401.2
824.068	600.6802	1232.85	397.35
824.2126	602.8083	1227.9	394.75
824.3571	604.9358	1225.2	391.15
824.5017	607.0626	1236.5	402.5
824.6462	609.1888	1235.05	397.55
824.7908	611.3144	1238.05	400.2
824.9354	613.4393	1236.05	402
825.08	615.5636	1235.2	398.15
825.2246	617.6873	1236.9	401.4
