Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 12:25:43 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	809
Laser Diode Temp (C):	25
Laser Case Temp (C):	25.2
System Temp (C):	25.1
Spectrometer Temp (C):	23
CCD Temp (C):	-0.005
Secondary Temp (C):	20.008
Heatsink Temp (C):	22.295
CCDPCB Temp (C):	36.251
SecondaryPCB Temp (C):	30.693

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	424.2	10
787.2016	32.3739	424.55	12.45
787.3422	34.6426	426.05	12.15
787.4828	36.9109	427.55	12.05
787.6235	39.1787	431.55	13.85
787.7642	41.4461	439.05	15.55
787.9049	43.7131	444.05	18
788.0456	45.9796	448.85	19.75
788.1863	48.2456	453.35	19.45
788.3271	50.5112	460	22.9
788.4679	52.7764	463.4	22.75
788.6087	55.0411	470.15	25.8
788.7496	57.3054	476.25	25.65
788.8904	59.5692	478.1	29.1
789.0313	61.8326	482.8	30.95
789.1722	64.0955	492.45	35.2
789.3132	66.3579	498.45	36.85
789.4541	68.6199	506.9	40.9
789.5951	70.8815	522.5	55.7
789.7361	73.1426	550.9	81.2
789.8771	75.4032	614.25	139.7
790.0181	77.6634	768.65	291.05
790.1592	79.9231	1134.6	650.65
790.3003	82.1824	1865.5	1378.8
790.4414	84.4412	3111.6	2621.65
790.5825	86.6995	4767.55	4272.3
790.7237	88.9574	6414	5915.55
790.8648	91.2148	7529.3	7029.95
791.006	93.4717	8077.35	7574.15
791.1472	95.7282	8199.65	7695.2
791.2885	97.9842	8159.95	7651.65
791.4297	100.2398	8026.95	7516.45
791.571	102.4949	7904.9	7390.65
791.7123	104.7495	7782.75	7264.45
791.8536	107.0036	7655.15	7137.15
791.9949	109.2573	7498.45	6981.65
792.1363	111.5105	7305.45	6784.6
792.2777	113.7632	7093.1	6570.7
792.4191	116.0154	6836.45	6303.35
792.5605	118.2672	6566.95	6040.2
792.7019	120.5185	6256.4	5730.2
792.8434	122.7693	5962.7	5432.5
792.9849	125.0197	5713.5	5180.4
793.1264	127.2696	5471.1	4936.4
793.2679	129.519	5322.65	4786.5
793.4094	131.7679	5191.35	4653
793.551	134.0163	5125.9	4582.35
793.6926	136.2642	5083.8	4536.6
793.8342	138.5117	5074.9	4523.05
793.9758	140.7587	5035.1	4484.05
794.1175	143.0052	4949.4	4394.2
794.2591	145.2512	4790.75	4236.1
794.4008	147.4967	4643.55	4086.95
794.5425	149.7417	4504.4	3943.95
794.6842	151.9863	4401.1	3836.85
794.826	154.2304	4346.65	3778.75
794.9677	156.4739	4316.75	3742.65
795.1095	158.717	4349.3	3777.3
795.2513	160.9596	4417.15	3839.75
795.3931	163.2017	4507.95	3929.2
795.535	165.4433	4563.75	3983.55
795.6768	167.6844	4583.15	4001.05
795.8187	169.925	4527.15	3942.1
795.9606	172.1651	4386.3	3796.35
796.1025	174.4047	4240.75	3648.5
796.2445	176.6439	4112.85	3517.1
796.3864	178.8825	4015.25	3416.55
796.5284	181.1206	3949.25	3348.1
796.6704	183.3582	3916.9	3312.2
796.8124	185.5954	3887.15	3281.45
796.9544	187.832	3866.95	3257.85
797.0965	190.0681	3865.75	3255.4
797.2386	192.3037	3888.15	3271.65
797.3806	194.5388	3891.7	3274
797.5228	196.7734	3888.75	3267.25
797.6649	199.0075	3924.4	3299.75
797.807	201.2411	4006	3379.4
797.9492	203.4742	4051.55	3423.45
798.0914	205.7068	4108.45	3479.95
798.2336	207.9389	4179.3	3550.7
798.3758	210.1704	4214.4	3583.95
798.518	212.4015	4238.7	3602.7
798.6603	214.632	4241.9	3607.2
798.8025	216.862	4238.2	3607.15
798.9448	219.0915	4236.9	3611.4
799.0871	221.3205	4271.1	3649.3
799.2294	223.549	4304.55	3686.45
799.3718	225.777	4306.55	3688.6
799.5141	228.0044	4307.95	3687.15
799.6565	230.2314	4287.6	3670.45
799.7989	232.4578	4233.5	3615.9
799.9413	234.6837	4212.25	3586.9
800.0837	236.909	4165.7	3538.25
800.2262	239.1339	4140.35	3487.95
800.3687	241.3582	4093.2	3455.45
800.5111	243.582	4120.55	3455.85
800.6536	245.8053	4119.45	3464
800.7961	248.0281	4107	3455.7
800.9387	250.2503	4142.5	3487.1
801.0812	252.472	4146.9	3486.9
801.2238	254.6932	4182.7	3520.35
801.3664	256.9139	4187.2	3519.65
801.509	259.134	4207.35	3537.7
801.6516	261.3536	4256	3589.15
801.7942	263.5727	4351.55	3683.55
801.9369	265.7912	4462.55	3793.25
802.0795	268.0092	4637.95	3966.3
802.2222	270.2267	4819.8	4147.75
802.3649	272.4436	4946.85	4274.9
802.5076	274.6601	5066.7	4381.85
802.6504	276.8759	5099.9	4421.95
802.7931	279.0913	5189.95	4512.65
802.9359	281.3061	5253.45	4575.55
803.0787	283.5204	5310.45	4627.05
803.2215	285.7341	5379.1	4693.95
803.3643	287.9473	5473.8	4786.35
803.5071	290.16	5479.7	4787.1
803.6499	292.3721	5356.6	4669.85
803.7928	294.5837	5200.85	4513.05
803.9357	296.7947	5067.25	4379.7
804.0786	299.0052	4991.8	4302.3
804.2215	301.2152	4946.4	4252.05
804.3644	303.4246	4918.25	4228.5
804.5074	305.6334	4909.9	4220.5
804.6503	307.8418	4899.2	4205.1
804.7933	310.0495	4843.7	4148.9
804.9363	312.2568	4752.4	4060.7
805.0793	314.4635	4640.15	3942.9
805.2223	316.6696	4490.45	3791.5
805.3653	318.8752	4340.95	3634.5
805.5084	321.0802	4244.35	3546.15
805.6514	323.2847	4219.15	3518.8
805.7945	325.4887	4202.6	3502.4
805.9376	327.692	4253.55	3549.55
806.0807	329.8949	4384.95	3683.6
806.2238	332.0972	4540.9	3836.9
806.367	334.2989	4662.6	3953.65
806.5101	336.5001	4700.45	3991.45
806.6533	338.7007	4642.45	3933.9
806.7965	340.9008	4489.6	3779
806.9397	343.1003	4289.2	3575.3
807.0829	345.2992	4118	3403.75
807.2261	347.4976	3968	3252.3
807.3693	349.6955	3867.5	3146.4
807.5126	351.8927	3794.05	3072.3
807.6559	354.0895	3756.05	3023.55
807.7991	356.2856	3724.45	3003.65
807.9424	358.4812	3692.7	2970.85
808.0857	360.6763	3676.6	2952.05
808.2291	362.8707	3631.2	2907.35
808.3724	365.0646	3634.7	2907.55
808.5158	367.258	3660.5	2930.55
808.6591	369.4508	3694.7	2964
808.8025	371.643	3797.4	3065.45
808.9459	373.8346	3890.5	3155.6
809.0893	376.0257	4019.6	3281.65
809.2327	378.2162	4119.25	3379.55
809.3762	380.4062	4176.45	3435.4
809.5196	382.5956	4129.5	3384.35
809.6631	384.7844	4024.4	3281.65
809.8066	386.9726	3867	3121.85
809.9501	389.1603	3767.15	3020.35
810.0936	391.3474	3721.4	2943.4
810.2371	393.5339	3695.85	2949.8
810.3806	395.7199	3692.8	2950.4
810.5241	397.9052	3774.6	3033.6
810.6677	400.09	3909.35	3169.65
810.8113	402.2743	4067.65	3330.8
810.9548	404.4579	4151.85	3415.25
811.0984	406.641	4259.35	3520.65
811.2421	408.8235	4393.25	3652.25
811.3857	411.0054	4506.65	3764.55
811.5293	413.1868	4597.35	3853.5
811.673	415.3675	4647.1	3901.8
811.8166	417.5477	4616.8	3871.5
811.9603	419.7273	4568.15	3818
812.104	421.9064	4455.8	3699.55
812.2477	424.0848	4294.85	3541.75
812.3914	426.2627	4112.5	3354.15
812.5351	428.4399	3921.8	3163.35
812.6788	430.6166	3756.15	2994.65
812.8226	432.7928	3629.3	2867.35
812.9663	434.9683	3518.4	2755.9
813.1101	437.1432	3446.85	2681.55
813.2539	439.3176	3406.8	2641.65
813.3977	441.4914	3362.6	2598.95
813.5415	443.6645	3352.7	2583.3
813.6853	445.8371	3339.75	2571.65
813.8291	448.0091	3337	2570.05
813.973	450.1806	3339.55	2569.8
814.1168	452.3514	3349.4	2578.2
814.2607	454.5216	3366.4	2587.55
814.4046	456.6913	3364	2589.35
814.5485	458.8603	3390.7	2616.9
814.6924	461.0288	3401.85	2628
814.8363	463.1967	3396	2621.45
814.9802	465.3639	3396.45	2620.1
815.1241	467.5306	3379.45	2603.5
815.2681	469.6967	3357.15	2581.95
815.412	471.8622	3337.3	2559.95
815.556	474.0271	3335.05	2557.7
815.7	476.1914	3328.55	2549.6
815.844	478.3551	3319.65	2538.25
815.988	480.5182	3312.35	2533.1
816.132	482.6807	3326.65	2544.95
816.276	484.8426	3376.55	2595.65
816.4201	487.0039	3488.45	2706.55
816.5641	489.1647	3672.7	2888.95
816.7082	491.3248	3809.9	3028
816.8522	493.4843	3855.75	3072.5
816.9963	495.6432	3852.4	3069.95
817.1404	497.8015	3756.05	2970.7
817.2845	499.9592	3630.35	2844.75
817.4286	502.1163	3461.9	2676.25
817.5727	504.2728	3324	2537.2
817.7168	506.4287	3256.2	2469.5
817.861	508.5839	3212.25	2425.3
818.0051	510.7386	3177.75	2390.1
818.1493	512.8927	3192.15	2396.35
818.2935	515.0461	3200.25	2411.5
818.4377	517.199	3240.7	2450.35
818.5818	519.3512	3371.75	2582.5
818.726	521.5029	3579.8	2783.25
818.8703	523.6539	3786.5	2992.7
819.0145	525.8043	3817	3023.9
819.1587	527.9541	3699.15	2904.65
819.303	530.1033	3474.85	2680.95
819.4472	532.2519	3303.75	2508
819.5915	534.3999	3230.5	2433.35
819.7357	536.5472	3190.2	2393.35
819.88	538.694	3204.15	2408.15
820.0243	540.8401	3235.05	2438.5
820.1686	542.9856	3300.85	2502.3
820.3129	545.1305	3351.7	2552.6
820.4572	547.2748	3410	2611.05
820.6016	549.4185	3411.65	2610.15
820.7459	551.5615	3421.45	2619.1
820.8902	553.704	3473.8	2671.7
821.0346	555.8458	3527.9	2726.4
821.1789	557.987	3588.65	2787.8
821.3233	560.1276	3684.5	2880.45
821.4677	562.2675	3895.2	3094.25
821.6121	564.4069	4152.45	3348.6
821.7565	566.5456	4314.85	3511.9
821.9009	568.6837	4263.05	3458.75
822.0453	570.8212	3977.2	3172.7
822.1897	572.958	3658.2	2854.45
822.3342	575.0942	3460.55	2655.95
822.4786	577.2299	3339.25	2533.3
