Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 12:28:05 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	821
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	25.6
System Temp (C):	25.5
Spectrometer Temp (C):	23.3
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	22.457
CCDPCB Temp (C):	35.951
SecondaryPCB Temp (C):	30.805

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	421.05	9.3
787.2016	32.3739	418.15	8.25
787.3422	34.6426	420.3	7.05
787.4828	36.9109	423.55	9.95
787.6235	39.1787	426.3	9.4
787.7642	41.4461	433.05	10.95
787.9049	43.7131	436.85	11.15
788.0456	45.9796	440.95	12.6
788.1863	48.2456	443.4	9.65
788.3271	50.5112	451.85	14.55
788.4679	52.7764	453.2	13.2
788.6087	55.0411	457.9	14.15
788.7496	57.3054	461.9	12.85
788.8904	59.5692	463.4	14.25
789.0313	61.8326	469.4	17.5
789.1722	64.0955	478.9	22.8
789.3132	66.3579	484.8	23.45
789.4541	68.6199	493.3	28.5
789.5951	70.8815	501.8	35.2
789.7361	73.1426	520.75	51.2
789.8771	75.4032	563.25	88.9
790.0181	77.6634	651	171.65
790.1592	79.9231	866.1	384.35
790.3003	82.1824	1314.1	830
790.4414	84.4412	2056.6	1566.8
790.5825	86.6995	3042.15	2544.5
790.7237	88.9574	3991.1	3490.95
790.8648	91.2148	4686.45	4185.2
791.006	93.4717	4999.25	4494.75
791.1472	95.7282	5075.5	4565.25
791.2885	97.9842	5084.15	4573.2
791.4297	100.2398	5010.65	4496.7
791.571	102.4949	4952.45	4436.4
791.7123	104.7495	4904	4381.7
791.8536	107.0036	4837.45	4314.25
791.9949	109.2573	4770.1	4252.2
792.1363	111.5105	4655.6	4132.9
792.2777	113.7632	4554	4030.1
792.4191	116.0154	4447.7	3910.3
792.5605	118.2672	4303.05	3773.45
792.7019	120.5185	4169.65	3638.6
792.8434	122.7693	4039.05	3506.7
792.9849	125.0197	3905.1	3370.3
793.1264	127.2696	3783.8	3246.1
793.2679	129.519	3719.8	3178.95
793.4094	131.7679	3666.4	3122.25
793.551	134.0163	3635.75	3090.55
793.6926	136.2642	3630.5	3080.4
793.8342	138.5117	3626.8	3071.5
793.9758	140.7587	3594.75	3038.4
794.1175	143.0052	3566.25	3005.6
794.2591	145.2512	3489.5	2928.25
794.4008	147.4967	3410.05	2852.05
794.5425	149.7417	3338.65	2775.75
794.6842	151.9863	3296.8	2730.6
794.826	154.2304	3270.55	2700.45
794.9677	156.4739	3240.75	2662.1
795.1095	158.717	3259.15	2684.75
795.2513	160.9596	3302.55	2722.2
795.3931	163.2017	3342.7	2759.85
795.535	165.4433	3374.25	2790.45
795.6768	167.6844	3382.5	2795.9
795.8187	169.925	3334.05	2746.05
795.9606	172.1651	3276.95	2683.05
796.1025	174.4047	3194.85	2599.5
796.2445	176.6439	3135.05	2539.25
796.3864	178.8825	3096.35	2493.8
796.5284	181.1206	3071.9	2467.35
796.6704	183.3582	3058.2	2452.9
796.8124	185.5954	3043.35	2434.25
796.9544	187.832	3042.3	2428.8
797.0965	190.0681	3039.25	2424.2
797.2386	192.3037	3046.7	2426.95
797.3806	194.5388	3025.55	2402.25
797.5228	196.7734	3060.6	2435.85
797.6649	199.0075	3078.65	2450.05
797.807	201.2411	3100.9	2468.95
