Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 12:40:02 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25
Laser Case Temp (C):	27
System Temp (C):	27
Spectrometer Temp (C):	24.5
CCD Temp (C):	0.009
Secondary Temp (C):	20
Heatsink Temp (C):	23.076
CCDPCB Temp (C):	36.796
SecondaryPCB Temp (C):	34.106

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	418.25	7.85
787.2016	32.3739	415.25	6.4
787.3422	34.6426	418.15	6.25
787.4828	36.9109	421.8	8.05
787.6235	39.1787	424.2	7
787.7642	41.4461	430.05	10.4
787.9049	43.7131	431.6	6.55
788.0456	45.9796	437.3	8.2
788.1863	48.2456	439	4.95
788.3271	50.5112	447.95	12.4
788.4679	52.7764	449.3	11.35
788.6087	55.0411	455.5	14.25
788.7496	57.3054	458.5	13.6
788.8904	59.5692	461.95	12.8
789.0313	61.8326	467.6	14.8
789.1722	64.0955	471.95	15.7
789.3132	66.3579	478.95	17.2
789.4541	68.6199	485.1	19.65
789.5951	70.8815	490.75	22.1
789.7361	73.1426	505.75	33.45
789.8771	75.4032	536	60.45
790.0181	77.6634	601.65	120.45
790.1592	79.9231	741.65	257.5
790.3003	82.1824	1039.55	549.85
790.4414	84.4412	1538.4	1043.5
790.5825	86.6995	2218.1	1713.05
790.7237	88.9574	2850.8	2339.5
790.8648	91.2148	3333	2818.65
791.006	93.4717	3544.7	3022.5
791.1472	95.7282	3596.8	3073.4
791.2885	97.9842	3614.5	3090.05
791.4297	100.2398	3582.45	3053.45
791.571	102.4949	3543.75	3009
791.7123	104.7495	3541.05	3004.85
791.8536	107.0036	3508.25	2972.35
791.9949	109.2573	3467.45	2932.05
792.1363	111.5105	3412.75	2875.35
792.2777	113.7632	3354.1	2815
792.4191	116.0154	3296.05	2747.55
792.5605	118.2672	3221.7	2677.35
792.7019	120.5185	3157.65	2613.2
792.8434	122.7693	3104.5	2557.5
792.9849	125.0197	3048.35	2498.5
793.1264	127.2696	2989.85	2438.7
793.2679	129.519	2957.9	2404.2
793.4094	131.7679	2949.1	2392.8
793.551	134.0163	2937.8	2377.2
793.6926	136.2642	2935.55	2369.6
793.8342	138.5117	2925.05	2354.4
793.9758	140.7587	2916.5	2345.1
794.1175	143.0052	2877.9	2305.45
794.2591	145.2512	2845.7	2273.05
794.4008	147.4967	2813.3	2240
794.5425	149.7417	2788.45	2213
794.6842	151.9863	2755.5	2175.35
794.826	154.2304	2745.2	2164.45
794.9677	156.4739	2740.35	2150.75
795.1095	158.717	2748.9	2160.45
795.2513	160.9596	2758.1	2164.85
