Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 12:58:58 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	823
Laser Diode Temp (C):	25
Laser Case Temp (C):	27.9
System Temp (C):	28
Spectrometer Temp (C):	25.7
CCD Temp (C):	0.004
Secondary Temp (C):	20.01
Heatsink Temp (C):	23.772
CCDPCB Temp (C):	37.018
SecondaryPCB Temp (C):	35.095

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	418.2	5.7
787.2016	32.3739	416.75	6.45
787.3422	34.6426	418.15	6.7
787.4828	36.9109	422.3	9
787.6235	39.1787	424.9	7.8
787.7642	41.4461	430.85	9.65
787.9049	43.7131	436.9	12
788.0456	45.9796	437.7	9.2
788.1863	48.2456	443.2	9.85
788.3271	50.5112	448.85	10.9
788.4679	52.7764	450.8	11.95
788.6087	55.0411	452.95	8.05
788.7496	57.3054	459.5	12.75
788.8904	59.5692	464.55	13.95
789.0313	61.8326	470.2	18
789.1722	64.0955	475.6	17.95
789.3132	66.3579	482.6	17.95
789.4541	68.6199	485.75	19.85
789.5951	70.8815	496.55	28.9
789.7361	73.1426	512.05	39.05
789.8771	75.4032	544.75	68.5
790.0181	77.6634	614.95	135.4
790.1592	79.9231	775.95	289.95
790.3003	82.1824	1118.3	624.9
790.4414	84.4412	1686.65	1183.8
790.5825	86.6995	2448.55	1931.75
790.7237	88.9574	3193.15	2666.25
790.8648	91.2148	3728.55	3192.2
791.006	93.4717	3991.85	3450.45
791.1472	95.7282	4061.9	3514.3
791.2885	97.9842	4105.7	3556.4
791.4297	100.2398	4066.05	3515.35
791.571	102.4949	4053.45	3497.15
791.7123	104.7495	4034.7	3474.6
791.8536	107.0036	3978.85	3420
791.9949	109.2573	3936.7	3377.45
792.1363	111.5105	3866.1	3306.3
792.2777	113.7632	3790.55	3228.75
792.4191	116.0154	3744.55	3171.1
792.5605	118.2672	3677.8	3112.2
792.7019	120.5185	3610.9	3042.15
792.8434	122.7693	3557.15	2987.25
792.9849	125.0197	3493.25	2921.55
793.1264	127.2696	3444.55	2866.55
793.2679	129.519	3418.1	2839.8
793.4094	131.7679	3400.55	2820.6
793.551	134.0163	3389.75	2807.45
793.6926	136.2642	3383.65	2795.65
793.8342	138.5117	3386.4	2794
793.9758	140.7587	3362.4	2771.95
794.1175	143.0052	3323.4	2727.9
794.2591	145.2512	3292.55	2698.4
794.4008	147.4967	3257.25	2660.6
794.5425	149.7417	3219.65	2620.5
794.6842	151.9863	3201.85	2601.05
794.826	154.2304	3208.3	2602.4
794.9677	156.4739	3192.35	2577.5
795.1095	158.717	3207.25	2594.75
795.2513	160.9596	3210	2593.65
795.3931	163.2017	3231.15	2615.25
