Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 12:59:45 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	823
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	27.9
System Temp (C):	27.9
Spectrometer Temp (C):	25.8
CCD Temp (C):	0
Secondary Temp (C):	20.008
Heatsink Temp (C):	23.808
CCDPCB Temp (C):	37.585
SecondaryPCB Temp (C):	34.973

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	418.75	5.8
787.2016	32.3739	418.45	7.65
787.3422	34.6426	420.15	6.55
787.4828	36.9109	419	5.65
787.6235	39.1787	425.05	7.2
787.7642	41.4461	432.9	11.3
787.9049	43.7131	435.4	9.4
788.0456	45.9796	440.5	12.25
788.1863	48.2456	444.6	11.15
788.3271	50.5112	448.45	11.6
788.4679	52.7764	450.35	10.8
788.6087	55.0411	455.1	16.9
788.7496	57.3054	463	17.05
788.8904	59.5692	463.55	15.95
789.0313	61.8326	469.1	15.9
789.1722	64.0955	476.45	18.95
789.3132	66.3579	483.1	19.15
789.4541	68.6199	487.15	23.15
789.5951	70.8815	494.9	25
789.7361	73.1426	512.55	40.95
789.8771	75.4032	547.45	71.3
790.0181	77.6634	615.3	135.1
790.1592	79.9231	775.15	289.15
790.3003	82.1824	1126.55	633.65
790.4414	84.4412	1702.4	1198.4
790.5825	86.6995	2476.6	1959
790.7237	88.9574	3225.2	2696.55
790.8648	91.2148	3764.7	3225.85
791.006	93.4717	4048.6	3504.1
791.1472	95.7282	4118.8	3568.7
791.2885	97.9842	4135.85	3581.6
791.4297	100.2398	4122.2	3567.2
791.571	102.4949	4086.85	3529.45
791.7123	104.7495	4069.7	3508.65
791.8536	107.0036	4028.05	3468.5
791.9949	109.2573	3991.65	3433.15
792.1363	111.5105	3902.4	3340.35
792.2777	113.7632	3853.75	3289.35
792.4191	116.0154	3803.4	3229.8
792.5605	118.2672	3732.05	3164.15
