Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:06:53 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	824
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	28
System Temp (C):	28.1
Spectrometer Temp (C):	25.9
CCD Temp (C):	0.002
Secondary Temp (C):	20.004
Heatsink Temp (C):	23.909
CCDPCB Temp (C):	37.463
SecondaryPCB Temp (C):	35.24

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	423.15	11.5
787.2016	32.3739	421.35	11.05
787.3422	34.6426	422.5	9.4
787.4828	36.9109	426.8	13.7
787.6235	39.1787	430.45	13.3
787.7642	41.4461	437.1	13.75
787.9049	43.7131	441.05	17.1
788.0456	45.9796	446	18.45
788.1863	48.2456	452.75	16.9
788.3271	50.5112	456.25	17.55
788.4679	52.7764	458.9	19.9
788.6087	55.0411	463.8	21.5
788.7496	57.3054	469.7	21.2
788.8904	59.5692	473.15	22.5
789.0313	61.8326	482.9	29.4
789.1722	64.0955	490.05	33.15
789.3132	66.3579	497.6	35.8
789.4541	68.6199	501.85	39.1
789.5951	70.8815	515.9	50
789.7361	73.1426	536.25	65.95
789.8771	75.4032	585.5	109.55
790.0181	77.6634	697.95	217.3
790.1592	79.9231	977	491.35
790.3003	82.1824	1548.05	1054.45
790.4414	84.4412	2533.15	2031
790.5825	86.6995	3853.45	3337.1
790.7237	88.9574	5166.15	4639.5
790.8648	91.2148	6093.15	5563.15
791.006	93.4717	6568.3	6032.9
791.1472	95.7282	6683.4	6142.8
791.2885	97.9842	6703.8	6161.65
791.4297	100.2398	6624.6	6078.7
791.571	102.4949	6527.4	5975.55
791.7123	104.7495	6396	5842.55
791.8536	107.0036	6274.75	5720.85
791.9949	109.2573	6148.25	5596.2
792.1363	111.5105	6024.3	5468.95
792.2777	113.7632	5915.3	5358.45
792.4191	116.0154	5827.15	5258.2
792.5605	118.2672	5773.3	5211.15
792.7019	120.5185	5711.1	5148.15
792.8434	122.7693	5659.3	5091.7
792.9849	125.0197	5605.95	5036.05
793.1264	127.2696	5562.4	4989.15
793.2679	129.519	5545.25	4970.35
793.4094	131.7679	5539.15	4963.5
793.551	134.0163	5490	4909.5
793.6926	136.2642	5461.8	4877.75
793.8342	138.5117	5410.35	4822.7
793.9758	140.7587	5360.1	4770.2
794.1175	143.0052	5310.45	4716.2
794.2591	145.2512	5235.95	4644.4
794.4008	147.4967	5188.25	4595.7
794.5425	149.7417	5142.1	4546.5
794.6842	151.9863	5105.05	4504.65
794.826	154.2304	5118.65	4514.95
794.9677	156.4739	5074.5	4466.95
795.1095	158.717	5067.05	4460.3
795.2513	160.9596	5054.55	4443.25
795.3931	163.2017	5022.85	4409.5
795.535	165.4433	4990.75	4374.85
795.6768	167.6844	4949.3	4330.55
795.8187	169.925	4898.6	4277.95
795.9606	172.1651	4856.6	4232.75
796.1025	174.4047	4811.65	4183.35
796.2445	176.6439	4757.1	4128.65
796.3864	178.8825	4739.45	4107.1
796.5284	181.1206	4726.7	4091.55
796.6704	183.3582	4697.75	4057.05
796.8124	185.5954	4669.6	4028.15
796.9544	187.832	4666.85	4023.25
797.0965	190.0681	4678.45	4031.25
797.2386	192.3037	4678.95	4030.85
797.3806	194.5388	4674.1	4020.45
797.5228	196.7734	4682.6	4027.55
797.6649	199.0075	4679.25	4019.05
797.807	201.2411	4715.75	4055.7
797.9492	203.4742	4723.35	4064.85
798.0914	205.7068	4747.3	4083.55
798.2336	207.9389	4772.7	4108.85
798.3758	210.1704	4784.95	4118.3
798.518	212.4015	4784.25	4112.95
798.6603	214.632	4825.85	4156.45
798.8025	216.862	4811.8	4151.4
798.9448	219.0915	4834.85	4182.7
799.0871	221.3205	4832.75	4181.1
799.2294	223.549	4847.25	4199.35
799.3718	225.777	4853.25	4205.2
799.5141	228.0044	4862.5	4208.95
799.6565	230.2314	4865.95	4217.3
799.7989	232.4578	4878.7	4224.9
799.9413	234.6837	4883.5	4224.35
800.0837	236.909	4883.15	4223.35
800.2262	239.1339	4906.15	4221.85
800.3687	241.3582	4886.2	4214.85
800.5111	243.582	4900.15	4204.15
800.6536	245.8053	4866.9	4176
800.7961	248.0281	4880.15	4193.95
800.9387	250.2503	4845	4154.55
801.0812	252.472	4843.75	4150.35
801.2238	254.6932	4882.35	4187.25
801.3664	256.9139	4873.85	4176.65
801.509	259.134	4909.75	4212
801.6516	261.3536	4923.35	4225.15
801.7942	263.5727	4956.9	4256.85
801.9369	265.7912	4982.65	4281.05
802.0795	268.0092	5044.75	4345.45
802.2222	270.2267	5068.9	4365.8
802.3649	272.4436	5101.65	4396.45
802.5076	274.6601	5134.1	4421.7
802.6504	276.8759	5107.1	4396.9
802.7931	279.0913	5107.85	4402.15
802.9359	281.3061	5101	4391.7
803.0787	283.5204	5106.55	4394.4
803.2215	285.7341	5088.55	4371.25
803.3643	287.9473	5116.15	4397.75
803.5071	290.16	5103.75	4379.4
803.6499	292.3721	5109.65	4395.25
803.7928	294.5837	5088.05	4370.25
803.9357	296.7947	5095.8	4378.15
804.0786	299.0052	5096.85	4379.6
804.2215	301.2152	5124	4402.05
804.3644	303.4246	5115.95	4399.7
804.5074	305.6334	5077.3	4358.35
804.6503	307.8418	5023.4	4301
804.7933	310.0495	4981.65	4257.75
804.9363	312.2568	4894.75	4171.35
805.0793	314.4635	4841.7	4117.55
805.2223	316.6696	4784.45	4058.15
805.3653	318.8752	4753.25	4019.55
805.5084	321.0802	4722.75	3994.3
805.6514	323.2847	4714.85	3986.55
805.7945	325.4887	4703.2	3973.3
805.9376	327.692	4711.15	3979.95
806.0807	329.8949	4732.65	3999.85
806.2238	332.0972	4712.4	3979.35
