Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:09:17 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25
Laser Case Temp (C):	28.1
System Temp (C):	28.1
Spectrometer Temp (C):	25.9
CCD Temp (C):	-0.002
Secondary Temp (C):	20.008
Heatsink Temp (C):	23.99
CCDPCB Temp (C):	37.574
SecondaryPCB Temp (C):	35.306

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	444.8	32.7
787.2016	32.3739	444.6	34.3
787.3422	34.6426	450.3	39.15
787.4828	36.9109	453.65	39.55
787.6235	39.1787	462.3	43.7
787.7642	41.4461	469.35	47.5
787.9049	43.7131	476.55	49.65
788.0456	45.9796	482.75	52.2
788.1863	48.2456	488.15	54.55
788.3271	50.5112	499.65	62
788.4679	52.7764	503.4	65.3
788.6087	55.0411	512.35	69.95
788.7496	57.3054	520.9	74.15
788.8904	59.5692	530.85	81.2
789.0313	61.8326	538.7	85.3
789.1722	64.0955	548.65	90.9
789.3132	66.3579	560.45	96.75
789.4541	68.6199	578.3	113
789.5951	70.8815	601.75	131.5
789.7361	73.1426	662.75	191
789.8771	75.4032	806.9	331.05
790.0181	77.6634	1180.4	698.45
790.1592	79.9231	2038.8	1551.3
790.3003	82.1824	3881.9	3386.55
790.4414	84.4412	7211.65	6705.6
790.5825	86.6995	11762.55	11239.25
790.7237	88.9574	16224.75	15689.45
790.8648	91.2148	19277.75	18731.6
791.006	93.4717	20714.85	20163
791.1472	95.7282	20923.8	20366.6
791.2885	97.9842	20770.2	20211.65
791.4297	100.2398	20223.1	19662.8
791.571	102.4949	19618.45	19054.9
791.7123	104.7495	18984.15	18416.45
791.8536	107.0036	18301	17733.5
791.9949	109.2573	17699.55	17131.7
792.1363	111.5105	17151.2	16581.65
792.2777	113.7632	16666.6	16092.35
792.4191	116.0154	16227.1	15645.55
792.5605	118.2672	15921.05	15344.25
792.7019	120.5185	15629.45	15055.2
792.8434	122.7693	15401.2	14822.3
792.9849	125.0197	15216.7	14634
793.1264	127.2696	14983	14399.2
793.2679	129.519	14864.55	14281.45
793.4094	131.7679	14678.7	14090.55
793.551	134.0163	14467.85	13874.4
793.6926	136.2642	14244.3	13646.7
793.8342	138.5117	13997.85	13396.45
793.9758	140.7587	13717.4	13116.45
794.1175	143.0052	13468.8	12863.45
794.2591	145.2512	13206.25	12605.15
794.4008	147.4967	12952.8	12348.85
794.5425	149.7417	12789.2	12180.65
794.6842	151.9863	12635.45	12026.2
794.826	154.2304	12562.15	11947.75
794.9677	156.4739	12445.75	11825.2
795.1095	158.717	12386.95	11766.25
795.2513	160.9596	12290.5	11666.2
795.3931	163.2017	12109.4	11482.15
795.535	165.4433	11889.45	11260.9
795.6768	167.6844	11671.45	11042.3
795.8187	169.925	11439.25	10807.05
795.9606	172.1651	11165.7	10531.5
796.1025	174.4047	10976.6	10334.65
796.2445	176.6439	10804.35	10162.5
796.3864	178.8825	10624.6	9980.55
796.5284	181.1206	10508.8	9859.55
796.6704	183.3582	10405	9753.6
796.8124	185.5954	10351.45	9700
796.9544	187.832	10285.75	9630.1
797.0965	190.0681	10267.25	9609.05
797.2386	192.3037	10248.35	9587.75
797.3806	194.5388	10208.6	9543.25
797.5228	196.7734	10234.75	9567.6
797.6649	199.0075	10266.45	9595.9
797.807	201.2411	10355.7	9681.85
797.9492	203.4742	10410.85	9735.8
798.0914	205.7068	10517.75	9844
798.2336	207.9389	10604	9929.6
798.3758	210.1704	10713.3	10035.8
798.518	212.4015	10757.5	10075.65
798.6603	214.632	10849.45	10167.55
798.8025	216.862	10970.2	10293.05
798.9448	219.0915	11011.5	10344.35
799.0871	221.3205	11075.1	10411.2
799.2294	223.549	11113.6	10454.75
799.3718	225.777	11190.75	10532.2
799.5141	228.0044	11239.7	10578.35
799.6565	230.2314	11323	10665.55
799.7989	232.4578	11403.85	10739.85
799.9413	234.6837	11483.75	10815.2
800.0837	236.909	11511.2	10843.25
800.2262	239.1339	11499.45	10807.95
800.3687	241.3582	11446.4	10766.5
800.5111	243.582	11412.75	10703.95
800.6536	245.8053	11340.45	10642
800.7961	248.0281	11285.75	10590
800.9387	250.2503	11280.25	10584.3
801.0812	252.472	11295.05	10592.65
801.2238	254.6932	11355.5	10649.8
801.3664	256.9139	11394.4	10687.95
801.509	259.134	11552.4	10840.9
801.6516	261.3536	11707.3	10998.55
801.7942	263.5727	11933	11221.4
801.9369	265.7912	12085	11374.95
