Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:10:06 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	28.1
System Temp (C):	28.1
Spectrometer Temp (C):	26
CCD Temp (C):	0.005
Secondary Temp (C):	20.008
Heatsink Temp (C):	24.028
CCDPCB Temp (C):	36.974
SecondaryPCB Temp (C):	35.24

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	434.3	23.8
787.2016	32.3739	432.6	24.6
787.3422	34.6426	438.1	28.25
787.4828	36.9109	440.5	28.9
787.6235	39.1787	446.2	29.8
787.7642	41.4461	452.4	30.05
787.9049	43.7131	457.9	34.15
788.0456	45.9796	465.85	38.15
788.1863	48.2456	472.1	38.85
788.3271	50.5112	481.4	45.2
788.4679	52.7764	483.1	43.65
788.6087	55.0411	489.45	48.45
788.7496	57.3054	500.3	54.2
788.8904	59.5692	504.35	53.5
789.0313	61.8326	513.05	59.1
789.1722	64.0955	520.6	63.1
789.3132	66.3579	534.05	69.65
789.4541	68.6199	545.35	78.15
789.5951	70.8815	564.25	95.75
789.7361	73.1426	608.9	137.4
789.8771	75.4032	711.4	234.7
790.0181	77.6634	979.1	496.15
790.1592	79.9231	1586.4	1100.85
790.3003	82.1824	2902.35	2406.95
790.4414	84.4412	5205.5	4701.75
790.5825	86.6995	8359.6	7837.35
790.7237	88.9574	11474.35	10935.4
790.8648	91.2148	13706.45	13162.9
791.006	93.4717	14755.35	14203
791.1472	95.7282	14974.4	14420.1
791.2885	97.9842	14902.5	14345.3
791.4297	100.2398	14550.75	13990.55
791.571	102.4949	14170.05	13608.75
791.7123	104.7495	13738.8	13170.15
791.8536	107.0036	13314.8	12743.25
791.9949	109.2573	12922.45	12356.3
792.1363	111.5105	12543.3	11972.6
792.2777	113.7632	12222.05	11651.5
792.4191	116.0154	11951.45	11370.75
792.5605	118.2672	11762.95	11186.7
792.7019	120.5185	11564.35	10988.65
792.8434	122.7693	11426.95	10848.7
792.9849	125.0197	11273.7	10693.5
793.1264	127.2696	11147.75	10564.25
793.2679	129.519	11049.75	10462.4
793.4094	131.7679	10969.35	10380.05
793.551	134.0163	10817.85	10226.05
793.6926	136.2642	10669.95	10075.2
793.8342	138.5117	10510.5	9907.85
793.9758	140.7587	10319.9	9719.55
794.1175	143.0052	10187.15	9584.75
794.2591	145.2512	10035.6	9432.95
794.4008	147.4967	9851.95	9247.45
794.5425	149.7417	9735.95	9128.7
794.6842	151.9863	9624	9013.4
794.826	154.2304	9570.05	8954.7
794.9677	156.4739	9511.5	8891.7
795.1095	158.717	9470.4	8852.2
795.2513	160.9596	9403.8	8781.15
795.3931	163.2017	9290.75	8664.35
795.535	165.4433	9164.4	8537.1
795.6768	167.6844	9017.75	8387
795.8187	169.925	8868.4	8237
795.9606	172.1651	8708.65	8068.55
796.1025	174.4047	8578.6	7938.4
796.2445	176.6439	8450.3	7811.3
796.3864	178.8825	8336.7	7693.35
796.5284	181.1206	8279.45	7632.85
796.6704	183.3582	8206.8	7556.65
796.8124	185.5954	8166.1	7510.55
796.9544	187.832	8130.3	7473.4
797.0965	190.0681	8099.3	7440.7
797.2386	192.3037	8111.15	7448.85
797.3806	194.5388	8090.75	7427.95
797.5228	196.7734	8107.1	7441.9
797.6649	199.0075	8147.9	7477.25
797.807	201.2411	8187.25	7514.35
797.9492	203.4742	8212.75	7536.4
798.0914	205.7068	8302.95	7626.8
798.2336	207.9389	8326.95	7650.2
798.3758	210.1704	8417	7739.6
798.518	212.4015	8452.45	7772.15
798.6603	214.632	8510.45	7826.95
798.8025	216.862	8582.05	7905.8
798.9448	219.0915	8602.15	7928.75
799.0871	221.3205	8626.95	7960.15
799.2294	223.549	8680.55	8021
799.3718	225.777	8720.4	8060.55
799.5141	228.0044	8748.5	8084.85
799.6565	230.2314	8786.15	8123.7
799.7989	232.4578	8848.3	8186.3
799.9413	234.6837	8866.05	8194
800.0837	236.909	8929.45	8256.6
800.2262	239.1339	8925.35	8231.5
800.3687	241.3582	8889.25	8209.15
800.5111	243.582	8862.2	8156.35
800.6536	245.8053	8800.85	8104.4
800.7961	248.0281	8769.7	8077
800.9387	250.2503	8761.3	8066.7
801.0812	252.472	8776.75	8074.55
801.2238	254.6932	8838.2	8134.5
801.3664	256.9139	8851.4	8144.4
801.509	259.134	8932	8221.3
801.6516	261.3536	9032.9	8327.55
801.7942	263.5727	9159	8449.4
801.9369	265.7912	9277.85	8568.1
802.0795	268.0092	9412.3	8700.2
802.2222	270.2267	9508.95	8793.5
802.3649	272.4436	9582.3	8869
802.5076	274.6601	9610.75	8889.85
802.6504	276.8759	9584.3	8869.05
802.7931	279.0913	9535.85	8816.05
802.9359	281.3061	9489	8767.7
803.0787	283.5204	9470.75	8752.95
803.2215	285.7341	9471.2	8745.65
803.3643	287.9473	9458.4	8730.85
803.5071	290.16	9491.95	8757.3
803.6499	292.3721	9504.5	8777.4
803.7928	294.5837	9584.45	8853.45
803.9357	296.7947	9656.05	8930.15
804.0786	299.0052	9740.2	9008.95
804.2215	301.2152	9723.15	8988.75
804.3644	303.4246	9637.15	8910.5
804.5074	305.6334	9497.95	8767.45
804.6503	307.8418	9335.45	8603.3
804.7933	310.0495	9136.45	8404.7
804.9363	312.2568	8943.3	8211.7
805.0793	314.4635	8731.5	7997.85
805.2223	316.6696	8587.3	7855.3
805.3653	318.8752	8463.3	7717.45
805.5084	321.0802	8414.6	7677
805.6514	323.2847	8417	7676.4
805.7945	325.4887	8440.8	7702.45
805.9376	327.692	8432	7692.2
806.0807	329.8949	8426.65	7686.5
806.2238	332.0972	8362.35	7616.7
806.367	334.2989	8261.25	7512.3
806.5101	336.5001	8153.3	7403.7
