Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:10:53 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	824
Laser Diode Temp (C):	25
Laser Case Temp (C):	28.1
System Temp (C):	28.1
Spectrometer Temp (C):	26.1
CCD Temp (C):	0
Secondary Temp (C):	20.006
Heatsink Temp (C):	24.04
CCDPCB Temp (C):	37.541
SecondaryPCB Temp (C):	35.306

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	430.9	21.35
787.2016	32.3739	431.6	26
787.3422	34.6426	430.45	21
787.4828	36.9109	433	21.6
787.6235	39.1787	439.2	24.5
787.7642	41.4461	447	26
787.9049	43.7131	454.35	30.2
788.0456	45.9796	459.65	31.6
788.1863	48.2456	465.25	34.3
788.3271	50.5112	470.95	35.15
788.4679	52.7764	476.2	39.05
788.6087	55.0411	483.25	41.15
788.7496	57.3054	489.35	45.5
788.8904	59.5692	495.6	45.3
789.0313	61.8326	503.35	50.6
789.1722	64.0955	510.35	52.35
789.3132	66.3579	523.05	61.55
789.4541	68.6199	534.25	68.15
789.5951	70.8815	548.85	80.4
789.7361	73.1426	587.6	115.5
789.8771	75.4032	674.65	194.8
790.0181	77.6634	887.4	406.15
790.1592	79.9231	1384.4	896.95
790.3003	82.1824	2464.45	1969.6
790.4414	84.4412	4358.1	3847.85
790.5825	86.6995	6954.05	6430.85
790.7237	88.9574	9535.3	8997.7
790.8648	91.2148	11367.55	10817.95
791.006	93.4717	12216.25	11660.35
791.1472	95.7282	12417.7	11859.45
791.2885	97.9842	12327.7	11765.35
791.4297	100.2398	12046.05	11483
791.571	102.4949	11755.25	11187.35
791.7123	104.7495	11393.75	10824.05
791.8536	107.0036	11061.4	10491.1
791.9949	109.2573	10744.25	10172.1
792.1363	111.5105	10449.2	9871.8
792.2777	113.7632	10180.9	9608.3
792.4191	116.0154	9960.65	9371.1
792.5605	118.2672	9805.65	9227
792.7019	120.5185	9619.9	9038.55
792.8434	122.7693	9525.7	8946.5
792.9849	125.0197	9429.25	8845.05
793.1264	127.2696	9330.35	8743.5
793.2679	129.519	9240.25	8651.05
793.4094	131.7679	9148.7	8558.85
793.551	134.0163	9051.05	8456.65
793.6926	136.2642	8916.55	8318.85
793.8342	138.5117	8779.15	8174.95
793.9758	140.7587	8627.1	8023.7
794.1175	143.0052	8520.65	7914.65
794.2591	145.2512	8380.7	7774.3
794.4008	147.4967	8267.1	7658.75
794.5425	149.7417	8165.15	7553.1
794.6842	151.9863	8100.7	7485.7
794.826	154.2304	8056.5	7440.8
794.9677	156.4739	7984.1	7360.75
795.1095	158.717	7950.05	7328.55
795.2513	160.9596	7902.3	7275.6
795.3931	163.2017	7794.5	7164.95
795.535	165.4433	7703.5	7071.55
795.6768	167.6844	7561.5	6927.2
795.8187	169.925	7450.65	6814.1
795.9606	172.1651	7321.45	6683.25
796.1025	174.4047	7216.2	6572.4
796.2445	176.6439	7118.35	6472.85
796.3864	178.8825	7019.1	6371.9
796.5284	181.1206	6970.65	6319.8
796.6704	183.3582	6904.45	6251.1
796.8124	185.5954	6893.05	6235.8
796.9544	187.832	6862.3	6205.2
797.0965	190.0681	6842.3	6180.45
797.2386	192.3037	6834.6	6170.95
797.3806	194.5388	6831.45	6164.1
797.5228	196.7734	6857.95	6189.65
797.6649	199.0075	6856.65	6184.25
797.807	201.2411	6914.65	6237.1
797.9492	203.4742	6922.2	6243.35
798.0914	205.7068	6978	6298.65
798.2336	207.9389	7047.9	6370.7
798.3758	210.1704	7112.55	6432.7
798.518	212.4015	7122.25	6434.05
798.6603	214.632	7191.85	6504.3
798.8025	216.862	7223.3	6542.75
798.9448	219.0915	7239.7	6567.5
799.0871	221.3205	7263.7	6596.25
799.2294	223.549	7314.6	6649.9
799.3718	225.777	7337.2	6674.9
799.5141	228.0044	7344.65	6679.4
799.6565	230.2314	7429.45	6765.15
799.7989	232.4578	7474.7	6810.6
799.9413	234.6837	7483.15	6809.8
800.0837	236.909	7519.2	6845.9
800.2262	239.1339	7529.85	6835.1
800.3687	241.3582	7466.45	6782.4
800.5111	243.582	7446.35	6737.35
800.6536	245.8053	7418.05	6715.85
800.7961	248.0281	7385.3	6688.2
800.9387	250.2503	7375.2	6675.95
801.0812	252.472	7402.5	6695.7
801.2238	254.6932	7420.4	6711.8
801.3664	256.9139	7453.85	6744.7
801.509	259.134	7522.3	6808.3
801.6516	261.3536	7610.6	6899.9
801.7942	263.5727	7711.3	6994.15
801.9369	265.7912	7793.2	7080.9
802.0795	268.0092	7911.85	7197.55
802.2222	270.2267	8011.75	7297.4
802.3649	272.4436	8055.7	7340.6
802.5076	274.6601	8067.3	7340.7
802.6504	276.8759	8027.05	7306.4
802.7931	279.0913	8010.8	7292.9
802.9359	281.3061	7980.05	7256.05
803.0787	283.5204	7950.75	7222.95
803.2215	285.7341	7925.8	7197.5
803.3643	287.9473	7959.75	7230.2
803.5071	290.16	7955.05	7220.25
803.6499	292.3721	7975.05	7246.8
803.7928	294.5837	7992.95	7262.1
803.9357	296.7947	8074.95	7345.95
804.0786	299.0052	8146.4	7419.5
804.2215	301.2152	8146.05	7411.2
804.3644	303.4246	8071.55	7342.2
804.5074	305.6334	7963.9	7233.1
804.6503	307.8418	7849.05	7112
804.7933	310.0495	7677.7	6941.5
804.9363	312.2568	7509.35	6773.9
805.0793	314.4635	7336.1	6597.1
805.2223	316.6696	7232.4	6492.95
805.3653	318.8752	7117.35	6368.45
805.5084	321.0802	7078.05	6341
805.6514	323.2847	7097.6	6359.6
805.7945	325.4887	7089.85	6351
805.9376	327.692	7089.35	6345.45
806.0807	329.8949	7102.35	6359.55
806.2238	332.0972	7050.2	6304.35
806.367	334.2989	6964.65	6215.25
806.5101	336.5001	6861.65	6112.65
806.6533	338.7007	6789.35	6039.45
806.7965	340.9008	6728.85	5976.05
806.9397	343.1003	6645.95	5890.35
807.0829	345.2992	6611.1	5855.65
807.2261	347.4976	6562	5806.45
807.3693	349.6955	6514.55	5754.55
807.5126	351.8927	6490.2	5730.2
807.6559	354.0895	6475.2	5703.2
807.7991	356.2856	6442.55	5681.7
807.9424	358.4812	6393.35	5631.9
808.0857	360.6763	6418.3	5656
808.2291	362.8707	6393	5628.75
808.3724	365.0646	6418	5652
808.5158	367.258	6426.65	5658.95
808.6591	369.4508	6415.5	5643.75
808.8025	371.643	6487.15	5715.55
808.9459	373.8346	6496.6	5723.85
809.0893	376.0257	6558.05	5779.7
809.2327	378.2162	6586.05	5810
809.3762	380.4062	6573.7	5794.95
809.5196	382.5956	6487.75	5708.2
809.6631	384.7844	6439.5	5663.35
809.8066	386.9726	6400.9	5621
809.9501	389.1603	6352.7	5574.8
810.0936	391.3474	6348.85	5536.55
810.2371	393.5339	6316.5	5537.3
810.3806	395.7199	6265.55	5491.3
810.5241	397.9052	6309.7	5539
810.6677	400.09	6332.7	5563
810.8113	402.2743	6389.05	5617
810.9548	404.4579	6448.9	5676.95
811.0984	406.641	6530.9	5759.55
811.2421	408.8235	6608.95	5836.2
811.3857	411.0054	6658.85	5884.35
811.5293	413.1868	6762.55	5983.3
811.673	415.3675	6813.3	6032.35
811.8166	417.5477	6814.75	6032.85
811.9603	419.7273	6761.8	5975.65
812.104	421.9064	6697.6	5906.7
812.2477	424.0848	6650.95	5864.3
812.3914	426.2627	6558.55	5769.2
812.5351	428.4399	6475.8	5684.05
812.6788	430.6166	6346.3	5551.25
812.8226	432.7928	6206.15	5412.2
812.9663	434.9683	6077.05	5281.4
813.1101	437.1432	5997.95	5201.7
813.2539	439.3176	5906	5108.05
813.3977	441.4914	5860	5062.9
813.5415	443.6645	5864.2	5064.35
813.6853	445.8371	5831.65	5032.1
813.8291	448.0091	5826.55	5026.15
813.973	450.1806	5818.4	5020.35
814.1168	452.3514	5770.8	4966.55
814.2607	454.5216	5807.2	4995.9
814.4046	456.6913	5770.1	4967.45
814.5485	458.8603	5791.3	4988.8
814.6924	461.0288	5825.4	5022.65
814.8363	463.1967	5807.2	5001.65
814.9802	465.3639	5817.8	5012.15
815.1241	467.5306	5783.15	4978.65
815.2681	469.6967	5776.35	4970.25
815.412	471.8622	5788.25	4981.85
815.556	474.0271	5794.05	4988.3
815.7	476.1914	5798.5	4989.3
815.844	478.3551	5805.35	4997.35
815.988	480.5182	5823.15	5015.7
816.132	482.6807	5845.95	5038.35
816.276	484.8426	5897.35	5088.95
816.4201	487.0039	6032.3	5222.95
816.5641	489.1647	6172.45	5362.35
816.7082	491.3248	6296.45	5486.2
816.8522	493.4843	6324.65	5513.2
816.9963	495.6432	6309.9	5499.05
817.1404	497.8015	6233.75	5420.05
817.2845	499.9592	6183.95	5373.25
817.4286	502.1163	6075.5	5260.15
817.5727	504.2728	5970.65	5156.75
817.7168	506.4287	5888.5	5073.7
817.861	508.5839	5769.2	4955.45
818.0051	510.7386	5666.2	4853.1
818.1493	512.8927	5639.3	4815.25
818.2935	515.0461	5644.4	4831.25
818.4377	517.199	5652.3	4835.75
818.5818	519.3512	5720.7	4904.9
818.726	521.5029	5845.55	5022.65
818.8703	523.6539	5922.35	5104.35
819.0145	525.8043	5970.65	5151.95
819.1587	527.9541	5947.5	5126.95
819.303	530.1033	5872.1	5052.7
819.4472	532.2519	5776.05	4955.5
819.5915	534.3999	5730.95	4907.3
819.7357	536.5472	5767.35	4946.95
819.88	538.694	5837.2	5013.45
820.0243	540.8401	5927.25	5106.05
820.1686	542.9856	6007.35	5183.45
820.3129	545.1305	5999.05	5173.4
820.4572	547.2748	5967.45	5142.15
820.6016	549.4185	5909.95	5080.4
820.7459	551.5615	5861.05	5036.1
820.8902	553.704	5860.8	5034.35
821.0346	555.8458	5869.95	5041.75
821.1789	557.987	5925.55	5099.45
821.3233	560.1276	6011.65	5183.45
821.4677	562.2675	6145.55	5318.4
821.6121	564.4069	6329.6	5502.3
821.7565	566.5456	6510.4	5683.35
821.9009	568.6837	6534.9	5705.35
822.0453	570.8212	6415.55	5588.6
822.1897	572.958	6152.95	5325.75
822.3342	575.0942	5932.4	5105.85
822.4786	577.2299	5745.95	4918.6
822.6231	579.3648	5656.5	4828.8
822.7675	581.4992	5615.35	4789.1
822.912	583.6329	5646.95	4818
823.0565	585.766	5715.9	4890.5
823.201	587.8985	5751.45	4922.4
823.3454	590.0304	5804.2	4952.05
823.4899	592.1616	5782.6	4950.1
823.6345	594.2922	5736.35	4906.05
823.779	596.4222	5654.1	4822.1
823.9235	598.5515	5573	4741.15
824.068	600.6802	5501.4	4668.1
824.2126	602.8083	5439.2	4606.9
824.3571	604.9358	5414.05	4579.35
824.5017	607.0626	5407.5	4573.1
824.6462	609.1888	5445.4	4610.55
824.7908	611.3144	5513.55	4677.35
824.9354	613.4393	5568.1	4731.1
825.08	615.5636	5616.2	4779.95
825.2246	617.6873	5607.05	4773.35
825.3692	619.8103	5607.05	4770.2
825.5138	621.9327	5534.1	4696
825.6584	624.0544	5424.45	4592.1
825.803	626.1756	5373.1	4539.3
825.9477	628.2961	5302.4	4466.9
826.0923	630.4159	5280.7	4444.5
826.237	632.5351	5263.2	4427.25
826.3816	634.6537	5254.9	4416.4
826.5263	636.7716	5254.95	4416.2
826.6709	638.8889	5254.25	4416.45
826.8156	641.0056	5259.85	4422.5
826.9603	643.1216	5238.75	4396.1
827.105	645.237	5237.6	4396.05
827.2497	647.3518	5202.15	4361.7
827.3944	649.4659	5181.2	4339.3
827.5391	651.5793	5137.4	4294.3
827.6838	653.6922	5114.4	4273.35
827.8285	655.8043	5107.4	4266.1
827.9733	657.9159	5110.2	4267.75
828.118	660.0268	5092.3	4247.5
828.2627	662.137	5109.3	4268.15
828.4075	664.2466	5092.1	4245.85
828.5522	666.3556	5085.3	4241.65
828.697	668.4639	5069.75	4220.45
828.8418	670.5716	5056.75	4212.75
828.9865	672.6786	5039.4	4193.95
829.1313	674.785	4998.05	4151.25
829.2761	676.8907	4991.45	4146.85
829.4209	678.9958	4993.05	4147.65
829.5657	681.1002	4988.7	4142.6
829.7105	683.204	4987.95	4137.2
829.8553	685.3072	4965.55	4116.05
830.0001	687.4097	4950.95	4104
830.1449	689.5115	4938.6	4088.55
830.2898	691.6127	4932.3	4088.4
830.4346	693.7132	4924.3	4075.35
830.5794	695.8131	4957.95	4103.7
830.7243	697.9123	4938.15	4088.8
830.8691	700.0109	4947.15	4099.45
831.014	702.1089	4948.05	4101.8
831.1588	704.2061	4963.85	4114.8
831.3037	706.3028	4992.05	4141.5
831.4486	708.3987	5024.9	4176.45
831.5935	710.4941	5039	4191.1
831.7383	712.5887	5044.3	4194.8
831.8832	714.6827	5052.35	4195.5
832.0281	716.7761	5085.4	4233.25
832.173	718.8688	5142.4	4292.1
832.3179	720.9608	5201.95	4348.85
832.4628	723.0522	5272.3	4415.05
832.6077	725.1429	5273.9	4422.8
832.7527	727.233	5299.15	4446.05
832.8976	729.3224	5309	4456.45
833.0425	731.4112	5310	4455.35
833.1874	733.4993	5261.8	4406.15
833.3324	735.5867	5161.05	4305.1
833.4773	737.6735	5076.3	4219.35
833.6222	739.7596	4991.8	4134.15
833.7672	741.845	4955.2	4102.1
833.9122	743.9298	4924.45	4065.4
834.0571	746.014	4894.6	4041.5
834.2021	748.0974	4903.85	4048.35
834.347	750.1802	4900.2	4045.3
834.492	752.2624	4902.7	4046.75
834.637	754.3439	4896.85	4039.25
834.782	756.4247	4930.5	4066.1
834.9269	758.5048	4976.45	4122
835.0719	760.5843	5066.95	4210.4
835.2169	762.6631	5191.2	4333.6
835.3619	764.7413	5382.7	4525.5
835.5069	766.8188	5664.55	4805.5
835.6519	768.8956	5879.35	5018.3
835.7969	770.9718	6033.25	5177
835.9419	773.0473	6012.6	5156
836.0869	775.1221	5919.1	5061.7
836.232	777.1962	5822.95	4965.75
836.377	779.2697	5793.45	4936
836.522	781.3426	5859.55	4990.65
836.667	783.4147	5884.65	5024.8
836.8121	785.4862	5904.1	5048.05
836.9571	787.557	5835	4974.6
837.1021	789.6271	5656.85	4797.55
837.2472	791.6966	5400.75	4542.65
837.3922	793.7654	5149.5	4291.95
837.5373	795.8335	4989.6	4130.65
837.6823	797.901	4865.95	4008.3
837.8274	799.9678	4781.35	3920.4
837.9724	802.0339	4773.95	3915.55
838.1175	804.0993	4785.15	3916.65
838.2626	806.1641	4729.6	3869.2
838.4076	808.2282	4708.75	3845.3
838.5527	810.2916	4681.65	3819.6
838.6978	812.3544	4634.5	3775.55
838.8428	814.4164	4599.35	3740.9
838.9879	816.4778	4618.3	3758.1
839.133	818.5385	4630.9	3769.9
839.2781	820.5986	4688.45	3828.3
839.4232	822.658	4770.4	3905.45
839.5682	824.7166	4878.85	4018.9
839.7133	826.7747	5079.55	4218.65
839.8584	828.832	5276.55	4414.1
840.0035	830.8886	5403.8	4541.15
840.1486	832.9446	5489.55	4627.85
840.2937	834.9999	5437.15	4576.9
840.4388	837.0545	5338.25	4474.05
840.5839	839.1085	5197.4	4334.75
840.729	841.1618	5064.6	4197.75
840.8741	843.2143	4969.65	4105.7
841.0192	845.2662	4879.25	4016.5
841.1643	847.3175	4829.9	3969.65
841.3095	849.368	4785.05	3922.25
841.4546	851.4179	4744.9	3882
841.5997	853.467	4714.1	3850.35
841.7448	855.5155	4701.35	3836.8
841.8899	857.5633	4668.7	3806
842.0351	859.6105	4609.85	3747.65
842.1802	861.6569	4577.05	3713.9
842.3253	863.7027	4554.7	3690
842.4704	865.7478	4529.65	3665.9
842.6156	867.7922	4507.1	3641.8
842.7607	869.8359	4504.9	3639.2
842.9058	871.8789	4519	3652.05
843.0509	873.9212	4563.5	3665.8
843.1961	875.9629	4550.65	3686.1
843.3412	878.0039	4596.1	3729
843.4863	880.0441	4628.3	3763.4
843.6315	882.0837	4654.1	3787
843.7766	884.1226	4661.8	3796.1
843.9218	886.1609	4691.2	3826.35
844.0669	888.1984	4725.1	3859.8
844.212	890.2352	4786.55	3922.65
844.3572	892.2714	4807.3	3938.85
844.5023	894.3069	4781.75	3914.3
