Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:12:30 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	825
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	28.1
System Temp (C):	28.2
Spectrometer Temp (C):	26.1
CCD Temp (C):	0.004
Secondary Temp (C):	20.01
Heatsink Temp (C):	24.1
CCDPCB Temp (C):	37.641
SecondaryPCB Temp (C):	35.34

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	441.7	29.4
787.2016	32.3739	441.65	32.95
787.3422	34.6426	445.9	35
787.4828	36.9109	450.85	38.3
787.6235	39.1787	455.8	39.2
787.7642	41.4461	463.05	41.4
787.9049	43.7131	472	46.65
788.0456	45.9796	475.3	46.4
788.1863	48.2456	482.85	48.15
788.3271	50.5112	488.85	51.4
788.4679	52.7764	495.35	57.95
788.6087	55.0411	502.15	59.4
788.7496	57.3054	510.9	63.75
788.8904	59.5692	519.45	71.05
789.0313	61.8326	528.8	76
789.1722	64.0955	534.6	78.1
789.3132	66.3579	551.75	88.3
789.4541	68.6199	559.4	93.35
789.5951	70.8815	579.1	111.25
789.7361	73.1426	633.35	162.05
789.8771	75.4032	761.3	285
790.0181	77.6634	1073.05	591.15
790.1592	79.9231	1811.6	1323.55
790.3003	82.1824	3381.15	2888.75
790.4414	84.4412	6186.15	5677.9
790.5825	86.6995	10017.1	9495.7
790.7237	88.9574	13828.2	13289.55
790.8648	91.2148	16496.75	15951.1
791.006	93.4717	17762.05	17211.6
791.1472	95.7282	17991.8	17433.35
791.2885	97.9842	17862.15	17302.95
791.4297	100.2398	17451.5	16888.25
791.571	102.4949	16976.65	16412.45
791.7123	104.7495	16461.95	15890.5
791.8536	107.0036	15899	15327.5
791.9949	109.2573	15420.55	14850.95
792.1363	111.5105	14947.25	14373.4
792.2777	113.7632	14547.15	13973.4
792.4191	116.0154	14220	13635.9
792.5605	118.2672	13977.6	13399.5
792.7019	120.5185	13701.35	13122.3
792.8434	122.7693	13515.75	12933.3
792.9849	125.0197	13330.95	12748.75
793.1264	127.2696	13172.6	12586.25
793.2679	129.519	13092.35	12503.15
793.4094	131.7679	12912.65	12322.6
793.551	134.0163	12754.75	12160
793.6926	136.2642	12559.3	11960
793.8342	138.5117	12355.45	11750.7
793.9758	140.7587	12129.25	11526.65
794.1175	143.0052	11931.15	11323.8
794.2591	145.2512	11736.35	11127.05
794.4008	147.4967	11547.05	10938.9
794.5425	149.7417	11391.8	10780.25
794.6842	151.9863	11294	10680.35
794.826	154.2304	11214.7	10599.25
794.9677	156.4739	11118.85	10495.6
795.1095	158.717	11086.65	10466.05
795.2513	160.9596	10987.85	10361.85
795.3931	163.2017	10844.65	10215.15
795.535	165.4433	10685.8	10056.85
