Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:33:10 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	824
Laser Diode Temp (C):	25
Laser Case Temp (C):	28.6
System Temp (C):	28.6
Spectrometer Temp (C):	26.4
CCD Temp (C):	0.008
Secondary Temp (C):	20.007
Heatsink Temp (C):	24.504
CCDPCB Temp (C):	38.063
SecondaryPCB Temp (C):	35.64

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	467.3	56.35
787.2016	32.3739	470.75	62
787.3422	34.6426	473.05	64.1
787.4828	36.9109	480.05	68.25
787.6235	39.1787	489.3	74.75
787.7642	41.4461	501.25	81.05
787.9049	43.7131	512.9	89.1
788.0456	45.9796	517.4	90.85
788.1863	48.2456	533.85	103.1
788.3271	50.5112	539.05	104.05
788.4679	52.7764	549.05	111.6
788.6087	55.0411	560.3	116.8
788.7496	57.3054	574	127.8
788.8904	59.5692	586.55	136.7
789.0313	61.8326	597.25	144.8
789.1722	64.0955	612.7	153.95
789.3132	66.3579	632.75	169.25
789.4541	68.6199	653.65	186.8
789.5951	70.8815	696.25	228.6
789.7361	73.1426	774.2	302.7
789.8771	75.4032	999.65	522.15
790.0181	77.6634	1545.6	1061.95
790.1592	79.9231	2862.15	2373.15
790.3003	82.1824	5741.95	5241.85
790.4414	84.4412	11013.95	10495.1
790.5825	86.6995	18372.25	17827.75
790.7237	88.9574	25615.05	25046.5
790.8648	91.2148	30719.7	30131.95
791.006	93.4717	33101.95	32504.45
791.1472	95.7282	33595.7	32996.3
791.2885	97.9842	33440.2	32835.85
791.4297	100.2398	32776.05	32169.15
791.571	102.4949	32032.75	31420.6
791.7123	104.7495	31143.3	30525.75
791.8536	107.0036	30213	29599.45
791.9949	109.2573	29445.1	28830.35
792.1363	111.5105	28695.3	28081.15
792.2777	113.7632	28016.45	27399.2
792.4191	116.0154	27467.9	26840.15
792.5605	118.2672	27056.15	26434.45
792.7019	120.5185	26644.25	26021.3
792.8434	122.7693	26325.9	25698.2
792.9849	125.0197	26117.75	25493.95
793.1264	127.2696	25793.85	25162.75
793.2679	129.519	25646	25012.45
793.4094	131.7679	25388	24754.15
793.551	134.0163	25136.25	24498.05
793.6926	136.2642	24848.85	24207.5
793.8342	138.5117	24503.55	23851.3
793.9758	140.7587	24150.05	23502.05
794.1175	143.0052	23813.85	23163.05
794.2591	145.2512	23500.2	22851.95
794.4008	147.4967	23216.2	22563.6
794.5425	149.7417	22977.95	22326.1
794.6842	151.9863	22779.1	22123.9
794.826	154.2304	22705.55	22044.65
794.9677	156.4739	22503.5	21837.9
795.1095	158.717	22440.8	21778
795.2513	160.9596	22227	21559.2
795.3931	163.2017	21961.85	21294.8
795.535	165.4433	21668.85	20997.65
795.6768	167.6844	21352.6	20680.95
795.8187	169.925	21030.8	20355.6
795.9606	172.1651	20665.3	19983.35
796.1025	174.4047	20379.15	19696.8
796.2445	176.6439	20101.9	19418.2
796.3864	178.8825	19867.9	19180.45
796.5284	181.1206	19750.55	19061.3
796.6704	183.3582	19573.8	18879.1
796.8124	185.5954	19495.2	18801.45
796.9544	187.832	19392.25	18693
797.0965	190.0681	19347.1	18646.45
797.2386	192.3037	19350.9	18647.85
797.3806	194.5388	19290.7	18578.2
797.5228	196.7734	19306.4	18596.6
797.6649	199.0075	19401.35	18688
797.807	201.2411	19542.15	18826.75
797.9492	203.4742	19597.85	18882.75
798.0914	205.7068	19759.7	19044.25
798.2336	207.9389	19897.1	19181.4
798.3758	210.1704	20033.75	19312.4
798.518	212.4015	20143.25	19421.15
798.6603	214.632	20300.15	19581.65
798.8025	216.862	20421.25	19707.05
798.9448	219.0915	20515.85	19807.4
799.0871	221.3205	20632.25	19925.7
799.2294	223.549	20724.45	20022.9
799.3718	225.777	20879.7	20176.65
799.5141	228.0044	21020.1	20316.7
799.6565	230.2314	21221.8	20520.35
799.7989	232.4578	21416.6	20713.3
799.9413	234.6837	21596.1	20884.45
800.0837	236.909	21705.85	20992.95
800.2262	239.1339	21758.85	21026.3
800.3687	241.3582	21597.25	20875.7
800.5111	243.582	21456.2	20709.35
800.6536	245.8053	21316.55	20575.85
800.7961	248.0281	21174.65	20440.35
800.9387	250.2503	21103.25	20364.05
801.0812	252.472	21130.65	20388.15
801.2238	254.6932	21226.45	20481.35
801.3664	256.9139	21274.05	20523.5
801.509	259.134	21419.5	20670.25
801.6516	261.3536	21606.95	20860.2
801.7942	263.5727	21876.4	21123.3
801.9369	265.7912	22046.6	21296
802.0795	268.0092	22269.15	21517.3
802.2222	270.2267	22395.45	21646.1
802.3649	272.4436	22454.5	21702.7
802.5076	274.6601	22497.15	21737.3
802.6504	276.8759	22378.55	21623.35
802.7931	279.0913	22311.15	21552.3
802.9359	281.3061	22165.2	21408.7
803.0787	283.5204	22087	21326.7
803.2215	285.7341	22071.15	21306.35
803.3643	287.9473	22134.7	21358.5
803.5071	290.16	22196.4	21424.25
803.6499	292.3721	22335.05	21571.95
803.7928	294.5837	22580	21814.2
803.9357	296.7947	22817.1	22049.85
804.0786	299.0052	22984.4	22217.7
804.2215	301.2152	22963.7	22195.7
804.3644	303.4246	22745.75	21978.8
804.5074	305.6334	22347.9	21582.5
804.6503	307.8418	21885.8	21115.4
804.7933	310.0495	21471.15	20704.5
804.9363	312.2568	21020.4	20251.55
805.0793	314.4635	20615.4	19844.95
805.2223	316.6696	20339.4	19567.9
805.3653	318.8752	20118.75	19338.9
805.5084	321.0802	20067.2	19293.1
805.6514	323.2847	20081.85	19307.8
805.7945	325.4887	20110.15	19336.95
805.9376	327.692	20077.45	19303.15
806.0807	329.8949	20017.7	19239.4
806.2238	332.0972	19781.85	19004.35
806.367	334.2989	19572.2	18789.25
806.5101	336.5001	19317.95	18533.15
806.6533	338.7007	19092.8	18311.25
806.7965	340.9008	18933.45	18148.15
806.9397	343.1003	18793.15	18006.65
807.0829	345.2992	18653.7	17868.55
807.2261	347.4976	18556.05	17769.25
807.3693	349.6955	18491.9	17699.45
807.5126	351.8927	18475.35	17685.15
