Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:56:47 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	823
Laser Diode Temp (C):	25
Laser Case Temp (C):	29
System Temp (C):	28.9
Spectrometer Temp (C):	26.8
CCD Temp (C):	0.009
Secondary Temp (C):	20.013
Heatsink Temp (C):	24.792
CCDPCB Temp (C):	38.041
SecondaryPCB Temp (C):	35.884

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	462.75	50.7
787.2016	32.3739	466.6	58
787.3422	34.6426	472.05	61.1
787.4828	36.9109	475.5	65.95
787.6235	39.1787	486.95	70.9
787.7642	41.4461	495.5	75.3
787.9049	43.7131	506.8	82.05
788.0456	45.9796	512.35	83.95
788.1863	48.2456	525.75	93.35
788.3271	50.5112	535.15	99.25
788.4679	52.7764	543.85	105.5
788.6087	55.0411	550.8	110.3
788.7496	57.3054	563.75	117.4
788.8904	59.5692	574.1	124.9
789.0313	61.8326	587.4	134.35
789.1722	64.0955	601.95	143.45
789.3132	66.3579	623	161.35
789.4541	68.6199	634.9	169.5
789.5951	70.8815	667.6	199.4
789.7361	73.1426	751.4	280.35
789.8771	75.4032	947.25	469.5
790.0181	77.6634	1444.8	962.2
790.1592	79.9231	2599.1	2110.2
790.3003	82.1824	5165.1	4667.15
790.4414	84.4412	9954.9	9440.15
790.5825	86.6995	16688.35	16149.5
790.7237	88.9574	23488.35	22931.3
790.8648	91.2148	28314.2	27741.4
791.006	93.4717	30718.9	30135.25
791.1472	95.7282	31376.05	30787.75
791.2885	97.9842	31440.65	30850.35
791.4297	100.2398	30997.05	30404.55
791.571	102.4949	30445.5	29849.55
791.7123	104.7495	29715.95	29115.2
791.8536	107.0036	28939	28335.3
791.9949	109.2573	28184.2	27581.9
792.1363	111.5105	27417.4	26813.75
792.2777	113.7632	26645.45	26041.35
792.4191	116.0154	25993.2	25377.45
792.5605	118.2672	25523.55	24914.25
792.7019	120.5185	25019.3	24410.3
792.8434	122.7693	24603.8	23990.4
792.9849	125.0197	24334.2	23721.2
793.1264	127.2696	24022.35	23404
793.2679	129.519	23892.05	23273.15
793.4094	131.7679	23702.35	23074.95
793.551	134.0163	23604.75	22976.65
793.6926	136.2642	23417.25	22785.2
793.8342	138.5117	23240.55	22599.8
