Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:57:35 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	825
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	29
System Temp (C):	29
Spectrometer Temp (C):	26.8
CCD Temp (C):	-0.003
Secondary Temp (C):	20.028
Heatsink Temp (C):	24.854
CCDPCB Temp (C):	38.363
SecondaryPCB Temp (C):	35.818

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	460.95	52.35
787.2016	32.3739	462.2	56.5
787.3422	34.6426	470.1	61.55
787.4828	36.9109	476.55	66.15
787.6235	39.1787	481.85	67.85
787.7642	41.4461	492.9	74.8
787.9049	43.7131	503.2	82.85
788.0456	45.9796	509.5	82.45
788.1863	48.2456	520.65	91.05
788.3271	50.5112	526.15	91.45
788.4679	52.7764	538.7	102.35
788.6087	55.0411	547.45	110
788.7496	57.3054	559.8	114.45
788.8904	59.5692	569.95	122.2
789.0313	61.8326	579.6	126.55
789.1722	64.0955	590.6	130.25
789.3132	66.3579	612.55	148.65
789.4541	68.6199	628.9	164.65
789.5951	70.8815	661.45	194.65
789.7361	73.1426	732.95	261.4
789.8771	75.4032	921.85	444.8
790.0181	77.6634	1389.95	906.55
790.1592	79.9231	2504.7	2015.5
790.3003	82.1824	4938.9	4441.3
790.4414	84.4412	9461.2	8943.95
790.5825	86.6995	15825.5	15287.1
790.7237	88.9574	22244.4	21681
790.8648	91.2148	26842.2	26261.1
791.006	93.4717	29117.4	28532.6
791.1472	95.7282	29772.5	29182.55
791.2885	97.9842	29804.6	29213.6
791.4297	100.2398	29412.95	28814.85
791.571	102.4949	28911.2	28310.15
791.7123	104.7495	28191.95	27588.05
791.8536	107.0036	27449	26843.45
791.9949	109.2573	26716.7	26108.35
792.1363	111.5105	25967.6	25362.8
792.2777	113.7632	25225.35	24617.05
792.4191	116.0154	24607.8	23992.1
792.5605	118.2672	24151.3	23539.45
792.7019	120.5185	23637.65	23026.05
792.8434	122.7693	23266.5	22649.1
792.9849	125.0197	22965.3	22346.05
793.1264	127.2696	22655.25	22034.55
793.2679	129.519	22541.65	21919.8
793.4094	131.7679	22373.8	21748.1
793.551	134.0163	22261.8	21629.3
793.6926	136.2642	22145.75	21513.45
793.8342	138.5117	21936.7	21291.35
793.9758	140.7587	21742.05	21104.25
794.1175	143.0052	21615.85	20973.5
794.2591	145.2512	21409.45	20768.55
794.4008	147.4967	21170.05	20529.45
794.5425	149.7417	21025.8	20382.35
794.6842	151.9863	20883.1	20233.8
794.826	154.2304	20856.35	20207.05
794.9677	156.4739	20699.05	20041.35
795.1095	158.717	20669.3	20015.25
795.2513	160.9596	20497.4	19836.65
795.3931	163.2017	20238.05	19578.7
795.535	165.4433	19970.9	19304.95
795.6768	167.6844	19644.25	18979.3
795.8187	169.925	19325	18656.95
795.9606	172.1651	18892.4	18217.3
796.1025	174.4047	18645.75	17969.9
796.2445	176.6439	18357.3	17680.5
796.3864	178.8825	18124.5	17444.7
796.5284	181.1206	17949.05	17268
796.6704	183.3582	17733.45	17044.75
796.8124	185.5954	17621	16930.6
796.9544	187.832	17541.15	16851.35
797.0965	190.0681	17456.25	16765.15
797.2386	192.3037	17439.1	16742.2
797.3806	194.5388	17442.45	16743.7
797.5228	196.7734	17469.1	16767.9
797.6649	199.0075	17524.2	16822.05
797.807	201.2411	17666.8	16960
797.9492	203.4742	17654.35	16946.6
798.0914	205.7068	17802.7	17092.3
798.2336	207.9389	17898.7	17190.75
798.3758	210.1704	18052.5	17340.9
798.518	212.4015	18109.8	17391.55
798.6603	214.632	18331.4	17617.85
798.8025	216.862	18455.05	17745.35
798.9448	219.0915	18658.3	17954.65
799.0871	221.3205	18874.4	18173.55
799.2294	223.549	19120.85	18426
799.3718	225.777	19471.95	18780.05
799.5141	228.0044	19878.65	19186.7
799.6565	230.2314	20375.55	19682.5
799.7989	232.4578	20843.6	20151.85
799.9413	234.6837	21210.9	20507.3
800.0837	236.909	21461.8	20757.65
800.2262	239.1339	21414.55	20687.25
800.3687	241.3582	21112.2	20400.6
800.5111	243.582	20705.75	19960.9
800.6536	245.8053	20289.65	19559.2
800.7961	248.0281	19951.35	19224.55
800.9387	250.2503	19612.4	18880.45
801.0812	252.472	19424.1	18691.3
801.2238	254.6932	19330.25	18594.3
801.3664	256.9139	19183.75	18440.75
801.509	259.134	19109.7	18365
801.6516	261.3536	19035.85	18295.7
801.7942	263.5727	18998.9	18257.15
801.9369	265.7912	18887.15	18145.9
802.0795	268.0092	18860.55	18117.35
802.2222	270.2267	18738.75	17996.8
802.3649	272.4436	18658.3	17913.4
802.5076	274.6601	18610.25	17856.15
802.6504	276.8759	18549.6	17801.85
802.7931	279.0913	18546.3	17797.1
802.9359	281.3061	18521.75	17770.55
803.0787	283.5204	18637.3	17886.05
803.2215	285.7341	18698.3	17943.8
803.3643	287.9473	18883.3	18116.3
803.5071	290.16	19172.3	18409.7
803.6499	292.3721	19453.6	18695
803.7928	294.5837	19896.45	19137.65
803.9357	296.7947	20282.95	19522.3
804.0786	299.0052	20479.75	19720.85
804.2215	301.2152	20270	19507.95
804.3644	303.4246	19878.35	19120.1
804.5074	305.6334	19302.7	18544.35
804.6503	307.8418	18764.3	18001.7
804.7933	310.0495	18320.1	17559.25
804.9363	312.2568	18038.15	17278.65
805.0793	314.4635	17811.55	17047.65
805.2223	316.6696	17737.1	16971.4
805.3653	318.8752	17712.8	16940.25
805.5084	321.0802	17765.35	17001.7
805.6514	323.2847	17890.6	17124
805.7945	325.4887	17953.95	17185.45
805.9376	327.692	17879.85	17113.15
806.0807	329.8949	17749.25	16982.3
806.2238	332.0972	17454.5	16682.65
806.367	334.2989	17188.2	16413.35
806.5101	336.5001	16873.05	16100.75
806.6533	338.7007	16680.85	15904.7
806.7965	340.9008	16520.6	15743.95
806.9397	343.1003	16443.45	15664.3
807.0829	345.2992	16380.9	15602.25
807.2261	347.4976	16344.8	15565.75
807.3693	349.6955	16294.7	15513.6
807.5126	351.8927	16432.2	15646.55
807.6559	354.0895	16363.7	15572.6
807.7991	356.2856	16410.9	15623.75
807.9424	358.4812	16396.65	15608.25
808.0857	360.6763	16407.35	15618
808.2291	362.8707	16377.65	15589.55
808.3724	365.0646	16404.25	15612.75
808.5158	367.258	16402.75	15613
808.6591	369.4508	16402.55	15609.55
