Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 1:58:22 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	824
Laser Diode Temp (C):	25
Laser Case Temp (C):	29
System Temp (C):	29
Spectrometer Temp (C):	26.8
CCD Temp (C):	0.009
Secondary Temp (C):	20.007
Heatsink Temp (C):	24.817
CCDPCB Temp (C):	38.074
SecondaryPCB Temp (C):	35.918

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	456.75	45.9
787.2016	32.3739	460.9	50.6
787.3422	34.6426	463.85	55.45
787.4828	36.9109	468.95	56.4
787.6235	39.1787	479.85	63.45
787.7642	41.4461	487.65	66
787.9049	43.7131	497.4	73.05
788.0456	45.9796	505.9	76.75
788.1863	48.2456	515.25	82.5
788.3271	50.5112	522.75	86.65
788.4679	52.7764	534.65	95.6
788.6087	55.0411	540.45	99.95
788.7496	57.3054	556.1	109.6
788.8904	59.5692	564.25	114.8
789.0313	61.8326	578.45	126.6
789.1722	64.0955	588.7	130.2
789.3132	66.3579	602.3	139.1
789.4541	68.6199	625.6	159.8
789.5951	70.8815	655.45	187.3
789.7361	73.1426	725	253.85
789.8771	75.4032	908.3	430.35
790.0181	77.6634	1359.2	875.2
790.1592	79.9231	2427.35	1938.3
790.3003	82.1824	4780.25	4281.15
790.4414	84.4412	9136.05	8619.75
790.5825	86.6995	15273.1	14731.7
790.7237	88.9574	21472.25	20909.5
790.8648	91.2148	25954.45	25379.75
791.006	93.4717	28193.2	27602.65
791.1472	95.7282	28754.35	28165
791.2885	97.9842	28844.85	28250.4
791.4297	100.2398	28425.5	27829.95
791.571	102.4949	27913.6	27310.5
791.7123	104.7495	27242.1	26636.05
791.8536	107.0036	26519.9	25911.2
791.9949	109.2573	25783.8	25176.5
792.1363	111.5105	25084.45	24474.6
792.2777	113.7632	24365	23757.7
792.4191	116.0154	23725.25	23107.45
792.5605	118.2672	23276.95	22665.25
792.7019	120.5185	22787.3	22175.35
792.8434	122.7693	22412.6	21796.45
792.9849	125.0197	22141.85	21522.75
793.1264	127.2696	21873.85	21249.8
793.2679	129.519	21743.9	21118.9
793.4094	131.7679	21547.2	20920.55
793.551	134.0163	21461.9	20831.5
793.6926	136.2642	21310.5	20675.7
793.8342	138.5117	21173.4	20527.7
793.9758	140.7587	20959.8	20320.55
794.1175	143.0052	20798.2	20157.5
794.2591	145.2512	20595.7	19954.15
794.4008	147.4967	20396.1	19752.7
794.5425	149.7417	20305.3	19657.55
794.6842	151.9863	20168.75	19518.45
794.826	154.2304	20107.75	19456.65
794.9677	156.4739	19984.3	19322.9
795.1095	158.717	19906.1	19251.15
795.2513	160.9596	19744.1	19082.95
795.3931	163.2017	19482.15	18821.25
795.535	165.4433	19267.25	18601.9
795.6768	167.6844	18908.9	18240.55
795.8187	169.925	18613.35	17945.7
795.9606	172.1651	18222.9	17548.85
796.1025	174.4047	17921.95	17244.65
796.2445	176.6439	17638.25	16964.9
796.3864	178.8825	17409.25	16728.65
796.5284	181.1206	17234.8	16548.8
796.6704	183.3582	17053.25	16364.2
796.8124	185.5954	16961.45	16273.3
796.9544	187.832	16857.95	16169.05
797.0965	190.0681	16778.8	16084.05
797.2386	192.3037	16777.25	16083.8
797.3806	194.5388	16766.15	16066.1
797.5228	196.7734	16795.2	16096.95
797.6649	199.0075	16830.7	16124.6
797.807	201.2411	17015.1	16308.3
797.9492	203.4742	16991.2	16284.9
798.0914	205.7068	17135.4	16426.25
798.2336	207.9389	17208.2	16498.95
798.3758	210.1704	17320.25	16611.7
798.518	212.4015	17439.25	16721.85
798.6603	214.632	17598.3	16887.25
798.8025	216.862	17754.7	17045.7
798.9448	219.0915	17919.4	17219.4
799.0871	221.3205	18124.7	17427.05
799.2294	223.549	18405.1	17711.15
799.3718	225.777	18729.95	18036.8
799.5141	228.0044	19116.25	18422.75
799.6565	230.2314	19604.4	18906.25
799.7989	232.4578	20077.55	19380.35
799.9413	234.6837	20433.25	19727.6
800.0837	236.909	20664.1	19958.8
800.2262	239.1339	20601.85	19874.5
800.3687	241.3582	20342.2	19627.95
800.5111	243.582	19945.85	19207.7
800.6536	245.8053	19573.95	18841.85
800.7961	248.0281	19147.75	18420.15
800.9387	250.2503	18868.9	18137
801.0812	252.472	18678.4	17942
801.2238	254.6932	18594.8	17854.9
801.3664	256.9139	18425.65	17684.1
801.509	259.134	18386	17640.9
801.6516	261.3536	18305.85	17566
801.7942	263.5727	18289.05	17544.55
801.9369	265.7912	18166.5	17425.55
802.0795	268.0092	18100.2	17356.4
802.2222	270.2267	18011.2	17269.3
802.3649	272.4436	17936.15	17190.9
802.5076	274.6601	17848.45	17097
802.6504	276.8759	17785.25	17038.2
802.7931	279.0913	17809.85	17062.4
802.9359	281.3061	17790.05	17037.75
803.0787	283.5204	17903.1	17148.85
803.2215	285.7341	17982.85	17226.5
803.3643	287.9473	18157.6	17391.55
803.5071	290.16	18415.65	17653.05
803.6499	292.3721	18738.15	17981.05
803.7928	294.5837	19165.6	18405.8
803.9357	296.7947	19517.6	18757.1
804.0786	299.0052	19699.75	18941.05
804.2215	301.2152	19508.55	18742.95
