Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 2:06:14 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	824
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	29
System Temp (C):	29
Spectrometer Temp (C):	26.8
CCD Temp (C):	0.009
Secondary Temp (C):	20.008
Heatsink Temp (C):	24.843
CCDPCB Temp (C):	38.341
SecondaryPCB Temp (C):	35.929

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	445.5	33.6
787.2016	32.3739	449.4	37.9
787.3422	34.6426	450.35	39.15
787.4828	36.9109	454.55	43.25
787.6235	39.1787	463.6	46.35
787.7642	41.4461	471.4	52.2
787.9049	43.7131	478.8	56
788.0456	45.9796	483.6	57.65
788.1863	48.2456	494.15	60.9
788.3271	50.5112	503.95	67.4
788.4679	52.7764	508.95	72.55
788.6087	55.0411	517.05	77.2
788.7496	57.3054	528.45	82
788.8904	59.5692	535	87.45
789.0313	61.8326	545.75	93.25
789.1722	64.0955	555.7	99.05
789.3132	66.3579	571.65	108.8
789.4541	68.6199	582.45	117.85
789.5951	70.8815	611.4	144.1
789.7361	73.1426	665.65	194.25
789.8771	75.4032	808.85	332.4
790.0181	77.6634	1159.3	676.65
790.1592	79.9231	1996.6	1507.7
790.3003	82.1824	3811.4	3314.5
790.4414	84.4412	7131.9	6616.3
790.5825	86.6995	11878.8	11341.5
790.7237	88.9574	16676.9	16116.7
790.8648	91.2148	20138.1	19565.95
791.006	93.4717	21846.05	21262.15
791.1472	95.7282	22360.9	21773.6
791.2885	97.9842	22428.75	21839.6
791.4297	100.2398	22059.65	21465.9
791.571	102.4949	21605.4	21009.1
791.7123	104.7495	21069.5	20471
791.8536	107.0036	20456.65	19855.85
791.9949	109.2573	19838.65	19237.8
792.1363	111.5105	19222.1	18621.4
792.2777	113.7632	18611.15	18007.6
792.4191	116.0154	18101.2	17485.05
792.5605	118.2672	17695.6	17089.15
792.7019	120.5185	17311.5	16704.75
792.8434	122.7693	16969.6	16358.05
792.9849	125.0197	16720.15	16104.85
793.1264	127.2696	16503	15889.65
793.2679	129.519	16386.35	15767.65
793.4094	131.7679	16259.5	15639.15
793.551	134.0163	16147.85	15523.25
793.6926	136.2642	16051.65	15418.85
793.8342	138.5117	15947.5	15305.4
793.9758	140.7587	15774.4	15141.7
794.1175	143.0052	15638.65	15003.3
794.2591	145.2512	15536.65	14900.95
794.4008	147.4967	15340.95	14701.5
794.5425	149.7417	15241.55	14604.45
794.6842	151.9863	15144.95	14505.8
794.826	154.2304	15105.85	14458.6
794.9677	156.4739	14996.15	14348.35
795.1095	158.717	14924.6	14276.35
795.2513	160.9596	14806.65	14151.5
795.3931	163.2017	14592.25	13936.45
795.535	165.4433	14359.9	13700.15
795.6768	167.6844	14109	13448.85
795.8187	169.925	13891.75	13226.35
795.9606	172.1651	13559.7	12891.25
796.1025	174.4047	13303.25	12635.45
796.2445	176.6439	13109.05	12437.05
796.3864	178.8825	12903.6	12232.5
796.5284	181.1206	12742.3	12063.7
796.6704	183.3582	12612.95	11930.4
796.8124	185.5954	12517.95	11834.05
796.9544	187.832	12419.45	11733.65
797.0965	190.0681	12401.9	11717.75
797.2386	192.3037	12360.4	11670.1
797.3806	194.5388	12324.9	11633.45
797.5228	196.7734	12376.6	11681.25
797.6649	199.0075	12425.3	11721.55
797.807	201.2411	12506.6	11803.75
797.9492	203.4742	12539.05	11834.7
798.0914	205.7068	12634.25	11929.95
798.2336	207.9389	12688.25	11984.4
798.3758	210.1704	12802.45	12096.85
798.518	212.4015	12887.85	12175.7
798.6603	214.632	13017.25	12306.8
798.8025	216.862	13157.55	12453.15
798.9448	219.0915	13288.55	12591.6
799.0871	221.3205	13481.1	12789.15
799.2294	223.549	13696.7	13011.55
799.3718	225.777	13955.5	13266.85
799.5141	228.0044	14338.2	13644.95
799.6565	230.2314	14739.7	14052.15
799.7989	232.4578	15134	14444.7
799.9413	234.6837	15429	14729.8
800.0837	236.909	15634	14936.35
800.2262	239.1339	15575.45	14854.6
800.3687	241.3582	15348.3	14641.35
800.5111	243.582	15017.15	14281.3
800.6536	245.8053	14691.05	13965.7
800.7961	248.0281	14320.95	13601.15
800.9387	250.2503	14078.6	13351.55
801.0812	252.472	13902.7	13173.35
801.2238	254.6932	13811.4	13077.8
801.3664	256.9139	13674.25	12938.5
801.509	259.134	13619.8	12883.6
801.6516	261.3536	13521.2	12785.3
