Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 2:11:45 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	824
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	29.1
System Temp (C):	29
Spectrometer Temp (C):	26.9
CCD Temp (C):	0.009
Secondary Temp (C):	20.01
Heatsink Temp (C):	24.838
CCDPCB Temp (C):	38.085
SecondaryPCB Temp (C):	36.051

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	448.25	39.3
787.2016	32.3739	446.45	38.65
787.3422	34.6426	455.1	47.25
787.4828	36.9109	455.3	44
787.6235	39.1787	461.7	48.65
787.7642	41.4461	475.25	55.9
787.9049	43.7131	482.75	59.15
788.0456	45.9796	490.95	64.15
788.1863	48.2456	499.55	68.6
788.3271	50.5112	509.65	72.95
788.4679	52.7764	515.35	76.7
788.6087	55.0411	522.25	80.45
788.7496	57.3054	533.35	86.25
788.8904	59.5692	543.5	93.1
789.0313	61.8326	554.3	101.15
789.1722	64.0955	570.2	112.6
789.3132	66.3579	581.95	120.05
789.4541	68.6199	593.75	128.3
789.5951	70.8815	623.2	155.8
789.7361	73.1426	683.25	212.55
789.8771	75.4032	839.3	362
790.0181	77.6634	1228.4	745.05
790.1592	79.9231	2139.1	1652.1
790.3003	82.1824	4136.45	3639.6
790.4414	84.4412	7824.25	7309.15
790.5825	86.6995	13048.2	12510.05
790.7237	88.9574	18293.7	17737.2
790.8648	91.2148	22146.4	21575.85
791.006	93.4717	24017.85	23437.45
791.1472	95.7282	24519.25	23931.15
791.2885	97.9842	24535.55	23944.65
791.4297	100.2398	24137.25	23544.75
791.571	102.4949	23696.85	23100.9
791.7123	104.7495	23077.2	22479.3
791.8536	107.0036	22377.55	21774.95
791.9949	109.2573	21727.1	21130.75
792.1363	111.5105	21004.75	20403.5
792.2777	113.7632	20322.95	19721.75
792.4191	116.0154	19744.75	19131.5
792.5605	118.2672	19308.2	18700.95
792.7019	120.5185	18809.75	18202.2
792.8434	122.7693	18484.1	17875.35
792.9849	125.0197	18199.9	17592.25
793.1264	127.2696	17932.4	17317.8
793.2679	129.519	17817.15	17199.75
793.4094	131.7679	17643.45	17023.1
793.551	134.0163	17577.6	16951.1
793.6926	136.2642	17431.55	16804.5
793.8342	138.5117	17304.25	16664.3
793.9758	140.7587	17123.5	16491.8
794.1175	143.0052	16991.55	16358.15
794.2591	145.2512	16842.2	16205.65
794.4008	147.4967	16676.3	16043.45
794.5425	149.7417	16534.85	15895.8
794.6842	151.9863	16437.45	15796.5
794.826	154.2304	16376.65	15735.3
794.9677	156.4739	16254.55	15602.7
795.1095	158.717	16186.95	15539.7
795.2513	160.9596	16054.35	15401.45
795.3931	163.2017	15818.45	15163.85
795.535	165.4433	15600.25	14942.65
795.6768	167.6844	15285.85	14627.45
795.8187	169.925	14994.25	14333.85
795.9606	172.1651	14641.2	13975.1
796.1025	174.4047	14358.05	13687.3
796.2445	176.6439	14126.1	13457.25
796.3864	178.8825	13878.7	13203.65
796.5284	181.1206	13737.45	13063.1
796.6704	183.3582	13584.9	12904.35
796.8124	185.5954	13464.6	12782.5
796.9544	187.832	13388.9	12700.3
797.0965	190.0681	13357.55	12668.4
797.2386	192.3037	13325.5	12635.8
797.3806	194.5388	13310.6	12617.55
797.5228	196.7734	13329	12634.4
797.6649	199.0075	13360.65	12660.35
797.807	201.2411	13479.35	12777.8
797.9492	203.4742	13503.25	12799.2
798.0914	205.7068	13618.1	12917.65
798.2336	207.9389	13682.9	12977.8
798.3758	210.1704	13822.95	13117.75
798.518	212.4015	13924.3	13215.55
798.6603	214.632	14056.25	13343.1
798.8025	216.862	14221.85	13520.4
798.9448	219.0915	14343.35	13649.9
799.0871	221.3205	14566.15	13875
799.2294	223.549	14844.65	14158.65
799.3718	225.777	15114.65	14426.2
799.5141	228.0044	15521.5	14832.5
799.6565	230.2314	16016.95	15325.8
799.7989	232.4578	16447.55	15757.95
799.9413	234.6837	16835.45	16141.6
800.0837	236.909	17035.5	16338.5
800.2262	239.1339	16972.35	16252.4
800.3687	241.3582	16684.6	15978.85
800.5111	243.582	16337.3	15604.7
800.6536	245.8053	15921.35	15196.6
800.7961	248.0281	15531.65	14812.3
800.9387	250.2503	15251.6	14528.65
801.0812	252.472	15055.55	14324.5
801.2238	254.6932	14959.15	14224.3
801.3664	256.9139	14828.7	14092.85
801.509	259.134	14765.5	14024.85
801.6516	261.3536	14665.9	13932.9
801.7942	263.5727	14591.55	13853.45
801.9369	265.7912	14478.1	13744.6
802.0795	268.0092	14405.55	13667.55
802.2222	270.2267	14308.25	13569.5
802.3649	272.4436	14227.2	13489.75
802.5076	274.6601	14162.25	13414.05
802.6504	276.8759	14113.6	13373.5
802.7931	279.0913	14148.95	13406.5
802.9359	281.3061	14137.2	13390.55
803.0787	283.5204	14236.25	13489.8
803.2215	285.7341	14348.6	13600.05
803.3643	287.9473	14532.45	13768.65
803.5071	290.16	14783.6	14027.6
803.6499	292.3721	15053.85	14300.3
803.7928	294.5837	15497.8	14746.55
803.9357	296.7947	15817.95	15068.1
804.0786	299.0052	15991.65	15237.45
804.2215	301.2152	15808.7	15051.45
804.3644	303.4246	15426.4	14675.55
804.5074	305.6334	14911.55	14160
804.6503	307.8418	14424.55	13670.6
804.7933	310.0495	14064.4	13309.7
804.9363	312.2568	13807.65	13051.55
805.0793	314.4635	13633.5	12875.35
805.2223	316.6696	13567.45	12809.3
805.3653	318.8752	13545.85	12779.85
805.5084	321.0802	13629.75	12867.65
805.6514	323.2847	13750.45	12991.4
805.7945	325.4887	13767.15	13007.15
805.9376	327.692	13728.1	12965.75
806.0807	329.8949	13613.35	12847.7
806.2238	332.0972	13351.8	12585.75
806.367	334.2989	13102.25	12334.5
806.5101	336.5001	12842.95	12075.6
806.6533	338.7007	12671.65	11903.6
806.7965	340.9008	12549.65	11779.3
806.9397	343.1003	12409.15	11633.15
807.0829	345.2992	12385.4	11612.65
807.2261	347.4976	12357.55	11583.65
807.3693	349.6955	12361.45	11583.25
807.5126	351.8927	12402.1	11625.9
807.6559	354.0895	12402.2	11611.8
807.7991	356.2856	12439.6	11660.1
807.9424	358.4812	12409.05	11631.05
808.0857	360.6763	12404.85	11622.15
808.2291	362.8707	12389.95	11610
808.3724	365.0646	12416.2	11634.3
808.5158	367.258	12390.35	11606.55
808.6591	369.4508	12380.75	11588.55
808.8025	371.643	12424.75	11632.55
808.9459	373.8346	12380.45	11588.4
809.0893	376.0257	12325.25	11529.65
809.2327	378.2162	12271.2	11477.7
809.3762	380.4062	12156	11357.45
809.5196	382.5956	12007.25	11206.1
809.6631	384.7844	11928.45	11129.05
809.8066	386.9726	11845.55	11044.5
809.9501	389.1603	11751.9	10950.55
810.0936	391.3474	11754.35	10913.05
810.2371	393.5339	11675.75	10876.2
810.3806	395.7199	11652.55	10857.85
810.5241	397.9052	11636.1	10843.95
810.6677	400.09	11654.8	10865
810.8113	402.2743	11671.25	10883.5
810.9548	404.4579	11697.15	10908.6
811.0984	406.641	11843.2	11057.2
811.2421	408.8235	12044.75	11256.35
811.3857	411.0054	12353.15	11564.6
811.5293	413.1868	12792.8	12000
811.673	415.3675	13137.25	12342.85
811.8166	417.5477	13331.25	12537.4
811.9603	419.7273	13343.2	12544.5
812.104	421.9064	13247.65	12441.75
812.2477	424.0848	13118.4	12314.25
812.3914	426.2627	12848.15	12040.9
812.5351	428.4399	12582.95	11777.5
812.6788	430.6166	12254.15	11441.7
812.8226	432.7928	11937.5	11126.45
812.9663	434.9683	11643.9	10836.45
813.1101	437.1432	11429.8	10616.85
813.2539	439.3176	11306.5	10490.95
813.3977	441.4914	11189.45	10376
813.5415	443.6645	11201.8	10384.35
813.6853	445.8371	11105.2	10289.3
813.8291	448.0091	11021.5	10205.55
813.973	450.1806	10980.05	10166.35
814.1168	452.3514	10932.45	10116.95
814.2607	454.5216	10921.4	10097.9
814.4046	456.6913	10848.35	10027.8
814.5485	458.8603	10849.6	10033.05
814.6924	461.0288	10910.65	10092.45
814.8363	463.1967	10940.9	10124
814.9802	465.3639	11058.9	10239.1
815.1241	467.5306	11190.65	10369.65
815.2681	469.6967	11347.9	10529.45
815.412	471.8622	11476.85	10658.05
815.556	474.0271	11614.05	10795.5
815.7	476.1914	11678.65	10853.85
815.844	478.3551	11640.15	10817.35
815.988	480.5182	11562.85	10739.15
816.132	482.6807	11520.15	10698.15
816.276	484.8426	11562.05	10741.65
816.4201	487.0039	11782.2	10959.7
816.5641	489.1647	12142.1	11319.3
816.7082	491.3248	12524.8	11699.55
816.8522	493.4843	12671.6	11849.7
816.9963	495.6432	12692.8	11869
817.1404	497.8015	12629.1	11803.55
817.2845	499.9592	12645.25	11822.55
817.4286	502.1163	12644.9	11819.7
817.5727	504.2728	12454.05	11624.95
817.7168	506.4287	12164.95	11338.65
817.861	508.5839	11785.1	10958.05
818.0051	510.7386	11457.1	10630.1
818.1493	512.8927	11243.55	10407.05
818.2935	515.0461	11077.7	10247.55
818.4377	517.199	10998.2	10168.4
818.5818	519.3512	10938.8	10108.35
818.726	521.5029	10933.45	10097.2
818.8703	523.6539	10906.5	10074.15
819.0145	525.8043	10916.05	10085.6
819.1587	527.9541	10964.9	10131.1
819.303	530.1033	11002.8	10170.8
819.4472	532.2519	11055.55	10221.55
819.5915	534.3999	11187.4	10352.8
819.7357	536.5472	11504.7	10668.75
819.88	538.694	11973.1	11140.5
820.0243	540.8401	12519.5	11682.55
820.1686	542.9856	13010.45	12172.65
820.3129	545.1305	13165	12328.45
820.4572	547.2748	13008	12171.75
820.6016	549.4185	12614.1	11777.25
820.7459	551.5615	12251.7	11417.05
820.8902	553.704	12090.55	11252.15
821.0346	555.8458	11961.05	11128.4
821.1789	557.987	11883.25	11045.75
821.3233	560.1276	11793.4	10955.7
821.4677	562.2675	11690.5	10853.8
821.6121	564.4069	11566.6	10729.1
821.7565	566.5456	11443.25	10608.25
821.9009	568.6837	11298.5	10460.15
822.0453	570.8212	11113.8	10275.85
822.1897	572.958	10903.9	10064.4
822.3342	575.0942	10758.85	9921.9
822.4786	577.2299	10643.9	9806.35
822.6231	579.3648	10677.8	9838.35
822.7675	581.4992	10804.4	9966.1
822.912	583.6329	10988.55	10150
823.0565	585.766	11176.1	10338.2
823.201	587.8985	11286.25	10448.85
823.3454	590.0304	11284.05	10435.85
823.4899	592.1616	11206.7	10362.95
823.6345	594.2922	11151.95	10310.7
823.779	596.4222	10995.9	10156.65
823.9235	598.5515	10870.5	10030.2
824.068	600.6802	10717.15	9874.4
824.2126	602.8083	10535.3	9693.5
824.3571	604.9358	10455.1	9611.6
824.5017	607.0626	10372.4	9528.1
824.6462	609.1888	10279.4	9436.95
824.7908	611.3144	10176.35	9331.2
824.9354	613.4393	10018.15	9173.55
825.08	615.5636	9903.45	9059.4
825.2246	617.6873	9782.85	8940.3
825.3692	619.8103	9687.15	8842
825.5138	621.9327	9635.85	8789.25
825.6584	624.0544	9636.85	8792.9
825.803	626.1756	9655.6	8811.45
825.9477	628.2961	9620.85	8773.7
826.0923	630.4159	9562.65	8716.85
826.237	632.5351	9505.4	8659.4
826.3816	634.6537	9465.15	8617.8
826.5263	636.7716	9438.5	8590.75
826.6709	638.8889	9397.75	8548.05
826.8156	641.0056	9407.6	8560.35
826.9603	643.1216	9431.2	8585.1
827.105	645.237	9422.8	8572.35
827.2497	647.3518	9433.45	8583.05
827.3944	649.4659	9455.05	8606.35
827.5391	651.5793	9451.1	8601.05
827.6838	653.6922	9409.8	8561.75
827.8285	655.8043	9398.25	8549.6
827.9733	657.9159	9366.7	8513.15
828.118	660.0268	9294.75	8437.85
828.2627	662.137	9211.5	8360.2
828.4075	664.2466	9160.6	8308.9
828.5522	666.3556	9155.2	8305.5
828.697	668.4639	9153.95	8299.8
828.8418	670.5716	9200.65	8345.8
828.9865	672.6786	9262.75	8409.65
829.1313	674.785	9330.9	8476.55
829.2761	676.8907	9397	8542.45
829.4209	678.9958	9469.25	8617.2
829.5657	681.1002	9428.55	8575.65
829.7105	683.204	9392.3	8533.6
829.8553	685.3072	9322.5	8466.5
830.0001	687.4097	9253.5	8399.65
830.1449	689.5115	9206.95	8348.3
830.2898	691.6127	9115.85	8260.85
