Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/14/2024 2:22:45 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	825
Laser Diode Temp (C):	25
Laser Case Temp (C):	29.2
System Temp (C):	29.2
Spectrometer Temp (C):	27
CCD Temp (C):	0.009
Secondary Temp (C):	20.008
Heatsink Temp (C):	25.175
CCDPCB Temp (C):	38.174
SecondaryPCB Temp (C):	36.174

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	455.1	46.7
787.2016	32.3739	455.05	47.2
787.3422	34.6426	460.5	49.7
787.4828	36.9109	468.1	57.25
787.6235	39.1787	477.05	59.85
787.7642	41.4461	484.8	64
787.9049	43.7131	493.75	69.65
788.0456	45.9796	502.75	76.7
788.1863	48.2456	517.15	86.8
788.3271	50.5112	523.6	89.4
788.4679	52.7764	529.85	93.9
788.6087	55.0411	538.2	97.75
788.7496	57.3054	553.7	108.8
788.8904	59.5692	562.45	110.9
789.0313	61.8326	572.5	119.7
789.1722	64.0955	588.1	129
789.3132	66.3579	603.4	141.1
789.4541	68.6199	621.65	157.2
789.5951	70.8815	656.95	187.8
789.7361	73.1426	727.45	256.1
789.8771	75.4032	912.4	433.6
790.0181	77.6634	1374.5	891.5
790.1592	79.9231	2466.35	1978.6
790.3003	82.1824	4868.95	4371.8
790.4414	84.4412	9274.35	8761.25
790.5825	86.6995	15572.3	15038.8
790.7237	88.9574	21879.9	21325.7
790.8648	91.2148	26408.4	25842.4
791.006	93.4717	28638.1	28061.7
791.1472	95.7282	29211.35	28632.65
791.2885	97.9842	29230.45	28646.7
791.4297	100.2398	28745.5	28161
791.571	102.4949	28182.15	27593.85
791.7123	104.7495	27412.15	26819.1
791.8536	107.0036	26620.05	26026.9
791.9949	109.2573	25779.95	25187.85
792.1363	111.5105	24929.8	24334.15
792.2777	113.7632	24116.25	23520.65
792.4191	116.0154	23406.6	22800.95
792.5605	118.2672	22824.75	22227.2
792.7019	120.5185	22248.55	21649.8
792.8434	122.7693	21847.95	21244.2
