Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 11:05:26 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	814
Laser Diode Temp (C):	25
Laser Case Temp (C):	24
System Temp (C):	24
Spectrometer Temp (C):	22.2
CCD Temp (C):	0.007
Secondary Temp (C):	20.008
Heatsink Temp (C):	18.672
CCDPCB Temp (C):	31.427
SecondaryPCB Temp (C):	25.947

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	446.95	37.65
787.2016	32.3739	446.55	38.85
787.3422	34.6426	451.25	41.5
787.4828	36.9109	457.9	45.7
787.6235	39.1787	465.2	48.75
787.7642	41.4461	471.35	50.9
787.9049	43.7131	474.4	50.05
788.0456	45.9796	480.4	53.4
788.1863	48.2456	489.85	58.9
788.3271	50.5112	498.25	62.45
788.4679	52.7764	501.55	61.95
788.6087	55.0411	512	68.5
788.7496	57.3054	520.7	73.05
788.8904	59.5692	529.15	79.8
789.0313	61.8326	534.75	84.85
789.1722	64.0955	545.7	92
789.3132	66.3579	561.6	102.45
789.4541	68.6199	576.6	113.75
789.5951	70.8815	603.15	136
789.7361	73.1426	661.8	192.05
789.8771	75.4032	803.05	330.7
790.0181	77.6634	1164.1	687.5
790.1592	79.9231	1982.05	1502.8
790.3003	82.1824	3693.35	3210.4
790.4414	84.4412	6691.95	6204.35
790.5825	86.6995	10647.35	10155.25
790.7237	88.9574	14404.05	13906.95
790.8648	91.2148	17041.3	16539.1
791.006	93.4717	18364.2	17856.95
791.1472	95.7282	18756.85	18250.05
791.2885	97.9842	18842.7	18334.85
791.4297	100.2398	18669.7	18158.8
791.571	102.4949	18463.1	17949
791.7123	104.7495	18290.6	17771.9
791.8536	107.0036	18114.95	17593.85
791.9949	109.2573	17918.7	17400.1
792.1363	111.5105	17656.3	17136.15
792.2777	113.7632	17302.45	16781.4
792.4191	116.0154	16951.55	16417.9
792.5605	118.2672	16572.45	16043.7
792.7019	120.5185	16121.6	15592.4
792.8434	122.7693	15720.65	15188.55
792.9849	125.0197	15342.65	14806.75
793.1264	127.2696	14999.55	14459.5
793.2679	129.519	14800.15	14257.35
793.4094	131.7679	14641.55	14095.8
793.551	134.0163	14545.8	13997.05
793.6926	136.2642	14499.2	13948.65
793.8342	138.5117	14490.35	13938.15
793.9758	140.7587	14433.95	13879.55
794.1175	143.0052	14332.75	13776.3
794.2591	145.2512	14102.7	13543.6
794.4008	147.4967	13869.9	13309.55
794.5425	149.7417	13643.45	13082.15
794.6842	151.9863	13452.45	12885.5
794.826	154.2304	13381.8	12809.3
794.9677	156.4739	13326.7	12751.15
795.1095	158.717	13380.95	12805.25
795.2513	160.9596	13505.2	12923.85
795.3931	163.2017	13671	13088
795.535	165.4433	13756.3	13171.5
795.6768	167.6844	13767.7	13178.9
795.8187	169.925	13662.85	13071.95
795.9606	172.1651	13456.15	12859.6
796.1025	174.4047	13290.4	12691.25
796.2445	176.6439	13066.2	12464.75
796.3864	178.8825	12877.2	12273.6
796.5284	181.1206	12840.2	12232.9
796.6704	183.3582	12780.9	12170.35
796.8124	185.5954	12735.85	12122.25
