Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 11:07:48 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	818
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	24.3
System Temp (C):	24.2
Spectrometer Temp (C):	22.2
CCD Temp (C):	0.001
Secondary Temp (C):	20.019
Heatsink Temp (C):	18.88
CCDPCB Temp (C):	31.838
SecondaryPCB Temp (C):	26.136

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	438.7	26.4
787.2016	32.3739	439.25	29.5
787.3422	34.6426	443.1	32.5
787.4828	36.9109	447.35	34.75
787.6235	39.1787	452.5	36.75
787.7642	41.4461	460.4	40.05
787.9049	43.7131	461.7	37.6
788.0456	45.9796	472.1	45.7
788.1863	48.2456	478.7	47.45
788.3271	50.5112	483.8	49.6
788.4679	52.7764	491.7	55.75
788.6087	55.0411	495.9	54.95
788.7496	57.3054	507.65	60.45
788.8904	59.5692	514.6	66.8
789.0313	61.8326	516.9	67.8
789.1722	64.0955	525.75	72.85
789.3132	66.3579	536.25	78.8
789.4541	68.6199	549.25	87.55
789.5951	70.8815	576.3	110.2
789.7361	73.1426	626.6	157.8
789.8771	75.4032	739.9	267.85
790.0181	77.6634	1041.15	564.85
790.1592	79.9231	1718.3	1241.5
790.3003	82.1824	3123.4	2644.55
790.4414	84.4412	5524.1	5038.1
790.5825	86.6995	8708.9	8219.45
790.7237	88.9574	11734.7	11243
790.8648	91.2148	13872.35	13376.8
791.006	93.4717	14932	14433.25
791.1472	95.7282	15243.4	14742.2
791.2885	97.9842	15289.5	14786
791.4297	100.2398	15151.5	14647.3
791.571	102.4949	15000.15	14493.4
791.7123	104.7495	14852.35	14338.65
791.8536	107.0036	14668.85	14156.45
791.9949	109.2573	14497.35	13984.1
792.1363	111.5105	14290.6	13775.55
792.2777	113.7632	14009.55	13493.75
792.4191	116.0154	13693.9	13164.7
792.5605	118.2672	13382.4	12861.6
792.7019	120.5185	13009.25	12487
792.8434	122.7693	12663.75	12135.95
792.9849	125.0197	12337.45	11806.25
793.1264	127.2696	12086.65	11551.35
793.2679	129.519	11917.85	11379.6
793.4094	131.7679	11772.75	11233.55
793.551	134.0163	11727.5	11186.4
793.6926	136.2642	11647.95	11103.4
793.8342	138.5117	11651.4	11103.05
793.9758	140.7587	11569.15	11018.8
794.1175	143.0052	11489.7	10937.15
794.2591	145.2512	11311.7	10757.75
794.4008	147.4967	11117.45	10560.55
794.5425	149.7417	10923.95	10365.1
794.6842	151.9863	10820.25	10256.5
794.826	154.2304	10732.2	10165.5
794.9677	156.4739	10675.65	10104.55
795.1095	158.717	10724.35	10152.1
795.2513	160.9596	10802.5	10225.6
795.3931	163.2017	10903.55	10325.15
