Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 11:08:36 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	818
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	24.3
System Temp (C):	24.2
Spectrometer Temp (C):	22.3
CCD Temp (C):	0.01
Secondary Temp (C):	20.008
Heatsink Temp (C):	19
CCDPCB Temp (C):	32.628
SecondaryPCB Temp (C):	25.991

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	435.6	24.25
787.2016	32.3739	436.7	26.25
787.3422	34.6426	438.2	28.45
787.4828	36.9109	441.6	29.65
787.6235	39.1787	446.8	32.35
787.7642	41.4461	452.3	33.35
787.9049	43.7131	460.5	38.5
788.0456	45.9796	463.95	37.45
788.1863	48.2456	468.4	37.65
788.3271	50.5112	478	42.3
788.4679	52.7764	481.4	42.95
788.6087	55.0411	491.75	50.8
788.7496	57.3054	500.05	53.85
788.8904	59.5692	505.1	58
789.0313	61.8326	509.65	61.55
789.1722	64.0955	518.8	67.1
789.3132	66.3579	532.6	74.9
789.4541	68.6199	542.95	79.25
789.5951	70.8815	566.45	99.25
789.7361	73.1426	612.4	141.85
789.8771	75.4032	724.4	252.6
790.0181	77.6634	1002.25	527.4
790.1592	79.9231	1651.3	1173
790.3003	82.1824	2972.4	2492.6
790.4414	84.4412	5224.45	4737.8
790.5825	86.6995	8162.95	7671.35
790.7237	88.9574	10940.4	10443
790.8648	91.2148	12868.35	12366.35
791.006	93.4717	13761.6	13255.45
791.1472	95.7282	14005.8	13498.4
791.2885	97.9842	13998.6	13490.2
791.4297	100.2398	13842.9	13333.3
791.571	102.4949	13663.95	13151.2
791.7123	104.7495	13523.9	13009
791.8536	107.0036	13313.7	12795.75
791.9949	109.2573	13125.35	12607.2
792.1363	111.5105	12912.45	12392.95
792.2777	113.7632	12615.2	12095.45
792.4191	116.0154	12277.25	11743.1
792.5605	118.2672	11926.05	11400.95
792.7019	120.5185	11514.95	10987.4
792.8434	122.7693	11142.35	10608.95
792.9849	125.0197	10816	10279.7
793.1264	127.2696	10511.75	9971.8
793.2679	129.519	10320.1	9777.25
793.4094	131.7679	10186.45	9643.65
793.551	134.0163	10104.85	9558.75
793.6926	136.2642	10055.5	9504.05
793.8342	138.5117	10025.1	9471.85
793.9758	140.7587	9980.45	9425.7
794.1175	143.0052	9847.1	9291.35
794.2591	145.2512	9681.65	9124.25
794.4008	147.4967	9466.9	8905.35
794.5425	149.7417	9277.2	8714
794.6842	151.9863	9111.9	8543.95
794.826	154.2304	9035.55	8466.5
794.9677	156.4739	8993.6	8417.35
795.1095	158.717	9036.95	8461
795.2513	160.9596	9111.05	8529.75
795.3931	163.2017	9254.55	8671.35
795.535	165.4433	9343.45	8759.15
795.6768	167.6844	9364.15	8775.8
795.8187	169.925	9270.25	8679.8
795.9606	172.1651	9092	8496.15
796.1025	174.4047	8908	8308.15
796.2445	176.6439	8730.15	8130.75
796.3864	178.8825	8599.75	7997.25
796.5284	181.1206	8521.7	7916
796.6704	183.3582	8477.5	7865.6
796.8124	185.5954	8442.75	7830
796.9544	187.832	8421.5	7805.85
797.0965	190.0681	8440.75	7822.55
797.2386	192.3037	8454.85	7833.8
797.3806	194.5388	8458.85	7834.15
797.5228	196.7734	8510.95	7885.1
797.6649	199.0075	8538.85	7912.7
797.807	201.2411	8623.8	7996.45
797.9492	203.4742	8693.75	8061.25
798.0914	205.7068	8811.15	8174.75
798.2336	207.9389	8878.05	8241.35
798.3758	210.1704	8960.95	8333.25
798.518	212.4015	8985.6	8369.3
798.6603	214.632	8982.95	8368.8
798.8025	216.862	9008.25	8395.85
798.9448	219.0915	9034.75	8420.95
799.0871	221.3205	9100.75	8482.9
799.2294	223.549	9152.05	8541.1
799.3718	225.777	9158.75	8542.5
799.5141	228.0044	9160	8535.9
799.6565	230.2314	9125.95	8499.6
799.7989	232.4578	9088.25	8459.05
799.9413	234.6837	9041.05	8403.8
800.0837	236.909	8991	8352.1
800.2262	239.1339	8905.5	8240.9
800.3687	241.3582	8902.85	8253.65
800.5111	243.582	8888.1	8208.5
800.6536	245.8053	8911.2	8245.65
800.7961	248.0281	8928.2	8266.75
800.9387	250.2503	8946.75	8282.6
801.0812	252.472	8957.25	8293.8
801.2238	254.6932	8990.95	8325.7
801.3664	256.9139	8974.4	8306.9
801.509	259.134	9017.35	8346.85
801.6516	261.3536	9087	8417.8
801.7942	263.5727	9211.2	8542.5
801.9369	265.7912	9348.75	8676.35
802.0795	268.0092	9615.95	8946.7
802.2222	270.2267	9870.7	9198.65
802.3649	272.4436	10034.75	9359.4
802.5076	274.6601	10205.6	9521.75
802.6504	276.8759	10273.7	9593
802.7931	279.0913	10377.3	9695.85
802.9359	281.3061	10430.55	9748.1
803.0787	283.5204	10537.2	9854.75
803.2215	285.7341	10648	9961.2
803.3643	287.9473	10754.85	10066.25
803.5071	290.16	10734.45	10043.7
803.6499	292.3721	10575.35	9889.1
803.7928	294.5837	10345.65	9659.85
803.9357	296.7947	10195.25	9507.85
804.0786	299.0052	10118.7	9430.3
804.2215	301.2152	10030.2	9338.25
804.3644	303.4246	10004.15	9315.75
804.5074	305.6334	9974.7	9285.55
804.6503	307.8418	9943.1	9249.25
804.7933	310.0495	9873.2	9177.3
804.9363	312.2568	9756.55	9061.7
805.0793	314.4635	9600.5	8902.1
805.2223	316.6696	9379	8678.1
805.3653	318.8752	9192.5	8484.9
805.5084	321.0802	9038	8335.65
805.6514	323.2847	9004	8298.8
805.7945	325.4887	8983.6	8278.6
805.9376	327.692	9042.1	8335
806.0807	329.8949	9212.95	8506.5
806.2238	332.0972	9380.45	8670.55
806.367	334.2989	9590.7	8879.7
806.5101	336.5001	9615.05	8902.55
806.6533	338.7007	9524.3	8812.9
806.7965	340.9008	9371.05	8657.75
806.9397	343.1003	9093.15	8377.75
807.0829	345.2992	8838.85	8121.4
807.2261	347.4976	8665.35	7945.8
807.3693	349.6955	8506.3	7784.15
807.5126	351.8927	8407.7	7684.65
807.6559	354.0895	8335.95	7600.35
807.7991	356.2856	8296.5	7570.8
807.9424	358.4812	8255.3	7529.5
808.0857	360.6763	8241.8	7513.45
808.2291	362.8707	8178.7	7448.7
808.3724	365.0646	8175.25	7441.2
808.5158	367.258	8206.7	7472.05
808.6591	369.4508	8250.25	7509.5
808.8025	371.643	8374.5	7638.7
808.9459	373.8346	8469.85	7731.1
809.0893	376.0257	8622.5	7880.65
809.2327	378.2162	8726.85	7986.9
809.3762	380.4062	8824.05	8082.15
809.5196	382.5956	8737.5	7996.95
809.6631	384.7844	8591.7	7855.75
809.8066	386.9726	8404.8	7668.75
809.9501	389.1603	8248.2	7514.1
810.0936	391.3474	8171.95	7396.95
810.2371	393.5339	8147.4	7409.9
810.3806	395.7199	8130.6	7397.35
810.5241	397.9052	8250.7	7516
810.6677	400.09	8410.95	7673.3
810.8113	402.2743	8588.7	7849.8
810.9548	404.4579	8751.75	8012.55
811.0984	406.641	8883.45	8141.1
811.2421	408.8235	9065.1	8320.25
811.3857	411.0054	9183.4	8436
811.5293	413.1868	9306.5	8557.35
811.673	415.3675	9326.7	8574.95
811.8166	417.5477	9295.55	8541.8
811.9603	419.7273	9195.1	8438.4
812.104	421.9064	9047.85	8284.4
812.2477	424.0848	8836.65	8078.8
812.3914	426.2627	8593.5	7833.1
812.5351	428.4399	8343.1	7583.15
812.6788	430.6166	8122.4	7358.4
812.8226	432.7928	7917.9	7153.95
812.9663	434.9683	7766.95	7001.2
813.1101	437.1432	7684.2	6915.8
813.2539	439.3176	7578.4	6814.4
813.3977	441.4914	7522.5	6759.15
813.5415	443.6645	7495.25	6728.15
813.6853	445.8371	7461.4	6695.75
813.8291	448.0091	7448.4	6682.35
813.973	450.1806	7427.35	6661.55
814.1168	452.3514	7401.3	6631.65
814.2607	454.5216	7438.65	6658
814.4046	456.6913	7416.85	6645.7
814.5485	458.8603	7456.5	6685.2
814.6924	461.0288	7475.2	6706.05
814.8363	463.1967	7447.4	6676.6
814.9802	465.3639	7458.8	6686.7
815.1241	467.5306	7396.95	6623
