Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 11:09:24 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	817
Laser Diode Temp (C):	25
Laser Case Temp (C):	24.3
System Temp (C):	24.3
Spectrometer Temp (C):	22.3
CCD Temp (C):	0
Secondary Temp (C):	20.006
Heatsink Temp (C):	19.055
CCDPCB Temp (C):	32.728
SecondaryPCB Temp (C):	25.958

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	435.7	24.8
787.2016	32.3739	434.95	27.15
787.3422	34.6426	441.8	31.05
787.4828	36.9109	444.2	32.95
787.6235	39.1787	448.3	32.1
787.7642	41.4461	456.8	36.45
787.9049	43.7131	462	40.2
788.0456	45.9796	467.15	40.05
788.1863	48.2456	474.55	46.2
788.3271	50.5112	479.5	45.75
788.4679	52.7764	486.35	49.25
788.6087	55.0411	492.85	52.35
788.7496	57.3054	504.4	57.95
788.8904	59.5692	508.05	62.25
789.0313	61.8326	517.15	68.7
789.1722	64.0955	521.5	69.2
789.3132	66.3579	534.55	79.05
789.4541	68.6199	546.75	84.15
789.5951	70.8815	577.9	113.95
789.7361	73.1426	624.6	156.45
789.8771	75.4032	751.85	279.5
790.0181	77.6634	1067.1	591.65
790.1592	79.9231	1803.5	1325.4
790.3003	82.1824	3275.25	2793.1
790.4414	84.4412	5818.05	5331.35
790.5825	86.6995	9117.35	8623
790.7237	88.9574	12250.6	11752.8
790.8648	91.2148	14359.25	13855.3
791.006	93.4717	15363.9	14856.95
791.1472	95.7282	15544.9	15038.6
791.2885	97.9842	15524.4	15013.8
791.4297	100.2398	15324.6	14812.4
791.571	102.4949	15131.55	14614.75
791.7123	104.7495	14908.7	14390.6
791.8536	107.0036	14667.45	14147
791.9949	109.2573	14434.95	13917.9
792.1363	111.5105	14168.55	13646.55
792.2777	113.7632	13755.1	13233.05
792.4191	116.0154	13347.8	12815.3
792.5605	118.2672	12908.5	12380.5
792.7019	120.5185	12448.25	11917.05
792.8434	122.7693	11943.25	11411.35
792.9849	125.0197	11553.85	11015.35
793.1264	127.2696	11184	10643.4
793.2679	129.519	10960.55	10417.3
793.4094	131.7679	10781.15	10232.6
793.551	134.0163	10665.6	10117.9
793.6926	136.2642	10613.15	10060.6
793.8342	138.5117	10574.55	10017.55
793.9758	140.7587	10473.1	9920.25
794.1175	143.0052	10355.4	9795.4
794.2591	145.2512	10154.1	9594.15
794.4008	147.4967	9884.2	9320.75
794.5425	149.7417	9635.8	9070.95
794.6842	151.9863	9458.95	8890.5
794.826	154.2304	9356.3	8782.4
794.9677	156.4739	9297.05	8719.1
795.1095	158.717	9363.2	8785.05
795.2513	160.9596	9475.65	8891.45
795.3931	163.2017	9637.05	9052.8
795.535	165.4433	9750.65	9166.3
795.6768	167.6844	9783.95	9194.75
795.8187	169.925	9656.6	9063
795.9606	172.1651	9407.65	8811.5
796.1025	174.4047	9186.6	8586.8
796.2445	176.6439	8989.9	8388.6
796.3864	178.8825	8807.6	8201.3
796.5284	181.1206	8705.45	8097.9
796.6704	183.3582	8651.05	8035.1
796.8124	185.5954	8619.45	8006.45
796.9544	187.832	8585.35	7967.35
797.0965	190.0681	8616.7	7996.65
797.2386	192.3037	8618.55	7993.9
797.3806	194.5388	8624.3	7999.85
797.5228	196.7734	8638.25	8012.55
797.6649	199.0075	8733.35	8105.9
797.807	201.2411	8831.25	8200.7
797.9492	203.4742	8928	8297.45
798.0914	205.7068	9058.5	8422.95
798.2336	207.9389	9144.8	8506.75
798.3758	210.1704	9196.6	8564.3
798.518	212.4015	9242.2	8620.15
798.6603	214.632	9277.65	8662.5
798.8025	216.862	9287.25	8672.85
798.9448	219.0915	9303.5	8685.65
799.0871	221.3205	9397.6	8777.4
799.2294	223.549	9440.4	8824.95
799.3718	225.777	9470.55	8854.35
799.5141	228.0044	9427.2	8802.5
799.6565	230.2314	9431.1	8806.05
799.7989	232.4578	9351.3	8721
799.9413	234.6837	9283.2	8643.2
800.0837	236.909	9236.9	8595.9
800.2262	239.1339	9166.8	8504.75
800.3687	241.3582	9105.5	8456.45
800.5111	243.582	9114	8435.1
800.6536	245.8053	9109	8442.25
800.7961	248.0281	9129	8467.05
800.9387	250.2503	9182.2	8517.95
801.0812	252.472	9194.3	8528.5
801.2238	254.6932	9228.65	8562.25
801.3664	256.9139	9231.3	8562.05
801.509	259.134	9289.7	8615.75
801.6516	261.3536	9364.55	8695.6
801.7942	263.5727	9522.55	8851.15
