Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 11:34:07 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	25.1
System Temp (C):	25
Spectrometer Temp (C):	23
CCD Temp (C):	0.008
Secondary Temp (C):	20.008
Heatsink Temp (C):	19.937
CCDPCB Temp (C):	33.172
SecondaryPCB Temp (C):	26.725

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	415.75	5.1
787.2016	32.3739	414.3	7.95
787.3422	34.6426	415	6.7
787.4828	36.9109	417.55	7.95
787.6235	39.1787	420.7	6.5
787.7642	41.4461	427.55	8.85
787.9049	43.7131	432	9.35
788.0456	45.9796	433.95	10.15
788.1863	48.2456	437.85	8.45
788.3271	50.5112	444.2	10.9
788.4679	52.7764	447.35	12.85
788.6087	55.0411	450.1	10.05
788.7496	57.3054	457.05	13.2
788.8904	59.5692	460.4	13.85
789.0313	61.8326	464.3	15.35
789.1722	64.0955	469	17.45
789.3132	66.3579	475.2	18.9
789.4541	68.6199	481.75	20.9
789.5951	70.8815	493.4	29.5
789.7361	73.1426	512.2	43.15
789.8771	75.4032	546.1	74.4
790.0181	77.6634	623.4	147.75
790.1592	79.9231	806.8	328.45
790.3003	82.1824	1186.05	700.55
790.4414	84.4412	1798.75	1301.75
790.5825	86.6995	2573.85	2064.7
790.7237	88.9574	3317.8	2797.75
790.8648	91.2148	3805.45	3278.75
791.006	93.4717	4036.1	3505.9
791.1472	95.7282	4053.55	3519.65
791.2885	97.9842	4036	3498.8
791.4297	100.2398	3965.8	3424.8
791.571	102.4949	3923.05	3381.25
791.7123	104.7495	3888.5	3341.8
791.8536	107.0036	3838.2	3291.6
791.9949	109.2573	3747.2	3202.05
792.1363	111.5105	3664.4	3112.5
792.2777	113.7632	3541.95	2991.9
792.4191	116.0154	3447.75	2883.95
792.5605	118.2672	3334.45	2779.75
792.7019	120.5185	3223.6	2664.3
792.8434	122.7693	3122.7	2562.25
792.9849	125.0197	3032.65	2467.8
793.1264	127.2696	2953.95	2389
793.2679	129.519	2915.9	2346.25
793.4094	131.7679	2871.05	2297.75
793.551	134.0163	2850.5	2275.05
793.6926	136.2642	2839.55	2257.9
793.8342	138.5117	2815.6	2233.45
793.9758	140.7587	2793.45	2208.95
794.1175	143.0052	2747.1	2160.65
794.2591	145.2512	2703.2	2115.95
794.4008	147.4967	2638.15	2047.7
794.5425	149.7417	2596.85	2004.15
794.6842	151.9863	2577.65	1983.25
794.826	154.2304	2548.25	1949.3
794.9677	156.4739	2545.9	1939.65
795.1095	158.717	2555.45	1950.4
795.2513	160.9596	2582.35	1972.15
795.3931	163.2017	2615.55	2003.1
795.535	165.4433	2615.95	1999.9
795.6768	167.6844	2626.5	2010.9
795.8187	169.925	2589.15	1966.8
795.9606	172.1651	2538.7	1917.5
