Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 11:36:30 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	25.2
System Temp (C):	25.1
Spectrometer Temp (C):	23
CCD Temp (C):	-0.003
Secondary Temp (C):	20.008
Heatsink Temp (C):	19.884
CCDPCB Temp (C):	34.917
SecondaryPCB Temp (C):	27.625

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	416.45	7.45
787.2016	32.3739	413.6	5.4
787.3422	34.6426	414.15	5.3
787.4828	36.9109	416.7	6.85
787.6235	39.1787	420.25	6.65
787.7642	41.4461	426.45	7.4
787.9049	43.7131	430.9	6.75
788.0456	45.9796	434.35	9.55
788.1863	48.2456	438.6	10.65
788.3271	50.5112	440.3	8.8
788.4679	52.7764	446.9	13.5
788.6087	55.0411	450.5	9
788.7496	57.3054	457.35	11.75
788.8904	59.5692	462.8	16.8
789.0313	61.8326	461.95	14.1
789.1722	64.0955	467.7	15
789.3132	66.3579	475.75	18.15
789.4541	68.6199	481.1	18.9
789.5951	70.8815	492.45	27.15
789.7361	73.1426	511.35	41.1
789.8771	75.4032	547.65	74.7
790.0181	77.6634	625.6	150.5
790.1592	79.9231	802.95	323.2
790.3003	82.1824	1180.2	693.75
790.4414	84.4412	1786.25	1287.85
790.5825	86.6995	2571.85	2060.65
790.7237	88.9574	3299.6	2780.85
790.8648	91.2148	3801.35	3274.15
791.006	93.4717	4000.9	3465.95
791.1472	95.7282	4028.4	3489.95
791.2885	97.9842	4013.9	3474.1
791.4297	100.2398	3940.75	3398.95
791.571	102.4949	3880.65	3337.25
791.7123	104.7495	3843.1	3294.2
791.8536	107.0036	3797.15	3248.85
791.9949	109.2573	3725.3	3178.15
792.1363	111.5105	3621.2	3070.15
792.2777	113.7632	3532.9	2978.3
792.4191	116.0154	3415.75	2852.7
792.5605	118.2672	3294.9	2735.3
792.7019	120.5185	3201.8	2640.1
792.8434	122.7693	3068.7	2506.7
792.9849	125.0197	2981.05	2412.7
793.1264	127.2696	2895.9	2325.7
793.2679	129.519	2866.85	2294.85
793.4094	131.7679	2834.4	2257.7
793.551	134.0163	2798.75	2221.75
793.6926	136.2642	2790.75	2209
793.8342	138.5117	2776.95	2191.95
793.9758	140.7587	2752.3	2168.05
794.1175	143.0052	2702.1	2112.5
794.2591	145.2512	2650.7	2059.9
794.4008	147.4967	2592.4	2002.1
794.5425	149.7417	2549.05	1954.2
794.6842	151.9863	2530.2	1934.9
794.826	154.2304	2506.25	1904.35
794.9677	156.4739	2509.25	1902.55
795.1095	158.717	2506.35	1898.9
795.2513	160.9596	2547.55	1935.7
795.3931	163.2017	2572.35	1956.95
795.535	165.4433	2571.2	1953.9
795.6768	167.6844	2569.8	1951.4
795.8187	169.925	2541.5	1920.9
795.9606	172.1651	2487.8	1866.75
796.1025	174.4047	2447.25	1817.75
796.2445	176.6439	2387.4	1759.8
796.3864	178.8825	2368.55	1733.55
796.5284	181.1206	2350.7	1715.5
796.6704	183.3582	2331.3	1690.2
796.8124	185.5954	2327.1	1682.2
796.9544	187.832	2317.4	1670.65
797.0965	190.0681	2332.5	1684.75
797.2386	192.3037	2343.8	1693.3
797.3806	194.5388	2354.1	1696.65
797.5228	196.7734	2352.15	1696.45
797.6649	199.0075	2374.2	1714.8
797.807	201.2411	2388.5	1732.05
797.9492	203.4742	2422.15	1761.85
798.0914	205.7068	2448.3	1781.2
798.2336	207.9389	2471.3	1804.4
798.3758	210.1704	2488.7	1826.35
798.518	212.4015	2482.05	1831.1
798.6603	214.632	2485.8	1840.2
798.8025	216.862	2488.8	1845.45
798.9448	219.0915	2494.2	1849.05
799.0871	221.3205	2512.65	1863.65
799.2294	223.549	2522.65	1878.85
799.3718	225.777	2518.1	1871.8
799.5141	228.0044	2512.2	1858.75
799.6565	230.2314	2503.6	1852.8
799.7989	232.4578	2476.25	1820.8
799.9413	234.6837	2481.6	1816.05
800.0837	236.909	2461	1794.25
800.2262	239.1339	2473.7	1781.8
800.3687	241.3582	2459	1782.5
800.5111	243.582	2472.15	1764.4
800.6536	245.8053	2473.8	1779.95
800.7961	248.0281	2469.05	1781.3
800.9387	250.2503	2482.3	1789.85
801.0812	252.472	2491.4	1797.95
801.2238	254.6932	2511.65	1817.45
801.3664	256.9139	2498.9	1804
801.509	259.134	2527.9	1824.9
801.6516	261.3536	2543.5	1846.85
801.7942	263.5727	2601.75	1903.35
801.9369	265.7912	2650.75	1948.8
802.0795	268.0092	2711.5	2010.6
802.2222	270.2267	2779.25	2078.45
802.3649	272.4436	2818.1	2117.1
802.5076	274.6601	2865.45	2152.15
802.6504	276.8759	2894.65	2183.6
802.7931	279.0913	2924.5	2212.05
802.9359	281.3061	2933.2	2223
803.0787	283.5204	2952.85	2237.15
803.2215	285.7341	2984.15	2267.55
803.3643	287.9473	2996.4	2277.6
803.5071	290.16	3005.5	2285.75
803.6499	292.3721	2958.9	2245.35
803.7928	294.5837	2922.15	2206.05
803.9357	296.7947	2890.85	2173.85
804.0786	299.0052	2875.1	2156
804.2215	301.2152	2869.65	2146.4
804.3644	303.4246	2854.75	2139.55
804.5074	305.6334	2830.75	2113.7
804.6503	307.8418	2806.75	2083.15
804.7933	310.0495	2780	2056.9
804.9363	312.2568	2735.75	2012.35
805.0793	314.4635	2697.95	1974.4
805.2223	316.6696	2647.1	1916.45
805.3653	318.8752	2590.9	1854.1
805.5084	321.0802	2557.45	1830.25
805.6514	323.2847	2555.15	1824
805.7945	325.4887	2562.9	1832.85
805.9376	327.692	2575.2	1840.7
806.0807	329.8949	2627.75	1892.05
806.2238	332.0972	2664.05	1928.35
806.367	334.2989	2699.75	1958.75
806.5101	336.5001	2687.8	1948.2
806.6533	338.7007	2672.9	1932.4
