Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 11:38:53 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	823
Laser Diode Temp (C):	25
Laser Case Temp (C):	25.2
System Temp (C):	25.2
Spectrometer Temp (C):	23
CCD Temp (C):	0.005
Secondary Temp (C):	20.008
Heatsink Temp (C):	19.944
CCDPCB Temp (C):	34.551
SecondaryPCB Temp (C):	27.648

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	413.75	5
787.2016	32.3739	413.95	6.5
787.3422	34.6426	415.8	6.4
787.4828	36.9109	417.25	7.6
787.6235	39.1787	424.35	8.8
787.7642	41.4461	425.8	7.8
787.9049	43.7131	431.1	9.8
788.0456	45.9796	434.95	9.35
788.1863	48.2456	437.8	9.8
788.3271	50.5112	445	13.3
788.4679	52.7764	445.65	10.45
788.6087	55.0411	452	11.5
788.7496	57.3054	456.4	8.95
788.8904	59.5692	461.15	13.8
789.0313	61.8326	464.7	15.15
789.1722	64.0955	467.85	16.65
789.3132	66.3579	475.35	19.45
789.4541	68.6199	483.05	19.1
789.5951	70.8815	494.15	27.5
789.7361	73.1426	508.3	38.45
789.8771	75.4032	546	72
790.0181	77.6634	623.7	147.15
790.1592	79.9231	809.95	329.65
790.3003	82.1824	1184.5	697.55
790.4414	84.4412	1801.75	1300.7
790.5825	86.6995	2555.2	2039.65
790.7237	88.9574	3292.2	2768.75
790.8648	91.2148	3808.45	3276.6
791.006	93.4717	4010.3	3472.15
791.1472	95.7282	4025	3482.85
791.2885	97.9842	4010.4	3465.2
791.4297	100.2398	3957.65	3409.2
791.571	102.4949	3885.75	3333.9
791.7123	104.7495	3872.5	3318.1
791.8536	107.0036	3804.5	3245.5
791.9949	109.2573	3713.85	3159.45
792.1363	111.5105	3615.7	3058.45
792.2777	113.7632	3521.9	2963.25
792.4191	116.0154	3410.85	2838.3
792.5605	118.2672	3291.3	2727.4
792.7019	120.5185	3166.95	2601.9
792.8434	122.7693	3075.85	2506.05
792.9849	125.0197	2970.3	2397.55
793.1264	127.2696	2893.7	2317.65
793.2679	129.519	2847.55	2267.9
793.4094	131.7679	2803	2217.85
793.551	134.0163	2777.45	2194.2
793.6926	136.2642	2774.4	2187.1
793.8342	138.5117	2759.7	2167.75
793.9758	140.7587	2729.05	2139.2
794.1175	143.0052	2689.4	2092.65
794.2591	145.2512	2633.15	2037.5
794.4008	147.4967	2575.15	1978.6
794.5425	149.7417	2521.85	1920.15
794.6842	151.9863	2502.65	1898.95
794.826	154.2304	2490.6	1882.6
794.9677	156.4739	2483.4	1871.55
795.1095	158.717	2496.1	1880.95
795.2513	160.9596	2515.85	1895.75
795.3931	163.2017	2553.9	1931.75
795.535	165.4433	2564.75	1944.15
795.6768	167.6844	2550.25	1925.25
795.8187	169.925	2514.4	1885.75
795.9606	172.1651	2455.95	1823.8
796.1025	174.4047	2408.65	1775.1
796.2445	176.6439	2364.1	1727.65
796.3864	178.8825	2332.1	1693.5
796.5284	181.1206	2313.6	1668.05
796.6704	183.3582	2306.5	1659.05
796.8124	185.5954	2292.4	1642.15
796.9544	187.832	2303.9	1650.35
797.0965	190.0681	2309.8	1655.85
797.2386	192.3037	2310.85	1654.5
797.3806	194.5388	2321.05	1655.75
797.5228	196.7734	2327.1	1663.2
797.6649	199.0075	2341.9	1675.15
797.807	201.2411	2375.6	1709.8
797.9492	203.4742	2382.5	1716.05
798.0914	205.7068	2426	1754.05
798.2336	207.9389	2441.65	1767.25
798.3758	210.1704	2443.15	1774.85
798.518	212.4015	2438.55	1781.2
798.6603	214.632	2446.45	1795.75
798.8025	216.862	2458.2	1808.5
798.9448	219.0915	2465.45	1814.6
799.0871	221.3205	2481.75	1825.9
799.2294	223.549	2485.05	1833.1
799.3718	225.777	2475.35	1824.6
799.5141	228.0044	2488.65	1830.65
799.6565	230.2314	2479.65	1818.4
799.7989	232.4578	2461.15	1797.6
799.9413	234.6837	2452.9	1782.55
800.0837	236.909	2440.8	1769.15
800.2262	239.1339	2443	1744.45
800.3687	241.3582	2431.05	1746.8
800.5111	243.582	2439.85	1724.15
800.6536	245.8053	2455.05	1755.7
800.7961	248.0281	2444.2	1745.6
800.9387	250.2503	2460.45	1764
801.0812	252.472	2474.6	1773.3
801.2238	254.6932	2487.5	1788.75
801.3664	256.9139	2479.7	1776.2
801.509	259.134	2508.3	1800.2
801.6516	261.3536	2524.45	1821.4
801.7942	263.5727	2562.4	1858.8
801.9369	265.7912	2621.35	1914.6
802.0795	268.0092	2686.85	1980.5
802.2222	270.2267	2751.65	2044.4
802.3649	272.4436	2808.3	2097.35
802.5076	274.6601	2850.7	2126.5
802.6504	276.8759	2864.65	2149.15
802.7931	279.0913	2886.25	2167.75
802.9359	281.3061	2902.2	2185
803.0787	283.5204	2941.3	2219.35
803.2215	285.7341	2958.65	2235.35
803.3643	287.9473	2980.25	2257.3
803.5071	290.16	2991.7	2263.2
803.6499	292.3721	2937.75	2215.6
803.7928	294.5837	2905.8	2184.15
803.9357	296.7947	2875.85	2155.1
804.0786	299.0052	2850.8	2124.7
804.2215	301.2152	2843.55	2116.4
804.3644	303.4246	2812.25	2091.45
804.5074	305.6334	2795.7	2072.25
804.6503	307.8418	2775.55	2046.15
804.7933	310.0495	2744.85	2015.15
804.9363	312.2568	2706.9	1978.15
805.0793	314.4635	2671.05	1941.1
805.2223	316.6696	2612.6	1879.05
805.3653	318.8752	2566.1	1823.8
805.5084	321.0802	2527	1790.7
805.6514	323.2847	2526.85	1786.4
805.7945	325.4887	2530.6	1792.95
805.9376	327.692	2558.1	1818.9
806.0807	329.8949	2602.7	1858.95
806.2238	332.0972	2649.45	1903.95
806.367	334.2989	2667.15	1922.65
806.5101	336.5001	2649.75	1904.1
806.6533	338.7007	2623.2	1878.5
806.7965	340.9008	2580.5	1833.65
806.9397	343.1003	2516.1	1763
807.0829	345.2992	2473.55	1721.4
807.2261	347.4976	2435.45	1681.9
807.3693	349.6955	2394.55	1635.65
807.5126	351.8927	2370.9	1614.15
807.6559	354.0895	2363.3	1594.85
807.7991	356.2856	2344.55	1584.9
807.9424	358.4812	2323.8	1565.4
808.0857	360.6763	2329.7	1570.15
808.2291	362.8707	2322.55	1560.15
808.3724	365.0646	2329.8	1562.1
808.5158	367.258	2351.05	1581.6
808.6591	369.4508	2357.4	1587
808.8025	371.643	2396.9	1623.95
808.9459	373.8346	2424.95	1652.8
809.0893	376.0257	2444.05	1667.95
809.2327	378.2162	2490.3	1713
809.3762	380.4062	2492.8	1718.2
809.5196	382.5956	2458.7	1686.45
809.6631	384.7844	2420.45	1650.9
809.8066	386.9726	2379.15	1610.65
809.9501	389.1603	2358.7	1591.7
810.0936	391.3474	2364.6	1564.3
810.2371	393.5339	2338.25	1566.4
810.3806	395.7199	2341.9	1575.8
810.5241	397.9052	2377.25	1610.9
810.6677	400.09	2421.3	1650.45
810.8113	402.2743	2462.05	1691.1
810.9548	404.4579	2516.15	1744
811.0984	406.641	2559.2	1781.7
811.2421	408.8235	2615.65	1842.55
811.3857	411.0054	2664.6	1886.7
811.5293	413.1868	2710.55	1927.65
811.673	415.3675	2767.75	1983.05
811.8166	417.5477	2762.45	1976.8
811.9603	419.7273	2697.5	1910.75
812.104	421.9064	2627.85	1833.15
812.2477	424.0848	2561.7	1773
812.3914	426.2627	2486.5	1697.6
812.5351	428.4399	2431.7	1643.05
812.6788	430.6166	2369.8	1576.2
812.8226	432.7928	2318.5	1522
812.9663	434.9683	2272.4	1476.75
813.1101	437.1432	2245.3	1450.25
813.2539	439.3176	2222.75	1429.55
813.3977	441.4914	2207.35	1413.45
813.5415	443.6645	2213.75	1416.65
813.6853	445.8371	2199.15	1402.35
813.8291	448.0091	2202.35	1405.7
813.973	450.1806	2207.1	1411.35
814.1168	452.3514	2208.55	1409.65
814.2607	454.5216	2212	1403.9
814.4046	456.6913	2192.65	1390.5
814.5485	458.8603	2204.8	1403.75
814.6924	461.0288	2200.75	1403.25
814.8363	463.1967	2201.8	1403.05
814.9802	465.3639	2207.25	1406.4
815.1241	467.5306	2196.6	1395.4
815.2681	469.6967	2192.45	1392.5
815.412	471.8622	2183.4	1382.1
815.556	474.0271	2185.45	1386.05
815.7	476.1914	2182.05	1377.05
815.844	478.3551	2171.1	1367.05
815.988	480.5182	2181.5	1378.5
816.132	482.6807	2181.9	1377
816.276	484.8426	2196.4	1396.3
816.4201	487.0039	2245.5	1444.3
816.5641	489.1647	2307.7	1502
816.7082	491.3248	2363.05	1555.05
816.8522	493.4843	2372.25	1567.55
816.9963	495.6432	2352.05	1543.9
817.1404	497.8015	2328.7	1516.65
817.2845	499.9592	2286.5	1476.3
817.4286	502.1163	2225.75	1412.5
817.5727	504.2728	2175.85	1362.65
817.7168	506.4287	2157.05	1348
817.861	508.5839	2133.95	1324.5
818.0051	510.7386	2124.7	1313.8
818.1493	512.8927	2145.4	1323.8
818.2935	515.0461	2135.4	1322.15
818.4377	517.199	2163.8	1346.45
818.5818	519.3512	2211.2	1396.45
818.726	521.5029	2292.7	1473.9
818.8703	523.6539	2349.35	1533.1
819.0145	525.8043	2365.8	1547.5
819.1587	527.9541	2295.9	1477.1
819.303	530.1033	2221.1	1400.75
819.4472	532.2519	2170.3	1352.05
819.5915	534.3999	2143.95	1320.5
819.7357	536.5472	2138.2	1317.25
819.88	538.694	2137.45	1316.45
820.0243	540.8401	2154.05	1332.1
820.1686	542.9856	2161.15	1336
820.3129	545.1305	2185.2	1358.95
820.4572	547.2748	2195.55	1368.8
820.6016	549.4185	2219.3	1390.6
820.7459	551.5615	2220.65	1392.75
820.8902	553.704	2247	1417.85
821.0346	555.8458	2258.1	1430.25
821.1789	557.987	2281.1	1455.9
821.3233	560.1276	2306.05	1479.55
821.4677	562.2675	2373.35	1549.75
821.6121	564.4069	2448.65	1622
821.7565	566.5456	2497.95	1673.3
821.9009	568.6837	2475.55	1650.45
822.0453	570.8212	2401	1577.6
822.1897	572.958	2307.35	1482.6
822.3342	575.0942	2243.3	1418.9
822.4786	577.2299	2205.25	1381.15
822.6231	579.3648	2175.35	1354.35
822.7675	581.4992	2148.9	1329.3
822.912	583.6329	2169.15	1347.9
823.0565	585.766	2198.1	1374.15
823.201	587.8985	2251	1425.85
823.3454	590.0304	2304.25	1463.8
823.4899	592.1616	2339.6	1507.95
823.6345	594.2922	2340.1	1505.9
823.779	596.4222	2286.05	1452.15
823.9235	598.5515	2227.2	1392.6
824.068	600.6802	2159.35	1325.1
824.2126	602.8083	2123.3	1290.95
824.3571	604.9358	2109.35	1273.55
824.5017	607.0626	2100.75	1264.85
824.6462	609.1888	2111.5	1271.15
824.7908	611.3144	2151.45	1311.3
824.9354	613.4393	2184.85	1347.15
825.08	615.5636	2236.6	1400.4
825.2246	617.6873	2298.3	1460.25
825.3692	619.8103	2319.85	1479
825.5138	621.9327	2320.5	1480.05
825.6584	624.0544	2270.4	1433.3
825.803	626.1756	2225.1	1386.3
825.9477	628.2961	2164.65	1326.6
826.0923	630.4159	2143.15	1301.15
826.237	632.5351	2135.8	1294.1
826.3816	634.6537	2134.65	1292.75
826.5263	636.7716	2117.85	1275.8
826.6709	638.8889	2105.4	1259.65
826.8156	641.0056	2115.8	1270.75
826.9603	643.1216	2121.65	1277.7
827.105	645.237	2111.7	1264.6
827.2497	647.3518	2107.95	1264.6
827.3944	649.4659	2075.6	1234.95
827.5391	651.5793	2062.95	1222.15
827.6838	653.6922	2050.4	1207.25
827.8285	655.8043	2038.45	1196.2
827.9733	657.9159	2011.5	1166.25
828.118	660.0268	2019.05	1172.05
828.2627	662.137	2012.3	1166.35
828.4075	664.2466	2012.05	1164.15
828.5522	666.3556	2011.6	1163.95
828.697	668.4639	2003.95	1155.75
828.8418	670.5716	1989.4	1142.95
828.9865	672.6786	1986.7	1138.05
829.1313	674.785	1979.85	1127.95
829.2761	676.8907	1981.7	1133.55
829.4209	678.9958	1974.75	1127.6
829.5657	681.1002	1974.5	1126.8
829.7105	683.204	1975.2	1118
829.8553	685.3072	1977.6	1126.35
830.0001	687.4097	1983.6	1133.2
830.1449	689.5115	1983.35	1129.05
830.2898	691.6127	1974.85	1123.85
830.4346	693.7132	1973.95	1124.2
830.5794	695.8131	1978.9	1113.65
830.7243	697.9123	1979	1126.35
830.8691	700.0109	1979.45	1126.65
831.014	702.1089	1985.65	1134.2
831.1588	704.2061	2015.3	1162.25
831.3037	706.3028	2040.45	1182.65
831.4486	708.3987	2064.15	1209.4
831.5935	710.4941	2067.75	1213.05
831.7383	712.5887	2074.2	1220
831.8832	714.6827	2077.45	1220.6
832.0281	716.7761	2069	1216.6
832.173	718.8688	2061.9	1205.85
832.3179	720.9608	2068.45	1206.5
832.4628	723.0522	2093.3	1231.85
832.6077	725.1429	2107.55	1250.6
832.7527	727.233	2140.1	1280.65
832.8976	729.3224	2235.6	1380.05
833.0425	731.4112	2272.1	1414.05
833.1874	733.4993	2281.5	1420.3
833.3324	735.5867	2236.25	1378.3
833.4773	737.6735	2155.65	1294.6
833.6222	739.7596	2083.85	1223.05
833.7672	741.845	2058.75	1201.95
833.9122	743.9298	2052.45	1192.85
834.0571	746.014	2055.65	1194.05
834.2021	748.0974	2062	1201
834.347	750.1802	2065.2	1204.55
