Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 11:58:51 AM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	822
Laser Diode Temp (C):	25
Laser Case Temp (C):	25.5
System Temp (C):	25.5
Spectrometer Temp (C):	23.4
CCD Temp (C):	0.002
Secondary Temp (C):	20
Heatsink Temp (C):	20.255
CCDPCB Temp (C):	35.551
SecondaryPCB Temp (C):	27.959

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	415.25	5.5
787.2016	32.3739	412.85	4.5
787.3422	34.6426	414.35	6
787.4828	36.9109	417.05	5.05
787.6235	39.1787	422.4	8.2
787.7642	41.4461	427.1	9.2
787.9049	43.7131	431.75	10.65
788.0456	45.9796	431.45	6.85
788.1863	48.2456	437.95	9.35
788.3271	50.5112	442.8	10
788.4679	52.7764	446.65	9.9
788.6087	55.0411	453.5	12.55
788.7496	57.3054	457.15	12.65
788.8904	59.5692	461.8	15.35
789.0313	61.8326	465.05	15.55
789.1722	64.0955	466.5	14.55
789.3132	66.3579	473.15	15.3
789.4541	68.6199	480.2	20.1
789.5951	70.8815	491.5	26.65
789.7361	73.1426	509.1	39.85
789.8771	75.4032	541.7	68.6
790.0181	77.6634	612.9	135.1
790.1592	79.9231	778.05	293.9
790.3003	82.1824	1125.6	632.65
790.4414	84.4412	1700.55	1186.45
790.5825	86.6995	2413.9	1881.55
790.7237	88.9574	3096.05	2543.2
790.8648	91.2148	3565.7	3001.75
791.006	93.4717	3750.3	3174.55
791.1472	95.7282	3768.45	3190.2
791.2885	97.9842	3759.9	3176.95
791.4297	100.2398	3707.2	3125.3
791.571	102.4949	3653.9	3067.35
791.7123	104.7495	3616	3022.5
791.8536	107.0036	3565.1	2973.95
791.9949	109.2573	3477.85	2886.95
792.1363	111.5105	3388.65	2797.45
792.2777	113.7632	3292.4	2696.35
792.4191	116.0154	3198.7	2592.75
792.5605	118.2672	3062.45	2461.2
792.7019	120.5185	2969.85	2369.75
792.8434	122.7693	2882.35	2277.55
792.9849	125.0197	2799.95	2190.5
793.1264	127.2696	2745.6	2130.65
793.2679	129.519	2708.75	2092.4
793.4094	131.7679	2677.05	2061.45
793.551	134.0163	2663.75	2042.6
793.6926	136.2642	2654.7	2031.45
793.8342	138.5117	2640.5	2005.25
793.9758	140.7587	2600.3	1971.15
794.1175	143.0052	2553.3	1923.05
794.2591	145.2512	2503.75	1873.8
794.4008	147.4967	2454.25	1824
794.5425	149.7417	2412.65	1776.1
794.6842	151.9863	2389.95	1751.45
794.826	154.2304	2387.8	1744
794.9677	156.4739	2378.6	1728.05
795.1095	158.717	2399.35	1747.5
795.2513	160.9596	2412	1758
795.3931	163.2017	2428.05	1772.45
795.535	165.4433	2431.3	1771.05
795.6768	167.6844	2420.1	1758.35
795.8187	169.925	2380.8	1719.35
795.9606	172.1651	2344.6	1680.65
796.1025	174.4047	2292.45	1623.9
