Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 12:40:48 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	823
Laser Diode Temp (C):	25
Laser Case Temp (C):	26.1
System Temp (C):	26
Spectrometer Temp (C):	23.9
CCD Temp (C):	0.007
Secondary Temp (C):	20.006
Heatsink Temp (C):	21.092
CCDPCB Temp (C):	35.773
SecondaryPCB Temp (C):	29.07

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	456.8	47.3
787.2016	32.3739	456.9	48.6
787.3422	34.6426	463.15	51.75
787.4828	36.9109	470.85	60.25
787.6235	39.1787	478.95	61.8
787.7642	41.4461	488.05	69.25
787.9049	43.7131	494.15	71.1
788.0456	45.9796	503.8	78.2
788.1863	48.2456	514.3	85.95
788.3271	50.5112	521.9	89.15
788.4679	52.7764	527.1	92.1
788.6087	55.0411	540.15	98.55
788.7496	57.3054	552.7	106.15
788.8904	59.5692	562.8	114.65
789.0313	61.8326	575.7	125.95
789.1722	64.0955	584.9	132.15
789.3132	66.3579	604.1	146.1
789.4541	68.6199	621.85	156.4
789.5951	70.8815	661.2	193.15
789.7361	73.1426	747.4	276.15
789.8771	75.4032	967.7	493.1
790.0181	77.6634	1521.6	1039.35
790.1592	79.9231	2792.9	2302.15
790.3003	82.1824	5566.05	5055.45
790.4414	84.4412	10494.5	9949.25
790.5825	86.6995	17210.6	16616.6
790.7237	88.9574	23590.5	22956.65
790.8648	91.2148	27947.4	27288.4
791.006	93.4717	29815.3	29140.2
791.1472	95.7282	30016.6	29329.65
791.2885	97.9842	29683.3	28991.4
791.4297	100.2398	28856.1	28162.25
791.571	102.4949	27970.15	27280.4
791.7123	104.7495	26942.4	26246.3
791.8536	107.0036	25975.55	25274.8
791.9949	109.2573	25098.05	24403.4
