Software Version:	3.9.2.0
Unit SN:	10000200
Spectrometer SN:	6960
Date:	3/8/2024 12:43:10 PM
Data Line Index:	25
Spectral Points:	2048
Integration time (ms):	125
Averages:	20
Delay (ms):	30000
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	822
Laser Diode Temp (C):	25.1
Laser Case Temp (C):	26.1
System Temp (C):	26.1
Spectrometer Temp (C):	24
CCD Temp (C):	0.007
Secondary Temp (C):	20.01
Heatsink Temp (C):	21.081
CCDPCB Temp (C):	36.007
SecondaryPCB Temp (C):	29.715

Wavelength	RamanShift	Raw Counts	Dark Subtracted
787.061	30.1047	453.2	44.45
787.2016	32.3739	455.15	48.5
787.3422	34.6426	459.35	50.7
787.4828	36.9109	463.9	53.1
787.6235	39.1787	474.5	61.35
787.7642	41.4461	482.6	62.7
787.9049	43.7131	493.8	73.15
788.0456	45.9796	501.5	77.6
788.1863	48.2456	509.2	81.85
788.3271	50.5112	517.95	85
788.4679	52.7764	526.55	91.2
788.6087	55.0411	538.45	98.85
788.7496	57.3054	548.85	103.1
788.8904	59.5692	557.25	108.2
789.0313	61.8326	565.7	115.2
789.1722	64.0955	582.25	130.2
789.3132	66.3579	599	141.2
789.4541	68.6199	616.05	154.4
789.5951	70.8815	654.8	188.7
789.7361	73.1426	737.05	267.15
789.8771	75.4032	948.85	472.6
790.0181	77.6634	1471.8	990.2
790.1592	79.9231	2695.55	2204.45
790.3003	82.1824	5338.8	4829.15
790.4414	84.4412	10073.4	9529.8
790.5825	86.6995	16514.6	15919.75
790.7237	88.9574	22748.5	22118.05
790.8648	91.2148	26889.55	26227.9
791.006	93.4717	28712.85	28037
791.1472	95.7282	28906.4	28222.5
791.2885	97.9842	28581.25	27892.1
791.4297	100.2398	27815.15	27124.4
791.571	102.4949	26960.9	26268.55
791.7123	104.7495	25936	25238.4
791.8536	107.0036	25003.5	24307.75
791.9949	109.2573	24160.5	23464.9
792.1363	111.5105	23420.85	22723.35
792.2777	113.7632	22700.4	21995.05
792.4191	116.0154	22141.25	21427.35
792.5605	118.2672	21716.55	21009.45
792.7019	120.5185	21321.45	20615.75
792.8434	122.7693	20995.4	20283.2
792.9849	125.0197	20751.65	20038.45
793.1264	127.2696	20502.15	19784.85
793.2679	129.519	20294.75	19572.95
793.4094	131.7679	20016.9	19291.45
793.551	134.0163	19735.1	19007.2
793.6926	136.2642	19377.1	18648.2
793.8342	138.5117	18987.8	18243.8
793.9758	140.7587	18583.6	17847.75
794.1175	143.0052	18236.8	17497.55
794.2591	145.2512	17861.7	17121.8
794.4008	147.4967	17539.1	16802.8
794.5425	149.7417	17321.3	16580.15
794.6842	151.9863	17113.55	16366.9
794.826	154.2304	17042.65	16295.55
794.9677	156.4739	16804.9	16048.35
795.1095	158.717	16745.45	15991.05
795.2513	160.9596	16539.45	15778
795.3931	163.2017	16301.2	15539.25
795.535	165.4433	15989.55	15229.5
795.6768	167.6844	15653.2	14885.55
795.8187	169.925	15335.35	14572.4
795.9606	172.1651	15004.55	14236.95
796.1025	174.4047	14745.85	13974.85
796.2445	176.6439	14466.5	13694.3
796.3864	178.8825	14260.6	13482.35
796.5284	181.1206	14114.75	13330.75
796.6704	183.3582	14001.9	13212.25
796.8124	185.5954	13916.75	13130.3
796.9544	187.832	13831.7	13041.1
797.0965	190.0681	13799.35	13003.65
797.2386	192.3037	13787.6	12989.5
797.3806	194.5388	13781.55	12979.75
797.5228	196.7734	13859.75	13054.9
797.6649	199.0075	13903.35	13095.2
797.807	201.2411	14019.6	13212.75
797.9492	203.4742	14107.95	13299
798.0914	205.7068	14268.95	13458.6
798.2336	207.9389	14393	13577.1
798.3758	210.1704	14533.3	13723.4
798.518	212.4015	14639.4	13846.7
798.6603	214.632	14780.8	13992.1
798.8025	216.862	14913.35	14123.45
798.9448	219.0915	15004.45	14212.55
799.0871	221.3205	15099.1	14303.75
799.2294	223.549	15213.2	14424.3
799.3718	225.777	15269.5	14479.1
799.5141	228.0044	15389.15	14593
799.6565	230.2314	15544.2	14744.95
799.7989	232.4578	15619.8	14824.85
799.9413	234.6837	15738.9	14934.8
800.0837	236.909	15806.1	14992.55
800.2262	239.1339	15786.45	14951.95
800.3687	241.3582	15729.2	14907.2
800.5111	243.582	15634.6	14785.55
800.6536	245.8053	15573.65	14737.6
800.7961	248.0281	15534	14707.9
800.9387	250.2503	15519.9	14685.35
801.0812	252.472	15551.25	14716.2
801.2238	254.6932	15673.9	14839.1
801.3664	256.9139	15795.15	14955.85
801.509	259.134	16008.05	15160.8
801.6516	261.3536	16256.8	15414.5
801.7942	263.5727	16560.55	15716.15
801.9369	265.7912	16862.6	16019.75
802.0795	268.0092	17184.5	16339.05
802.2222	270.2267	17398.1	16557.1
802.3649	272.4436	17506.8	16663.5
802.5076	274.6601	17507.35	16652.35
802.6504	276.8759	17428.9	16583.3
802.7931	279.0913	17346.75	16499.1
802.9359	281.3061	17205.25	16353.95
803.0787	283.5204	17183.8	16327.75
803.2215	285.7341	17150.95	16292.95
803.3643	287.9473	17171.75	16299.05
803.5071	290.16	17213.1	16354.95
803.6499	292.3721	17304	16444.2
803.7928	294.5837	17485.55	16625.3
803.9357	296.7947	17700.25	16842.15
804.0786	299.0052	17891	17034.35
804.2215	301.2152	17838.6	16979.65
804.3644	303.4246	17704.1	16845.7
804.5074	305.6334	17339	16484.45
804.6503	307.8418	16939.4	16081.1
804.7933	310.0495	16531.05	15666.4
804.9363	312.2568	16110.4	15249.05
805.0793	314.4635	15678.85	14812.9
805.2223	316.6696	15405.55	14537.4
805.3653	318.8752	15182.55	14302.65
805.5084	321.0802	15096.65	14224.3
805.6514	323.2847	15087.3	14213.2
805.7945	325.4887	15115.75	14241.05
805.9376	327.692	15078.35	14203.1
806.0807	329.8949	15070.35	14195.5
806.2238	332.0972	14881.5	14009.25
806.367	334.2989	14694.35	13812.8
806.5101	336.5001	14451	13574.2
806.6533	338.7007	14215.85	13336.95
806.7965	340.9008	14085.2	13207.05
806.9397	343.1003	13883.1	12999.6
807.0829	345.2992	13781.65	12899.15
807.2261	347.4976	13674.85	12787.7
807.3693	349.6955	13602.15	12708.6
807.5126	351.8927	13585	12696.5
807.6559	354.0895	13525.6	12626.75
807.7991	356.2856	13472.25	12578.75
807.9424	358.4812	13424.95	12535.4
808.0857	360.6763	13416.45	12527.5
808.2291	362.8707	13393.3	12499.15
808.3724	365.0646	13437.1	12542.2
